cycles,instructions,branches,branch_misses,comm,dso,symbol
195604561884,293350732243,42952330463,390183179,"g4run","libG4processes.so","G4CrossSectionDataStore::GetCrossSection"
175189377204,207028804804,28981176445,121210900,"g4run","libG4processes.so","G4NeutronCaptureXS::IsoCrossSection"
164134619837,264222362114,42990467672,508284599,"g4run","libm.so.6","__ieee754_atan2_fma"
151714807639,221460403907,25120253090,155958188,"g4run","g4run","CMSMagneticField::GetFieldValue"
138173616765,220908339869,32124487132,385738406,"g4run","libG4tracking.so","G4SteppingManager::DefinePhysicalStepLength"
133436309466,229550283143,39656743630,408515636,"g4run","libG4geometry.so","G4PolyhedraSide::DistanceAway"
116811883679,129543521425,19515787181,346366412,"g4run","libG4geometry.so","G4VoxelNavigation::LevelLocate"
113993468380,180739472596,24851441134,280835417,"g4run","libG4processes.so","G4VEmProcess::GetCurrentLambda"
113099186799,159798697417,23450500794,265281704,"g4run","libG4processes.so","G4GammaNuclearXS::GetIsoCrossSection"
97581301571,162103514364,22867265776,217191978,"g4run","libG4processes.so","G4VEmProcess::PostStepGetPhysicalInteractionLength"
94070114271,145737419523,21056083616,158710288,"g4run","libG4processes.so","G4CrossSectionDataStore::GetIsoCrossSection"
82829688837,141115548615,19109549970,218436208,"g4run","libG4geometry.so","G4Navigator::ComputeStep"
82488492918,109763473884,16410548067,232285261,"g4run","libm.so.6","__sincos"
80316380539,117041819743,18728913380,225536725,"g4run","libG4geometry.so","G4TouchableHistory::GetVolume"
78453760788,123015704625,18706276036,207946001,"g4run","libG4processes.so","G4Transportation::AlongStepGetPhysicalInteractionLength"
76449458102,112326957102,12721395041,75436192,"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::StepWithError"
75174294920,129690211317,18546153610,252401313,"g4run","libG4geometry.so","G4PolyconeSide::DistanceAway"
74831982180,121469772631,16215285954,98322802,"g4run","libG4processes.so","G4NeutronInelasticXS::IsoCrossSection"
73304201254,109287390803,16261246246,184262037,"g4run","libG4processes.so","G4CrossSectionDataStore::ComputeCrossSection"
72914900284,111566538976,16919931396,251357388,"g4run","libG4tracking.so","G4SteppingManager::InvokePSDIP"
71908764675,120248820800,20507460727,208065300,"g4run","libG4geometry.so","G4PolyhedraSide::DistanceToOneSide"
70985634337,116759036969,13629427137,118662844,"g4run","libG4geometry.so","G4PropagatorInField::ComputeStep"
68837571634,128033680811,22913857563,258452038,"g4run","libG4geometry.so","G4PolyPhiFace::InsideEdges"
66152637737,88503138659,12786796140,200480453,"g4run","libG4clhep.so","CLHEP::MixMaxRng::iterate"
65488422515,95942009974,14297600823,217092040,"g4run","libG4tracking.so","G4SteppingManager::Stepping"
61596944573,131372504483,17732370573,124116591,"g4run","libG4processes.so","G4NeutronElasticXS::GetElementCrossSection"
60558360540,109831421553,15407318005,173041195,"g4run","libG4geometry.so","G4PolyconeSide::Distance"
59991729390,75218005404,12333225780,207004862,"g4run","libG4processes.so","G4UrbanMscModel::ComputeTruePathLengthLimit"
58519568487,84762694059,9973587334,63629643,"g4run","libG4geometry.so","G4Mag_UsualEqRhs::EvaluateRhsGivenB"
57434517191,65944598001,8081355919,151178872,"g4run","libG4processes.so","G4UrbanMscModel::SampleCosineTheta"
55689723324,98870147054,13968411432,122955757,"g4run","libG4processes.so","G4VEnergyLossProcess::PostStepGetPhysicalInteractionLength"
55569334085,95435973193,13349351612,135200506,"g4run","libG4processes.so","G4VEnergyLossProcess::ComputeLambdaForScaledEnergy"
55092709189,107974820904,19125636903,164032414,"g4run","libG4geometry.so","G4PolyhedraSide::Distance"
54112405307,76795232861,12562754820,122335806,"g4run","libG4geometry.so","G4NavigationLevel::operator="
53195920137,80418960195,11747978805,193096308,"g4run","libG4geometry.so","G4Navigator::LocateGlobalPointWithinVolume"
49953333616,74204365913,11089456479,168511550,"g4run","libG4processes.so","G4Transportation::PostStepDoIt"
49946974389,79545564612,13217232917,149229842,"g4run","libG4geometry.so","G4VCSGfaceted::Inside"
