cycles,instructions,stalled_cycles_frontend,stalled_cycles_backend,comm,dso,symbol
82286675745,137639468746,1571674163,16316409707,"g4run","libG4geometry.so","G4PolyhedraSide::G4PolyhedraSide"
32665464454,55687387745,652431737,6257927684,"g4run","libm.so.6","__ieee754_atan2_fma"
19083836126,29987586260,418125162,3682815816,"g4run","libG4geometry.so","G4PolyPhiFace::InCone"
17812241323,28635298781,447128169,5098337886,"g4run","libG4processes.so","G4HadronNucleonXsc::HadronNucleonXscNS"
14841622161,22261794080,317541008,3581001652,"g4run","libG4processes.so","G4ChipsProtonInelasticXS::CalculateCrossSection"
9658034848,16396883311,190029950,1879831933,"g4run","libG4geometry.so","G4PolyhedraSide::GetPointOnFace"
9284282151,15821806653,179156846,1875542376,"g4run","libG4geometry.so","G4TwistedTubs::G4TwistedTubs"
7917893797,12106511748,144163881,3007363884,"g4run","libG4processes.so","G4HadElementSelector::G4HadElementSelector"
7543514369,13386468194,93972520,1829188574,"g4run","g4run","CMSMagneticField::GetFieldValue"
7260205045,12258583088,192303881,1389542843,"g4run","ld-linux-x86-64.so.2","__tls_get_addr"
6941711820,11201324053,142220538,1653792881,"g4run","libG4geometry.so","G4Navigator::ComputeStep"
6443447637,8987229861,185890731,1130535818,"g4run","libG4processes.so","G4ITMultiNavigator::GetLocalExitNormal"
6197293804,10588581296,188771995,1243044625,"g4run","libm.so.6","__sincos"
5845579743,8602450170,149828846,1117533461,"g4run","libG4tracking.so","G4SteppingManager::InvokePostStepDoItProcs"
4895806985,8366273787,107040650,962340143,"g4run","libG4digits_hits.so","G4VSensitiveDetector::~G4VSensitiveDetector"
4778905279,6437723409,151366974,875860411,"g4run","libG4processes.so","std::vector<G4LossTableManager*, std::allocator<G4LossTableManager*> >::_M_fill_insert"
4723978566,7601416068,107087801,1174210180,"g4run","libG4processes.so","G4Pow::powA"
4586668084,7610182286,85519748,1385101725,"g4run","libG4geometry.so","G4PolyconeSide::G4PolyconeSide"
4569948596,6927108765,98770604,1084851674,"g4run","libG4processes.so","G4ChipsProtonInelasticXS::G4ChipsProtonInelasticXS"
4557246965,6690115800,124983657,740747582,"g4run","libG4processes.so","G4CrossSectionDataStore::DumpPhysicsTable"
4361911495,6425788675,101819035,1109363569,"g4run","libG4geometry.so","G4PolyconeSide::CalculateExtent"
4319362140,6936590497,97367375,776922567,"g4run","libG4geometry.so","G4SubtractionSolid::DistanceToIn"
4277733780,7025496158,109838434,872666616,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::iterate"
4240745373,6963333217,96957300,753620388,"g4run","libG4geometry.so","G4ExtrudedSolid::StreamInfo"
4229077690,6700140068,176377262,337888863,"g4run","libG4processes.so","G4IntraNucleiCascader::finishCascade"
4141820539,6450600747,108456331,859297310,"g4run","libG4geometry.so","operator<<"
4076390658,6751390564,92237068,742654284,"g4run","libG4tracking.so","G4SteppingManager::SetInitialStep"
3893424603,6045564778,73772682,710201059,"g4run","libG4processes.so","G4ProcessManager::RemoveProcess"
3801618584,6408304926,75848375,707960512,"g4run","libm.so.6","__atan2"
3766412604,5670294645,105570134,903696601,"g4run","libG4geometry.so","std::vector<G4LogicalVolume*, std::allocator<G4LogicalVolume*> >::_M_realloc_insert<G4LogicalVolume*>"
3718181210,5922495533,72270821,492944473,"g4run","libG4geometry.so","G4PolyhedraSide::Distance"
3710866041,5872155824,81087251,779656367,"g4run","libG4geometry.so","G4ParameterisedNavigation::ComputeStep"
3622996850,6174845639,73957771,881485266,"g4run","libG4geometry.so","G4Box::SetXHalfLength"
3577820583,5486165316,64553385,784947552,"g4run","libG4tracking.so","G4SteppingVerbose::PostStepDoItOneByOne"
3567797577,5805006637,75309737,736314851,"g4run","libG4tracking.so","G4SteppingVerbose::AlongStepDoItOneByOne"
3363192369,4980633679,68903280,726905713,"g4run","libG4geometry.so","G4DisplacedSolid::CreatePolyhedron"
3031577920,4703761556,58266690,611346125,"g4run","libG4geometry.so","G4TwistedTubs::BoundingLimits"
2931311787,5216177159,55603467,593654091,"g4run","libG4geometry.so","G4PolyPhiFace::Triangulate"
2902442310,4263675462,74804288,580093645,"g4run","libG4geometry.so","std::_Rb_tree<G4String, std::pair<G4String const, std::vector<G4VSolid*, std::allocator<G4VSolid*> > >, std::_Select1st<std::pair<G4String const, std::vector<G4VSolid*, std::allocator<G4VSolid*> > > >, std::less<G4String>, std::allocator<std::pair<G4String const, std::vector<G4VSolid*, std::allocator<G4VSolid*> > > > >::_M_emplace_unique<std::pair<G4String, std::vector<G4VSolid*, std::allocator<G4VSolid*> > > >"
2722641993,4932287208,47401614,507518704,"g4run","libG4geometry.so","G4PropagatorInField::ComputeStep"
2686089436,4505492341,43143198,548745515,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::Verbose"
2659488741,4425623344,140264552,286601854,"g4run","libCLHEP-2.4.5.3.so","CLHEP::HepLorentzVector::boost"
