ibs_fetch__pp,dummy_HG,comm,dso,symbol
10945530330,g4run,"libG4processes.so","[.]","G4ChipsProtonInelasticXS::CalculateCrossSection"
5275490755,g4run,"libG4geometry.so","[.]","G4PolyconeSide::CalculateExtent"
5230949083,g4run,"libG4geometry.so","[.]","G4PolyconeSide::G4PolyconeSide"
4987869724,g4run,"libG4processes.so","[.]","G4ChipsProtonInelasticXS::G4ChipsProtonInelasticXS"
4052216418,g4run,"ld-linux-x86-64.so.2","[.]","__tls_get_addr"
3613060264,g4run,"libG4processes.so","[.]","G4HadronNucleonXsc::HadronNucleonXscNS"
3424882800,g4run,"libG4tracking.so","[.]","G4SteppingManager::InvokePostStepDoItProcs"
2834200091,g4run,"libG4tracking.so","[.]","G4SteppingVerbose::AlongStepDoItOneByOne"
2778224505,g4run,"libG4geometry.so","[.]","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::StepWithError"
2576563577,g4run,"libG4tracking.so","[.]","G4SteppingManager::SetInitialStep"
2328562049,g4run,"libG4processes.so","[.]","G4Pow::powA"
2290068206,g4run,"libm.so.6","[.]","__sincos"
2212463151,g4run,"libG4tracking.so","[.]","G4SteppingManager::Stepping"
1758265092,g4run,"libG4geometry.so","[.]","G4Navigator::ComputeStep"
1744223702,g4run,"libG4geometry.so","[.]","G4PropagatorInField::ComputeStep"
1671887798,g4run,"libCLHEP-2.4.5.3.so","[.]","CLHEP::MixMaxRng::iterate"
1671745138,g4run,"libG4processes.so","[.]","G4HadElementSelector::G4HadElementSelector"
1587820499,g4run,"libG4geometry.so","[.]","G4TwistedTubs::BoundingLimits"
1451361621,g4run,"libG4processes.so","[.]","G4OpticalParametersMessenger::SetNewValue"
1422949126,g4run,"libG4processes.so","[.]","G4INCL::CrossSectionsMultiPions::NNThreePi@plt"
1307681517,g4run,"libG4processes.so","[.]","std::vector<std::function<void ()>, std::allocator<std::function<void ()> > >::_M_realloc_insert<G4ThreadLocalSingleton<G4NuclearPolarizationStore>::G4ThreadLocalSingleton()::{lambda()#1}>"
1296439072,g4run,"libG4processes.so","[.]","G4CrossSectionDataStore::DumpPhysicsTable"
1292139579,g4run,"libG4processes.so","[.]","G4ParallelWorldScoringProcess::Verbose"
1266740531,g4run,"libG4processes.so","[.]","G4CacheReference<G4NuclearPolarizationStore*>::Destroy"
1254023380,g4run,"libG4geometry.so","[.]","G4TwistedTubs::G4TwistedTubs"
1218092360,g4run,"libG4processes.so","[.]","G4LossTableManager::Register"
1140307146,g4run,"libCLHEP-2.4.5.3.so","[.]","CLHEP::(anonymous namespace)::theDefaults"
1126142665,g4run,"libG4processes.so","[.]","G4ProcessManager::RemoveProcess"
1108708112,g4run,"g4run","[.]","CMSMagneticField::GetFieldValue"
1096763075,g4run,"libG4geometry.so","[.]","field_utils::relativeError@plt"
997660822,g4run,"libG4particles.so","[.]","G4NucleiPropertiesTheoreticalTable::GetIndex"
966120567,g4run,"libG4processes.so","[.]","G4LossTableManager::Register"
941794884,g4run,"libG4processes.so","[.]","G4CrossSectionDataStore::G4CrossSectionDataStore"
935632324,g4run,"libG4processes.so","[.]","G4IntraNucleiCascader::finalize"
922378055,g4run,"libG4tracking.so","[.]","G4SteppingVerbose::PostStepDoItOneByOne"
