id,value,prev,curr
"all",,,
"all;ldconfig",,,
"all;ldconfig;ldconfig",,,
"all;ldconfig;ldconfig;0x0000000000028373",1907604,0,1907604
"all;ls",,,
"all;ls;libc-2",,,
"all;ls;libc-2;_dl_addr",1507230,0,1507230
"all;ls;libc-2;_exit",1642808,1642808,0
"all;ls;ld-2",,,
"all;ls;ld-2;getpid",1548287,0,1548287
"all;ls;ld-2;_dl_relocate_object",1672250,0,1672250
"all;ls;ld-2;_dl_debug_vdprintf",9243136,2938129,6305007
"all;ls;ld-2;do_lookup_x",3231875,0,3231875
"all;ls;ld-2;open_path",5103846,1828539,3275307
"all;ls;ld-2;strsep",3707964,1768896,1939068
"all;ls;ld-2;_dl_debug_printf",1636211,1636211,0
"all;ls;ld-2;memcmp",1934614,0,1934614
"all;g++",,,
"all;g++;ld-2",,,
"all;g++;ld-2;open_path",1426707,0,1426707
"all;g++;ld-2;fillin_rpath",1339103,1339103,0
"all;g++;g++",,,
"all;g++;g++;validate_switches",1801396,1801396,0
"all;which",,,
"all;which;ld-2",,,
"all;which;ld-2;check_match.9525",1543909,0,1543909
"all;which;ld-2;do_lookup_x",2734036,1153562,1580474
"all;which;ld-2;strsep",1228416,1228416,0
"all;taskset",,,
"all;taskset;taskset",,,
"all;taskset;taskset;0x0000000000001b64",159093,159093,0
"all;ld-linux-x86-64",,,
"all;ld-linux-x86-64;ld-2",,,
"all;ld-linux-x86-64;ld-2;open_path",1096852,0,1096852
"all;ld-linux-x86-64;ld-2;_dl_new_object",1284495,1284495,0
"all;sh",,,
"all;sh;libc-2",,,
"all;sh;libc-2;malloc_consolidate",3493849,1736216,1757633
"all;sh;libc-2;_int_malloc",1798132,0,1798132
"all;sh;libc-2;__strncpy_sse2_unaligned",1450787,1450787,0
"all;sh;libc-2;malloc",3016743,1566879,1449864
"all;sh;libc-2;__strcmp_sse42",3130316,3130316,0
"all;sh;libc-2;__strlen_sse2_pminub",1506507,1506507,0
"all;sh;libc-2;_dl_addr",1267080,1267080,0
"all;sh;libc-2;__strcpy_sse2_unaligned",4718342,3023378,1694964
"all;sh;ld-2",,,
"all;sh;ld-2;_dl_start",1145094,0,1145094
"all;sh;ld-2;strcmp",1617187,0,1617187
"all;sh;ld-2;_xstat",1686146,1686146,0
"all;sh;ld-2;open_path",1355588,1355588,0
"all;sh;ld-2;strsep",3529406,3529406,0
"all;sh;ld-2;fillin_rpath",3747037,2014022,1733015
"all;sh;bash",,,
"all;sh;bash;0x00000000000363f0",1689729,0,1689729
"all;sh;bash;legal_identifier",1434672,1434672,0
"all;sh;bash;0x000000000003640b",1750106,0,1750106
"all;sh;bash;0x0000000000025436",1541742,1541742,0
"all;sh;bash;hash_create",1636786,0,1636786
"all;sh;bash;0x000000000003639e",1680994,1680994,0
"all;python",,,
"all;python;libtcmalloc_minimal",,,
"all;python;libtcmalloc_minimal;tcmalloc::CentralFreeList::RemoveRange",1867885,0,1867885
"all;python;libtcmalloc_minimal;tcmalloc::SizeMap::Init",1636232,0,1636232
"all;python;libpthread-2",,,
"all;python;libpthread-2;pthread_mutex_unlock",1776298,1776298,0
"all;python;libpthread-2;pthread_cond_signal@@GLIBC_2.3.2",3881967,2111048,1770919
"all;python;libpthread-2;pthread_mutex_lock",2312059,0,2312059
"all;python;ld-2",,,
