id,value,prev,curr
"all",,,
"all;ldconfig",,,
"all;ldconfig;ldconfig",,,
"all;ldconfig;ldconfig;0x000000000006719b",1948808,0,1948808
"all;ls",,,
"all;ls;libc-2",,,
"all;ls;libc-2;intel_02_known_compare",1397488,0,1397488
"all;ls;libc-2;_exit",1642808,1642808,0
"all;ls;ld-2",,,
"all;ls;ld-2;getpid",1295388,0,1295388
"all;ls;ld-2;_dl_relocate_object",1652894,0,1652894
"all;ls;ld-2;open64",3119403,0,3119403
"all;ls;ld-2;_dl_debug_vdprintf",4486649,2938129,1548520
"all;ls;ld-2;open_path",1828539,1828539,0
"all;ls;ld-2;_dl_check_all_versions",1460328,0,1460328
"all;ls;ld-2;strsep",3403346,1768896,1634450
"all;ls;ld-2;_dl_debug_printf",1636211,1636211,0
"all;ls;ld-2;strlen",1796731,0,1796731
"all;ls;ld-2;memcmp",2192465,0,2192465
"all;g++",,,
"all;g++;ld-2",,,
"all;g++;ld-2;fillin_rpath",1339103,1339103,0
"all;g++;g++",,,
"all;g++;g++;validate_switches",1801396,1801396,0
"all;which",,,
"all;which;ld-2",,,
"all;which;ld-2;do_lookup_x",2354035,1153562,1200473
"all;which;ld-2;_dl_runtime_resolve_xsavec",1264425,0,1264425
"all;which;ld-2;strsep",3847770,1228416,2619354
"all;taskset",,,
"all;taskset;taskset",,,
"all;taskset;taskset;0x0000000000001b64",159093,159093,0
"all;ld-linux-x86-64",,,
"all;ld-linux-x86-64;ld-2",,,
"all;ld-linux-x86-64;ld-2;_dl_new_object",1284495,1284495,0
"all;ld-linux-x86-64;ld-2;strlen",2516871,0,2516871
"all;sh",,,
"all;sh;libc-2",,,
"all;sh;libc-2;malloc_consolidate",1736216,1736216,0
"all;sh;libc-2;__strncpy_sse2_unaligned",3212699,1450787,1761912
"all;sh;libc-2;malloc",1566879,1566879,0
"all;sh;libc-2;__strcmp_sse42",3130316,3130316,0
"all;sh;libc-2;__strlen_sse2_pminub",1506507,1506507,0
"all;sh;libc-2;_dl_addr",1267080,1267080,0
"all;sh;libc-2;__strcpy_sse2_unaligned",5108541,3023378,2085163
"all;sh;ld-2",,,
"all;sh;ld-2;_dl_lookup_symbol_x",1068029,0,1068029
"all;sh;ld-2;check_match.9525",1380202,0,1380202
"all;sh;ld-2;_dl_init_paths",2052851,0,2052851
"all;sh;ld-2;_xstat",1686146,1686146,0
"all;sh;ld-2;open_path",5501594,1355588,4146006
"all;sh;ld-2;strsep",5833183,3529406,2303777
"all;sh;ld-2;fillin_rpath",2014022,2014022,0
"all;sh;bash",,,
"all;sh;bash;sh_makepath",1650584,0,1650584
"all;sh;bash;legal_identifier",1434672,1434672,0
"all;sh;bash;hash_search",3257764,0,3257764
"all;sh;bash;0x0000000000025436",1541742,1541742,0
"all;sh;bash;xmalloc",1682719,0,1682719
"all;sh;bash;0x0000000000035873",2062304,0,2062304
"all;sh;bash;0x000000000003639e",3281160,1680994,1600166
"all;python",,,
"all;python;libtcmalloc_minimal",,,
"all;python;libtcmalloc_minimal;tcmalloc::CentralFreeList::InsertRange",1593255,0,1593255
"all;python;libtcmalloc_minimal;tc_realloc",1624241,0,1624241
"all;python;libtcmalloc_minimal;tc_malloc",1380424,0,1380424
"all;python;libpthread-2",,,
"all;python;libpthread-2;pthread_mutex_unlock",4144463,1776298,2368165
