id,value,prev,curr
"all",,,
"all;ldconfig",,,
"all;ldconfig;ldconfig",,,
"all;ldconfig;ldconfig;0x0000000000028389",2049229,2049229,0
"all;ls",,,
"all;ls;libc-2",,,
"all;ls;libc-2;_dl_addr",1438791,0,1438791
"all;ls;ld-2",,,
"all;ls;ld-2;_dl_sysdep_start",1591575,1591575,0
"all;ls;ld-2;mempcpy",3159967,3159967,0
"all;ls;ld-2;open64",2729920,1301302,1428618
"all;ls;ld-2;_dl_debug_vdprintf",10148906,4483540,5665366
"all;ls;ld-2;do_lookup_x",1364876,1364876,0
"all;ls;ld-2;open_verify",1451760,1451760,0
"all;ls;ld-2;open_path",9009388,5988813,3020575
"all;ls;ld-2;strsep",1793651,1793651,0
"all;ls;ld-2;strlen",5150757,3168891,1981866
"all;ls;libselinux",,,
"all;ls;libselinux;0x0000000000006e51",1580260,1580260,0
"all;g++",,,
"all;g++;g++",,,
"all;g++;g++;handle_braces",1383943,1383943,0
"all;which",,,
"all;which;ld-2",,,
"all;which;ld-2;strchr",1964482,0,1964482
"all;which;ld-2;_dl_relocate_object",1254525,1254525,0
"all;which;ld-2;do_lookup_x",4508631,3208102,1300529
"all;which;ld-2;open_path",1264043,0,1264043
"all;which;ld-2;strsep",1235615,1235615,0
"all;taskset",,,
"all;taskset;ld-2",,,
"all;taskset;ld-2;strsep",5268387,0,5268387
"all;cat",,,
"all;cat;ld-2",,,
"all;cat;ld-2;open_path",1188268,1188268,0
"all;ld-linux-x86-64",,,
"all;ld-linux-x86-64;ld-2",,,
"all;ld-linux-x86-64;ld-2;strcmp",1514463,0,1514463
"all;ld-linux-x86-64;ld-2;_dl_process_tunable_env_entries",1339407,1339407,0
"all;sh",,,
"all;sh;ld-2",,,
"all;sh;ld-2;_dl_relocate_object",1878282,0,1878282
"all;sh;ld-2;_dl_cache_libcmp",1676072,0,1676072
"all;sh;ld-2;_dl_init_paths",2118015,2118015,0
"all;sh;ld-2;do_lookup_x",2486091,0,2486091
"all;sh;ld-2;_dl_map_object_from_fd",1170871,1170871,0
"all;sh;ld-2;_dl_fixup",1014932,1014932,0
"all;sh;ld-2;open_path",2041487,2041487,0
"all;sh;ld-2;strsep",3884878,1818768,2066110
"all;sh;ld-2;strlen",1289229,0,1289229
"all;sh;libc-2",,,
"all;sh;libc-2;malloc_consolidate",1568443,1568443,0
"all;sh;libc-2;__strncmp_sse42",1189044,1189044,0
"all;sh;libc-2;malloc",3630226,0,3630226
"all;sh;libc-2;_int_malloc",5090750,1410198,3680552
"all;sh;libc-2;_IO_vfscanf",1619141,0,1619141
"all;sh;libc-2;__strlen_sse2_pminub",5931726,4376513,1555213
"all;sh;libc-2;__gconv_transform_ascii_internal",1563567,1563567,0
"all;sh;libc-2;__xstat64",1762744,0,1762744
"all;sh;libc-2;_int_free",1531965,1531965,0
"all;sh;libc-2;__strcpy_sse2_unaligned",3264425,3264425,0
"all;sh;libc-2;msort_with_tmp.part.0",2146340,0,2146340
"all;sh;bash",,,
"all;sh;bash;add_or_supercede_exported_var",1016262,0,1016262
"all;sh;bash;0x000000000006c2f3",1586215,1586215,0
"all;sh;bash;0x00000000000359c1",1715212,0,1715212
"all;sh;bash;hash_search",1724197,0,1724197
"all;sh;bash;0x00000000000363f4",1612521,1612521,0
"all;sh;bash;0x000000000006c2fc",1324802,0,1324802
