id,cycles_ukP
"all",
"all;g4run",
"all;g4run;libG4persistency",
"all;g4run;libG4persistency;std::vector<double, std::allocator<double> >::_M_realloc_insert<double>",698531
"all;g4run;libc",
"all;g4run;libc;__strcmp_avx2",627750083
"all;g4run;libc;malloc_consolidate",1397031
"all;g4run;libc;__memset_avx2_unaligned_erms",1396854
"all;g4run;libc;_int_malloc",52364558
"all;g4run;libc;getenv",153614887
"all;g4run;libc;malloc",157842213
"all;g4run;libc;__memmove_avx_unaligned",169812540
"all;g4run;libc;__GI___pthread_mutex_unlock_usercnt",2094343
"all;g4run;libc;__strlen_avx2",25836713
"all;g4run;libc;pthread_mutex_lock@@GLIBC_2.2.5",4190272
"all;g4run;libc;@plt",4888097
"all;g4run;libc;__memcmp_avx2_movbe",22339827
"all;g4run;libc;__GI___printf_fp_l",698570
"all;g4run;libc;__strncmp_avx2",84493722
"all;g4run;libc;__memmove_avx_unaligned_erms",96360820
"all;g4run;libc;pthread_mutex_unlock@@GLIBC_2.2.5",1396861
"all;g4run;libc;__memset_avx2_unaligned",61446277
"all;g4run;libc;_int_free",81003605
"all;g4run;libc;cfree@GLIBC_2.2.5",92864578
"all;g4run;libG4tracking",
"all;g4run;libG4tracking;0x000000000002f1de",14662107
"all;g4run;libG4tracking;0x000000000002f7f7",7681962
"all;g4run;libG4tracking;G4AdjointCrossSurfChecker::GoingInOrOutOfaVolumeByExtSurface",17459423
"all;g4run;libG4tracking;G4SteppingManager::InvokeAtRestDoItProcs",929417951
"all;g4run;libG4tracking;G4UserLimits::SetUserMinEkine",10470271
"all;g4run;libG4tracking;0x000000000002f82a",14665431
"all;g4run;libG4tracking;G4Step::InitializeStep",314932524
"all;g4run;libG4tracking;G4UserLimits::SetUserMaxTime",698354
"all;g4run;libG4tracking;G4ProcessManager::EndTracking@plt",1396960
"all;g4run;libG4tracking;G4SteppingManager::SetInitialStep@plt",2095157
"all;g4run;libG4tracking;0x000000000002f82d",25840951
"all;g4run;libG4tracking;0x000000000002f9ae",8380430
"all;g4run;libG4tracking;G4SteppingManager::Stepping",2058163779
"all;g4run;libG4tracking;0x000000000002f9ca",698375
"all;g4run;libG4tracking;G4SteppingManager::SetInitialStep",4057535939
"all;g4run;libG4tracking;0x000000000002fff6",1396955
"all;g4run;libG4tracking;G4Allocator<G4TouchableHistory>::~G4Allocator",112423404
"all;g4run;libG4tracking;G4UserLimits::GetUserMinEkine",4188440
"all;g4run;libG4tracking;0x000000000002f7bd",4887044
"all;g4run;libG4tracking;G4SteppingVerbose::~G4SteppingVerbose",1396742
"all;g4run;libG4tracking;G4SteppingManager::InvokePostStepDoItProcs",5792119657
"all;g4run;libG4tracking;G4UserLimits::SetMaxAllowedStep",169691767
"all;g4run;libG4tracking;0x000000000002f7de",2094531
"all;g4run;libG4tracking;0x000000000002f837",11172517
"all;g4run;libG4tracking;G4SteppingManager::ProcessSecondariesFromParticleChange",536851158
"all;g4run;libG4tracking;0x000000000002f7a4",1394523
"all;g4run;libG4tracking;0x000000000002f7fb",210880875
"all;g4run;libG4tracking;G4UserLimits::SetUserMinRange",9073440
"all;g4run;libG4tracking;0x000000000002f7a6",4888423
"all;g4run;libG4tracking;0x000000000002f7a8",9078735
"all;g4run;libG4tracking;G4SteppingVerbose::VerboseParticleChange",2095124
"all;g4run;libG4tracking;G4VVisManager::GetConcreteInstance@plt",34215808
"all;g4run;libG4tracking;std::_Rb_tree<G4String, std::pair<G4String const, G4AttDef>, std::_Select1st<std::pair<G4String const, G4AttDef> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4AttDef> > >::find@plt",2093363
"all;g4run;libG4tracking;G4UserLimits::GetUserMinRange",8379705
"all;g4run;libG4tracking;G4SteppingManager::GetProcessNumber",70523135
"all;g4run;libG4tracking;G4UserLimits::SetUserMaxTrackLength",8378676
"all;g4run;libG4tracking;G4NoProcess::~G4NoProcess",55166868
"all;g4run;libG4tracking;G4Step::UpdateTrack",37706570
"all;g4run;libG4tracking;G4SteppingManager::InvokeAlongStepDoItProcs",4189359
"all;g4run;libG4tracking;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>",16758856
"all;g4run;libG4tracking;G4SteppingManager::InvokePSDIP",328202459
"all;g4run;libG4tracking;0x000000000002f81c",384738054
"all;g4run;libG4tracking;0x000000000002f1d6",16758881
"all;g4run;libG4tracking;G4UserLimits::GetUserMaxTime",29330020
"all;g4run;libG4tracking;G4AdjointCrossSurfChecker::CrossingOneOfTheRegisteredSurface@plt",2094291
"all;g4run;libG4tracking;0x0000000000043e4b",2793749
"all;g4run;libG4tracking;0x000000000002f83b",14657393
"all;g4run;libG4tracking;0x0000000000043e4f",3490932
"all;g4run;libG4tracking;G4UserLimits::GetUserMaxTrackLength",9776892
"all;g4run;libG4tracking;0x000000000002f83f",30024888
"all;g4run;libG4tracking;std::vector<G4String, std::allocator<G4String> >::_M_realloc_insert<char const*&>",182610211
"all;g4run;libG4tracking;0x000000000002f7aa",698317
"all;g4run;libG4tracking;G4StepPoint::operator=@plt",2793508
"all;g4run;libG4tracking;0x000000000002f7ac",697823
"all;g4run;libG4tracking;G4SteppingVerbose::AlongStepDoItOneByOne",3616224728
"all;g4run;libG4tracking;0x000000000002f7ad",22346265
"all;g4run;libG4tracking;G4TrajectoryPoint::G4TrajectoryPoint@plt",19552434
"all;g4run;libG4tracking;0x000000000002ef97",3491788
"all;g4run;libG4tracking;G4SteppingVerbose::PostStepDoItOneByOne",3449658547
"all;g4run;libG4tracking;G4Region::GetRegionalSteppingAction@plt",2793954
"all;g4run;libG4tracking;G4SteppingManager::GetProcessNumber@plt",8379773
"all;g4run;libG4tracking;0x000000000002f809",524413351
"all;g4run;libG4tracking;0x000000000002f7cd",1396038
"all;g4run;libG4tracking;0x000000000002f826",6982124
"all;g4run;libG4tracking;std::_Rb_tree<G4String, std::pair<G4String const, G4AttDef>, std::_Select1st<std::pair<G4String const, G4AttDef> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4AttDef> > >::_M_get_insert_unique_pos@plt",2094922
"all;g4run;libG4tracking;0x000000000002f9a9",4886495
"all;g4run;libG4tracking;G4CountedObject<G4VTouchable>::Release@plt",3491487
"all;g4run;libG4tracking;G4UserSteppingAction::UserSteppingAction",195525132
"all;g4run;libG4tracking;G4PropagatorInField::SetTrajectoryFilter@plt",4190772
"all;g4run;libG4tracking;G4AttValue::G4AttValue@plt",9076828
"all;g4run;libG4tracking;std::vector<G4Track*, std::allocator<G4Track*> >::_M_realloc_insert<G4Track* const&>",9776897
"all;g4run;libG4tracking;G4Track::~G4Track@plt",3489582
"all;g4run;libG4physicslists",
"all;g4run;libG4physicslists;G4ProtonBuilder::G4ProtonBuilder",697598
"all;g4run;libG4physicslists;G4PrecoProtonBuilder::G4PrecoProtonBuilder",698388
"all;g4run;libG4global",
"all;g4run;libG4global;G4PhysicsVector::Store@plt",1396101
"all;g4run;libG4global;0x0000000000054995",2793737
"all;g4run;libG4global;G4ProfilerConfig<4ul>::GetPersistent<1>@plt",18156338
"all;g4run;libG4global;G4PhysicsVector::Retrieve",199111641
"all;g4run;libG4global;0x00000000000564c8",3491127
"all;g4run;libG4global;0x0000000000054997",5586385
"all;g4run;libG4global;G4Physics2DVector::Retrieve",32818456
"all;g4run;libG4global;strlen@plt",1396364
"all;g4run;libG4global;G4Physics2DVector::CopyData",103347038
"all;g4run;libG4global;G4PhysicsLogVector::G4PhysicsLogVector",16758128
"all;g4run;libG4global;G4JTPolynomialSolver::QuadraticPolynomialIteration",2793328
"all;g4run;libG4global;G4Pow::G4Pow",136851761
"all;g4run;libG4global;0x00000000000564ce",4887920
"all;g4run;libG4global;G4Physics2DVector::PutVectors",86585329
"all;g4run;libG4global;0x000000000005499e",9077120
"all;g4run;libG4global;G4PhysicsModelCatalog::Initialize",41891712
"all;g4run;libG4global;G4JTPolynomialSolver::FindRoots",4887733
"all;g4run;libG4global;G4ThreadLocalSingleton<G4GeometryTolerance>::G4ThreadLocalSingleton",13267015
"all;g4run;libG4global;G4ProfilerConfig<1ul>::GetPersistent<1>",56562424
"all;g4run;libG4global;G4Physics2DVector::BicubicInterpolation",273725607
"all;g4run;g4run",
"all;g4run;g4run;CMSMagneticField::GetFieldValue",6488049944
"all;g4run;g4run;CLHEP::MixMaxRng::iterate@plt",698393
"all;g4run;g4run;ffunkti",143136698
"all;g4run;g4run;CLHEP::MixMaxRng::flat",698350
"all;g4run;g4run;_init",697695
"all;g4run;libG4event",
"all;g4run;libG4event;0x0000000000068db1",698304
"all;g4run;libG4event;0x0000000000068e48",2094401
"all;g4run;libG4event;0x0000000000069d4d",1396876
"all;g4run;libG4event;0x0000000000068db6",7682114
"all;g4run;libG4event;0x0000000000068db8",12570553
"all;g4run;libG4event;0x0000000000069d6b",1396902
"all;g4run;libG4event;0x0000000000068eab",4887429
"all;g4run;libG4event;0x0000000000068d2f",2095596
"all;g4run;libG4event;0x0000000000069d6f",5585892
"all;g4run;libG4event;0x0000000000069d8a",698203
"all;g4run;libG4event;0x0000000000069d53",2093984
"all;g4run;libG4event;0x000000000006a4b0",56560268
"all;g4run;libG4event;0x0000000000069d73",53770407
"all;g4run;libG4event;std::vector<G4SingleParticleSource::part_prop_t*, std::allocator<G4SingleParticleSource::part_prop_t*> >::_M_fill_insert",96356264
"all;g4run;libG4event;0x0000000000069d75",1396940
"all;g4run;libG4event;0x0000000000068e2c",136861328
"all;g4run;libG4event;0x0000000000068d70",53062707
"all;g4run;libG4event;0x0000000000068d71",11170042
"all;g4run;libG4event;0x0000000000068d78",6984241
"all;g4run;libG4event;0x0000000000068e30",698463
"all;g4run;libG4event;G4GeneralParticleSource::ListSource",424874170
"all;g4run;libG4event;G4GeneralParticleSourceMessenger::GetInstance",2095312
"all;g4run;libG4event;0x0000000000069d5a",6285265
"all;g4run;libG4event;G4GeneralParticleSourceData::~G4GeneralParticleSourceData",226236649
"all;g4run;libG4event;0x000000000006a495",3491519
"all;g4run;libG4event;0x0000000000069d7e",4888493
"all;g4run;libG4event;0x0000000000069d40",14663356
"all;g4run;libG4event;0x0000000000069d41",2094380
"all;g4run;libG4event;0x000000000006a499",41206382
"all;g4run;libG4event;0x0000000000069d44",4887396
"all;g4run;libG4event;0x0000000000069d46",698440
"all;g4run;libG4event;0x0000000000068d20",119413235
"all;g4run;libG4event;0x0000000000069d48",698423
"all;g4run;libG4event;0x0000000000068d24",46089408
"all;g4run;libG4event;0x0000000000068ea2",7681924
"all;g4run;libG4event;0x0000000000068d7d",5587204
"all;g4run;libG4event;0x0000000000068ea6",1396961
"all;g4run;libG4event;0x0000000000068d28",104742596
"all;g4run;libG4event;0x000000000006a4a7",203197716
"all;g4run;libG4event;0x0000000000069d83",1396463
"all;g4run;libG4event;0x0000000000069dac",4887686
"all;g4run;libG4event;0x000000000006a41d",7680701
"all;g4run;libG4event;G4GeneralParticleSourceMessenger::SetNewValue",2793547
"all;g4run;libG4event;0x0000000000069d87",16758447
"all;g4run;libG4event;0x0000000000068e3c",4189424
"all;g4run;libG4event;0x000000000006a400",698325
"all;g4run;libG4event;0x0000000000068d83",5585168
"all;g4run;libG4event;G4IonTable::GetIon@plt",9775990
"all;g4run;libG4event;0x0000000000069db3",1396549
"all;g4run;libG4event;0x0000000000068e24",13964201
"all;g4run;libG4event;std::unique_lock<std::mutex>::unlock",209474305
"all;g4run;libG4event;0x0000000000069db6",4889141
"all;g4run;libG4event;0x0000000000068e28",6983608
