id,cycles,instructions,stalled_cycles_frontend,stalled_cycles_backend
"all",,,,
"all;g4run",,,,
"all;g4run;libG4run",,,,
"all;g4run;libG4run;G4WorkerRunManager::GenerateEvent",0,0,0,0
"all;g4run;libG4run;G4ExceptionHandler::DumpTrackInfo",0,0,0,0
"all;g4run;libG4run;G4MatScanMessenger::GetCurrentValue",0,0,0,0
"all;g4run;libG4run;G4PhysicsListHelper::DumpOrdingParameterTable",0,0,0,0
"all;g4run;libc",,,,
"all;g4run;libc;__strcmp_avx2",430987655,879006313,45617669,27796423
"all;g4run;libc;__vfprintf_internal",0,0,150864,0
"all;g4run;libc;__GI_____strtod_l_internal",3491928,0,0,0
"all;g4run;libc;start_thread",0,0,0,0
"all;g4run;libc;clone3",0,0,0,0
"all;g4run;libc;_int_malloc",52353438,43446328,2065499,18866806
"all;g4run;libc;getenv",122159289,146213278,6500062,12094577
"all;g4run;libc;malloc",157056280,174454505,9760527,25232568
"all;g4run;libc;__memmove_avx_unaligned",171040144,247598438,4698025,36190842
"all;g4run;libc;__GI___pthread_mutex_unlock_usercnt",0,5754599,0,741273
"all;g4run;libc;__strlen_avx2",24436495,22719748,995873,3477449
"all;g4run;libc;pthread_mutex_lock@@GLIBC_2.2.5",3488713,0,341223,774482
"all;g4run;libc;@plt",0,0,0,1179904
"all;g4run;libc;__memcmp_avx2_movbe",24434856,15854252,1609184,1943009
"all;g4run;libc;__GI___printf_fp_l",3489997,0,65947,0
"all;g4run;libc;__strncmp_avx2",66320147,118599897,3630928,13627288
"all;g4run;libc;__memmove_avx_unaligned_erms",66320226,133860268,3921203,7692486
"all;g4run;libc;__vsnprintf_internal",0,0,0,0
"all;g4run;libc;__memset_avx2_unaligned",31415491,64605547,1919144,6316094
"all;g4run;libc;_int_free",97729609,62649509,4295837,11308549
"all;g4run;libc;cfree@GLIBC_2.2.5",111690707,57253573,6291599,13947502
"all;g4run;libc;unlink_chunk.constprop.0",3491450,0,0,0
"all;g4run;libG4tracking",,,,
"all;g4run;libG4tracking;0x000000000002f1de",10468251,17259712,185006,0
"all;g4run;libG4tracking;0x000000000002f7f7",3489907,11389578,0,2125669
"all;g4run;libG4tracking;0x00007f1e4a24e7de",0,0,0,0
"all;g4run;libG4tracking;0x00007f1e4a24e837",0,0,0,0
"all;g4run;libG4tracking;0x00007f1e4a24e7a1",0,0,0,0
"all;g4run;libG4tracking;0x00007f1e4a24e7fb",0,0,0,0
"all;g4run;libG4tracking;0x00007f1e4a24e7a4",0,0,0,0
"all;g4run;libG4tracking;0x00007f1e4a24eff6",0,0,0,0
"all;g4run;libG4tracking;0x00007f1e4a24e7a6",0,0,0,0
"all;g4run;libG4tracking;0x00007f1e4a24e7a8",0,0,0,0
"all;g4run;libG4tracking;G4AdjointCrossSurfChecker::GoingInOrOutOfaVolumeByExtSurface",24431725,33521912,76758,7235681
"all;g4run;libG4tracking;G4SteppingManager::InvokeAtRestDoItProcs",854805577,1509663340,19051206,142413136
"all;g4run;libG4tracking;G4UserLimits::SetUserMinEkine",3490747,11540294,95183,3282122
"all;g4run;libG4tracking;0x000000000002f82a",20945375,45144508,431300,3019021
"all;g4run;libG4tracking;G4Step::InitializeStep",231505167,608090600,4340221,65087932
"all;g4run;libG4tracking;G4SteppingManager::SetInitialStep@plt",6981155,0,98156,566847
"all;g4run;libG4tracking;0x000000000002f82d",31417295,47662269,830822,5298227
"all;g4run;libG4tracking;0x00007f1e4a24e7c7",0,0,0,0
"all;g4run;libG4tracking;0x000000000002f9ae",17451866,5691099,163904,2147974
"all;g4run;libG4tracking;G4SteppingManager::Stepping",2031355449,3628997432,46113262,404250997
"all;g4run;libG4tracking;0x000000000002f9ca",3491814,0,0,587515
"all;g4run;libG4tracking;G4SteppingManager::SetInitialStep",4076390658,6751390564,92237068,742654284
"all;g4run;libG4tracking;0x000000000002fff6",0,0,97979,0
"all;g4run;libG4tracking;G4Allocator<G4TouchableHistory>::~G4Allocator",90744699,176472170,1263419,29996364
"all;g4run;libG4tracking;0x000000000002f7bd",3491686,0,0,1063988
"all;g4run;libG4tracking;G4SteppingManager::InvokePostStepDoItProcs",5845579743,8602450170,149828846,1117533461
"all;g4run;libG4tracking;G4UserLimits::SetMaxAllowedStep",178005919,303721977,2359319,40700383
"all;g4run;libG4tracking;0x000000000002f7de",3491943,0,0,0
"all;g4run;libG4tracking;0x000000000002f7a1",3490828,5058074,103552,0
"all;g4run;libG4tracking;0x000000000002f837",13956474,5328052,190387,3186086
"all;g4run;libG4tracking;G4SteppingManager::ProcessSecondariesFromParticleChange",492145861,811829932,12015040,101656312
"all;g4run;libG4tracking;0x00007f1e4a24e81c",0,0,0,0
"all;g4run;libG4tracking;0x000000000002f7a4",0,5632706,181283,0
"all;g4run;libG4tracking;0x000000000002f7fb",202428720,411973679,3780821,53096196
"all;g4run;libG4tracking;0x00007f1e4a24e1d6",0,0,0,0
"all;g4run;libG4tracking;G4UserLimits::SetUserMinRange",10475469,33367657,87904,3572454
"all;g4run;libG4tracking;0x00007f1e4a24f16f",0,0,0,0
"all;g4run;libG4tracking;0x000000000002f7a6",3491864,22666474,0,692269
"all;g4run;libG4tracking;0x000000000002f7a8",10473075,17023320,73480,2866977
"all;g4run;libG4tracking;G4SteppingVerbose::VerboseParticleChange",3489235,0,90171,0
"all;g4run;libG4tracking;0x00007f1e4a24e83b",0,0,0,0
"all;g4run;libG4tracking;0x00007f1e4a24e83f",0,0,0,0
"all;g4run;libG4tracking;0x000000000002f7c7",0,5377277,0,0
"all;g4run;libG4tracking;0x00007f1e4a24e7aa",0,0,0,0
"all;g4run;libG4tracking;G4VVisManager::GetConcreteInstance@plt",48866988,69058998,531557,5635554
"all;g4run;libG4tracking;0x00007f1e4a24effd",0,0,0,0
"all;g4run;libG4tracking;0x00007f1e4a24e7ad",0,0,0,0
"all;g4run;libG4tracking;0x00007f1e4a24df97",0,0,0,0
"all;g4run;libG4tracking;std::_Rb_tree<G4String, std::pair<G4String const, G4AttDef>, std::_Select1st<std::pair<G4String const, G4AttDef> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4AttDef> > >::find@plt",0,5688694,142474,1371650
"all;g4run;libG4tracking;G4SteppingManager::GetProcessNumber",73301003,124046311,3444759,14396846
"all;g4run;libG4tracking;G4UserLimits::GetUserMinRange",13956618,22087367,90058,2696043
"all;g4run;libG4tracking;0x00007f1e4a24e809",0,0,0,0
"all;g4run;libG4tracking;G4UserLimits::SetUserMaxTrackLength",6980073,5727416,0,3140143
"all;g4run;libG4tracking;G4NoProcess::~G4NoProcess",41881792,113090727,1731568,14168139
"all;g4run;libG4tracking;0x00007f1e4a262e4b",0,0,0,0
"all;g4run;libG4tracking;0x00007f1e4a24e7cd",0,0,0,0
"all;g4run;libG4tracking;G4Step::UpdateTrack",34903220,39306854,1231874,11206519
"all;g4run;libG4tracking;0x00007f1e4a24e826",0,0,0,0
"all;g4run;libG4tracking;0x00007f1e4a262e4f",0,0,0,0
"all;g4run;libG4tracking;G4SteppingManager::InvokeAlongStepDoItProcs",6981990,5449836,72694,910471
"all;g4run;libG4tracking;0x000000000003016f",3491964,0,0,0
"all;g4run;libG4tracking;0x00007f1e4a24e9a9",0,0,0,0
"all;g4run;libG4tracking;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>",17455387,56276749,260569,5362153
"all;g4run;libG4tracking;G4SteppingManager::InvokePSDIP",317604537,493560840,8609201,44129580
"all;g4run;libG4tracking;0x00007f1e4a24e7ed",0,0,0,0
"all;g4run;libG4tracking;0x000000000002fffd",0,0,257925,0
"all;g4run;libG4tracking;0x000000000002f81c",423417478,593482576,4895003,88582393
"all;g4run;libG4tracking;0x000000000002f1d6",6980957,33835629,299491,1391378
"all;g4run;libG4tracking;G4UserLimits::GetUserMaxTime",27926918,50794238,262959,4324586
"all;g4run;libG4tracking;0x0000000000043e4b",0,0,94159,0
"all;g4run;libG4tracking;G4AdjointCrossSurfChecker::CrossingOneOfTheRegisteredSurface@plt",3491921,0,0,0
"all;g4run;libG4tracking;0x000000000002f83b",3491321,5225244,66428,4234945
"all;g4run;libG4tracking;0x0000000000043e4f",0,5539430,0,0
"all;g4run;libG4tracking;G4UserLimits::GetUserMaxTrackLength",6982539,11329145,70583,2061595
"all;g4run;libG4tracking;0x000000000002f83f",17448614,29059379,409527,5602068
"all;g4run;libG4tracking;std::vector<G4String, std::allocator<G4String> >::_M_realloc_insert<char const*&>",230373527,288644463,6388463,35775634
"all;g4run;libG4tracking;0x000000000002f7aa",0,0,0,694320
"all;g4run;libG4tracking;std::_Rb_tree_insert_and_rebalance@plt",3488894,0,0,0
"all;g4run;libG4tracking;G4StepPoint::operator=@plt",0,3695683,0,0
"all;g4run;libG4tracking;G4SteppingVerbose::AlongStepDoItOneByOne",3567797577,5805006637,75309737,736314851
"all;g4run;libG4tracking;0x00007f1e4a24e1de",0,0,0,0
"all;g4run;libG4tracking;0x000000000002f7ad",13965661,23173082,435396,4537232
"all;g4run;libG4tracking;G4TrajectoryPoint::G4TrajectoryPoint@plt",34893438,33968124,672052,5766816
"all;g4run;libG4tracking;0x000000000002ef97",3488607,0,0,855150
"all;g4run;libG4tracking;G4SteppingVerbose::PostStepDoItOneByOne",3577820583,5486165316,64553385,784947552
"all;g4run;libG4tracking;0x00007f1e4a24e7f7",0,0,0,0
"all;g4run;libG4tracking;G4SteppingManager::GetProcessNumber@plt",3488908,5661837,78386,1488896
"all;g4run;libG4tracking;G4Region::GetRegionalSteppingAction@plt",13961867,11138341,72946,1549868
"all;g4run;libG4tracking;0x000000000002f809",482895365,883316879,8382642,107834233
"all;g4run;libG4tracking;0x000000000002f7cd",0,0,69884,0
"all;g4run;libG4tracking;0x000000000002f826",6979101,17457528,178672,605977
"all;g4run;libG4tracking;std::_Rb_tree<G4String, std::pair<G4String const, G4AttDef>, std::_Select1st<std::pair<G4String const, G4AttDef> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4AttDef> > >::_M_get_insert_unique_pos@plt",0,5367170,137156,0
"all;g4run;libG4tracking;0x000000000002f9a9",3485378,11247411,93186,1472922
"all;g4run;libG4tracking;G4CountedObject<G4VTouchable>::Release@plt",0,0,0,657412
"all;g4run;libG4tracking;0x000000000002f7ed",6981240,0,73355,601659
"all;g4run;libG4tracking;0x00007f1e4a24e82a",0,0,0,0
"all;g4run;libG4tracking;G4UserSteppingAction::UserSteppingAction",191957637,343602993,3311006,25970150
"all;g4run;libG4tracking;0x00007f1e4a24e82d",0,0,0,0
"all;g4run;libG4tracking;G4AttValue::G4AttValue@plt",3490919,0,77350,781527
"all;g4run;libG4tracking;G4PropagatorInField::SetTrajectoryFilter@plt",6980995,16914671,0,870494
"all;g4run;libG4tracking;std::vector<G4Track*, std::allocator<G4Track*> >::_M_realloc_insert<G4Track* const&>",31459474,6074282,711586,878083
"all;g4run;libG4tracking;0x00007f1e4a24e9ae",0,0,0,0
"all;g4run;libG4tracking;G4Track::~G4Track@plt",0,5633254,0,0
"all;g4run;libG4tracking;0x00007f1e4a24e9ca",0,0,0,0
"all;g4run;libG4tracking;0x00007f1e4a24e7bd",0,0,0,0
"all;g4run;[unknown]",,,,
"all;g4run;[unknown];0xe878d79a01149800",0,0,0,0
"all;g4run;[unknown];0x3f56ea73981580ba",0,0,0,0
"all;g4run;[unknown];0x4002cc0a5d2e388e",0,0,0,0
"all;g4run;[unknown];0x3e012e0be826d695",0,0,0,0
