id,cycles,faults,minor_faults,major_faults,alignment_faults
"all",,,,,
"all;g4run",,,,,
"all;g4run;libG4persistency",,,,,
"all;g4run;libG4persistency;G4STRead::PhysvolRead",2095338,0,0,0,0
"all;g4run;libc",,,,,
"all;g4run;libc;__strcmp_avx2",291022683,0,0,0,0
"all;g4run;libc;_int_malloc",26526401,5,5,0,0
"all;g4run;libc;getenv",66311114,0,0,0,0
"all;g4run;libc;malloc",110250387,0,0,0,0
"all;g4run;libc;__memmove_avx_unaligned",415530936,0,0,0,0
"all;g4run;libc;__GI___pthread_mutex_unlock_usercnt",1393613,0,0,0,0
"all;g4run;libc;__strlen_avx2",8371100,0,0,0,0
"all;g4run;libc;sysmalloc",0,2,2,0,0
"all;g4run;libc;pthread_mutex_lock@@GLIBC_2.2.5",2793172,0,0,0,0
"all;g4run;libc;__memcmp_avx2_movbe",17442298,0,0,0,0
"all;g4run;libc;__strncmp_avx2",40479719,0,0,0,0
"all;g4run;libc;__memmove_avx_unaligned_erms",55832931,0,0,0,0
"all;g4run;libc;__memset_avx2_unaligned",89341478,0,0,0,0
"all;g4run;libc;_int_free",36280714,0,0,0,0
"all;g4run;libc;cfree@GLIBC_2.2.5",50934826,0,0,0,0
"all;g4run;libc;unlink_chunk.constprop.0",698459,0,0,0,0
"all;g4run;libG4tracking",,,,,
"all;g4run;libG4tracking;0x000000000002f1de",17445936,0,0,0,0
"all;g4run;libG4tracking;0x000000000002f7f7",4886157,0,0,0,0
"all;g4run;libG4tracking;0x000000000003017f",697566,0,0,0,0
"all;g4run;libG4tracking;G4AdjointCrossSurfChecker::GoingInOrOutOfaVolumeByExtSurface",19547235,0,0,0,0
"all;g4run;libG4tracking;G4SteppingManager::InvokeAtRestDoItProcs",1293297705,0,0,0,0
"all;g4run;libG4tracking;G4UserLimits::SetUserMinEkine",31402211,0,0,0,0
"all;g4run;libG4tracking;0x000000000002f82a",30015452,0,0,0,0
"all;g4run;libG4tracking;G4Step::InitializeStep",354837690,0,0,0,0
"all;g4run;libG4tracking;G4UserLimits::SetUserMaxTime",1396772,0,0,0,0
"all;g4run;libG4tracking;G4ProcessManager::EndTracking@plt",2789159,0,0,0,0
"all;g4run;libG4tracking;G4SteppingManager::SetInitialStep@plt",4884201,0,0,0,0
"all;g4run;libG4tracking;0x000000000002f82d",37694287,0,0,0,0
"all;g4run;libG4tracking;0x000000000002f9ae",18826620,0,0,0,0
"all;g4run;libG4tracking;G4SteppingManager::Stepping",2512430035,0,0,0,0
"all;g4run;libG4tracking;0x000000000002f9ca",698485,0,0,0,0
"all;g4run;libG4tracking;G4SteppingManager::SetInitialStep",5004085817,0,0,0,0
"all;g4run;libG4tracking;0x000000000002fff6",1394567,0,0,0,0
"all;g4run;libG4tracking;G4Allocator<G4TouchableHistory>::~G4Allocator",131923803,0,0,0,0
"all;g4run;libG4tracking;G4UserLimits::GetUserMinEkine",2095147,0,0,0,0
"all;g4run;libG4tracking;0x000000000002f7bd",2793677,0,0,0,0
"all;g4run;libG4tracking;G4SteppingVerbose::~G4SteppingVerbose",697713,0,0,0,0
"all;g4run;libG4tracking;G4SteppingManager::InvokePostStepDoItProcs",7164822069,0,0,0,0
"all;g4run;libG4tracking;G4UserLimits::SetMaxAllowedStep",226270089,0,0,0,0
"all;g4run;libG4tracking;0x000000000002f7de",698411,0,0,0,0
"all;g4run;libG4tracking;0x000000000002f837",18841863,0,0,0,0
"all;g4run;libG4tracking;G4SteppingManager::ProcessSecondariesFromParticleChange",871973881,0,0,0,0
"all;g4run;libG4tracking;0x000000000002f7a4",3486162,0,0,0,0
"all;g4run;libG4tracking;0x000000000002f7fb",215649371,0,0,0,0
"all;g4run;libG4tracking;G4UserLimits::SetUserMinRange",20928925,0,0,0,0
"all;g4run;libG4tracking;0x000000000002f7a6",698377,0,0,0,0
"all;g4run;libG4tracking;0x000000000002f7a8",8376608,0,0,0,0
"all;g4run;libG4tracking;G4SteppingVerbose::VerboseParticleChange",3489769,0,0,0,0
"all;g4run;libG4tracking;0x000000000002f7c7",1395659,0,0,0,0
"all;g4run;libG4tracking;G4VVisManager::GetConcreteInstance@plt",53031257,0,0,0,0
"all;g4run;libG4tracking;std::_Rb_tree<G4String, std::pair<G4String const, G4AttDef>, std::_Select1st<std::pair<G4String const, G4AttDef> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4AttDef> > >::find@plt",6977913,0,0,0,0
"all;g4run;libG4tracking;G4UserLimits::GetUserMinRange",11174087,0,0,0,0
"all;g4run;libG4tracking;G4SteppingManager::GetProcessNumber",97024644,0,0,0,0
"all;g4run;libG4tracking;G4UserLimits::SetUserMaxTrackLength",17443907,0,0,0,0
"all;g4run;libG4tracking;G4NoProcess::~G4NoProcess",81668738,0,0,0,0
"all;g4run;libG4tracking;G4Step::UpdateTrack",60728702,0,0,0,0
"all;g4run;libG4tracking;G4SteppingManager::InvokeAlongStepDoItProcs",8377874,0,0,0,0
"all;g4run;libG4tracking;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>",30751578,0,0,0,0
"all;g4run;libG4tracking;G4SteppingManager::InvokePSDIP",307098467,0,0,0,0
"all;g4run;libG4tracking;0x000000000002fffd",2792428,0,0,0,0
"all;g4run;libG4tracking;0x000000000002f81c",531123930,0,0,0,0
"all;g4run;libG4tracking;0x000000000002f1d6",7678437,0,0,0,0
"all;g4run;libG4tracking;G4UserLimits::GetUserMaxTime",40482204,0,0,0,0
"all;g4run;libG4tracking;0x0000000000043e4b",2792828,0,0,0,0
"all;g4run;libG4tracking;G4AdjointCrossSurfChecker::CrossingOneOfTheRegisteredSurface@plt",6281818,0,0,0,0
"all;g4run;libG4tracking;0x000000000002f83b",13960499,0,0,0,0
"all;g4run;libG4tracking;0x0000000000043e4f",2094493,0,0,0,0
"all;g4run;libG4tracking;G4UserLimits::GetUserMaxTrackLength",16745609,0,0,0,0
"all;g4run;libG4tracking;0x000000000002f83f",21628555,0,0,0,0
"all;g4run;libG4tracking;std::vector<G4String, std::allocator<G4String> >::_M_realloc_insert<char const*&>",284786790,0,0,0,0
"all;g4run;libG4tracking;0x000000000002f7aa",698435,0,0,0,0
"all;g4run;libG4tracking;std::_Rb_tree_insert_and_rebalance@plt",698470,0,0,0,0
"all;g4run;libG4tracking;G4StepPoint::operator=@plt",4188631,0,0,0,0
"all;g4run;libG4tracking;G4SteppingVerbose::AlongStepDoItOneByOne",4400318894,0,0,0,0
"all;g4run;libG4tracking;0x000000000002f7ad",38389258,0,0,0,0
"all;g4run;libG4tracking;G4TrajectoryPoint::G4TrajectoryPoint@plt",28628558,0,0,0,0
"all;g4run;libG4tracking;0x000000000002ef97",3489700,0,0,0,0
"all;g4run;libG4tracking;G4SteppingVerbose::PostStepDoItOneByOne",4541464203,0,0,0,0
"all;g4run;libG4tracking;G4Region::GetRegionalSteppingAction@plt",6285511,0,0,0,0
"all;g4run;libG4tracking;G4SteppingManager::GetProcessNumber@plt",11864971,0,0,0,0
"all;g4run;libG4tracking;G4RichTrajectoryPoint::~G4RichTrajectoryPoint@plt",697996,0,0,0,0
"all;g4run;libG4tracking;0x000000000002f809",619070873,0,0,0,0
"all;g4run;libG4tracking;0x000000000002f7cd",1396810,0,0,0,0
"all;g4run;libG4tracking;0x000000000002f826",14651451,0,0,0,0
"all;g4run;libG4tracking;std::_Rb_tree<G4String, std::pair<G4String const, G4AttDef>, std::_Select1st<std::pair<G4String const, G4AttDef> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4AttDef> > >::_M_get_insert_unique_pos@plt",2791962,0,0,0,0
"all;g4run;libG4tracking;0x000000000002f9a9",11858519,0,0,0,0
"all;g4run;libG4tracking;0x000000000002f7ed",2789190,0,0,0,0
"all;g4run;libG4tracking;G4UserSteppingAction::UserSteppingAction",210114122,0,0,0,0
"all;g4run;libG4tracking;G4PropagatorInField::SetTrajectoryFilter@plt",7680220,0,0,0,0
"all;g4run;libG4tracking;G4AttValue::G4AttValue@plt",9769175,0,0,0,0
"all;g4run;libG4tracking;std::vector<G4Track*, std::allocator<G4Track*> >::_M_realloc_insert<G4Track* const&>",19666678,0,0,0,0
"all;g4run;libG4tracking;G4Track::~G4Track@plt",698439,0,0,0,0
"all;g4run;libG4global",,,,,
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeNewEstimate",697607,0,0,0,0
"all;g4run;libG4global;G4SimpleIntegration::MidPoint",698397,0,0,0,0
"all;g4run;libG4global;0x0000000000054995",4187683,0,0,0,0
"all;g4run;libG4global;G4JTPolynomialSolver::Quadratic",13958318,0,0,0,0
"all;g4run;libG4global;G4ProfilerConfig<4ul>::GetPersistent<1>@plt",27916251,0,0,0,0
"all;g4run;libG4global;G4PhysicsVector::Retrieve",384565943,0,0,0,0
"all;g4run;libG4global;0x00000000000564c8",3486854,0,0,0,0
"all;g4run;libG4global;0x0000000000054997",12969040,0,0,0,0
"all;g4run;libG4global;G4Physics2DVector::Retrieve",27927392,0,0,0,0
"all;g4run;libG4global;strlen@plt",698451,0,0,0,0
"all;g4run;libG4global;G4SimpleIntegration::Gauss",2089040,0,0,0,0
"all;g4run;libG4global;G4Physics2DVector::CopyData",204491011,0,0,0,0
"all;g4run;libG4global;0x0000000000038eda",698350,0,0,0,0
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeFixedShiftPolynomial",4882305,0,0,0,0
"all;g4run;libG4global;0x00000000000564cc",2087530,0,0,0,0
"all;g4run;libG4global;G4PhysicsLogVector::G4PhysicsLogVector",13960585,0,0,0,0
"all;g4run;libG4global;G4JTPolynomialSolver::QuadraticPolynomialIteration",14073399,0,0,0,0
"all;g4run;libG4global;G4Pow::G4Pow",62125383,0,0,0,0
"all;g4run;libG4global;0x00000000000564ce",1395021,0,0,0,0
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeScalarFactors",2788953,0,0,0,0
"all;g4run;libG4global;G4Physics2DVector::PutVectors",50956866,0,0,0,0
"all;g4run;libG4global;G4SimpleIntegration::G4SimpleIntegration",698333,0,0,0,0
"all;g4run;libG4global;0x000000000005499e",17449294,0,0,0,0
"all;g4run;libG4global;G4PhysicsModelCatalog::Initialize",24420891,0,0,0,0
"all;g4run;libG4global;std::vector<double, std::allocator<double> >::_M_fill_assign",698118,0,0,0,0
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeNextPolynomial",2091054,0,0,0,0
"all;g4run;libG4global;G4JTPolynomialSolver::FindRoots",23018392,0,0,0,0
"all;g4run;libG4global;G4ThreadLocalSingleton<G4GeometryTolerance>::G4ThreadLocalSingleton",44671045,0,0,0,0
"all;g4run;libG4global;G4JTPolynomialSolver::RealPolynomialIteration",1394875,0,0,0,0
"all;g4run;libG4global;G4ProfilerConfig<1ul>::GetPersistent<1>",69788521,0,0,0,0
"all;g4run;libG4global;G4Physics2DVector::BicubicInterpolation",495551826,0,0,0,0
"all;g4run;g4run",,,,,
"all;g4run;g4run;CMSMagneticField::GetFieldValue",19387040083,0,0,0,0
"all;g4run;g4run;ffunkti",1531783530,0,0,0,0
"all;g4run;g4run;CLHEP::MixMaxRng::flat",1393852,0,0,0,0
"all;g4run;libstdc++",,,,,
"all;g4run;libstdc++;operator delete@plt",2093560,0,0,0,0
"all;g4run;libstdc++;__cxxabiv1::__si_class_type_info::__do_dyncast",344766400,0,0,0,0
"all;g4run;libstdc++;std::_Rb_tree_decrement",695859,0,0,0,0
"all;g4run;libstdc++;malloc@plt",698528,0,0,0,0
