id,cycles,instructions,ls_dc_accesses,ls_dispatch_ld_dispatch,ls_dispatch_store_dispatch,ls_tlb_flush
"all",,,,,,
"all;g4run",,,,,,
"all;g4run;libc",,,,,,
"all;g4run;libc;__strcmp_avx2",491894728,683846993,410899815,235726770,137249135,0
"all;g4run;libc;malloc_consolidate",1396817,0,0,0,235521,0
"all;g4run;libc;__memset_avx2_unaligned_erms",697966,0,623753,0,391853,0
"all;g4run;libc;_int_malloc",51629586,58590515,26184342,16857805,5639399,0
"all;g4run;libc;getenv",147228481,130187184,89732296,55686231,34674285,0
"all;g4run;libc;malloc",163959266,198268959,101059168,68381372,28409662,0
"all;g4run;libc;__memmove_avx_unaligned",201625787,307611564,179260954,140309894,59534479,0
"all;g4run;libc;__GI___pthread_mutex_unlock_usercnt",2792324,5773135,725641,971494,689697,0
"all;g4run;libc;__strlen_avx2",19790962,30157482,14518461,10098383,6976386,0
"all;g4run;libc;@plt",698412,0,2689049,517471,662768,0
"all;g4run;libc;pthread_mutex_lock@@GLIBC_2.2.5",4182648,3266167,2764318,1517516,1323708,0
"all;g4run;libc;__memcmp_avx2_movbe",25813251,18346325,9342844,6703014,3841390,0
"all;g4run;libc;__GI___printf_fp_l",698484,0,0,0,0,0
"all;g4run;libc;__strncmp_avx2",81639857,82426853,51255257,37760213,22249843,0
"all;g4run;libc;__memmove_avx_unaligned_erms",87223062,137946407,83740858,59794438,40838305,0
"all;g4run;libc;pthread_mutex_unlock@@GLIBC_2.2.5",698411,1102778,0,951726,220310,0
"all;g4run;libc;__memset_avx2_unaligned",71160961,102363678,56482535,49644509,18877854,0
"all;g4run;libc;_int_free",70450966,63381910,37156241,26582486,20473465,0
"all;g4run;libc;cfree@GLIBC_2.2.5",93489224,101040529,56465952,43188629,27598204,0
"all;g4run;libc;unlink_chunk.constprop.0",698180,0,776404,925800,459573,0
"all;g4run;libG4tracking",,,,,,
"all;g4run;libG4tracking;0x000000000002f1de",17435033,30219180,21872166,12318218,5551866,0
"all;g4run;libG4tracking;0x000000000002f7f7",7681819,7610856,7540735,3469946,2469130,0
"all;g4run;libG4tracking;G4AdjointCrossSurfChecker::GoingInOrOutOfaVolumeByExtSurface",23720107,36427024,25916629,20291148,7842590,0
"all;g4run;libG4tracking;G4SteppingManager::InvokeAtRestDoItProcs",1301207559,2253020164,1326839999,966929979,396377799,0
"all;g4run;libG4tracking;G4UserLimits::SetUserMinEkine",18843132,30159602,17396180,10528688,6602127,0
"all;g4run;libG4tracking;0x000000000002f82a",25117106,30127843,27675397,14816530,6779099,0
"all;g4run;libG4tracking;G4Step::InitializeStep",369723603,593498460,369357279,268602005,112406967,0
"all;g4run;libG4tracking;G4UserLimits::SetUserMaxTime",0,2218802,1371470,1443939,188159,0
"all;g4run;libG4tracking;G4ProcessManager::EndTracking@plt",1392294,3244637,2031900,0,463893,0
"all;g4run;libG4tracking;G4SteppingManager::SetInitialStep@plt",2790182,6430465,4168460,1478158,1276142,0
"all;g4run;libG4tracking;0x000000000002f82d",41162262,70578076,45620538,35646043,15601766,0
"all;g4run;libG4tracking;0x000000000002f9ae",13961442,20284687,10787961,10293607,3883549,0
"all;g4run;libG4tracking;G4SteppingManager::Stepping",2376492503,3886807423,2408709721,1771698197,751925522,0
"all;g4run;libG4tracking;0x000000000002f9ca",0,0,0,535366,393398,0
"all;g4run;libG4tracking;G4SteppingManager::SetInitialStep",5063728684,7711934827,4988113245,3466042709,1555229756,0
"all;g4run;libG4tracking;0x000000000002fff6",1395535,0,696953,0,189352,0
"all;g4run;libG4tracking;G4Allocator<G4TouchableHistory>::~G4Allocator",138856389,210773358,120375101,90080218,34123337,0
"all;g4run;libG4tracking;G4UserLimits::GetUserMinEkine",698389,7601303,1362631,2338112,2359688,0
"all;g4run;libG4tracking;0x000000000002f7bd",4882403,7856095,3331188,1951905,890061,0
"all;g4run;libG4tracking;G4SteppingVerbose::~G4SteppingVerbose",0,0,0,485157,185554,0
"all;g4run;libG4tracking;G4SteppingManager::InvokePostStepDoItProcs",7100869703,10288805446,6620358278,4714842224,2153352377,0
"all;g4run;libG4tracking;G4UserLimits::SetMaxAllowedStep",244184249,337748084,216392333,159775350,61261195,0
"all;g4run;libG4tracking;0x000000000002f7de",1394171,3516942,2701365,0,655857,0
"all;g4run;libG4tracking;0x000000000002f7a1",698419,663043,2125312,531954,605417,0
"all;g4run;libG4tracking;0x000000000002f837",21632102,17464839,22238382,12658923,3858210,0
"all;g4run;libG4tracking;G4SteppingManager::ProcessSecondariesFromParticleChange",813545482,1411345228,859884106,654255940,240461826,0
"all;g4run;libG4tracking;0x000000000002f7a4",2088863,4379627,2081707,1448217,907095,0
"all;g4run;libG4tracking;0x000000000002f7fb",227437383,368448905,219131094,153959930,67489555,0
"all;g4run;libG4tracking;G4UserLimits::SetUserMinRange",21625689,20105126,15795592,10612144,6705364,0
"all;g4run;libG4tracking;0x000000000002f7a6",4885718,7772521,2064682,2401886,1093020,0
"all;g4run;libG4tracking;0x000000000002f7a8",11143142,6848889,9640335,6679546,2105386,0
"all;g4run;libG4tracking;G4SteppingVerbose::VerboseParticleChange",698312,4458606,3414302,425844,418873,0
"all;g4run;libG4tracking;0x000000000002f7c7",1396352,5529326,1404795,985148,819148,0
"all;g4run;libG4tracking;G4VVisManager::GetConcreteInstance@plt",48118171,58865236,40987543,29184618,10805079,0
"all;g4run;libG4tracking;std::_Rb_tree<G4String, std::pair<G4String const, G4AttDef>, std::_Select1st<std::pair<G4String const, G4AttDef> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4AttDef> > >::find@plt",4187287,9779441,6861766,6995051,2082639,0
"all;g4run;libG4tracking;G4SteppingManager::GetProcessNumber",93501606,140847845,86154671,59497466,26826409,0
"all;g4run;libG4tracking;G4UserLimits::GetUserMinRange",15355671,17933012,13044384,9540592,3443913,0
"all;g4run;libG4tracking;G4UserLimits::SetUserMaxTrackLength",13962246,24431297,15539845,12839354,5284670,0
"all;g4run;libG4tracking;G4NoProcess::~G4NoProcess",77433239,109542270,67013954,56172188,21187404,0
"all;g4run;libG4tracking;G4Step::UpdateTrack",52334270,72803033,46114079,36797122,21324026,0
"all;g4run;libG4tracking;G4SteppingManager::InvokeAlongStepDoItProcs",8370362,20256669,10305994,9270175,2905506,0
"all;g4run;libG4tracking;0x000000000003016f",0,0,0,508313,0,0
"all;g4run;libG4tracking;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>",38370909,31722321,37763444,24532964,13431827,0
"all;g4run;libG4tracking;G4SteppingManager::InvokePSDIP",390439921,588690714,373948159,259040190,121986094,0
"all;g4run;libG4tracking;0x000000000002fffd",698232,1239415,1369613,482938,0,0
"all;g4run;libG4tracking;0x000000000002f81c",419245365,651312318,444814022,333046206,132654795,0
"all;g4run;libG4tracking;0x000000000002f1d6",8377131,34678997,13746600,10156615,4857657,0
"all;g4run;libG4tracking;G4UserLimits::GetUserMaxTime",31384135,52371175,42119316,25897759,10306932,0
"all;g4run;libG4tracking;0x0000000000043e4b",3479201,2307182,3245959,1004080,217474,0
"all;g4run;libG4tracking;G4AdjointCrossSurfChecker::CrossingOneOfTheRegisteredSurface@plt",4887950,1071845,2728025,2393015,875337,0
"all;g4run;libG4tracking;0x000000000002f83b",11168984,23179285,8967529,11599545,2083155,0
"all;g4run;libG4tracking;0x0000000000043e4f",2788698,0,2139489,1980129,1300946,0
"all;g4run;libG4tracking;G4UserLimits::GetUserMaxTrackLength",15357708,23595023,13126070,7688597,4005948,0
"all;g4run;libG4tracking;0x000000000002f83f",34197143,51193013,37949500,23580452,12368551,0
"all;g4run;libG4tracking;std::vector<G4String, std::allocator<G4String> >::_M_realloc_insert<char const*&>",279078689,398813088,261522892,185758047,88522393,0
"all;g4run;libG4tracking;0x000000000002f7aa",0,0,1432982,947825,0,0
"all;g4run;libG4tracking;std::_Rb_tree_insert_and_rebalance@plt",1397079,1199063,2140613,0,227607,0
"all;g4run;libG4tracking;G4StepPoint::operator=@plt",694672,3487562,1369987,474792,792181,0
"all;g4run;libG4tracking;0x000000000002f7ac",0,0,0,478590,0,0
"all;g4run;libG4tracking;G4SteppingVerbose::AlongStepDoItOneByOne",4255029516,6438463983,4174142616,2925330867,1258039112,0
"all;g4run;libG4tracking;0x000000000002f7ad",41182914,68717431,33231811,26257090,12880358,0
"all;g4run;libG4tracking;G4TrajectoryPoint::G4TrajectoryPoint@plt",32093677,45477038,27880731,23455708,11477893,0
"all;g4run;libG4tracking;0x000000000002ef97",6272282,5630544,4080903,2915716,1968575,0
"all;g4run;libG4tracking;G4SteppingVerbose::PostStepDoItOneByOne",4755063218,7546075875,4649043529,3438259249,1420982171,0
"all;g4run;libG4tracking;G4Region::GetRegionalSteppingAction@plt",6278818,10064699,8347087,4048579,3193377,0
"all;g4run;libG4tracking;G4SteppingManager::GetProcessNumber@plt",7671174,14241507,17912113,4860382,3499980,0
"all;g4run;libG4tracking;G4RichTrajectoryPoint::~G4RichTrajectoryPoint@plt",2092955,0,1380008,1054211,412098,0
"all;g4run;libG4tracking;0x000000000002f809",569261066,909491606,590736344,396763926,166937366,0
"all;g4run;libG4tracking;0x000000000002f7cd",1389867,1047802,698767,414226,0,0
"all;g4run;libG4tracking;0x000000000002f826",7663206,12056232,5537696,6804394,1680167,0
"all;g4run;libG4tracking;std::_Rb_tree<G4String, std::pair<G4String const, G4AttDef>, std::_Select1st<std::pair<G4String const, G4AttDef> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4AttDef> > >::_M_get_insert_unique_pos@plt",1396721,2129311,0,1497416,0,0
"all;g4run;libG4tracking;0x000000000002f9a9",13952885,8669143,10343425,6859001,3542796,0
"all;g4run;libG4tracking;0x000000000002f7ed",1396892,2051316,4112514,456349,1062622,0
"all;g4run;libG4tracking;G4CountedObject<G4VTouchable>::Release@plt",2789313,5470303,0,2488854,1109806,0
"all;g4run;libG4tracking;G4UserSteppingAction::UserSteppingAction",257428495,423020533,241986908,168950922,79370375,0
"all;g4run;libG4tracking;G4AttValue::G4AttValue@plt",10467745,33164742,15934790,10395554,5250643,0
"all;g4run;libG4tracking;G4PropagatorInField::SetTrajectoryFilter@plt",11164200,19937973,5536520,3964904,1574794,0
"all;g4run;libG4tracking;std::vector<G4Track*, std::allocator<G4Track*> >::_M_realloc_insert<G4Track* const&>",20244046,25166121,14193875,8562502,6440351,0
"all;g4run;libG4tracking;G4Track::~G4Track@plt",1391268,5344252,2031553,1441163,223156,0
"all;g4run;libG4tracking;G4SteppingManager::Stepping@plt",0,0,0,478920,0,0
"all;g4run;libG4global",,,,,,
"all;g4run;libG4global;std::vector<double, std::allocator<double> >::_M_fill_assign",1395417,1173337,0,470694,753238,0
"all;g4run;libG4global;G4JTPolynomialSolver::QuadraticPolynomialIteration",6280646,8981268,2609427,2062289,1904414,0
"all;g4run;libG4global;strlen@plt",698268,1062773,0,467631,0,0
"all;g4run;libG4global;0x00000000000564c8",6281444,12380837,3933213,391982,1452974,0
"all;g4run;libG4global;G4ThreadLocalSingleton<G4GeometryTolerance>::G4ThreadLocalSingleton",27907838,43341947,33549416,22072050,13426175,0
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeScalarFactors",4179839,1101723,1999823,2305461,424829,0
"all;g4run;libG4global;0x0000000000038fb4",698335,0,0,0,0,0
"all;g4run;libG4global;0x000000000003906a",0,0,716251,0,0,0
