id,cycles,instructions,branches,branch_misses
"all",,,,
"all;g4run",,,,
"all;g4run;libtasn1",,,,
"all;g4run;libtasn1;asn1_find_node",933818,0,0,0
"all;g4run;libtasn1;0x000000000000461d",0,0,0,2099
"all;g4run;libtasn1;0x000000000000a848",0,1142029,0,0
"all;g4run;libtasn1;0x000000000000a9e8",0,0,0,3352
"all;g4run;libtasn1;0x000000000000a5ac",0,0,172273,0
"all;g4run;libG4run",,,,
"all;g4run;libG4run;G4VPhysicsConstructor::AddBuilder",827017,0,0,0
"all;g4run;libG4run;G4RunManagerKernel::CheckRegularGeometry",842046,0,411708,729
"all;g4run;libG4run;G4RunManager::BeamOn",915124,0,0,0
"all;g4run;libG4run;G4VUserPhysicsList::RemoveTrackingManager",1005858,0,0,2350
"all;g4run;libG4run;G4MTRunManager::SetUpNEvents",0,282898,0,0
"all;g4run;libG4run;std::vector<CLHEP::Hep3Vector, std::allocator<CLHEP::Hep3Vector> >::_M_realloc_insert<CLHEP::Hep3Vector const&>",0,964427,0,0
"all;g4run;libG4run;G4PhysicsListHelper::AddTransportation",833275,0,0,0
"all;g4run;libG4run;G4WorkerRunManagerKernel::SetupShadowProcess",3960288,2538313,93041,9892
"all;g4run;libG4run;G4RunManagerKernel::CheckRegions",0,0,0,1455
"all;g4run;libG4run;G4ExceptionHandler::G4ExceptionHandler",771603,0,97350,0
"all;g4run;libG4run;G4RunManagerKernel::SetupShadowProcess",1008851,0,0,1719
"all;g4run;libG4run;G4VUserPhysicsList::RemoveProcessManager",0,0,0,1000
"all;g4run;libG4run;G4PhysicsListHelper::CheckParticleList",959584,0,339037,5997
"all;g4run;libG4run;std::_Rb_tree<G4String, std::pair<G4String const, std::vector<G4LogicalVolume*, std::allocator<G4LogicalVolume*> > >, std::_Select1st<std::pair<G4String const, std::vector<G4LogicalVolume*, std::allocator<G4LogicalVolume*> > > >, std::less<G4String>, std::allocator<std::pair<G4String const, std::vector<G4LogicalVolume*, std::allocator<G4LogicalVolume*> > > > >::find",7052875,8767101,2870984,18734
"all;g4run;libG4run;std::vector<G4UItokenNum::yystype, std::allocator<G4UItokenNum::yystype> >::_M_default_append",0,397285,32050,0
"all;g4run;libG4run;G4MTRunManagerKernel::SetUpDecayChannels",1008419,2632059,0,4452
"all;g4run;libG4run;G4Backtrace::Enable",0,0,0,3906
"all;g4run;libG4run;G4RunManagerKernel::BuildPhysicsTables",0,689649,0,0
"all;g4run;libG4run;G4WorkerThread::UpdateGeometryAndPhysicsVectorFromMaster",1008647,0,0,0
"all;g4run;libG4run;G4VUserPhysicsList::PreparePhysicsTable",1551147,1400763,0,4073
"all;g4run;libG4run;G4PhysicsListHelper::RegisterProcess",3510511,1368457,444164,5773
"all;g4run;libG4run;G4VUserPhysicsList::InitializeProcessManager",651318,0,1192760,0
"all;g4run;libG4run;G4VUserPhysicsList::BuildPhysicsTable",1005069,0,0,0
"all;g4run;libG4run;G4VUPLData::initialize",0,0,0,539
"all;g4run;libG4run;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>",0,0,86713,0
"all;g4run;libG4run;G4TransportationManager::GetInstanceIfExist@plt",514872,0,0,0
"all;g4run;libG4run;0x000000000002fa34",0,0,0,4069
"all;g4run;libG4run;G4UserPhysicsListMessenger::G4UserPhysicsListMessenger",0,704658,0,0
"all;g4run;libG4persistency",,,,
"all;g4run;libG4persistency;G4GDMLReadStructure::PhysvolRead",9074112,15452743,2414413,9914
"all;g4run;libG4persistency;G4GDMLRead::AuxiliaryRead",6043100,5815176,2014334,5277
"all;g4run;libG4persistency;G4GDMLReadMaterials::GetMaterial",0,4061449,0,0
"all;g4run;libG4persistency;G4GDMLReadStructure::VolumeRead",24191416,11523770,2035941,10665
"all;g4run;libG4persistency;G4GDMLReadSolids::PolyconeRead",0,0,412435,0
"all;g4run;libG4persistency;G4GDMLReadSolids::CutTubeRead",743777,0,0,0
"all;g4run;libG4persistency;std::vector<G4GDMLReadSolids::zplaneType, std::allocator<G4GDMLReadSolids::zplaneType> >::_M_realloc_insert<G4GDMLReadSolids::zplaneType>",0,0,429086,0
"all;g4run;libG4persistency;G4GDMLReadDefine::VectorRead",5038112,7799648,4071872,8618
"all;g4run;libG4persistency;G4GDMLReadSolids::BooleanRead",935787,0,0,0
"all;g4run;libG4persistency;0x0000000000040d90",0,0,466329,0
"all;g4run;libG4persistency;0x000000000003ccf0",0,0,801187,0
"all;g4run;libG4persistency;G4GDMLRead::StripNames",2013166,2864546,439858,2151
"all;g4run;libG4persistency;G4GDMLReadMaterials::FractionRead",0,0,397151,3016
"all;g4run;libG4persistency;std::vector<int, std::allocator<int> >::_M_realloc_insert<int>",0,0,250881,0
"all;g4run;libG4persistency;G4GDMLReadDefine::RefRead",0,0,402381,1116
"all;g4run;libG4persistency;G4GDMLReadSolids::TubeRead",0,1929870,0,0
"all;g4run;libG4persistency;G4GDMLReadSolids::BoxRead",0,0,415507,0
"all;g4run;libG4persistency;std::vector<G4String, std::allocator<G4String> >::_M_realloc_insert<G4String>",264935,0,200471,8008
"all;g4run;libG4persistency;std::_Rb_tree<G4LogicalVolume*, std::pair<G4LogicalVolume* const, std::vector<G4GDMLAuxStructType, std::allocator<G4GDMLAuxStructType> > >, std::_Select1st<std::pair<G4LogicalVolume* const, std::vector<G4GDMLAuxStructType, std::allocator<G4GDMLAuxStructType> > > >, std::less<G4LogicalVolume*>, std::allocator<std::pair<G4LogicalVolume* const, std::vector<G4GDMLAuxStructType, std::allocator<G4GDMLAuxStructType> > > > >::_M_erase",5042951,0,677450,1278
"all;g4run;libG4persistency;0x000000000003d020",1336715,0,0,2135
"all;g4run;libG4persistency;G4GDMLReadDefine::GetRotationMatrix",0,0,0,1836
"all;g4run;libG4persistency;0x000000000003d024",6066974,905926,181556,18943
"all;g4run;libG4persistency;G4GDMLEvaluator::Evaluate",2016896,18950586,2888359,1159
"all;g4run;libG4persistency;G4GDMLReadMaterials::GetElement",0,2036705,0,0
"all;g4run;libG4persistency;std::vector<double, std::allocator<double> >::_M_realloc_insert<double const&>",18220349,17306209,4392716,109221
"all;g4run;libG4persistency;0x000000000003d040",0,0,0,6602
"all;g4run;libG4persistency;0x000000000003ee54",0,1954243,0,0
"all;g4run;libG4persistency;G4GDMLReadMaterials::MaterialRead",3030215,2045767,1380898,0
"all;g4run;libG4persistency;G4GDMLRead::GenerateName",4029679,0,0,0
"all;g4run;libG4persistency;G4GDMLEvaluator::SolveBrackets",6045597,9466584,2849576,0
"all;g4run;libG4persistency;G4GDMLReadSolids::TrapRead",0,3887995,864194,0
"all;g4run;libG4persistency;0x000000000003ced0",0,2427296,0,5035
"all;g4run;libG4persistency;G4GDMLReadStructure::GetAssembly",0,1899271,0,0
"all;g4run;libG4persistency;G4GDMLRead::GeneratePhysvolName",2016311,0,799292,0
"all;g4run;libG4persistency;0x000000000003ced4",3316606,2309472,0,6345
"all;g4run;libG4persistency;G4GDMLRead::StripName",0,0,465255,0
"all;g4run;libG4persistency;0x000000000003ed04",0,0,0,2251
"all;g4run;libG4persistency;G4GDMLParser::ImportRegions",1006401,0,0,3413
"all;g4run;libG4persistency;0x000000000003ff70",1009441,5661209,817703,0
"all;g4run;libG4persistency;0x000000000003e7e0",1009663,0,408372,0
"all;g4run;libG4persistency;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>",1008663,0,0,11655
"all;g4run;libG4persistency;G4GDMLRead::Transcode",10078112,38374727,7032872,11114
"all;g4run;libG4persistency;std::operator+<char, std::char_traits<char>, std::allocator<char> >",0,0,0,2734
"all;g4run;libG4persistency;G4GDMLRead::UserinfoRead",0,1893198,0,0
"all;g4run;libG4persistency;std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>",42982045,96989593,16025539,207886
"all;g4run;libG4persistency;G4GDMLReadStructure::GetVolume",0,5866051,409368,0
"all;g4run;libG4persistency;std::vector<G4GDMLAuxStructType, std::allocator<G4GDMLAuxStructType> >::_M_realloc_insert<G4GDMLAuxStructType>",1007148,0,405487,0
"all;g4run;libG4persistency;G4GDMLReadSolids::GetSolid",0,0,403328,0
"all;g4run;libG4persistency;G4GDMLReadSolids::SolidsRead",0,1929234,0,3513
"all;g4run;libG4persistency;0x000000000003db10",0,0,417540,0
"all;g4run;libG4persistency;std::_Rb_tree<G4String, std::pair<G4String const, G4String>, std::_Select1st<std::pair<G4String const, G4String> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4String> > >::_M_get_insert_hint_unique_pos",0,0,0,2796
"all;g4run;libG4persistency;G4GDMLReadStructure::Volume_contentRead",2015740,1894447,1587574,5924
"all;g4run;libG4persistency;std::vector<G4String, std::allocator<G4String> >::_M_realloc_insert<G4String const&>",397646,0,0,0
"all;g4run;libG4persistency;std::vector<G4VPhysicalVolume*, std::allocator<G4VPhysicalVolume*> >::_M_realloc_insert<G4VPhysicalVolume* const&>",0,0,294264,12913
"all;g4run;libG4persistency;std::vector<G4GDMLAuxStructType, std::allocator<G4GDMLAuxStructType> >::operator=",0,0,0,8280
"all;g4run;libG4persistency;G4GDMLEvaluator::EvaluateInteger",0,0,377394,1002
"all;g4run;libG4persistency;std::vector<double, std::allocator<double> >::_M_realloc_insert<double>",1467297,2290195,0,4653
"all;g4run;libG4persistency;std::vector<CLHEP::Hep2Vector, std::allocator<CLHEP::Hep2Vector> >::_M_realloc_insert<CLHEP::Hep2Vector>",3022773,2656308,382468,5439
"all;g4run;libc",,,,
"all;g4run;libc;__mpn_extract_double",666766,0,0,3996
"all;g4run;libc;cfree@GLIBC_2.2.5",1499762842,1634142358,284319930,7682733
"all;g4run;libc;isalnum",3018364,3883931,403857,1166
"all;g4run;libc;0x0000000000028620",3736414,10921111,2510678,7637
"all;g4run;libc;pthread_mutex_unlock@@GLIBC_2.2.5",91277693,141553859,24075213,169165
"all;g4run;libc;__GI_____strtoll_l_internal",22312666,63974288,12685435,38599
"all;g4run;libc;read",653411,0,402598,1736
"all;g4run;libc;sysmalloc",5085716,5023812,1498199,36774
"all;g4run;libc;0x0000000000028624",0,0,262480,0
"all;g4run;libc;__printf_fp",666387,0,0,0
"all;g4run;libc;_IO_old_init",1333934,795538,0,1188
"all;g4run;libc;_int_free",1262715572,1934034506,386588707,5085579
"all;g4run;libc;str_to_mpn.constprop.0",215316480,434599389,88611588,304281
"all;g4run;libc;_IO_un_link",0,0,0,1690
"all;g4run;libc;__mpn_cmp",1339629,0,0,3754
"all;g4run;libc;pthread_mutex_lock@@GLIBC_2.2.5",125176310,64069291,15104722,283184
"all;g4run;libc;getenv",1282180396,830780406,133209853,9983005
"all;g4run;libc;malloc",2905308626,2830324422,463262137,12239279
"all;g4run;libc;malloc_consolidate",211177909,274791160,48904317,706781
"all;g4run;libc;_IO_link_in",0,0,0,3607
"all;g4run;libc;__strcpy_avx2",1004113,3910544,818622,2150
"all;g4run;libc;__mpn_rshift",0,852660,201564,2345
"all;g4run;libc;round_and_return",106265984,240589809,52297648,286992
"all;g4run;libc;__close_nocancel",0,0,0,1493
"all;g4run;libc;__strncmp_avx2",508362241,399442634,58554155,3864227
"all;g4run;libc;__GI_strtoll",696508,1682902,674557,0
"all;g4run;libc;0x0000000000028490",3322223,5836791,160417,26968
"all;g4run;libc;__GI_____strtod_l_internal",1188047563,2363503503,488834659,1949992
"all;g4run;libc;strtod",9617050,10244780,1734520,24541
"all;g4run;libc;0x0000000000028494",123684211,101242988,14192394,709238
