instructions,L1_dcache_loads,L1_dcache_load_misses,L1_icache_load_misses,comm,dso,symbol
293748939671,187889262695,21075958730,1971213841,"g4run","libG4processes.so","G4CrossSectionDataStore::GetCrossSection"
262631161274,154872351879,11796471816,775547862,"g4run","libm.so.6","__ieee754_atan2_fma"
230452018139,139592328424,13242991912,854896362,"g4run","libG4tracking.so","G4SteppingManager::DefinePhysicalStepLength"
229566517165,127661240174,9293866343,356137784,"g4run","libG4geometry.so","G4PolyhedraSide::DistanceAway"
222747168329,144407636610,12448387428,864818311,"g4run","g4run","CMSMagneticField::GetFieldValue"
204807251951,120110238086,16383683277,1054002676,"g4run","libG4processes.so","G4NeutronCaptureXS::IsoCrossSection"
179936012628,110961180017,14156158731,543362158,"g4run","libG4processes.so","G4VEmProcess::GetCurrentLambda"
163697728224,103050670115,11638315907,725844806,"g4run","libG4processes.so","G4VEmProcess::PostStepGetPhysicalInteractionLength"
158792316115,107499630071,14059051802,905507037,"g4run","libG4processes.so","G4GammaNuclearXS::GetIsoCrossSection"
150392163834,95027700316,10679457457,832520833,"g4run","libG4processes.so","G4CrossSectionDataStore::GetIsoCrossSection"
140174997705,89024092612,7650470273,198288910,"g4run","libG4geometry.so","G4Navigator::ComputeStep"
132730999883,76136522642,6608405840,98286755,"g4run","libG4processes.so","G4NeutronElasticXS::GetElementCrossSection"
130167648179,78214282592,6117747246,202106395,"g4run","libG4geometry.so","G4PolyconeSide::DistanceAway"
129206423736,86444992529,7936302912,457232694,"g4run","libG4geometry.so","G4VoxelNavigation::LevelLocate"
127844151298,64323650929,4267508114,126414687,"g4run","libG4geometry.so","G4PolyPhiFace::InsideEdges"
123790324792,75551754869,7743235446,407673416,"g4run","libG4processes.so","G4Transportation::AlongStepGetPhysicalInteractionLength"
122112106460,69139887352,8564550506,139947048,"g4run","libG4processes.so","G4NeutronInelasticXS::IsoCrossSection"
119499804107,65882030906,5602954597,215491895,"g4run","libG4geometry.so","G4PolyhedraSide::DistanceToOneSide"
116916974888,74088864464,5343024183,273515623,"g4run","libG4geometry.so","G4PropagatorInField::ComputeStep"
116706308695,72664323894,7022257958,572991707,"g4run","libG4geometry.so","G4TouchableHistory::GetVolume"
115033267459,68991520558,4922113530,406210775,"g4run","libG4tracking.so","G4SteppingManager::InvokePSDIP"
113187549835,74858584364,6635310885,479887296,"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::StepWithError"
110536775212,65248381570,3901618995,814312420,"g4run","libm.so.6","__sincos"
109646649532,64129724898,5181208636,163235564,"g4run","libG4geometry.so","G4PolyconeSide::Distance"
108131341953,63087335164,2632971416,83855821,"g4run","libG4geometry.so","G4PolyhedraSide::Distance"
106228169434,66800044621,6934004866,686530344,"g4run","libG4processes.so","G4CrossSectionDataStore::ComputeCrossSection"
100781463862,60899953322,5581853493,434227373,"g4run","libG4processes.so","G4VEnergyLossProcess::PostStepGetPhysicalInteractionLength"
95683786121,59115990606,4235017321,391439615,"g4run","libG4tracking.so","G4SteppingManager::Stepping"
94593814685,58127871288,5258097423,389344162,"g4run","libG4processes.so","G4VEnergyLossProcess::ComputeLambdaForScaledEnergy"
86847492381,56560157738,4968366765,539906396,"g4run","libG4clhep.so","CLHEP::MixMaxRng::iterate"
85163879884,57417614220,5233241421,372349865,"g4run","libG4geometry.so","G4Mag_UsualEqRhs::EvaluateRhsGivenB"
79873283840,49639451388,1742918120,100155240,"g4run","libG4track.so","G4ParticleChangeForTransport::UpdateStepForAlongStep"
79180108241,44251573680,4121308726,180865000,"g4run","libG4geometry.so","G4VCSGfaceted::Inside"
78270431984,49975133323,4557918797,520221786,"g4run","libG4geometry.so","G4NavigationLevel::operator="
77171635864,44791987602,1998563186,69455991,"g4run","libG4geometry.so","G4PolyhedraSide::Intersect"
77117629838,44985822356,3403148029,239587037,"g4run","libG4geometry.so","G4Navigator::LocateGlobalPointWithinVolume"
73828241206,49731277052,6882543922,403486943,"g4run","libG4processes.so","G4UrbanMscModel::ComputeTruePathLengthLimit"
73686413622,42075609620,3008043225,120549733,"g4run","libG4geometry.so","G4PolyhedraSide::GetPhi"
72154296587,44834266867,3856802294,227742083,"g4run","libG4processes.so","G4Transportation::PostStepDoIt"
70697927187,43363633625,1881148040,99998800,"g4run","libG4geometry.so","G4IntersectingCone::LineHitsCone1"
69484266532,39035887606,2957206719,116672098,"g4run","libG4geometry.so","G4PolyhedraSide::PhiSegment"
68918616396,41076583669,2021140482,117926544,"g4run","libG4tracking.so","G4SteppingManager::InvokeAlongStepDoItProcs"
68805797413,37446599991,3186796019,125741612,"g4run","libG4geometry.so","G4PolyhedraSide::Inside"
68684680851,43075106893,4347115237,339156303,"g4run","libG4processes.so","G4VEnergyLossProcess::AlongStepGetPhysicalInteractionLength"
67491326769,42383659509,3042342835,82074649,"g4run","libG4geometry.so","G4NormalNavigation::ComputeStep"
64485684620,45405999130,4011384964,410215316,"g4run","libG4processes.so","G4UrbanMscModel::SampleCosineTheta"
64057787973,40154176078,3376089099,106124349,"g4run","libG4geometry.so","G4VoxelNavigation::ComputeStep"
63635750933,40078633261,2183243027,89337283,"g4run","libG4processes.so","G4Transportation::AlongStepDoIt"
62060892138,37638301063,1236285913,84455684,"g4run","libG4geometry.so","G4PolyconeSide::PointOnCone"
61335069527,37613552669,3996231609,354854916,"g4run","libG4geometry.so","G4Navigator::LocateGlobalPointAndSetup"
58450368784,40263863569,3113906030,286700213,"g4run","libG4processes.so","G4KleinNishinaCompton::SampleSecondaries"
56635920670,37004198802,3314991200,444666478,"g4run","libG4processes.so","G4VProcess::ResetNumberOfInteractionLengthLeft"
55058062869,28390735347,1066573868,205795991,"g4run","libG4processes.so","G4VEnergyLossProcess::AlongStepDoIt"
51672780647,32594914864,2517733969,223647191,"g4run","libG4processes.so","G4VMscModel::GetTransportMeanFreePath"
49987802125,29487714696,2149110500,169928834,"g4run","libG4tracking.so","G4Step::UpdateTrack"
49907648588,30757671060,1917295685,299727861,"g4run","libG4processes.so","G4UniversalFluctuation::SampleGlandz"
45912897882,28384239614,1002666123,67300995,"g4run","libG4geometry.so","G4PolyconeSide::Intersect"
44960227581,25270521153,2347824147,90108591,"g4run","libG4geometry.so","G4LineSection::Dist"
44209759514,28327122955,2337164870,316912070,"g4run","libG4processes.so","G4ProcessManager::GetAttribute"
44065345635,28934670203,2002913905,261384422,"g4run","libG4geometry.so","G4Region::GetRegionalSteppingAction"
43178683742,29067760940,3493427033,333642125,"g4run","libG4processes.so","G4ElectroNuclearCrossSection::GetElementCrossSection"
42049542389,27596763245,3789610024,129243419,"g4run","libG4processes.so","G4LivermorePhotoElectricModel::ComputeCrossSectionPerAtom"
42040400490,27399434011,2992320284,172283481,"g4run","libG4geometry.so","G4PolyconeSide::Inside"
41309375363,19893810254,1772080870,45280119,"g4run","libG4geometry.so","G4PolyPhiFace::Inside"
41302365261,24392132745,1731414152,74669454,"g4run","libG4geometry.so","G4EnclosingCylinder::MustBeOutside"
40775409708,25481247078,3420388154,190592044,"g4run","libG4processes.so","G4UrbanMscModel::ComputeGeomPathLength"
39657558156,25710211684,2673454369,117773999,"g4run","libG4geometry.so","G4LogicalVolume::GetSolid"
38673673280,26837833505,2215744907,258755701,"g4run","libG4processes.so","G4VProcess::EndTracking"
37883521080,22175828012,1509290645,54754033,"g4run","libG4geometry.so","G4Box::Inside"
37314440248,24291552706,2535405706,121080242,"g4run","libG4geometry.so","G4LogicalVolume::GetSolid"
36132256508,15500278568,64880394,1595249,"g4run","libG4processes.so","G4GEMProbability::CalcProbability"
