comm,dso,symbol,cycles,instructions,branches,branch_misses
"g4run","libG4processes.so","G4CrossSectionDataStore::GetCrossSection",196237630008,296364615685,43567100215,404082780
"g4run","libG4processes.so","G4NeutronCaptureXS::IsoCrossSection",167597759470,203623529927,28556843702,114888354
"g4run","libm.so.6","__ieee754_atan2_fma",158455785072,258530806318,42285991983,490074183
"g4run","g4run","CMSMagneticField::GetFieldValue",151525418304,224537873085,25541029807,151337320
"g4run","libG4tracking.so","G4SteppingManager::DefinePhysicalStepLength",137604394061,225283868182,32535802547,388244892
"g4run","libG4geometry.so","G4PolyhedraSide::DistanceAway",134716337771,232191244166,40270920840,406325141
"g4run","libG4geometry.so","G4VoxelNavigation::LevelLocate",113332423154,129693516016,19514588298,344715647
"g4run","libG4processes.so","G4VEmProcess::GetCurrentLambda",111228628123,181720330847,25033942994,274180820
"g4run","libG4processes.so","G4GammaNuclearXS::GetIsoCrossSection",109945858376,158831641582,23256990115,266227903
"g4run","libG4processes.so","G4VEmProcess::PostStepGetPhysicalInteractionLength",95262765620,161109966927,22719612369,217122030
"g4run","libG4processes.so","G4CrossSectionDataStore::GetIsoCrossSection",94729336703,149203081752,21333141414,162085165
"g4run","libm.so.6","__sincos",82042113607,110673215962,16632308497,224887868
"g4run","libG4geometry.so","G4Navigator::ComputeStep",81747492586,141260048914,19151496285,210933066
"g4run","libG4geometry.so","G4TouchableHistory::GetVolume",78780339777,115504540532,18637727588,222307719
"g4run","libG4processes.so","G4Transportation::AlongStepGetPhysicalInteractionLength",78492603112,123452539152,18745441999,202428266
"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::StepWithError",74726434584,111203444723,12778210702,74933789
"g4run","libG4geometry.so","G4PolyconeSide::DistanceAway",74093395958,129553340935,18444368813,247519150
"g4run","libG4processes.so","G4NeutronInelasticXS::IsoCrossSection",73243715196,123711092789,16465635598,92101437
"g4run","libG4tracking.so","G4SteppingManager::InvokePSDIP",72889673423,114624728589,17140632336,249684642
"g4run","libG4geometry.so","G4PolyhedraSide::DistanceToOneSide",71609986802,120463382479,20581164589,203800335
"g4run","libG4processes.so","G4CrossSectionDataStore::ComputeCrossSection",70851108422,106648927261,16001532980,175782026
"g4run","libG4geometry.so","G4PropagatorInField::ComputeStep",69455988496,116153161812,13545799941,107717935
"g4run","libG4geometry.so","G4PolyPhiFace::InsideEdges",66928539753,126680689304,22469425553,250712815
"g4run","libG4tracking.so","G4SteppingManager::Stepping",62929701222,93232191583,14061881608,206798414
"g4run","libG4clhep.so","CLHEP::MixMaxRng::iterate",62105129465,84025425323,12091527346,181192722
"g4run","libG4geometry.so","G4PolyconeSide::Distance",60563588579,109757970747,15516131768,169788813
"g4run","libG4processes.so","G4NeutronElasticXS::GetElementCrossSection",60527599915,129163248162,17400803588,122373924
"g4run","libG4processes.so","G4UrbanMscModel::ComputeTruePathLengthLimit",58228367992,73240711181,11975565581,201171841
"g4run","libG4geometry.so","G4Mag_UsualEqRhs::EvaluateRhsGivenB",57764955724,85601197793,10067399399,62503383
"g4run","libG4processes.so","G4UrbanMscModel::SampleCosineTheta",57184225164,64025641740,7899547500,141953887
"g4run","libG4processes.so","G4VEnergyLossProcess::PostStepGetPhysicalInteractionLength",55166031371,99874325009,14208426682,119409475
"g4run","libG4geometry.so","G4PolyhedraSide::Distance",54794029739,108826447850,19150549408,158935061
"g4run","libG4processes.so","G4VEnergyLossProcess::ComputeLambdaForScaledEnergy",54649856933,95546503110,13417526955,132141343
"g4run","libG4geometry.so","G4NavigationLevel::operator=",53069000645,77736571925,12663185716,123536183
"g4run","libG4geometry.so","G4Navigator::LocateGlobalPointWithinVolume",50631605936,77948682690,11264042023,193632834
"g4run","libG4geometry.so","G4VCSGfaceted::Inside",48740819557,79139919101,13321431212,145805478
"g4run","libG4processes.so","G4Transportation::PostStepDoIt",48706331814,72053274889,10901966949,164545332
"g4run","libG4processes.so","G4VEnergyLossProcess::AlongStepGetPhysicalInteractionLength",46313836167,72287208382,10348448699,138397167
"g4run","libG4geometry.so","G4VoxelNavigation::ComputeStep",45123863122,63726311524,9134863786,157370201
"g4run","libG4geometry.so","G4PolyhedraSide::Intersect",43141017929,77954143058,13231506269,213972052
"g4run","libG4geometry.so","G4PolyhedraSide::GetPhi",42913734338,73977915771,12687007093,143328322
"g4run","libG4track.so","G4ParticleChangeForTransport::UpdateStepForAlongStep",42805519084,83109358541,9102860794,76002976
"g4run","libG4geometry.so","G4Navigator::LocateGlobalPointAndSetup",42156845911,59596433984,9766488588,137319806
"g4run","libG4processes.so","G4Transportation::AlongStepDoIt",40780250671,73889550268,8990032162,88691930
"g4run","libG4geometry.so","G4PolyhedraSide::Inside",40709336274,69427832205,11852477500,122389964
"g4run","libG4geometry.so","G4IntersectingCone::LineHitsCone1",40544514023,71690773296,10212295824,190978307
"g4run","libG4geometry.so","G4PolyhedraSide::PhiSegment",39899775192,69338812599,11879832932,127906929
"g4run","libG4tracking.so","G4SteppingManager::InvokeAlongStepDoItProcs",39518521794,69806141958,9001955442,108867454
"g4run","libG4processes.so","G4UniversalFluctuation::SampleGlandz",39479288550,50196369324,6652585896,204799825
"g4run","libG4geometry.so","G4NormalNavigation::ComputeStep",38579423765,67199002756,9363763138,85246270
"g4run","libG4processes.so","G4VEnergyLossProcess::AlongStepDoIt",38424141348,54548528292,7292923966,184421782
"g4run","libG4processes.so","G4KleinNishinaCompton::SampleSecondaries",36592069794,58830821283,8425440019,89172439
"g4run","libG4geometry.so","G4PolyconeSide::PointOnCone",34981576704,62674025273,8790431957,166204114
"g4run","libG4processes.so","G4ElectroNuclearCrossSection::GetElementCrossSection",34302101906,41971181732,5971189670,64092674
"g4run","libG4processes.so","G4VProcess::ResetNumberOfInteractionLengthLeft",33338148032,56365418835,8361510536,33232080
"g4run","libG4geometry.so","G4PolyconeSide::Inside",32049367996,42475877071,6477116364,96239923
"g4run","libG4processes.so","G4VMscModel::GetTransportMeanFreePath",31376680816,52423218926,7314157803,80130281
"g4run","libG4tracking.so","G4Step::UpdateTrack",31112606597,47277874253,7017725513,100148798
"g4run","libG4processes.so","G4ProcessManager::GetAttribute",31060377722,44367198578,6947587091,61076367
