cycles,comm,dso,symbol
187651275333,"g4run","libG4processes.so","G4CrossSectionDataStore::GetCrossSection"
164221264448,"g4run","libG4processes.so","G4NeutronCaptureXS::IsoCrossSection"
157805146270,"g4run","libm.so.6","__ieee754_atan2_fma"
146222242707,"g4run","g4run","CMSMagneticField::GetFieldValue"
137350823699,"g4run","libG4tracking.so","G4SteppingManager::DefinePhysicalStepLength"
125698827862,"g4run","libG4geometry.so","G4PolyhedraSide::DistanceAway"
110824413669,"g4run","libG4geometry.so","G4VoxelNavigation::LevelLocate"
109906362403,"g4run","libG4processes.so","G4GammaNuclearXS::GetIsoCrossSection"
105941121168,"g4run","libG4processes.so","G4VEmProcess::GetCurrentLambda"
95017451390,"g4run","libG4processes.so","G4CrossSectionDataStore::GetIsoCrossSection"
92329895113,"g4run","libG4processes.so","G4VEmProcess::PostStepGetPhysicalInteractionLength"
80908787114,"g4run","libm.so.6","__sincos"
77297462899,"g4run","libG4geometry.so","G4TouchableHistory::GetVolume"
75252511741,"g4run","libG4geometry.so","G4Navigator::ComputeStep"
73713388573,"g4run","libG4processes.so","G4Transportation::AlongStepGetPhysicalInteractionLength"
72415348752,"g4run","libG4geometry.so","G4PolyconeSide::DistanceAway"
71388719649,"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::StepWithError"
71226317179,"g4run","libG4processes.so","G4NeutronInelasticXS::IsoCrossSection"
69696394545,"g4run","libG4tracking.so","G4SteppingManager::InvokePSDIP"
69420658476,"g4run","libG4geometry.so","G4PolyhedraSide::DistanceToOneSide"
69222067421,"g4run","libG4processes.so","G4CrossSectionDataStore::ComputeCrossSection"
67391398359,"g4run","libG4geometry.so","G4PropagatorInField::ComputeStep"
66399331647,"g4run","libG4geometry.so","G4PolyPhiFace::InsideEdges"
65673250704,"g4run","libG4tracking.so","G4SteppingManager::Stepping"
61801208122,"g4run","libG4clhep.so","CLHEP::MixMaxRng::iterate"
