# captured on    : Tue May 31 14:32:07 2022
# header version : 1
# data offset    : 1064
# data size      : 12794112
# feat offset    : 12795176
# hostname : harshil
# os release : 5.15.0-30-generic
# perf version : 5.15.30
# arch : x86_64
# nrcpus online : 12
# nrcpus avail : 12
# cpudesc : AMD Ryzen 5 5500U with Radeon Graphics
# cpuid : AuthenticAMD,23,104,1
# total memory : 15689120 kB
# cmdline : /usr/lib/linux-tools-5.15.0-30/perf record -e {cycles,instructions,branches,branch-misses} -o gamma-cpu.perf /home/harshil/Documents/GSOC/g4run/g4run --cdash --stats -g /home/harshil/Documents/GSOC/g4run/CMS.gdml -f file:/home/harshil/Documents/GSOC/g4run/CMS.fmap -E 50 -p gamma -e 0 -j 6 
# event : name = cycles, , id = { 2699, 2700, 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708, 2709, 2710 }, size = 128, { sample_period, sample_freq } = 4000, sample_type = IP|TID|TIME|ID|PERIOD, read_format = ID, disabled = 1, inherit = 1, mmap = 1, comm = 1, freq = 1, enable_on_exec = 1, task = 1, sample_id_all = 1, exclude_guest = 1, mmap2 = 1, comm_exec = 1, ksymbol = 1, bpf_event = 1
# event : name = instructions, , id = { 2711, 2712, 2713, 2714, 2715, 2716, 2717, 2718, 2719, 2720, 2721, 2722 }, size = 128, config = 0x1, { sample_period, sample_freq } = 4000, sample_type = IP|TID|TIME|ID|PERIOD, read_format = ID, inherit = 1, freq = 1, sample_id_all = 1, exclude_guest = 1
# event : name = branches, , id = { 2723, 2724, 2725, 2726, 2727, 2728, 2729, 2730, 2731, 2732, 2733, 2734 }, size = 128, config = 0x4, { sample_period, sample_freq } = 4000, sample_type = IP|TID|TIME|ID|PERIOD, read_format = ID, inherit = 1, freq = 1, sample_id_all = 1, exclude_guest = 1
# event : name = branch-misses, , id = { 2735, 2736, 2737, 2738, 2739, 2740, 2741, 2742, 2743, 2744, 2745, 2746 }, size = 128, config = 0x5, { sample_period, sample_freq } = 4000, sample_type = IP|TID|TIME|ID|PERIOD, read_format = ID, inherit = 1, freq = 1, sample_id_all = 1, exclude_guest = 1
# CPU_TOPOLOGY info available, use -I to display
# NUMA_TOPOLOGY info available, use -I to display
# pmu mappings: software = 1, ibs_op = 9, power = 12, ibs_fetch = 8, uprobe = 7, cpu = 4, amd_iommu_0 = 10, breakpoint = 5, tracepoint = 2, kprobe = 6, msr = 11
# group: {cycles,instructions,branches,branch-misses}
# CACHE info available, use -I to display
# time of first sample : 17329.836964
# time of last sample : 17347.264649
# sample duration :  17427.684 ms
# MEM_TOPOLOGY info available, use -I to display
# cpu pmu capabilities: max_precise=0
# missing features: TRACING_DATA BRANCH_STACK AUXTRACE STAT CLOCKID DIR_FORMAT COMPRESSED CLOCK_DATA HYBRID_TOPOLOGY HYBRID_CPU_PMU_CAPS 
# ========
#
#
# Total Lost Samples: 0
#
# Samples: 265K of events 'anon group { cycles, instructions, branches, branch-misses }'
# Event count (approx.): 196271310938
#
#                                           Period  Shared Object          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# ................................................  .....................  ........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
   19164255524 29699367157  1064649521    48505677  libG4processes.so      [.] G4MuPairProductionModel::ComputeDMicroscopicCrossSection
   12224457157 16985163084   627464979      930796  libG4processes.so      [.] G4ElasticHadrNucleusHE::HadrNucDifferCrSec
    3814121260  4881321817   446587296     2735864  libG4processes.so      [.] G4hBremsstrahlungModel::ComputeDMicroscopicCrossSection
    3649071324  3989901120   350039954     3905570  libG4processes.so      [.] G4eBremsstrahlungRelModel::ComputeLPMfunctions
    3026039228  5306582701   873345122     2873327  libG4geometry.so       [.] G4Region::BelongsTo
    2326185512  2476545022   152213370     1671652  libG4processes.so      [.] G4MuBremsstrahlungModel::ComputeMicroscopicCrossSection
    1542828650  3704080085   749362716     3172089  libG4processes.so      [.] G4ProductionCutsTable::ScanAndSetCouple
    1493781439  2699872949   288990550     1902772  libG4processes.so      [.] G4SeltzerBergerModel::ComputeDXSectionPerAtom
    1262434064  2280630018   210479548     1184170  libG4processes.so      [.] G4eBremsstrahlungRelModel::ComputeXSectionPerAtom
    1017104112  2495944147   536370702     1883717  libG4geometry.so       [.] G4LogicalVolume::GetMaterial
     804963073  1107168120    70388816      130268  libG4processes.so      [.] G4eBremsstrahlungRelModel::ComputeScreeningFunctions
     795250778  1800956568   360129361     1607394  libc.so.6              [.] __GI_____strtod_l_internal
     729761002  1219292560   122340688      921052  libG4global.so         [.] G4Physics2DVector::Value
     702481555  1834344021   240269998     1020643  libG4geometry.so       [.] G4BoundingEnvelope::ClipEdgesByVoxel
     632884192  1925730892   265597910      492695  libG4processes.so      [.] G4LossTableBuilder::BuildRangeTable
     584426995  1323095362   210402096     2485835  libc.so.6              [.] _int_malloc
     570740873  1276809623   249764899     1458509  libc.so.6              [.] _int_free
     534678630  1142189122   214304586     1296013  libc.so.6              [.] __strcmp_avx2
     506669027   731178317    44441730      115466  libG4processes.so      [.] G4MuBremsstrahlungModel::ComputMuBremLoss
     478080065   581495817    57355733      476480  libG4processes.so      [.] G4eBremsstrahlungRelModel::ComputeRelDXSectionPerAtom
     431135180  1076134166   201084293     1472300  libc.so.6              [.] malloc
     350759449   938293006   165508764     1143198  libG4geometry.so       [.] G4BoundingEnvelope::CalculateExtent
     302462146   622088268   117433966      829459  libstdc++.so.6.0.30    [.] __cxxabiv1::__vmi_class_type_info::__do_dyncast
     300760827   401992992    42308206      291084  libG4processes.so      [.] G4eBremsstrahlungRelModel::GetLPMFunctions
     298173000   743082018   228971496      401770  libG4geometry.so       [.] G4Region::ScanVolumeTree
     285770644   707626399   129492129      571152  libstdc++.so.6.0.30    [.] std::__istream_extract
     285728261   596090409   126513358      525978  libstdc++.so.6.0.30    [.] std::istream::sentry::sentry
     281322450   595608020   106872467      819026  libc.so.6              [.] cfree@GLIBC_2.2.5
     272424052   649595578    90037114      598132  libG4geometry.so       [.] G4BoundingEnvelope::CreateListOfEdges
     271075705   424757378    46618571      369921  libG4processes.so      [.] G4eBremsstrahlungRelModel::ComputeBremLoss
     246385582   520756668    98559877     1038705  libG4processes.so      [.] G4EmCorrections::LShell
     237169877   439330878    28267122      112592  libm.so.6              [.] __sincos
     236933002   547397769    65185315     1099657  libG4geometry.so       [.] G4BoundingEnvelope::CreateListOfPlanes
     231995822   594801288    74163228      898244  libG4geometry.so       [.] G4BoundingEnvelope::ClipVoxelByPlanes
     225643331   503604813   125593798      194434  libstdc++.so.6.0.30    [.] std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > >::_M_extract_float
     206453529   472160738    88957747      495006  libstdc++.so.6.0.30    [.] __dynamic_cast
     205525702   250836796    17014778      834900  libG4processes.so      [.] G4MuPairProductionModel::ComputeMicroscopicCrossSection
     184417147   530766721    70334855      514715  libG4geometry.so       [.] G4BoundingEnvelope::GetPrismAABB
     173332510   261625038     9540607       25485  libG4processes.so      [.] G4eBremsstrahlungRelModel::ComputeDXSectionPerAtom
     172530879   350230447    43189462      258343  libG4geometry.so       [.] std::vector<std::pair<HepGeom::Point3D<double>, HepGeom::Point3D<double> >, std::allocator<std::pair<HepGeom::Point3D<double>, HepGeom::Point3D<double> > > >::_M_realloc_insert<std::pair<HepGeom::Point3D<double>, HepGeom::Point3D<double> > >
     168891762   239078165    51744974      487092  libc.so.6              [.] unlink_chunk.constprop.0
     166506682   287481984    43985159      561545  libc.so.6              [.] malloc_consolidate
     145943065   330675038     9290345       11590  libm.so.6              [.] __cos_fma
     140458421   304957654    51253172      406009  libstdc++.so.6.0.30    [.] __cxxabiv1::__si_class_type_info::__do_dyncast
     136417135   105279585    27512778      101971  [kernel.kallsyms]      [k] clear_page_rep
     128965550   208637610    35598673      219791  libG4processes.so      [.] G4WentzelOKandVIxSection::ComputeTransportCrossSectionPerAtom
     127889647   283023779    60997465      475852  libG4geometry.so       [.] G4BoundingEnvelope::TransformVertices
     125800376   269136942    51353874      535371  libG4geometry.so       [.] G4SmartVoxelHeader::BuildNodes
     123137559   246051749    54490601      459473  libG4processes.so      [.] G4EmCorrections::ShellCorrection
     122334852   338481575    59781798      251018  libc.so.6              [.] str_to_mpn.constprop.0
     120230183   233561502    45017464      281130  libc.so.6              [.] __memmove_avx_unaligned_erms
     106140848   213245565    23793706      227739  libG4processes.so      [.] G4PairProductionRelModel::ComputeRelDXSectionPerAtom
     100994770   286275464    48565604      331346  libstdc++.so.6.0.30    [.] __cxxabiv1::__class_type_info::__do_dyncast
      96461950   172076832    45184398      144828  libc.so.6              [.] __strlen_avx2
      94177582   294393465    40781205      223717  libG4geometry.so       [.] std::vector<std::pair<HepGeom::Point3D<double>, HepGeom::Point3D<double> >, std::allocator<std::pair<HepGeom::Point3D<double>, HepGeom::Point3D<double> > > >::_M_default_append
      91408521   226968739    40583198      426934  libG4processes.so      [.] G4ICRU73QOModel::GetL0
      88489640   170133784    29947336      259903  libstdc++.so.6.0.30    [.] operator new
      88444168   171769264    31222373      356004  libG4processes.so      [.] G4EmCorrections::KShell
      88173798   134993142    10918806       74607  libG4global.so         [.] G4PhysicsVector::ComputeSecDerivative1
      85428973   255798314    43708815      446342  libG4processes.so      [.] G4EmCorrections::BarkasCorrection
      81734690   229995197    47707376      306913  libG4geometry.so       [.] G4Tubs::CalculateExtent
      80582615   125806104     7461562       43726  libG4processes.so      [.] G4KokoulinMuonNuclearXS::ComputeDDMicroscopicCrossSection
      78614164   136178804    38352562      216237  libc.so.6              [.] round_and_return
      76035858   128797219    29492968      268318  libc.so.6              [.] __memcmp_avx2_movbe
      69373507   102787033     7302633       41666  libG4processes.so      [.] G4RToEConvForElectron::ComputeValue
      67452403   147818974    13655950      128927  libG4processes.so      [.] G4PairProductionRelModel::ComputeLPMfunctions
      67413577   186143499    31276309        8279  g4run                  [.] CLHEP::Hep2Vector::set
      65704661   162502868    33699368      195453  libc.so.6              [.] __mpn_lshift
      64632099   188340002    23764472       88071  libG4processes.so      [.] G4WentzelOKandVIxSection::ComputeMaxElectronScattering
      62436394    94170419     6506156       27108  libG4processes.so      [.] G4RToEConvForPositron::ComputeValue
      61514850   171242824    33178163       12554  g4run                  [.] CMSMagneticField::CMSMagneticField
      60113175   148537172    25115927      172554  libG4geometry.so       [.] std::vector<CLHEP::Hep3Vector, std::allocator<CLHEP::Hep3Vector> >::_M_default_append
      59022838   161262909    14259599      190442  libG4geometry.so       [.] G4BoundingEnvelope::G4BoundingEnvelope
      58713415   133678719    26885590       94276  libc.so.6              [.] __mpn_mul
      58512889   116755593    10427938      126952  libG4processes.so      [.] G4VEmModel::CrossSectionPerVolume
      58124415    17465421     2085114       94336  [kernel.kallsyms]      [k] native_queued_spin_lock_slowpath.part.0
      57426447   133896632    19696269       68360  libG4processes.so      [.] G4WentzelOKandVIxSection::SetupTarget
      56979845   135531640    21170359      129938  libG4clhep.so          [.] HepGeom::operator*
      55515010    61456560     4413156      141533  libG4processes.so      [.] G4MuBetheBlochModel::ComputeCrossSectionPerElectron
      53777368   127481137    28538335      115916  libstdc++.so.6.0.30    [.] std::use_facet<std::ctype<char> >
      50529885    61523655     3878926       39621  libG4processes.so      [.] G4RToEConvForGamma::ComputeValue
      49674771   134257849    23881948      242317  libG4processes.so      [.] G4ICRU73QOModel::DEDXPerElement
      48728382    92927486    14033775       44275  libG4processes.so      [.] G4MuBetheBlochModel::ComputeDEDXPerVolume
      48452955    97418629    16729713       82017  libxerces-c-3.2.so     [.] xercesc_3_2::ReaderMgr::getNextChar
      46663843    95355882    16305534      183959  libG4processes.so      [.] G4BetheBlochModel::ComputeDEDXPerVolume
      46625293    73350638     6664528      138926  libG4processes.so      [.] G4BraggModel::ElectronicStoppingPower
      44658569    75324782     9050741        6376  libstdc++.so.6.0.30    [.] std::basic_filebuf<char, std::char_traits<char> >::xsgetn
      42906190    75780820    11931257      245470  libG4processes.so      [.] G4UrbanMscModel::ComputeCrossSectionPerAtom
      42539415   104411500    17879073      138850  libxerces-c-3.2.so     [.] xercesc_3_2::DOMParentNode::appendChildFast
      42026023   109006114    15743092      126325  [kernel.kallsyms]      [k] asm_exc_page_fault
      40788587    97027893    24064239       62133  libxerces-c-3.2.so     [.] xercesc_3_2::ICULCPTranscoder::transcode
      40760479    40411271     6336400      116219  ld-linux-x86-64.so.2   [.] do_lookup_x
      40648298    93310943    13975759        6198  libstdc++.so.6.0.30    [.] std::istream::read
      39678200    60391280     6608209       70786  libG4processes.so      [.] G4PairProductionRelModel::ComputeXSectionPerAtom
      39390213    75376567     9228381       55627  libG4geometry.so       [.] G4Trap::GetVertices
      38627751    80357650    19127377       84641  libxerces-c-3.2.so     [.] xercesc_3_2::IGXMLScanner::normalizeAttValue
      36097515    40201891    10245646       53205  libc.so.6              [.] pthread_mutex_lock@@GLIBC_2.2.5
      35970655   114449396    18972444       94030  libG4geometry.so       [.] G4Polycone::CalculateExtent
      34805883    48082500    10822840       49590  libstdc++.so.6.0.30    [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_assign
      34454099    84282215    15392975      230221  libG4persistency.so    [.] std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>
      33630520   106020931    21522701      116138  libxerces-c-3.2.so     [.] xercesc_3_2::IGXMLScanner::basicAttrValueScan
      33331840    89361378    11790506      109506  libG4geometry.so       [.] std::vector<HepGeom::Plane3D<double>, std::allocator<HepGeom::Plane3D<double> > >::_M_realloc_insert<HepGeom::Plane3D<double> >
      32810491    51146428     2588851        4824  libG4processes.so      [.] G4MuonVDNuclearModel::MakeSamplingTable
      32717921    67576399    15549832       59051  libxerces-c-3.2.so     [.] xercesc_3_2::IGXMLScanner::buildAttList
      32679785    54986357    14894593       93632  libxerces-c-3.2.so     [.] xercesc_3_2::IGXMLScanner::scanStartTagNS
      31833560    65034326    15401524       20201  libicuuc.so.70.1       [.] ucnv_fromUnicode_UTF8_70
      31760039    62447489     6199453       49145  libG4processes.so      [.] G4PairProductionRelModel::GetLPMFunctions
      29881279    77144068    20057719      121249  libG4processes.so      [.] G4LevelReader::LevelManager
      29642475     3436170     4199333        7197  [kernel.kallsyms]      [k] rmqueue_bulk
      28779016    23475278     6236145       66434  [kernel.kallsyms]      [k] copy_user_generic_string
      28767606    69134139     6004767       47550  libG4materials.so      [.] G4IonisParamMat::DensityCorrection
      28737483    37884062     7154631       36520  libxerces-c-3.2.so     [.] xercesc_3_2::XMLReader::skipSpaces
      28667462    63370812     8351427       21744  libxerces-c-3.2.so     [.] xercesc_3_2::DOMDocumentImpl::allocate
      28465443   103880498    14817111       76150  libG4geometry.so       [.] G4BoundingEnvelope::CheckBoundingPolygons
      27873539    32946273     2426741       48083  libG4processes.so      [.] G4BraggIonModel::ElectronicStoppingPower
      26848696    52259771    13818845       19787  libstdc++.so.6.0.30    [.] std::string::push_back
      26828901    63081923     8892995       33909  libstdc++.so.6.0.30    [.] std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > >::do_get
      26473806    58718277    10485997       90283  libc.so.6              [.] __memmove_avx_unaligned
      25873939    38509000     9414110       46104  libG4materials.so      [.] G4AtomicShells::GetNumberOfElectrons
      25780086    20979738     4244497       59528  libG4processes.so      [.] G4EmModelManager::FillDEDXVector
      24841076    46512308    13234008      139278  libG4processes.so      [.] G4ICRU73QOModel::GetOscillatorEnergy
