cycles_ukP,comm,dso,symbol
41494287372,"g4run","libG4geometry.so","G4PolyhedraSide::G4PolyhedraSide"
24484382256,"g4run","libG4processes.so","G4HadronNucleonXsc::HadronNucleonXscNS"
20009476073,"g4run","libG4processes.so","G4ChipsProtonInelasticXS::CalculateCrossSection"
19858522282,"g4run","libm.so.6","__ieee754_atan2_fma"
10138021002,"g4run","libG4processes.so","G4HadElementSelector::G4HadElementSelector"
9531703472,"g4run","libG4geometry.so","G4PolyPhiFace::InCone"
9104081309,"g4run","g4run","CMSMagneticField::GetFieldValue"
7828134604,"g4run","libG4geometry.so","G4PolyconeSide::G4PolyconeSide"
7664979516,"g4run","libm.so.6","__sincos"
7287583188,"g4run","ld-linux-x86-64.so.2","__tls_get_addr"
7217932112,"g4run","libG4geometry.so","G4Navigator::ComputeStep"
7123633901,"g4run","libG4geometry.so","G4PolyconeSide::CalculateExtent"
6874781034,"g4run","libG4tracking.so","G4SteppingManager::InvokePostStepDoItProcs"
6259867646,"g4run","libG4processes.so","G4ITMultiNavigator::GetLocalExitNormal"
6122956807,"g4run","libG4processes.so","G4Pow::powA"
6048502097,"g4run","libG4digits_hits.so","G4VSensitiveDetector::~G4VSensitiveDetector"
5988512583,"g4run","libG4processes.so","G4ChipsProtonInelasticXS::G4ChipsProtonInelasticXS"
5938827351,"g4run","libG4processes.so","G4CrossSectionDataStore::DumpPhysicsTable"
5817980856,"g4run","libG4processes.so","std::vector<G4LossTableManager*, std::allocator<G4LossTableManager*> >::_M_fill_insert"
5783881894,"g4run","libG4geometry.so","G4TwistedTubs::G4TwistedTubs"
5405900731,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::iterate"
5056788017,"g4run","libG4geometry.so","G4PolyhedraSide::GetPointOnFace"
5001148513,"g4run","libG4processes.so","G4IntraNucleiCascader::finishCascade"
4832936974,"g4run","libG4tracking.so","G4SteppingVerbose::PostStepDoItOneByOne"
4735871167,"g4run","libG4tracking.so","G4SteppingManager::SetInitialStep"
4665227553,"g4run","libG4processes.so","G4ProcessManager::RemoveProcess"
4243445884,"g4run","libG4tracking.so","G4SteppingVerbose::AlongStepDoItOneByOne"
4177781243,"g4run","libG4geometry.so","std::vector<G4LogicalVolume*, std::allocator<G4LogicalVolume*> >::_M_realloc_insert<G4LogicalVolume*>"
3685961286,"g4run","libG4geometry.so","operator<<"
3559316281,"g4run","libG4geometry.so","G4PropagatorInField::ComputeStep"
3376288045,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::Verbose"
3262371322,"g4run","libG4processes.so","G4OpticalParametersMessenger::SetNewValue"
3249790160,"g4run","libCLHEP-2.4.5.3.so","CLHEP::HepLorentzVector::boost"
3231434085,"g4run","libG4geometry.so","G4ParameterisedNavigation::ComputeStep"
3098889126,"g4run","libG4geometry.so","G4Navigator::PrintState"
3046573255,"g4run","libG4processes.so","G4InuclCollider::collide"
3009774892,"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::StepWithError"
2948290180,"g4run","libG4processes.so","G4F18GEMProbability::G4F18GEMProbability"
2771105213,"g4run","libG4processes.so","G4ThreadLocalSingleton<G4LossTableManager>::G4ThreadLocalSingleton"
2567434806,"g4run","libG4processes.so","std::map<G4String, bool, std::less<G4String>, std::allocator<std::pair<G4String const, bool> > >::operator[]"
2518994626,"g4run","libG4geometry.so","G4SubtractionSolid::DistanceToIn"
2507793449,"g4run","libG4geometry.so","G4ExtrudedSolid::StreamInfo"
2506208547,"g4run","libG4particles.so","0x000000000006f80c"
2448018125,"g4run","libG4processes.so","G4GoudsmitSaundersonTable::LoadMSCData"
2419469247,"g4run","libG4tracking.so","G4SteppingManager::Stepping"
2394786656,"g4run","libG4processes.so","G4ProcessManager::AddProcess"
2299521774,"g4run","libG4geometry.so","G4Box::SetXHalfLength"
2246211541,"g4run","libm.so.6","__atan2"
2162993483,"g4run","libG4geometry.so","G4VoxelSafety::SafetyForVoxelHeader"
2130011330,"g4run","libG4processes.so","G4CacheReference<G4NuclearPolarizationStore*>::Destroy"
2117302538,"g4run","libG4geometry.so","G4ReflectedSolid::CreatePolyhedron"
2110343252,"g4run","libG4geometry.so","G4TwistedTubs::BoundingLimits"
2101806118,"g4run","libG4geometry.so","std::_Rb_tree<G4String, std::pair<G4String const, std::vector<G4VSolid*, std::allocator<G4VSolid*> > >, std::_Select1st<std::pair<G4String const, std::vector<G4VSolid*, std::allocator<G4VSolid*> > > >, std::less<G4String>, std::allocator<std::pair<G4String const, std::vector<G4VSolid*, std::allocator<G4VSolid*> > > > >::_M_emplace_unique<std::pair<G4String, std::vector<G4VSolid*, std::allocator<G4VSolid*> > > >"
2043824347,"g4run","libG4processes.so","G4LossTableManager::Register"
2026367986,"g4run","libG4geometry.so","G4PolyhedraSide::Distance"
1971069101,"g4run","libG4particles.so","G4OmegacZero::Definition"
1969775899,"g4run","libG4geometry.so","G4LogicalSkinSurface::DumpInfo"
1952603804,"g4run","libG4processes.so","G4LightTargetCollider::collide"
1925378440,"g4run","libCLHEP-2.4.5.3.so","CLHEP::(anonymous namespace)::theDefaults"
1899688596,"g4run","libG4particles.so","G4NucleiPropertiesTheoreticalTable::GetIndex"
1879718729,"g4run","libG4processes.so","std::vector<std::function<void ()>, std::allocator<std::function<void ()> > >::_M_realloc_insert<G4ThreadLocalSingleton<G4NuclearPolarizationStore>::G4ThreadLocalSingleton()::{lambda()#1}>"
1865165100,"g4run","libG4processes.so","G4LivermoreBremsstrahlungModel::ComputeDXSectionPerAtom"
1860037670,"g4run","libG4geometry.so","G4DisplacedSolid::CreatePolyhedron"
1827559606,"g4run","libG4processes.so","G4VEmProcess::StreamInfo"
1826759967,"g4run","libG4processes.so","G4PairProductionRelModel::ComputeRelDXSectionPerAtom"
1822293035,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::generate"
1791671121,"g4run","libG4particles.so","G4LambdacPlus::Definition"
1749943552,"g4run","libG4track.so","std::vector<G4Track const*, std::allocator<G4Track const*> >::_M_realloc_insert<G4Track const* const&>"
1673603850,"g4run","libCLHEP-2.4.5.3.so","CLHEP::operator/"
1638012680,"g4run","libG4processes.so","G4PEEffectFluoModel::SampleSecondaries"
1623805583,"g4run","libG4processes.so","G4PairProductionRelModel::SampleSecondaries"
1613095081,"g4run","libG4processes.so","G4LossTableManager::Register"
1602346811,"g4run","libG4processes.so","G4LossTableManager::BuildTables"
1597581500,"g4run","libG4processes.so","G4RKPropagation::Init"
1584562357,"g4run","libG4processes.so","std::vector<bool, std::allocator<bool> >::_M_insert_aux"
1553013157,"g4run","libG4processes.so","G4HadronNucleonXsc::HadronNucleonXscPDG"
1548754875,"g4run","libG4processes.so","G4VEmAdjointModel::ComputeAdjointCrossSectionVectorPerAtomForSecond"
1522247604,"g4run","libG4geometry.so","G4RegularNavigation::ComputeStepSkippingEqualMaterials"
1469872131,"g4run","libG4geometry.so","G4PolyPhiFace::Triangulate"
1466328986,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::~G4ParallelWorldScoringProcess"
1423751789,"g4run","libG4particles.so","G4DynamicParticle::operator="
1413191169,"g4run","libG4processes.so","G4PairProductionRelModel::ComputeLPMfunctions"
1380502096,"g4run","libG4geometry.so","G4Tubs::SurfaceNormal"
1373630630,"g4run","libG4geometry.so","G4PolyhedraSide::DistanceAway"
1373082238,"g4run","libG4processes.so","G4ElasticHadrNucleusHE::GetQ2_2"
1360937254,"g4run","libG4particles.so","G4DynamicParticle::Set4Momentum"
1345652568,"g4run","libG4processes.so","G4ComponentBarNucleonNucleusXsc::LoadData"
1319802133,"g4run","libG4processes.so","G4ParallelWorldProcessStore::SetParallelWorld"
1314806503,"g4run","libG4processes.so","G4CrossSectionDataStore::G4CrossSectionDataStore"
1275768740,"g4run","libG4geometry.so","G4ChordFinderDelegate<G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> > >::FindNextChord"
1274506987,"g4run","libG4processes.so","G4LorentzConvertor::rotate"
1274018724,"g4run","libG4particles.so","G4ParticleDefinition::DumpTable"
1260552296,"g4run","libG4processes.so","G4Radioactivation::DecayIt"
1233821546,"g4run","libG4tracking.so","G4SteppingManager::InvokeAtRestDoItProcs"
1221267775,"g4run","libG4geometry.so","G4MagErrorStepper::Stepper"
1218448075,"g4run","libstdc++.so.6.0.30","__dynamic_cast"
1175637177,"g4run","libCLHEP-2.4.5.3.so","CLHEP::Hep3Vector::rotateUz"
1154967232,"g4run","libCLHEP-2.4.5.3.so","CLHEP::HepRandom::getTheEngine"
1148634131,"g4run","libG4processes.so","G4LightTargetCollider::AbsorptionOnDeuteron"
1147305468,"g4run","libG4processes.so","std::_Rb_tree<G4ParallelWorldProcess*, std::pair<G4ParallelWorldProcess* const, G4String>, std::_Select1st<std::pair<G4ParallelWorldProcess* const, G4String> >, std::less<G4ParallelWorldProcess*>, std::allocator<std::pair<G4ParallelWorldProcess* const, G4String> > >::_M_get_insert_unique_pos"
1135066450,"g4run","libCLHEP-2.4.5.3.so","CLHEP::HepLorentzVector::boostVector"
1124310516,"g4run","libG4geometry.so","G4MagneticField::G4MagneticField"
1103950341,"g4run","libG4geometry.so","G4Paraboloid::G4Paraboloid"
1068463619,"g4run","libG4geometry.so","G4Navigator::ComputeSafety"
1049511803,"g4run","libG4geometry.so","G4MagneticField::~G4MagneticField"
983148582,"g4run","libG4processes.so","G4VEmProcess::PostStepGetPhysicalInteractionLength"
977651682,"g4run","libG4processes.so","std::vector<G4InuclElementaryParticle, std::allocator<G4InuclElementaryParticle> >::_M_realloc_insert<G4InuclElementaryParticle>"
963596888,"g4run","libG4processes.so","G4LorentzConvertor::rotate"
963385780,"g4run","libG4processes.so","G4NeutronInelasticXS::Initialise"
957371829,"g4run","libG4particles.so","G4DynamicParticle::G4DynamicParticle"
955907955,"g4run","libG4processes.so","G4ChipsKaonPlusElasticXS::GetExchangeT"
952016929,"g4run","libG4geometry.so","G4PolyhedraSide::IntersectSidePlane"
941922394,"g4run","libG4geometry.so","G4LogicalSurface::G4LogicalSurface"
940572519,"g4run","libG4processes.so","G4MultiBodyMomentumDist::~G4MultiBodyMomentumDist"
921723637,"g4run","libG4processes.so","G4CrossSectionDataSetRegistry::Clean"
912413522,"g4run","libG4track.so","G4ParticleChange::DumpInfo"
907301109,"g4run","libm.so.6","__ieee754_pow_fma"
906325488,"g4run","libG4geometry.so","G4Trap::SurfaceNormal"
905940581,"g4run","libG4processes.so","G4ParallelWorldProcess::~G4ParallelWorldProcess"
902841732,"g4run","libG4processes.so","G4CascadeParameters::DumpConfig"
884702135,"g4run","libG4geometry.so","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::OneGoodStep"
883990771,"g4run","libG4geometry.so","G4Paraboloid::StreamInfo"
879868189,"g4run","libG4processes.so","G4ChipsKaonPlusElasticXS::GetTabValues"
877713257,"g4run","libG4processes.so","std::vector<bool, std::allocator<bool> >::_M_fill_insert"
870911568,"g4run","libG4geometry.so","G4VoxelSafety::SafetyForVoxelNode"
866530096,"g4run","libG4processes.so","G4RKPropagation::FieldTransport"
860049292,"g4run","libG4geometry.so","G4PolyhedraSide::Inside"
856050347,"g4run","libG4processes.so","G4OpticalParametersMessenger::~G4OpticalParametersMessenger"
856045231,"g4run","libG4processes.so","G4IntraNucleiCascader::copyWoundedNucleus"
851168479,"g4run","libG4particles.so","G4NucleiProperties::GetNuclearMass"
849768018,"g4run","libG4processes.so","G4CascadeData<30, 1, 9, 22, 38, 53, 69, 78, 86>::print"
845584669,"g4run","libstdc++.so.6.0.30","__cxxabiv1::__si_class_type_info::__do_dyncast"
840693954,"g4run","libm.so.6","__ieee754_log_fma"
829595263,"g4run","libG4processes.so","std::vector<G4String, std::allocator<G4String> >::emplace_back<char const*&>"
827449378,"g4run","libG4processes.so","G4ScoreSplittingProcess::AlongStepDoIt"
816249008,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::AlongStepGetPhysicalInteractionLength"
806538737,"g4run","libG4tracking.so","G4SteppingManager::ProcessSecondariesFromParticleChange"
798089333,"g4run","libG4processes.so","G4ProductionCutsTable::StoreCutsInfo"
771568413,"g4run","libG4geometry.so","G4RKIntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::ComputeNewStepSize"
771129585,"g4run","libG4processes.so","G4IntraNucleiCascader::collide"
766007987,"g4run","libG4processes.so","G4HadronNucleonXsc::HadronNucleonXscVU"
