cycles,faults,minor_faults,major_faults,alignment_faults,comm,dso,symbol
40331187783,0,0,0,0,"g4run","libG4geometry.so","G4PolyhedraSide::G4PolyhedraSide"
19387040083,0,0,0,0,"g4run","g4run","CMSMagneticField::GetFieldValue"
18921616285,0,0,0,0,"g4run","libm.so.6","__ieee754_atan2_fma"
16422498226,0,0,0,0,"g4run","libG4geometry.so","G4PolyconeSide::G4PolyconeSide"
15569485292,0,0,0,0,"g4run","libG4processes.so","G4ChipsProtonInelasticXS::CalculateCrossSection"
14101960068,0,0,0,0,"g4run","libG4geometry.so","G4PolyconeSide::CalculateExtent"
9696927294,0,0,0,0,"g4run","libG4geometry.so","G4PolyPhiFace::InCone"
9331033672,0,0,0,0,"g4run","libG4processes.so","G4HadronNucleonXsc::HadronNucleonXscNS"
8814732290,0,0,0,0,"g4run","libG4processes.so","G4ITMultiNavigator::GetLocalExitNormal"
7995043796,0,0,0,0,"g4run","libG4processes.so","std::vector<G4LossTableManager*, std::allocator<G4LossTableManager*> >::_M_fill_insert"
7561127153,0,0,0,0,"g4run","libG4geometry.so","G4Navigator::ComputeStep"
7330628203,0,0,0,0,"g4run","libG4processes.so","G4CrossSectionDataStore::DumpPhysicsTable"
7164822069,0,0,0,0,"g4run","libG4tracking.so","G4SteppingManager::InvokePostStepDoItProcs"
7067125357,0,0,0,0,"g4run","ld-linux-x86-64.so.2","__tls_get_addr"
6295909447,0,0,0,0,"g4run","libG4digits_hits.so","G4VSensitiveDetector::~G4VSensitiveDetector"
6283736904,0,0,0,0,"g4run","libG4geometry.so","G4TwistedTubs::G4TwistedTubs"
5727905438,0,0,0,0,"g4run","libm.so.6","__sincos"
5488432490,0,0,0,0,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::iterate"
5420926095,0,0,0,0,"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::StepWithError"
