ibs_op__pp,dummy_HG,comm,dso,symbol
34102326293,g4run,"libG4processes.so","[.]","G4ChipsProtonInelasticXS::CalculateCrossSection"
26722066373,g4run,"libG4processes.so","[.]","G4ChipsProtonInelasticXS::G4ChipsProtonInelasticXS"
24142161974,g4run,"ld-linux-x86-64.so.2","[.]","__tls_get_addr"
21680959721,g4run,"libG4geometry.so","[.]","G4PolyhedraSide::G4PolyhedraSide"
19130735165,g4run,"libG4tracking.so","[.]","G4SteppingManager::SetInitialStep"
17862700527,g4run,"libG4geometry.so","[.]","G4Navigator::ComputeStep"
15951642427,g4run,"libG4tracking.so","[.]","G4SteppingManager::InvokePostStepDoItProcs"
15560435163,g4run,"libG4tracking.so","[.]","G4SteppingVerbose::AlongStepDoItOneByOne"
14198010774,g4run,"libG4geometry.so","[.]","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::StepWithError"
12960495287,g4run,"libG4processes.so","[.]","G4ParallelWorldScoringProcess::Verbose"
11895849324,g4run,"libG4geometry.so","[.]","G4PropagatorInField::ComputeStep"
10574738341,g4run,"libG4geometry.so","[.]","G4PolyconeSide::G4PolyconeSide"
10557599034,g4run,"libm.so.6","[.]","__sincos"
10184134326,g4run,"g4run","[.]","CMSMagneticField::GetFieldValue"
10134884183,g4run,"libG4processes.so","[.]","G4CacheReference<G4NuclearPolarizationStore*>::Destroy"
9966496806,g4run,"libG4tracking.so","[.]","G4SteppingManager::Stepping"
9620745051,g4run,"libG4processes.so","[.]","G4OpticalParametersMessenger::SetNewValue"
9491775947,g4run,"libG4track.so","[.]","G4Track::G4Track"
9139095540,g4run,"libG4processes.so","[.]","G4Pow::powA"
8941233718,g4run,"libG4geometry.so","[.]","G4PolyconeSide::CalculateExtent"
8812738597,g4run,"libG4geometry.so","[.]","G4Navigator::PrintState"
8761056341,g4run,"libG4processes.so","[.]","std::vector<std::function<void ()>, std::allocator<std::function<void ()> > >::_M_realloc_insert<G4ThreadLocalSingleton<G4NuclearPolarizationStore>::G4ThreadLocalSingleton()::{lambda()#1}>"
8504478949,g4run,"libG4geometry.so","[.]","G4ParameterisedNavigation::ComputeStep"
8313344411,g4run,"libCLHEP-2.4.5.3.so","[.]","CLHEP::MixMaxRng::iterate"
7955401959,g4run,"libG4geometry.so","[.]","G4ChordFinderDelegate<G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> > >::FindNextChord"
7749554986,g4run,"libG4processes.so","[.]","G4ITMultiNavigator::GetLocalExitNormal"
7678164607,g4run,"libCLHEP-2.4.5.3.so","[.]","CLHEP::(anonymous namespace)::theDefaults"
7638459455,g4run,"libG4processes.so","[.]","G4ProcessManager::RemoveProcess"
7576846615,g4run,"libG4processes.so","[.]","G4LossTableManager::Register"
7552060918,g4run,"libG4processes.so","[.]","G4CrossSectionDataStore::DumpPhysicsTable"
7429102633,g4run,"libm.so.6","[.]","__ieee754_atan2_fma"
7311468172,g4run,"libG4processes.so","[.]","G4CrossSectionDataStore::G4CrossSectionDataStore"
7018241033,g4run,"libG4processes.so","[.]","G4LossTableManager::Register"
6839648512,g4run,"libCLHEP-2.4.5.3.so","[.]","CLHEP::MixMaxRng::generate"
6416098664,g4run,"libG4geometry.so","[.]","G4TwistedTubs::G4TwistedTubs"
6371856550,g4run,"libG4tracking.so","[.]","G4SteppingVerbose::PostStepDoItOneByOne"
6181090191,g4run,"libG4geometry.so","[.]","G4VoxelSafety::SafetyForVoxelHeader"
6014987757,g4run,"libG4processes.so","[.]","G4VEmProcess::StreamInfo"
6005309716,g4run,"libG4geometry.so","[.]","G4NormalNavigation::ComputeStep"
5919151265,g4run,"libG4processes.so","[.]","G4ParallelWorldProcessStore::SetParallelWorld"
5908564673,g4run,"libG4processes.so","[.]","G4VEmProcess::PostStepGetPhysicalInteractionLength"
5607080634,g4run,"libG4processes.so","[.]","G4F18GEMProbability::G4F18GEMProbability"
5411894160,g4run,"libG4geometry.so","[.]","std::_Rb_tree<G4String, std::pair<G4String const, std::vector<G4VSolid*, std::allocator<G4VSolid*> > >, std::_Select1st<std::pair<G4String const, std::vector<G4VSolid*, std::allocator<G4VSolid*> > > >, std::less<G4String>, std::allocator<std::pair<G4String const, std::vector<G4VSolid*, std::allocator<G4VSolid*> > > > >::_M_emplace_unique<std::pair<G4String, std::vector<G4VSolid*, std::allocator<G4VSolid*> > > >"
5404208891,g4run,"libG4geometry.so","[.]","G4PolyPhiFace::InCone"
5342348434,g4run,"libG4processes.so","[.]","std::vector<G4LossTableManager*, std::allocator<G4LossTableManager*> >::_M_fill_insert"
5307350093,g4run,"libG4processes.so","[.]","G4LossTableManager::BuildTables"
5232800427,g4run,"libG4geometry.so","[.]","G4TwistedTubs::BoundingLimits"
5003838679,g4run,"libG4geometry.so","[.]","G4RegularNavigation::ComputeStepSkippingEqualMaterials"
4987457041,g4run,"libG4processes.so","[.]","G4HadronNucleonXsc::HadronNucleonXscNS"
4854725341,g4run,"libG4geometry.so","[.]","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::OneGoodStep"
4642323897,g4run,"libG4processes.so","[.]","G4ThreadLocalSingleton<G4LossTableManager>::G4ThreadLocalSingleton"
4598517355,g4run,"libG4geometry.so","[.]","operator<<"
4579076901,g4run,"libG4geometry.so","[.]","G4Navigator::LocateGlobalPointAndSetup"
4498925088,g4run,"libG4processes.so","[.]","std::map<G4String, bool, std::less<G4String>, std::allocator<std::pair<G4String const, bool> > >::operator[]"
4474569196,g4run,"libG4geometry.so","[.]","G4LogicalSkinSurface::DumpInfo"
4359084096,g4run,"libG4geometry.so","[.]","std::vector<G4LogicalVolume*, std::allocator<G4LogicalVolume*> >::_M_realloc_insert<G4LogicalVolume*>"
4144284325,g4run,"libG4processes.so","[.]","G4PEEffectFluoModel::SampleSecondaries"
4040312329,g4run,"libG4tracking.so","[.]","std::vector<G4String, std::allocator<G4String> >::_M_realloc_insert<char const*&>"
3942924858,g4run,"libG4particles.so","[.]","G4OmegacZero::Definition"
3899075620,g4run,"libG4geometry.so","[.]","G4Box::SetXHalfLength"
3782682799,g4run,"libG4geometry.so","[.]","operator<<"
3776482095,g4run,"libG4geometry.so","[.]","G4Navigator::ComputeSafety"
3668620413,g4run,"libG4geometry.so","[.]","field_utils::relativeError@plt"
3658696829,g4run,"libG4processes.so","[.]","G4PairProductionRelModel::ComputeRelDXSectionPerAtom"
3657149713,g4run,"libG4processes.so","[.]","G4IntraNucleiCascader::finishCascade"
3588834826,g4run,"libG4track.so","[.]","G4VParticleChange::DumpInfo"
3569149747,g4run,"libG4processes.so","[.]","G4PairProductionRelModel::SampleSecondaries"
3402354521,g4run,"libG4geometry.so","[.]","G4FieldTrack::G4FieldTrack"
3365069367,g4run,"libCLHEP-2.4.5.3.so","[.]","CLHEP::MixMaxRng::flatArray"
3355869542,g4run,"libG4particles.so","[.]","G4LambdacPlus::Definition"
3351938767,g4run,"libG4geometry.so","[.]","G4DisplacedSolid::CreatePolyhedron"
3321126850,g4run,"libG4processes.so","[.]","G4HadElementSelector::G4HadElementSelector"
3314746094,g4run,"libG4processes.so","[.]","G4GoudsmitSaundersonTable::LoadMSCData"
3273634856,g4run,"libG4processes.so","[.]","G4ParallelWorldScoringProcess::~G4ParallelWorldScoringProcess"
3241673939,g4run,"libG4processes.so","[.]","G4OpticalParametersMessenger::G4OpticalParametersMessenger"
3210984640,g4run,"libG4processes.so","[.]","G4VEmAdjointModel::ComputeAdjointCrossSectionVectorPerAtomForSecond"
3182264993,g4run,"libCLHEP-2.4.5.3.so","[.]","CLHEP::operator/"
3159698631,g4run,"libG4tracking.so","[.]","G4SteppingManager::ProcessSecondariesFromParticleChange"
3080434180,g4run,"libG4processes.so","[.]","G4InuclCollider::collide"
3024094351,g4run,"libG4processes.so","[.]","G4OpticalParametersMessenger::~G4OpticalParametersMessenger"
2924786457,g4run,"libCLHEP-2.4.5.3.so","[.]","CLHEP::MixMaxRng::MULWU"
2795342100,g4run,"libG4particles.so","[.]","G4DynamicParticle::operator="
2791331460,g4run,"libG4processes.so","[.]","G4LivermoreBremsstrahlungModel::ComputeDXSectionPerAtom"
2726062147,g4run,"libG4processes.so","[.]","std::_Rb_tree<G4ParallelWorldProcess*, std::pair<G4ParallelWorldProcess* const, G4String>, std::_Select1st<std::pair<G4ParallelWorldProcess* const, G4String> >, std::less<G4ParallelWorldProcess*>, std::allocator<std::pair<G4ParallelWorldProcess* const, G4String> > >::_M_get_insert_unique_pos"
