cycles,instructions,l2_itlb_misses,l2_dtlb_misses,comm,dso,symbol
20646267835,30510795213,363899,3514323,"g4run","libG4processes.so","G4ChipsProtonInelasticXS::CalculateCrossSection"
15307617531,24948699027,234459,2516887,"g4run","libG4processes.so","G4HadronNucleonXsc::HadronNucleonXscNS"
13432770396,23351237713,201710,1947357,"g4run","g4run","CMSMagneticField::GetFieldValue"
9660811158,13668856992,220143,2613052,"g4run","libG4processes.so","std::vector<G4LossTableManager*, std::allocator<G4LossTableManager*> >::_M_fill_insert"
9005905892,15587217528,87943,1768158,"g4run","libG4geometry.so","G4PolyconeSide::G4PolyconeSide"
8853397726,13134836837,193077,1774093,"g4run","libG4tracking.so","G4SteppingManager::InvokePostStepDoItProcs"
8515141370,12260815883,228135,1846299,"g4run","libG4processes.so","G4CrossSectionDataStore::DumpPhysicsTable"
8444463113,13676817892,164419,1503785,"g4run","libG4geometry.so","G4Navigator::ComputeStep"
8255383972,13274653436,126684,1827170,"g4run","libG4geometry.so","G4PolyconeSide::CalculateExtent"
8099565077,12001538391,100562,2736778,"g4run","libG4processes.so","G4ITMultiNavigator::GetLocalExitNormal"
7950606207,13077580516,115722,937164,"g4run","libm.so.6","__sincos"
7819096935,12345007849,193184,1278566,"g4run","libG4digits_hits.so","G4VSensitiveDetector::~G4VSensitiveDetector"
7465046927,11671770888,191855,1244938,"g4run","ld-linux-x86-64.so.2","__tls_get_addr"
7415374340,11968458117,292269,1642957,"g4run","libG4geometry.so","G4PolyhedraSide::G4PolyhedraSide"
7216743461,10861258913,100323,753525,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::iterate"
6614300885,9798840530,168261,1116539,"g4run","libG4tracking.so","G4SteppingManager::SetInitialStep"
6608971534,12373309285,181302,1127259,"g4run","libm.so.6","__ieee754_atan2_fma"
6470888314,9945444410,49788,2321011,"g4run","libG4processes.so","G4HadElementSelector::G4HadElementSelector"
6393537437,9639485713,129929,947347,"g4run","libG4tracking.so","G4SteppingVerbose::PostStepDoItOneByOne"
6327651094,9079089776,127857,1128385,"g4run","libG4processes.so","G4ProcessManager::RemoveProcess"
