cycles,instructions,stalled_cycles_frontend,stalled_cycles_backend,comm,dso,symbol
49201115225,80305887643,924554935,9498992471,"g4run","libG4geometry.so","G4PolyhedraSide::G4PolyhedraSide"
19334396828,31691413308,374962219,3719759411,"g4run","libm.so.6","__ieee754_atan2_fma"
17427714124,25383699167,376518783,3250683489,"g4run","libG4processes.so","G4ChipsProtonInelasticXS::CalculateCrossSection"
14559192574,26360049649,158600526,4498253642,"g4run","g4run","CMSMagneticField::GetFieldValue"
11719282336,18752065781,242660503,2276782119,"g4run","libG4geometry.so","G4PolyPhiFace::InCone"
9897052456,13106329335,299185637,1836439596,"g4run","libG4processes.so","std::vector<G4LossTableManager*, std::allocator<G4LossTableManager*> >::_M_fill_insert"
9776704993,14054700841,248794795,1823228866,"g4run","libG4processes.so","G4CrossSectionDataStore::DumpPhysicsTable"
8945961118,14269857671,191761158,2551446816,"g4run","libG4geometry.so","G4PolyconeSide::CalculateExtent"
8859509146,14306688272,171135754,2800661383,"g4run","libG4geometry.so","G4PolyconeSide::G4PolyconeSide"
8263107291,11630246662,282422130,2092151855,"g4run","libG4processes.so","G4ITMultiNavigator::GetLocalExitNormal"
8032215732,11432524978,207148570,1524707568,"g4run","libG4tracking.so","G4SteppingManager::InvokePostStepDoItProcs"
8015094176,12785498311,161969452,2296377817,"g4run","libG4geometry.so","G4Navigator::ComputeStep"
7434819243,11711023308,172283765,1642981859,"g4run","ld-linux-x86-64.so.2","__tls_get_addr"
7142051940,11518080116,137354493,1515960739,"g4run","libG4geometry.so","G4TwistedTubs::G4TwistedTubs"
7125250227,11186128797,144058469,1709297381,"g4run","libG4digits_hits.so","G4VSensitiveDetector::~G4VSensitiveDetector"
6599959821,10174340052,166119619,2059855198,"g4run","libG4processes.so","G4HadronNucleonXsc::HadronNucleonXscNS"
5770227137,9477120104,114568186,1084504849,"g4run","libG4geometry.so","G4PolyhedraSide::GetPointOnFace"
5764522825,8600764921,116448738,1416465222,"g4run","libG4tracking.so","G4SteppingManager::SetInitialStep"
5583725747,8353160427,108191379,1202853419,"g4run","libG4processes.so","G4ProcessManager::RemoveProcess"
5578757495,8513973393,103536934,1375887059,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::iterate"
5326318310,8005050852,98708012,1439021697,"g4run","libG4tracking.so","G4SteppingVerbose::PostStepDoItOneByOne"
5253665153,7788735027,139203768,1369971544,"g4run","libG4geometry.so","std::vector<G4LogicalVolume*, std::allocator<G4LogicalVolume*> >::_M_realloc_insert<G4LogicalVolume*>"
5236912191,8590436631,106460216,1340232032,"g4run","libm.so.6","__sincos"
4991833096,8031597958,77626870,938447104,"g4run","libG4geometry.so","G4PropagatorInField::ComputeStep"
4872363702,7059089821,93530976,1286236524,"g4run","libG4tracking.so","G4SteppingVerbose::AlongStepDoItOneByOne"
4747197398,6700182745,100666194,621600518,"g4run","libG4processes.so","G4OpticalParametersMessenger::SetNewValue"
4675012193,8560348740,58642789,1369693942,"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::StepWithError"
4650507698,6888087294,108896167,927347173,"g4run","libG4processes.so","G4Pow::powA"
4612135548,7287908179,110555354,1244042957,"g4run","libG4geometry.so","operator<<"
4185803953,6990937387,69437614,948306553,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::Verbose"
4112408417,6093107855,90458151,816559440,"g4run","libG4processes.so","G4ChipsProtonInelasticXS::G4ChipsProtonInelasticXS"
4000395041,6514936494,66031594,993266395,"g4run","libG4geometry.so","G4Navigator::PrintState"
3912715863,5588417196,108665337,491428197,"g4run","libG4processes.so","G4ThreadLocalSingleton<G4LossTableManager>::G4ThreadLocalSingleton"
3724868232,5316112248,94660155,427249638,"g4run","libG4processes.so","std::map<G4String, bool, std::less<G4String>, std::allocator<std::pair<G4String const, bool> > >::operator[]"
3632106757,5598444357,77513838,817724728,"g4run","libG4geometry.so","G4ParameterisedNavigation::ComputeStep"
