cycles,instructions,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses,comm,dso,symbol
55586597645,91179239597,873274426,11063090,255958846,2476877,"g4run","libG4geometry.so","G4PolyhedraSide::G4PolyhedraSide"
23225868682,38673443219,332809142,4767710,90223840,1204970,"g4run","libm.so.6","__ieee754_atan2_fma"
16378916533,23930696447,519627678,3118194,158326703,376745,"g4run","libG4processes.so","G4ChipsProtonInelasticXS::CalculateCrossSection"
14057680598,21947874734,493506014,2674536,138652204,182461,"g4run","libG4processes.so","G4HadronNucleonXsc::HadronNucleonXscNS"
13083394943,20703779717,217606182,2708601,67582763,874628,"g4run","libG4geometry.so","G4PolyPhiFace::InCone"
12257237039,21486668043,217523426,2037360,53082142,196771,"g4run","g4run","CMSMagneticField::GetFieldValue"
7591355693,12418767798,146455731,1695642,30872453,83296,"g4run","libG4geometry.so","G4PolyconeSide::G4PolyconeSide"
7506383362,10510370334,135760288,2825365,24523657,167696,"g4run","libG4processes.so","G4ITMultiNavigator::GetLocalExitNormal"
7462551836,12121402272,175337528,1499677,35518900,215928,"g4run","libG4geometry.so","G4Navigator::ComputeStep"
7330542124,9791226795,229052045,2146385,62137609,262555,"g4run","libG4processes.so","std::vector<G4LossTableManager*, std::allocator<G4LossTableManager*> >::_M_fill_insert"
7310802485,11597914861,155934515,1407828,51340104,313969,"g4run","ld-linux-x86-64.so.2","__tls_get_addr"
7230787449,10180528247,210000844,1587464,56841545,197179,"g4run","libG4tracking.so","G4SteppingManager::InvokePostStepDoItProcs"
7191275171,11268766197,96833037,1890187,24605384,136442,"g4run","libG4geometry.so","G4PolyconeSide::CalculateExtent"
7169865425,11733811856,104820914,1583796,30087490,312057,"g4run","libG4geometry.so","G4TwistedTubs::G4TwistedTubs"
6719237196,9612441020,175870908,1511129,52767903,246041,"g4run","libG4processes.so","G4CrossSectionDataStore::DumpPhysicsTable"
6610876394,10652451919,101551680,1332771,29444055,311125,"g4run","libG4geometry.so","G4PolyhedraSide::GetPointOnFace"
6343638243,10078318635,150451823,1159215,43745815,202036,"g4run","libG4digits_hits.so","G4VSensitiveDetector::~G4VSensitiveDetector"
6089429150,8780845485,240690784,2136624,38679914,48145,"g4run","libG4processes.so","G4HadElementSelector::G4HadElementSelector"
5999975882,10264065836,138339145,800727,48848192,122608,"g4run","libm.so.6","__sincos"
5305876746,7926263428,124031282,652807,45043672,116305,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::iterate"
5189913571,7964842687,122660830,968887,35760551,169611,"g4run","libG4tracking.so","G4SteppingManager::SetInitialStep"
5008530680,7367883669,138886898,1005119,46488947,141722,"g4run","libG4processes.so","G4ProcessManager::RemoveProcess"
4938053318,7448697598,145582129,1018047,41053379,97434,"g4run","libG4processes.so","G4Pow::powA"
4711003589,7267019277,134603517,778462,32434018,122987,"g4run","libG4tracking.so","G4SteppingVerbose::PostStepDoItOneByOne"
4509383312,6954437453,105491082,1259048,26075757,180847,"g4run","libG4geometry.so","std::vector<G4LogicalVolume*, std::allocator<G4LogicalVolume*> >::_M_realloc_insert<G4LogicalVolume*>"
4472624817,6792954586,155600434,840406,45115453,86783,"g4run","libG4processes.so","G4ChipsProtonInelasticXS::G4ChipsProtonInelasticXS"
4378002018,6736387510,69770134,1089587,16783182,180931,"g4run","libG4geometry.so","operator<<"
4346245903,6667527357,109331663,763306,28167579,107076,"g4run","libG4tracking.so","G4SteppingVerbose::AlongStepDoItOneByOne"
4087286236,6518062004,96439139,594956,31659825,131959,"g4run","libG4geometry.so","G4PropagatorInField::ComputeStep"
3819430529,5431734940,106977723,486978,40410674,197450,"g4run","libG4processes.so","G4OpticalParametersMessenger::SetNewValue"
3726809105,6571336841,78633697,613690,21406007,83278,"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::StepWithError"
3644719700,5889277905,97245420,544583,25875242,96909,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::Verbose"
3498261428,5514099671,90752823,699739,21518889,217672,"g4run","libG4geometry.so","G4ParameterisedNavigation::ComputeStep"
3437286832,5584080192,86944124,426840,28464008,134221,"g4run","libG4geometry.so","G4Navigator::PrintState"
3270069797,4465487608,97458201,522794,39091780,198088,"g4run","libG4processes.so","G4ThreadLocalSingleton<G4LossTableManager>::G4ThreadLocalSingleton"
3193357473,5195212624,52775112,654198,16245835,206173,"g4run","libG4geometry.so","G4SubtractionSolid::DistanceToIn"
3160436796,5201166884,52344434,575659,13274570,145293,"g4run","libG4geometry.so","G4Box::SetXHalfLength"
3142923113,4891995530,41135494,760661,11953366,135146,"g4run","libG4geometry.so","G4ExtrudedSolid::StreamInfo"
3049218568,4374516701,84524146,511635,34142181,174273,"g4run","libG4processes.so","std::map<G4String, bool, std::less<G4String>, std::allocator<std::pair<G4String const, bool> > >::operator[]"
2761182921,4080386126,52299406,383875,26882883,128349,"g4run","libG4processes.so","G4IntraNucleiCascader::finishCascade"
