instructions,uops_dispatched,uops_retired,de_dis_uop_queue_empty_di0,de_dis_uops_from_decoder_decoder_dispatched,de_dis_uops_from_decoder_opcache_dispatched,comm,dso,symbol
107209023965,122725855883,119316660875,10661265310,71852480680,50699479979,"g4run","libG4geometry.so","G4PolyhedraSide::G4PolyhedraSide"
39672954055,46155561862,44526002959,4104718737,25303587226,20829212208,"g4run","libm.so.6","__ieee754_atan2_fma"
23505200467,25910547571,25729192375,1847662590,12714439856,13123945668,"g4run","g4run","CMSMagneticField::GetFieldValue"
22845202073,26657131336,25459360191,2330270264,15519317334,10949481474,"g4run","libG4geometry.so","G4PolyPhiFace::InCone"
22078333391,24481022999,23879147253,3418819501,18013165539,6642163630,"g4run","libG4processes.so","G4ChipsProtonInelasticXS::CalculateCrossSection"
16984398131,20596049301,18710985542,1350417923,9600651481,10801944767,"g4run","libG4geometry.so","G4PolyconeSide::G4PolyconeSide"
14731576105,17383258691,16329622506,1454710431,9673589507,7734739486,"g4run","libG4geometry.so","G4TwistedTubs::G4TwistedTubs"
12975304377,16685010441,14758774150,1353872215,8901857818,8042139695,"g4run","libG4geometry.so","G4PolyconeSide::CalculateExtent"
12483661549,14366042870,13831025848,1278843773,8448097712,5997829954,"g4run","libG4geometry.so","G4PolyhedraSide::GetPointOnFace"
11883146753,13276658924,12872890047,1180663497,8748762941,4382278384,"g4run","libG4processes.so","G4HadronNucleonXsc::HadronNucleonXscNS"
11779633378,13564241216,12848304706,1292496852,8932668361,4706902523,"g4run","libG4geometry.so","G4Navigator::ComputeStep"
11779100102,13310566858,12533544348,1634500022,9596676595,3501935974,"g4run","libG4processes.so","G4CrossSectionDataStore::DumpPhysicsTable"
11588047557,13088445620,12605292236,1416905151,8992148586,4076614918,"g4run","ld-linux-x86-64.so.2","__tls_get_addr"
11217358986,14058202145,12291509483,1884290714,10982775676,3122522995,"g4run","libG4processes.so","std::vector<G4LossTableManager*, std::allocator<G4LossTableManager*> >::_M_fill_insert"
10621197264,12737886878,11330372343,1529334059,9357845354,3338230228,"g4run","libG4tracking.so","G4SteppingManager::InvokePostStepDoItProcs"
10602939802,13085037201,11792048969,1276794918,8457051686,4566208851,"g4run","libG4processes.so","G4ITMultiNavigator::GetLocalExitNormal"
10495463008,12067803792,11132280669,1122919865,7724866873,3967775189,"g4run","libG4digits_hits.so","G4VSensitiveDetector::~G4VSensitiveDetector"
8654789392,9446393261,9496390257,915363535,6634575037,2683199616,"g4run","libm.so.6","__sincos"
7971878996,9158906656,8757901893,945582139,6589645517,2638533012,"g4run","libG4tracking.so","G4SteppingManager::SetInitialStep"
7833013851,9161183404,8742100610,1013023007,6650728080,2333775049,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::iterate"
7663588072,8742237100,8435284394,943933098,6387626798,2253715395,"g4run","libG4processes.so","G4ProcessManager::RemoveProcess"
7528246311,8089284936,8320961600,638296974,4321468216,4016536260,"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::StepWithError"
7228479087,8052265193,8033052504,921391294,5216368249,2869066884,"g4run","libG4geometry.so","G4PropagatorInField::ComputeStep"
7188428936,8497131414,7727103723,763434534,5496299358,2646640870,"g4run","libG4geometry.so","operator<<"
7130550504,7971663685,7704651546,781009200,5498747983,2696020562,"g4run","libG4tracking.so","G4SteppingVerbose::PostStepDoItOneByOne"
7051766607,8295996466,7749176204,828464091,5588507700,2697747838,"g4run","libG4geometry.so","std::vector<G4LogicalVolume*, std::allocator<G4LogicalVolume*> >::_M_realloc_insert<G4LogicalVolume*>"
6892760220,8036876968,7641237252,799434164,5303880854,2644333710,"g4run","libG4tracking.so","G4SteppingVerbose::AlongStepDoItOneByOne"
6497891138,7381492142,7023903130,731872145,4224560404,2893023570,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::Verbose"
6301998239,7073038012,6802339445,705452088,4182731632,2892392226,"g4run","libG4geometry.so","G4SubtractionSolid::DistanceToIn"
6251515113,7098843570,6821852145,852330553,4802144563,2159016797,"g4run","libG4processes.so","G4Pow::powA"
6095362149,6745143482,6537200995,735311890,4441662706,2378724726,"g4run","libG4geometry.so","G4Navigator::PrintState"
5889933271,6793862526,6574544982,619812473,3739532104,3250778024,"g4run","libG4geometry.so","G4ExtrudedSolid::StreamInfo"
5743073761,6647744947,6565825877,554988168,3914197408,2722316144,"g4run","libG4geometry.so","G4Box::SetXHalfLength"
5705734159,6571299930,6181318227,1129051980,5273279381,1247590337,"g4run","libG4processes.so","G4OpticalParametersMessenger::SetNewValue"
5480824957,6251918651,5939785914,662490047,4111263209,2251792502,"g4run","libG4geometry.so","G4ParameterisedNavigation::ComputeStep"
5301828854,6010142502,5788346178,807561880,4395226221,1630598203,"g4run","libG4processes.so","G4ChipsProtonInelasticXS::G4ChipsProtonInelasticXS"
4870218743,5225843256,5324911936,314137810,3066283286,2187434614,"g4run","libG4processes.so","G4HadElementSelector::G4HadElementSelector"
4826362186,5650604905,5062849868,980393943,4812932058,872146073,"g4run","libG4processes.so","G4ThreadLocalSingleton<G4LossTableManager>::G4ThreadLocalSingleton"
4803831112,5716160731,5385470128,501183773,3132466635,2455983143,"g4run","libm.so.6","__atan2"
4649889312,5203779246,4977215318,986411508,4292972882,907762409,"g4run","libG4processes.so","std::map<G4String, bool, std::less<G4String>, std::allocator<std::pair<G4String const, bool> > >::operator[]"
4567237733,5360334089,4889121706,489665938,3397060347,1976493554,"g4run","libG4geometry.so","std::_Rb_tree<G4String, std::pair<G4String const, std::vector<G4VSolid*, std::allocator<G4VSolid*> > >, std::_Select1st<std::pair<G4String const, std::vector<G4VSolid*, std::allocator<G4VSolid*> > > >, std::less<G4String>, std::allocator<std::pair<G4String const, std::vector<G4VSolid*, std::allocator<G4VSolid*> > > > >::_M_emplace_unique<std::pair<G4String, std::vector<G4VSolid*, std::allocator<G4VSolid*> > > >"
4465838360,5307909020,5034447621,402247030,2869182375,2416617813,"g4run","libG4geometry.so","G4TwistedTubs::BoundingLimits"
4388334557,4979701074,4757962397,483255360,3100759797,1954230798,"g4run","libG4geometry.so","G4DisplacedSolid::CreatePolyhedron"
4328664367,5100150983,5061015170,368683296,2114085415,3090994705,"g4run","libG4geometry.so","G4PolyhedraSide::Distance"
4264028280,5314589833,4713012560,420646180,3087916699,2305723028,"g4run","libG4geometry.so","G4VoxelSafety::SafetyForVoxelHeader"
4263544023,4851651171,4788524315,382226592,2673298938,2233816739,"g4run","libG4geometry.so","G4PolyPhiFace::Triangulate"
4251256321,4862116284,4761263448,499015012,2735609192,2070017332,"g4run","libG4processes.so","G4PairProductionRelModel::SampleSecondaries"
4220719614,5003889113,4628511165,348760591,2754602568,2154240515,"g4run","libG4processes.so","G4GoudsmitSaundersonTable::LoadMSCData"
4199071163,4883842805,4699332507,569416573,3181974746,1733782224,"g4run","libG4processes.so","G4VEmProcess::StreamInfo"
4118550903,4648675683,4500868789,545918597,3020863653,1611122054,"g4run","libG4tracking.so","G4SteppingManager::Stepping"
4092322139,4832391877,4390773727,718796182,3714444464,1187982412,"g4run","libG4processes.so","G4LossTableManager::Register"
3949572764,4610310813,4257505896,533158877,3575641656,1151189917,"g4run","libG4processes.so","G4PEEffectFluoModel::SampleSecondaries"
3948724951,4720987518,4290775659,383898124,2941554146,1743369053,"g4run","libG4processes.so","G4VEmAdjointModel::ComputeAdjointCrossSectionVectorPerAtomForSecond"
3768373393,4542471905,3959824381,508012057,2772087959,1660911209,"g4run","libG4geometry.so","G4LogicalSkinSurface::DumpInfo"
3689395021,3851668402,3933491173,509619081,3281141832,628203517,"g4run","libG4processes.so","G4CacheReference<G4NuclearPolarizationStore*>::Destroy"
3436794815,3612336492,3515048555,707306848,3249304198,522648847,"g4run","libG4processes.so","G4PairProductionRelModel::ComputeRelDXSectionPerAtom"
3420493196,3797883947,3622083896,421015727,2920120706,948288519,"g4run","libG4geometry.so","G4ReflectedSolid::CreatePolyhedron"
3361219167,3455311221,3638758934,448659634,2953238548,566973697,"g4run","libG4processes.so","std::vector<std::function<void ()>, std::allocator<std::function<void ()> > >::_M_realloc_insert<G4ThreadLocalSingleton<G4NuclearPolarizationStore>::G4ThreadLocalSingleton()::{lambda()#1}>"
3261305768,3973473600,3568615184,553691645,3011438722,854249145,"g4run","libG4processes.so","G4LossTableManager::Register"
3178827148,3621486538,3437179213,245047893,1525311212,2217122878,"g4run","libG4geometry.so","G4PolyhedraSide::DistanceAway"
3127550181,3558131892,3479448583,434951466,2487129249,1082004207,"g4run","libG4geometry.so","G4RegularNavigation::ComputeStepSkippingEqualMaterials"
3125218592,3491614943,3316414210,260159301,2535789443,985459829,"g4run","libG4processes.so","G4LivermoreBremsstrahlungModel::ComputeDXSectionPerAtom"
3112030456,3524952093,3585533841,249054382,1621966534,1933273197,"g4run","libG4geometry.so","G4MagneticField::G4MagneticField"
3006108955,3294165835,3260591855,322910929,1803751626,1468514419,"g4run","libG4geometry.so","G4ChordFinderDelegate<G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> > >::FindNextChord"
2990377130,3388114537,3341599304,431715489,2680562019,782077989,"g4run","libG4track.so","std::vector<G4Track const*, std::allocator<G4Track const*> >::_M_realloc_insert<G4Track const* const&>"
2946169132,3375475030,3125115671,439505695,2710927262,776374478,"g4run","libG4processes.so","G4LossTableManager::BuildTables"
2918046822,2920108724,3191137411,380686109,2044738357,979084723,"g4run","libG4processes.so","G4ProcessManager::AddProcess"
2695790456,3111993749,2831473990,289201384,2283990135,949267693,"g4run","libG4geometry.so","G4Tubs::SurfaceNormal"
2630204559,3311560606,2930712635,514941594,2876994827,549957307,"g4run","libG4processes.so","G4ComponentBarNucleonNucleusXsc::LoadData"
2615972465,2974347869,2870115813,603295644,2548734400,378758016,"g4run","libG4processes.so","G4PairProductionRelModel::ComputeLPMfunctions"
2529924111,2837084626,2690635842,317913795,1864588218,988191701,"g4run","libG4geometry.so","G4MagErrorStepper::Stepper"
2427956331,2746759513,2569817923,370516543,1971983835,729192992,"g4run","libG4processes.so","G4CrossSectionDataStore::G4CrossSectionDataStore"
2350063052,2354114935,2560789367,297371561,1976552864,499125032,"g4run","libG4tracking.so","G4SteppingManager::InvokeAtRestDoItProcs"
2334177116,2583610066,2658190340,163703505,1068547157,1569218334,"g4run","libG4geometry.so","G4PolyhedraSide::Inside"
2306879474,2469411194,2385759655,333202793,1860238561,647413541,"g4run","libCLHEP-2.4.5.3.so","CLHEP::(anonymous namespace)::theDefaults"
2301232525,2611172429,2444032570,215263982,1623774909,1085417806,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::~G4ParallelWorldScoringProcess"
2245497966,2313288570,2370788853,281334304,1913975244,473675311,"g4run","libG4particles.so","G4ParticleDefinition::DumpTable"
2224239950,2765060890,2455589471,393383634,1734037903,898033631,"g4run","libG4processes.so","G4CrossSectionDataSetRegistry::Clean"
2213908679,2583570833,2434175275,273329120,1648969355,944635720,"g4run","libG4processes.so","G4ParallelWorldProcessStore::SetParallelWorld"
2159820675,2405233532,2345308763,308834631,1797263363,519085690,"g4run","libG4processes.so","G4VEmProcess::PostStepGetPhysicalInteractionLength"
2150885888,2487578146,2384839730,292189786,1550754496,941573770,"g4run","libG4geometry.so","G4PolyhedraSide::IntersectSidePlane"
2139508543,2407325732,2406204059,305647641,1865879251,606443535,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::generate"
2121873361,2633519349,2337668364,164438751,1183551760,1497293230,"g4run","libG4geometry.so","G4Paraboloid::G4Paraboloid"
2120652534,2421530274,2355050299,259585933,1532417310,934140706,"g4run","libCLHEP-2.4.5.3.so","CLHEP::RandGaussQ::transformQuick"
2096184401,2325646227,2286875675,212219136,1591073626,603757461,"g4run","libG4processes.so","std::vector<G4String, std::allocator<G4String> >::emplace_back<char const*&>"
2092756851,2111337218,2146776736,556979900,1838455543,244188037,"g4run","libG4processes.so","G4IntraNucleiCascader::finishCascade"
2043156779,2372588048,2387995655,194367380,1413126429,1021863746,"g4run","libG4geometry.so","G4Navigator::ComputeSafety"
1988134657,2194110731,2234722966,202870562,1728324299,560173591,"g4run","libCLHEP-2.4.5.3.so","CLHEP::Hep3Vector::rotateUz"
1937807116,2235751743,2206512055,211195429,1443688992,776040749,"g4run","libG4geometry.so","G4MagneticField::~G4MagneticField"
1918350038,2237131737,2265690419,193947219,1239327022,980349752,"g4run","libG4geometry.so","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::OneGoodStep"
1854071390,1933439564,2050711344,120997825,1502230823,554461683,"g4run","libG4processes.so","std::vector<G4PairProductionRelModel::ElementData*, std::allocator<G4PairProductionRelModel::ElementData*> >::_M_fill_insert"
1850189606,2073221043,1961463101,214385804,1458909468,675428896,"g4run","libG4processes.so","std::_Rb_tree<G4ParallelWorldProcess*, std::pair<G4ParallelWorldProcess* const, G4String>, std::_Select1st<std::pair<G4ParallelWorldProcess* const, G4String> >, std::less<G4ParallelWorldProcess*>, std::allocator<std::pair<G4ParallelWorldProcess* const, G4String> > >::_M_get_insert_unique_pos"
1776674215,2099773226,2019775355,266837891,1624728807,518118668,"g4run","libG4processes.so","G4PenelopeRayleighModelMI::InitializeSamplingAlgorithm"
1711938082,1775171244,1777014364,66768234,838592537,912610950,"g4run","libG4processes.so","G4F18GEMProbability::G4F18GEMProbability"
1711514004,1905226731,1803870879,250400842,1594252788,287971694,"g4run","libG4processes.so","std::vector<bool, std::allocator<bool> >::_M_fill_insert"
1708688074,1831769694,1859888677,102208584,1339519033,464572479,"g4run","libG4processes.so","G4SBBremTable::LoadSTGrid"
1694091379,2123521132,1843155269,145013625,988238486,1172467586,"g4run","libG4geometry.so","G4Paraboloid::StreamInfo"
1674721466,1921863988,1895435895,166007097,1253044341,742420109,"g4run","libG4geometry.so","G4LogicalSurface::G4LogicalSurface"
1641520948,1811761438,1785320800,229468143,1239917146,588571926,"g4run","libG4geometry.so","G4RKIntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::ComputeNewStepSize"
1635334575,1799434595,1800220722,208492795,1306868660,511583851,"g4run","libG4geometry.so","G4ParameterisedNavigation::LevelLocate"
1590377941,1980998440,1712806879,182922829,1177389975,694215833,"g4run","libG4processes.so","G4ScoreSplittingProcess::AlongStepDoIt"
1587705096,1945033463,1792884231,208740055,1334249031,566499861,"g4run","libG4processes.so","std::vector<bool, std::allocator<bool> >::_M_insert_aux"
1569504858,1677580499,1625040406,323387823,1358797428,298957731,"g4run","libG4processes.so","G4OpticalParametersMessenger::~G4OpticalParametersMessenger"
1565895154,1959500583,1686700072,152165863,1014883881,952478282,"g4run","libG4geometry.so","G4VoxelSafety::SafetyForVoxelNode"
