cycles,instructions,de_dis_uop_queue_empty_di0,de_dis_uops_from_decoder_decoder_dispatched,de_dis_uops_from_decoder_opcache_dispatched,comm,dso,symbol
30803002371,51683146033,4957441090,33132107663,27108131171,"g4run","libG4geometry.so","G4PolyhedraSide::G4PolyhedraSide"
22038897902,32644513228,4805831271,26469454332,9344463039,"g4run","libG4processes.so","G4ChipsProtonInelasticXS::CalculateCrossSection"
19750191726,30967828863,3035067860,22637609924,11369142203,"g4run","libG4processes.so","G4HadronNucleonXsc::HadronNucleonXscNS"
14587442394,25677298566,2163428110,14052743640,15702740915,"g4run","libm.so.6","__ieee754_atan2_fma"
11872849392,21616975977,1618525832,10702695603,12644438685,"g4run","g4run","CMSMagneticField::GetFieldValue"
11621303177,19958580143,1492363690,11874112965,11599931703,"g4run","libG4geometry.so","G4PolyconeSide::G4PolyconeSide"
10068214173,16400106151,1579891316,10331773729,10080407113,"g4run","libG4geometry.so","G4PolyconeSide::CalculateExtent"
8606430673,12961552936,825135724,8308472955,5648154127,"g4run","libG4processes.so","G4HadElementSelector::G4HadElementSelector"
8049023334,11453541682,1687992188,10767662325,2317220613,"g4run","libG4processes.so","G4CrossSectionDataStore::DumpPhysicsTable"
7502493275,10844945999,1436852821,9431785721,3250112285,"g4run","libG4tracking.so","G4SteppingManager::InvokePostStepDoItProcs"
7346613782,12402462130,1509087949,9244208577,3929484215,"g4run","libm.so.6","__sincos"
7341235151,12488394794,1071013314,8469242548,5473952576,"g4run","libG4geometry.so","G4Navigator::ComputeStep"
7172483946,11316418466,1414746810,9058182040,3808521502,"g4run","ld-linux-x86-64.so.2","__tls_get_addr"
6805878897,11182733632,1151952061,7389483369,5861969983,"g4run","libG4geometry.so","G4PolyPhiFace::InCone"
6651030568,8989262652,1447320010,8972092176,2561336956,"g4run","libG4processes.so","std::vector<G4LossTableManager*, std::allocator<G4LossTableManager*> >::_M_fill_insert"
6519375569,10728195162,1143106905,8220385077,3826512041,"g4run","libG4digits_hits.so","G4VSensitiveDetector::~G4VSensitiveDetector"
6110884136,9563394707,1189818262,7207156374,3328100181,"g4run","libG4processes.so","G4Pow::powA"
5943223420,8418313374,999827247,6750453272,3888289896,"g4run","libG4processes.so","G4ITMultiNavigator::GetLocalExitNormal"
5939320984,9003048091,1198098316,7742817579,2471045397,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::iterate"
5911685062,9065550434,1229885557,7379697564,2704951636,"g4run","libG4processes.so","G4ChipsProtonInelasticXS::G4ChipsProtonInelasticXS"
5315589591,8780480528,870267479,5858240210,4615992667,"g4run","libG4geometry.so","G4TwistedTubs::G4TwistedTubs"
5263852981,8163272312,952399075,6717898521,2407349571,"g4run","libG4tracking.so","G4SteppingManager::SetInitialStep"
5191695110,8093678333,841632050,6011965766,3137745656,"g4run","libG4tracking.so","G4SteppingVerbose::PostStepDoItOneByOne"
5190379186,7928070774,966057607,6761881588,1906344034,"g4run","libG4processes.so","G4ProcessManager::RemoveProcess"
4536506172,6820130611,758657610,5175359356,2564440123,"g4run","libG4tracking.so","G4SteppingVerbose::AlongStepDoItOneByOne"
4433290769,6927518340,698836903,4962083312,2972276410,"g4run","libG4geometry.so","std::vector<G4LogicalVolume*, std::allocator<G4LogicalVolume*> >::_M_realloc_insert<G4LogicalVolume*>"
4406770208,7277191613,909864803,5571098038,2623944072,"g4run","libG4geometry.so","G4PropagatorInField::ComputeStep"
4284670498,6164735547,1165406652,5622535715,1023524981,"g4run","libG4processes.so","G4OpticalParametersMessenger::SetNewValue"
4075667179,6320078976,752343716,4704281513,2392850031,"g4run","libG4geometry.so","G4Navigator::PrintState"
4053553019,7420449919,568617973,3838630950,4258200153,"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::StepWithError"
3917590384,6554872678,719670633,4430081335,3067225976,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::Verbose"
3734963965,5415735999,1475236676,4971464953,723042812,"g4run","libG4processes.so","G4IntraNucleiCascader::finishCascade"
3728292253,6246321822,614138006,3944677696,3338096133,"g4run","libG4geometry.so","G4PolyhedraSide::GetPointOnFace"
3499668314,5226589850,950915419,4746825384,910981239,"g4run","libG4processes.so","G4ThreadLocalSingleton<G4LossTableManager>::G4ThreadLocalSingleton"
3422314176,5506908116,545434233,4522107127,1959361505,"g4run","libG4geometry.so","operator<<"
3263140244,4741959295,954780560,4472093399,840773559,"g4run","libG4processes.so","std::map<G4String, bool, std::less<G4String>, std::allocator<std::pair<G4String const, bool> > >::operator[]"
