id,cycles,ex_ret_brn,ex_ret_brn_misp,ex_ret_brn_tkn,ex_ret_brn_tkn_misp,ex_ret_brn_far
"all",,,,,,
"all;g4run",,,,,,
"all;g4run;libc",,,,,,
"all;g4run;libc;alloc_perturb",0,0,0,105785,0,0
"all;g4run;libc;__strcmp_avx2",420126641,89761317,1511711,67099125,947875,7237
"all;g4run;libc;malloc_consolidate",0,0,3991,0,0,0
"all;g4run;libc;__memset_avx2_unaligned_erms",0,0,0,0,2496,0
"all;g4run;libc;__vfprintf_internal",0,0,0,105670,0,20
"all;g4run;libc;_int_malloc",38339204,4935673,198277,1569358,139377,504
"all;g4run;libc;getenv",117215950,21747625,547922,12273252,339993,2019
"all;g4run;libc;malloc",132555288,21171555,682851,13350621,564128,2357
"all;g4run;libc;__memmove_avx_unaligned",200242395,39377579,476378,29588297,334469,2484
"all;g4run;libc;__GI___pthread_mutex_unlock_usercnt",2089488,0,0,91991,8222,38
"all;g4run;libc;__strlen_avx2",18845236,4747590,98042,2084324,67973,369
"all;g4run;libc;pthread_mutex_lock@@GLIBC_2.2.5",2088754,0,16042,243311,7305,78
"all;g4run;libc;@plt",0,182530,6491,129905,12067,58
"all;g4run;libc;__memcmp_avx2_movbe",23026817,1342685,86015,1056628,72462,364
"all;g4run;libc;__GI___printf_fp_l",0,0,0,0,1381,0
"all;g4run;libc;__memmove_avx_unaligned_erms",57219812,17599644,190881,11859177,142789,1151
"all;g4run;libc;__strncmp_avx2",66268732,15206720,308295,10164181,206301,1177
"all;g4run;libc;pthread_mutex_unlock@@GLIBC_2.2.5",0,0,3822,0,0,0
"all;g4run;libc;__memset_avx2_unaligned",80228753,12480615,319372,9247711,185799,1110
"all;g4run;libc;__strchrnul_avx2",0,0,0,0,1165,0
"all;g4run;libc;_int_free",53697851,8400048,329636,6535597,259268,1117
"all;g4run;libc;cfree@GLIBC_2.2.5",86516232,10193297,432492,8674071,340594,1387
"all;g4run;libc;unlink_chunk.constprop.0",0,190044,4030,84801,4737,0
"all;g4run;libG4tracking",,,,,,
"all;g4run;libG4tracking;aCountedObjectAllocator@plt",698311,142524,4499,0,0,19
"all;g4run;libG4tracking;G4ProcessManager::StartTracking@plt",2782655,387534,5665,203582,3298,20
"all;g4run;libG4tracking;G4SteppingManager::InvokeAtRestDoItProcs",96252606,21325519,308682,10482623,241641,1201
"all;g4run;libG4tracking;G4SteppingManager::InvokePSDIP",4813412228,1153452592,13931473,723942340,8623936,72856
"all;g4run;libG4tracking;G4SteppingManager::InvokeAlongStepDoItProcs@plt",1395078,0,5465,544750,6946,19
"all;g4run;libG4tracking;G4SteppingManager::InvokePSDIP@plt",32779932,5676038,49919,3629718,26383,254
"all;g4run;libG4tracking;G4StepPoint::operator=@plt",39754950,9345979,133940,7683842,79157,489
"all;g4run;libG4tracking;G4Step::InitializeStep",1347264814,304673366,2353079,196810511,1574506,19548
"all;g4run;libG4tracking;G4LogicalVolume::GetSensitiveDetector@plt",10469313,1777596,14650,1423118,7524,216
"all;g4run;libG4tracking;G4Step::UpdateTrack",2606878613,591089813,7098395,376306418,4291129,38028
"all;g4run;libG4tracking;G4SteppingManager::Stepping",4308665576,1058650073,12769138,669180304,7831288,74312
"all;g4run;libG4tracking;G4SteppingManager::InvokePostStepDoItProcs@plt",2090587,792247,16146,451061,7450,0
"all;g4run;libG4tracking;G4SteppingManager::GetProcessNumber@plt",2792914,629534,5488,103069,1031,58
"all;g4run;libG4tracking;G4SteppingManager::DefinePhysicalStepLength@plt",2793470,1220933,28926,1196026,7221,120
"all;g4run;libG4tracking;G4Step::InitializeStep@plt",13245914,1659178,35342,1931024,7013,118
"all;g4run;libG4tracking;G4SteppingManager::InvokePostStepDoItProcs",2033500575,466309092,6105943,292169516,3677097,32655
"all;g4run;libG4tracking;G4SteppingManager::DefinePhysicalStepLength",10134105369,2447674041,31754410,1594303434,19198492,167388
"all;g4run;libG4tracking;G4Region::GetRegionalSteppingAction@plt",698396,577785,9036,122426,2123,99
"all;g4run;libG4tracking;G4SteppingManager::SetInitialStep@plt",2094765,327560,6326,321751,2837,19
"all;g4run;libG4tracking;G4TrackingManager::ProcessOneTrack",320215891,63103398,906824,44628990,589722,5504
"all;g4run;libG4tracking;G4SteppingManager::Stepping@plt",1396059,553848,7649,96313,6888,40
"all;g4run;libG4tracking;G4LogicalVolume::GetMaterial@plt",9070072,2054157,20593,1526595,18423,161
"all;g4run;libG4tracking;G4SteppingManager::SetInitialStep",969779952,205869228,2106991,139672221,1396698,15161
"all;g4run;libG4tracking;G4SteppingManager::InvokeAlongStepDoItProcs",3058708503,737310669,7808966,455006854,4866750,51209
"all;g4run;libG4tracking;G4ParticleDefinition::GetProcessManager@plt",2092546,831162,4559,413566,3138,20
"all;g4run;libG4tracking;G4LogicalVolume::GetMaterialCutsCouple@plt",9072874,3204111,15168,2271180,10989,117
"all;g4run;libG4tracking;G4Step::UpdateTrack@plt",29305857,7977694,89685,4595966,64318,445
"all;g4run;libG4tracking;G4SteppingManager::GetProcessNumber",918753469,206160053,2391088,137698391,1573187,13752
"all;g4run;libG4physicslists",,,,,,
"all;g4run;libG4physicslists;std::vector<G4ExcitedString*, std::allocator<G4ExcitedString*> >::_M_realloc_insert<G4ExcitedString* const&>",0,214505,0,0,1202,20
"all;g4run;libG4global",,,,,,
"all;g4run;libG4global;operator delete@plt",0,0,0,0,0,18
"all;g4run;libG4global;G4Threading::IsWorkerThread",693360,0,0,0,0,0
"all;g4run;libG4global;G4JTPolynomialSolver::Quadratic",2095023,237054,11075,414171,8659,77
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeNewEstimate",3490939,0,17237,90588,15240,60
"all;g4run;libG4global;__tls_get_addr@plt",14651653,6628979,72922,4110630,36550,311
"all;g4run;libG4global;G4PhysicsModelCatalog::GetModelID",29314442,4265766,164488,2473705,145394,575
"all;g4run;libG4global;G4CacheReference<double>::cache",697949,0,0,0,1123,0
"all;g4run;libG4global;G4JTPolynomialSolver::G4JTPolynomialSolver",698479,165464,2690,97123,2855,0
"all;g4run;libG4global;G4Pow::A13High@plt",0,0,0,0,0,20
"all;g4run;libG4global;aCountedObjectAllocator",62772162,13584182,236238,10404565,138787,1272
"all;g4run;libG4global;G4Pow::A13High",34875180,8372783,120961,4666511,63489,616
"all;g4run;libG4global;G4Pow::powN",46067325,15202865,236304,7854916,154163,946
"all;g4run;libG4global;std::__lower_bound<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double, __gnu_cxx::__ops::_Iter_less_val>",366272123,59992628,1836328,46704866,1061599,5915
"all;g4run;libG4global;G4Physics2DVector::InterpolateLinearX",0,0,2362,0,0,0
"all;g4run;libG4global;G4JTPolynomialSolver::~G4JTPolynomialSolver",0,0,4525,83326,0,20
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeFixedShiftPolynomial",2090212,421516,19113,434476,16349,114
"all;g4run;libG4global;G4JTPolynomialSolver::QuadraticSyntheticDivision",1396000,669123,17341,282818,7629,39
"all;g4run;libG4global;G4JTPolynomialSolver::QuadraticPolynomialIteration",2793176,255351,8961,217433,20057,78
"all;g4run;libG4global;G4Physics2DVector::Value",716164815,123219899,3873955,93257937,2155337,11732
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeScalarFactors",1395130,140039,25999,589888,15289,78
"all;g4run;libG4global;pow@plt",0,486907,0,227479,0,19
"all;g4run;libG4global;G4PhysicsModelCatalog::Entries@plt",0,527159,2395,0,2472,18
"all;g4run;libG4global;_G4cout_p",32091870,5328608,103397,4955796,87672,556
"all;g4run;libG4global;G4Pow::A13Low",40467745,4475216,246332,4077427,155712,739
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeNextPolynomial",3489036,461504,12148,96780,13067,39
"all;g4run;libG4global;G4Pow::A13",8372869,1467381,47768,1115436,30939,94
"all;g4run;libG4global;G4JTPolynomialSolver::FindRoots",13953453,2262637,56216,611935,36031,97
"all;g4run;libG4global;G4Pow::GetInstance",80920806,18711930,432882,8025846,341240,1814
"all;g4run;libG4global;G4Pow::A13Low@plt",0,177252,0,0,0,0
"all;g4run;libG4global;G4JTPolynomialSolver::RealPolynomialIteration",2790806,150458,14206,367871,2976,39
"all;g4run;libG4global;memcmp@plt",698121,175637,5165,0,4288,19
"all;g4run;libG4global;G4PhysicsModelCatalog::Entries",16044946,1710211,85636,1643972,64877,154
"all;g4run;g4run",,,,,,
"all;g4run;g4run;CMSMagneticField::GetFieldValue",10350022851,2771996424,24758556,1775286415,15745677,148935
"all;g4run;g4run;CLHEP::MixMaxRng::iterate@plt",0,175687,0,98916,0,0
"all;g4run;g4run;ffunkti",520881079,126594767,998989,78905872,529033,6740
"all;g4run;g4run;CLHEP::MixMaxRng::flat",698688,0,0,107761,1342,0
"all;g4run;g4run;_init",0,0,0,0,1109,19
"all;g4run;libstdc++",,,,,,
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_assign",0,0,0,0,2526,0
"all;g4run;libstdc++;std::ostream::sentry::sentry",693547,0,0,0,0,0
"all;g4run;libstdc++;free@plt",698388,0,2273,0,1463,19
"all;g4run;libstdc++;operator delete@plt",4882200,496221,21317,327325,25354,76
"all;g4run;libstdc++;__cxxabiv1::__si_class_type_info::__do_dyncast",509303087,127911335,2073247,83552865,1286540,8058
"all;g4run;libstdc++;std::_Rb_tree_decrement",0,0,2526,0,1552,0
"all;g4run;libstdc++;malloc@plt",698426,383786,3985,112710,9208,38
"all;g4run;libstdc++;strcmp@plt",692153,371870,9797,128824,4703,38
"all;g4run;libstdc++;std::__num_base::_S_format_float",697002,0,0,0,0,0
"all;g4run;libstdc++;memcpy@plt",695523,0,0,0,4499,0
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_replace",0,0,0,0,1318,19
"all;g4run;libstdc++;__cxxabiv1::__vmi_class_type_info::__do_dyncast",0,0,0,0,1547,19
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create",10459587,1081349,39417,1173207,26999,174
"all;g4run;libstdc++;operator new",37025371,5720712,171695,3373842,162383,615
"all;g4run;libstdc++;__dynamic_cast",756888008,192660580,2949929,137105835,1782446,12564
"all;g4run;libstdc++;std::_Rb_tree_increment",48859536,1809892,114414,1489787,58341,388
"all;g4run;libstdc++;std::_Rb_tree_insert_and_rebalance",0,0,6523,221877,4284,38
"all;g4run;libstdc++;operator new@plt",1394839,0,0,0,0,0
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::reserve",4881616,510849,27204,429367,21757,116
"all;g4run;libstdc++;__cxxabiv1::__class_type_info::__do_dyncast",48842879,14108371,277434,7797724,164219,915
"all;g4run;libstdc++;operator delete[]",0,0,0,0,1259,0
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_append",0,0,17127,215453,7939,0
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::compare",698381,181442,6310,102270,1162,19
"all;g4run;libstdc++;operator delete",7679042,1509088,95676,1370636,56044,212
"all;g4run;libG4event",,,,,,
"all;g4run;libG4event;G4EventManager::StackTracks@plt",1396673,0,5552,0,0,20
"all;g4run;libG4event;G4StackManager::GetNUrgentTrack",474920327,90943062,475928,57838742,323520,7026
