id,cycles_ukP
"all",
"all;g4run",
"all;g4run;libG4run",
"all;g4run;libG4run;G4WorkerRunManager::GenerateEvent",0
"all;g4run;libG4run;G4ExceptionHandler::DumpTrackInfo",0
"all;g4run;libG4run;G4MatScanMessenger::GetCurrentValue",0
"all;g4run;libG4run;G4PhysicsListHelper::DumpOrdingParameterTable",0
"all;g4run;libc",
"all;g4run;libc;__strcmp_avx2",627796485
"all;g4run;libc;__GI___lll_lock_wake",0
"all;g4run;libc;__memset_avx2_unaligned_erms",1396726
"all;g4run;libc;start_thread",0
"all;g4run;libc;clone3",0
"all;g4run;libc;_int_malloc",67033318
"all;g4run;libc;getenv",172475199
"all;g4run;libc;malloc",208083300
"all;g4run;libc;__memmove_avx_unaligned",212974173
"all;g4run;libc;__GI___pthread_mutex_unlock_usercnt",2094902
"all;g4run;libc;__strlen_avx2",32116909
"all;g4run;libc;@plt",698402
"all;g4run;libc;pthread_mutex_lock@@GLIBC_2.2.5",4888393
"all;g4run;libc;__memcmp_avx2_movbe",31424173
"all;g4run;libc;__strncmp_avx2",113115796
"all;g4run;libc;__memmove_avx_unaligned_erms",116609821
"all;g4run;libc;__memset_avx2_unaligned",68431061
"all;g4run;libc;_int_free",90776207
"all;g4run;libc;cfree@GLIBC_2.2.5",129877352
"all;g4run;libc;unlink_chunk.constprop.0",698459
"all;g4run;libG4tracking",
"all;g4run;libG4tracking;0x000000000002f1de",17457220
"all;g4run;libG4tracking;0x000000000002f7f7",1396945
"all;g4run;libG4tracking;0x00007f1e4a24e7de",0
"all;g4run;libG4tracking;0x00007f1e4a24e837",0
"all;g4run;libG4tracking;0x00007f1e4a24e7a1",0
"all;g4run;libG4tracking;0x00007f1e4a24e7fb",0
"all;g4run;libG4tracking;0x00007f1e4a24e7a4",0
"all;g4run;libG4tracking;0x00007f1e4a24eff6",0
"all;g4run;libG4tracking;0x00007f1e4a24e7a8",0
"all;g4run;libG4tracking;G4AdjointCrossSurfChecker::GoingInOrOutOfaVolumeByExtSurface",16760156
"all;g4run;libG4tracking;G4SteppingManager::InvokeAtRestDoItProcs",1233821546
"all;g4run;libG4tracking;G4UserLimits::SetUserMinEkine",20947203
"all;g4run;libG4tracking;0x000000000002f82a",15362570
"all;g4run;libG4tracking;G4Step::InitializeStep",354022925
"all;g4run;libG4tracking;G4UserLimits::SetUserMaxTime",698370
"all;g4run;libG4tracking;G4ProcessManager::EndTracking@plt",698370
"all;g4run;libG4tracking;G4SteppingManager::SetInitialStep@plt",4188307
"all;g4run;libG4tracking;0x000000000002f82d",44693181
"all;g4run;libG4tracking;0x000000000002f9ae",6519342
"all;g4run;libG4tracking;G4SteppingManager::Stepping",2419469247
"all;g4run;libG4tracking;0x000000000002f9ca",1395466
"all;g4run;libG4tracking;G4SteppingManager::SetInitialStep",4735871167
"all;g4run;libG4tracking;0x000000000002fff6",1396341
"all;g4run;libG4tracking;G4Allocator<G4TouchableHistory>::~G4Allocator",134066705
"all;g4run;libG4tracking;0x000000000002f7bd",1396841
"all;g4run;libG4tracking;G4UserLimits::GetUserMinEkine",4190667
"all;g4run;libG4tracking;G4SteppingManager::InvokePostStepDoItProcs",6874781034
"all;g4run;libG4tracking;G4UserLimits::SetMaxAllowedStep",217853426
"all;g4run;libG4tracking;0x000000000002f7de",698227
"all;g4run;libG4tracking;0x000000000002f7a1",698515
"all;g4run;libG4tracking;0x000000000002f837",17457223
"all;g4run;libG4tracking;G4SteppingManager::ProcessSecondariesFromParticleChange",806538737
"all;g4run;libG4tracking;0x00007f1e4a24e81c",0
"all;g4run;libG4tracking;0x000000000002f7a4",3491954
"all;g4run;libG4tracking;0x000000000002f7fb",222045696
"all;g4run;libG4tracking;0x00007f1e4a24e1d6",0
"all;g4run;libG4tracking;G4UserLimits::SetUserMinRange",18149143
"all;g4run;libG4tracking;0x000000000002f7a8",9775979
"all;g4run;libG4tracking;G4SteppingVerbose::VerboseParticleChange",4189897
"all;g4run;libG4tracking;0x00007f1e4a24e83b",0
"all;g4run;libG4tracking;0x00007f1e4a24e83f",0
"all;g4run;libG4tracking;0x00007f1e4a24e7aa",0
"all;g4run;libG4tracking;G4VVisManager::GetConcreteInstance@plt",53070258
"all;g4run;libG4tracking;0x00007f1e4a24e7ad",0
"all;g4run;libG4tracking;0x00007f1e4a24df97",0
"all;g4run;libG4tracking;std::_Rb_tree<G4String, std::pair<G4String const, G4AttDef>, std::_Select1st<std::pair<G4String const, G4AttDef> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4AttDef> > >::find@plt",7679537
"all;g4run;libG4tracking;G4UserLimits::GetUserMinRange",8380128
"all;g4run;libG4tracking;G4SteppingManager::GetProcessNumber",80300884
"all;g4run;libG4tracking;0x00007f1e4a24e809",0
"all;g4run;libG4tracking;G4UserLimits::SetUserMaxTrackLength",16756055
"all;g4run;libG4tracking;G4NoProcess::~G4NoProcess",79606399
"all;g4run;libG4tracking;0x00007f1e4a262e4b",0
"all;g4run;libG4tracking;0x00007f1e4a24e7cd",0
"all;g4run;libG4tracking;G4Step::UpdateTrack",43295904
"all;g4run;libG4tracking;0x00007f1e4a24e826",0
"all;g4run;libG4tracking;0x00007f1e4a262e4f",0
"all;g4run;libG4tracking;G4SteppingManager::InvokeAlongStepDoItProcs",10473758
"all;g4run;libG4tracking;0x00007f1e4a24e9a9",0
"all;g4run;libG4tracking;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>",36313647
"all;g4run;libG4tracking;G4SteppingManager::InvokePSDIP",427316606
"all;g4run;libG4tracking;0x00007f1e4a24e7ed",0
"all;g4run;libG4tracking;0x000000000002f81c",405027142
"all;g4run;libG4tracking;0x000000000002f1d6",14664798
"all;g4run;libG4tracking;G4UserLimits::GetUserMaxTime",39103695
"all;g4run;libG4tracking;G4AdjointCrossSurfChecker::CrossingOneOfTheRegisteredSurface@plt",2793262
"all;g4run;libG4tracking;0x0000000000043e4b",4190381
"all;g4run;libG4tracking;0x000000000002f83b",15363345
"all;g4run;libG4tracking;0x0000000000043e4f",2793071
"all;g4run;libG4tracking;G4UserLimits::GetUserMaxTrackLength",7680931
"all;g4run;libG4tracking;0x000000000002f83f",38406889
"all;g4run;libG4tracking;std::vector<G4String, std::allocator<G4String> >::_M_realloc_insert<char const*&>",286982490
"all;g4run;libG4tracking;std::_Rb_tree_insert_and_rebalance@plt",698250
"all;g4run;libG4tracking;0x000000000002f7aa",698424
"all;g4run;libG4tracking;G4StepPoint::operator=@plt",1396757
"all;g4run;libG4tracking;G4SteppingVerbose::AlongStepDoItOneByOne",4243445884
"all;g4run;libG4tracking;0x00007f1e4a24e1de",0
"all;g4run;libG4tracking;0x000000000002f7ad",34913952
"all;g4run;libG4tracking;G4TrajectoryPoint::G4TrajectoryPoint@plt",39099302
"all;g4run;libG4tracking;0x000000000002ef97",5585288
"all;g4run;libG4tracking;G4SteppingVerbose::PostStepDoItOneByOne",4832936974
"all;g4run;libG4tracking;0x00007f1e4a24e7f7",0
"all;g4run;libG4tracking;G4SteppingManager::GetProcessNumber@plt",5585701
"all;g4run;libG4tracking;G4Region::GetRegionalSteppingAction@plt",6285179
"all;g4run;libG4tracking;0x000000000002f809",506233418
"all;g4run;libG4tracking;0x000000000002f7cd",698309
"all;g4run;libG4tracking;G4UserLimits::GetMaxAllowedStep",698371
"all;g4run;libG4tracking;0x000000000002f826",6981071
"all;g4run;libG4tracking;0x000000000002f9a9",10472707
"all;g4run;libG4tracking;0x000000000002f7ed",3491915
"all;g4run;libG4tracking;G4CountedObject<G4VTouchable>::Release@plt",4190391
"all;g4run;libG4tracking;0x00007f1e4a24e82a",0
"all;g4run;libG4tracking;G4UserSteppingAction::UserSteppingAction",254870113
"all;g4run;libG4tracking;0x00007f1e4a24e82d",0
"all;g4run;libG4tracking;G4PropagatorInField::SetTrajectoryFilter@plt",9076697
"all;g4run;libG4tracking;G4AttValue::G4AttValue@plt",9775353
"all;g4run;libG4tracking;std::vector<G4Track*, std::allocator<G4Track*> >::_M_realloc_insert<G4Track* const&>",17455948
"all;g4run;libG4tracking;0x00007f1e4a24e9ae",0
"all;g4run;libG4tracking;G4Track::~G4Track@plt",2095212
"all;g4run;libG4tracking;0x00007f1e4a24e9ca",0
"all;g4run;libG4tracking;0x00007f1e4a24e7bd",0
"all;g4run;[unknown]",
"all;g4run;[unknown];0xe878d79a01149800",0
"all;g4run;[unknown];0x3f660f9e1bad30a0",0
"all;g4run;[unknown];0x3fb3c2300b1b77b4",0
"all;g4run;[unknown];0x3e012e0be826d695",0
"all;g4run;[unknown];0x0000000000004b32",0
"all;g4run;[unknown];0x3ff57fb680e80e2e",0
"all;g4run;[unknown];0x0000561cca019d30",0
"all;g4run;[unknown];0x3f55b915061b6bd8",0
"all;g4run;[unknown];0x4049b81c92ed363c",0
"all;g4run;[unknown];0000000000000000",0
"all;g4run;libG4physicslists",
"all;g4run;libG4physicslists;G4ProtonBuilder::Build",698416
"all;g4run;libG4global",
"all;g4run;libG4global;G4SimpleIntegration::MidPoint",0
"all;g4run;libG4global;G4ProfilerConfig<4ul>::GetPersistentFallback<0>@plt",698312
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeNewEstimate",2095217
"all;g4run;libG4global;0x0000000000054995",5585468
"all;g4run;libG4global;G4JTPolynomialSolver::Quadratic",8378324
"all;g4run;libG4global;G4ProfilerConfig<4ul>::GetPersistent<1>@plt",14663039
"all;g4run;libG4global;G4PhysicsVector::Retrieve",268826354
"all;g4run;libG4global;0x00007f1e47ae24ce",0
"all;g4run;libG4global;0x00007f1e47ae099e",0
"all;g4run;libG4global;0x00000000000564c8",7681591
"all;g4run;libG4global;0x0000000000054997",7681693
"all;g4run;libG4global;G4Physics2DVector::Retrieve",54462011
"all;g4run;libG4global;0x00007f1e47ac2aa4",0
"all;g4run;libG4global;strlen@plt",698379
"all;g4run;libG4global;G4SimpleIntegration::Trapezoidal",1396892
"all;g4run;libG4global;G4coutDestination::ReceiveG4cerr_",3491879
"all;g4run;libG4global;G4Physics2DVector::CopyData",143731120
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeFixedShiftPolynomial",3491791
"all;g4run;libG4global;0x00007f1e47ae0995",0
"all;g4run;libG4global;0x00000000000564cc",2793419
"all;g4run;libG4global;G4PhysicsLogVector::G4PhysicsLogVector",27235285
"all;g4run;libG4global;G4JTPolynomialSolver::QuadraticPolynomialIteration",2793809
"all;g4run;libG4global;G4Pow::G4Pow",115215192
"all;g4run;libG4global;0x00007f1e47ae24c8",0
"all;g4run;libG4global;0x00007f1e47ae0997",0
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeScalarFactors",1396582
"all;g4run;libG4global;0x00000000000564ce",6284857
"all;g4run;libG4global;G4Physics2DVector::PutVectors",113121886
"all;g4run;libG4global;G4SimpleIntegration::G4SimpleIntegration",698393
"all;g4run;libG4global;0x000000000005499e",9776357
"all;g4run;libG4global;G4PhysicsModelCatalog::Initialize",46782142
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeNextPolynomial",0
"all;g4run;libG4global;0x0000000000036aa4",698081
"all;g4run;libG4global;G4JTPolynomialSolver::FindRoots",8375399
"all;g4run;libG4global;G4ThreadLocalSingleton<G4GeometryTolerance>::G4ThreadLocalSingleton",18854448
"all;g4run;libG4global;G4ProfilerConfig<1ul>::GetPersistent<1>",42592634
"all;g4run;libG4global;G4Physics2DVector::BicubicInterpolation",357513933
"all;g4run;libG4global;0x00007f1e47ae24cc",0
