id,cycles,instructions,ic_fetch_stall_ic_stall_any,ic_fetch_stall_ic_stall_dq_empty,ic_fetch_stall_ic_stall_back_pressure,ic_cache_fill_sys
"all",,,,,,
"all;g4run",,,,,,
"all;g4run;libc",,,,,,
"all;g4run;libc;__strcmp_avx2",711725989,1028678809,382307862,70450268,62895350,9546261
"all;g4run;libc;__memchr_avx2",0,0,0,0,0,3726
"all;g4run;libc;malloc_consolidate",691503,993167,1163974,19095,486365,34679
"all;g4run;libc;_IO_str_init_static_internal",0,0,0,13481,0,0
"all;g4run;libc;_IO_default_xsputn",0,0,0,13745,0,0
"all;g4run;libc;__libc_alloca_cutoff",0,0,0,14829,0,0
"all;g4run;libc;__memset_avx2_unaligned_erms",0,0,747251,94312,258500,20311
"all;g4run;libc;__vfprintf_internal",698421,0,1080999,113783,121992,3973
"all;g4run;libc;__mpn_rshift",0,0,0,12821,0,9274
"all;g4run;libc;hack_digit",0,0,0,13131,0,6755
"all;g4run;libc;__mpn_mul_1",0,0,395597,13218,0,0
"all;g4run;libc;_int_malloc",66976438,70993857,37931074,2364817,17904655,2464152
"all;g4run;libc;getenv",171630769,170708067,80845183,6506235,20592035,5970101
"all;g4run;libc;malloc",176540319,195912858,104797784,12417209,43230237,9053225
"all;g4run;libc;__memmove_avx_unaligned",210012342,301044981,100872245,7102961,37963462,2439666
"all;g4run;libc;_IO_no_init",0,0,0,0,0,3348
"all;g4run;libc;__mpn_extract_double",0,0,405921,37066,0,0
"all;g4run;libc;__GI___pthread_mutex_unlock_usercnt",2789255,3958274,3389953,408048,1141575,68602
"all;g4run;libc;__strlen_avx2",27918309,26767633,11681545,1089244,3486180,829950
"all;g4run;libc;__uselocale",0,0,377421,26047,0,0
"all;g4run;libc;@plt",1396860,1043549,0,0,315941,26720
"all;g4run;libc;pthread_mutex_lock@@GLIBC_2.2.5",6275785,6980191,4132397,588696,1394459,163528
"all;g4run;libc;__memcmp_avx2_movbe",9763567,5488747,3370800,940290,2564675,535574
"all;g4run;libc;_IO_old_init",696747,0,0,32520,0,0
"all;g4run;libc;__GI___printf_fp_l",1396843,0,1154551,97372,0,7812
"all;g4run;libc;__strncmp_avx2",104750679,97620783,53535645,3346139,14432588,4356473
"all;g4run;libc;__memmove_avx_unaligned_erms",116512086,196522502,57975473,6049485,13285916,1342192
"all;g4run;libc;__mpn_cmp",0,0,0,54754,0,8082
"all;g4run;libc;pthread_mutex_unlock@@GLIBC_2.2.5",1393873,985707,365472,16236,133218,36755
"all;g4run;libc;__vsnprintf_internal",0,0,0,12842,0,0
"all;g4run;libc;__memset_avx2_unaligned",85132945,106263144,44936278,2162855,15711636,2413042
"all;g4run;libc;__mpn_mul",0,0,0,0,0,9512
"all;g4run;libc;__strchrnul_avx2",0,0,0,29422,0,4482
"all;g4run;libc;_int_free",101177696,91314866,45514861,4030808,16134697,4686976
"all;g4run;libc;cfree@GLIBC_2.2.5",106054513,118240268,55323052,5557639,19590652,6068084
"all;g4run;libc;unlink_chunk.constprop.0",0,986414,1460624,123308,528309,13396
"all;g4run;libG4tracking",,,,,,
"all;g4run;libG4tracking;0x000000000002f1de",25121851,35187164,9869822,369659,5857001,181600
"all;g4run;libG4tracking;0x000000000002f7f7",5577716,11497553,3301753,85011,897770,96779
"all;g4run;libG4tracking;G4AdjointCrossSurfChecker::GoingInOrOutOfaVolumeByExtSurface",22329465,34838655,17904605,629331,5917174,136826
"all;g4run;libG4tracking;G4SteppingManager::InvokeAtRestDoItProcs",1699790756,2657886824,816709255,33152321,239896814,21481837
"all;g4run;libG4tracking;G4UserLimits::SetUserMinEkine",22337586,33947900,19078189,242701,7029680,294338
"all;g4run;libG4tracking;0x000000000002f82a",25115942,47819189,16578868,420451,6479369,365610
"all;g4run;libG4tracking;G4Step::InitializeStep",446585656,625652070,259292793,9546787,98613669,2872887
"all;g4run;libG4tracking;G4UserLimits::SetUserMaxTime",1395329,0,359145,0,254846,8269
"all;g4run;libG4tracking;G4ProcessManager::EndTracking@plt",4188629,10296300,1098940,146991,384631,14583
"all;g4run;libG4tracking;G4SteppingManager::SetInitialStep@plt",4183615,5015984,1140188,60252,489793,48664
"all;g4run;libG4tracking;0x000000000002f82d",40476287,78185460,26702650,812774,11278992,246135
"all;g4run;libG4tracking;0x000000000002f9ae",15351463,22985041,8344524,309000,5036982,70605
"all;g4run;libG4tracking;G4SteppingManager::Stepping",2706083066,3758943299,1383187684,64822509,463692512,16448752
"all;g4run;libG4tracking;0x000000000002f9ca",694547,992116,0,0,157130,42312
"all;g4run;libG4tracking;G4SteppingManager::SetInitialStep",6286184799,9186959362,3295094640,127311023,1416391406,53597498
"all;g4run;libG4tracking;0x000000000002fff6",1393547,976596,729323,52578,0,19526
"all;g4run;libG4tracking;G4Allocator<G4TouchableHistory>::~G4Allocator",178857351,252073791,105050372,2586226,33679208,1333896
"all;g4run;libG4tracking;0x000000000002f7bd",3490371,3078342,1815172,136485,242788,23195
"all;g4run;libG4tracking;G4UserLimits::GetUserMinEkine",6279188,8117779,2933091,117378,247792,25753
"all;g4run;libG4tracking;G4SteppingVerbose::~G4SteppingVerbose",697296,0,1054163,0,0,22901
"all;g4run;libG4tracking;G4SteppingManager::InvokePostStepDoItProcs",8271519745,11651069767,4265108175,192982459,1442612230,53498360
"all;g4run;libG4tracking;G4UserLimits::SetMaxAllowedStep",266538181,384970531,138775447,4319020,42397590,1773590
"all;g4run;libG4tracking;0x000000000002f7de",1396777,978003,731887,31216,0,21310
"all;g4run;libG4tracking;0x000000000002f7a1",2089870,3048023,2125779,45953,346680,27725
"all;g4run;libG4tracking;0x000000000002f837",29289958,33589863,17751176,125603,2661965,208545
"all;g4run;libG4tracking;G4SteppingManager::ProcessSecondariesFromParticleChange",1147079297,1849907139,551347333,20181047,252930726,14715146
"all;g4run;libG4tracking;0x000000000002f7a4",697013,5121685,1443030,25735,504802,15654
"all;g4run;libG4tracking;0x000000000002f7fb",215612757,273855900,102026624,4366290,33993405,1419809
"all;g4run;libG4tracking;G4UserLimits::SetUserMinRange",25121744,27513726,11330339,248318,3815345,138645
"all;g4run;libG4tracking;0x000000000002f7a6",6273374,5012026,2554893,52976,488233,32261
"all;g4run;libG4tracking;0x000000000002f7a8",12558212,14016666,3677346,146781,1104983,66065
"all;g4run;libG4tracking;G4SteppingVerbose::VerboseParticleChange",5585617,3923337,2063143,168911,406039,168457
"all;g4run;libG4tracking;0x000000000002f7c7",1396759,2122245,321320,66323,477673,9849
"all;g4run;libG4tracking;G4VVisManager::GetConcreteInstance@plt",55126525,82518189,29956456,1121732,13505138,285352
"all;g4run;libG4tracking;std::_Rb_tree<G4String, std::pair<G4String const, G4AttDef>, std::_Select1st<std::pair<G4String const, G4AttDef> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4AttDef> > >::find@plt",10467060,14909936,5487008,195466,1861333,218058
"all;g4run;libG4tracking;G4UserLimits::GetUserMinRange",14652212,17140279,8070413,271680,1947803,77480
"all;g4run;libG4tracking;G4SteppingManager::GetProcessNumber",96254358,176471023,54125759,2780613,22531643,2024915
"all;g4run;libG4tracking;G4UserLimits::SetUserMaxTrackLength",13259260,20459507,10645222,348563,3675873,60375
"all;g4run;libG4tracking;G4NoProcess::~G4NoProcess",86534559,125187876,49648268,1300753,22785494,586224
"all;g4run;libG4tracking;G4Step::UpdateTrack",95593632,134896577,58050023,1126426,18623971,1027266
"all;g4run;libG4tracking;G4SteppingManager::InvokeAlongStepDoItProcs",12559804,14416374,3257967,183709,2223603,73738
"all;g4run;libG4tracking;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>",39064450,52106940,21008149,491288,8089711,460876
"all;g4run;libG4tracking;G4SteppingManager::InvokePSDIP",336299679,485527601,173545706,7812066,61015120,2797951
"all;g4run;libG4tracking;0x000000000002fffd",2091049,3001577,1095016,52554,122801,46436
"all;g4run;libG4tracking;0x000000000002f81c",509987597,703511825,254037577,7880594,95251465,3075535
"all;g4run;libG4tracking;0x000000000002f1d6",9768156,15117965,4382294,367841,1525063,79401
"all;g4run;libG4tracking;0x000000000002f81f",1388918,0,0,0,0,3906
"all;g4run;libG4tracking;G4UserLimits::GetUserMaxTime",48852207,54581270,22786434,818852,8226573,252346
"all;g4run;libG4tracking;0x0000000000043e4b",2095183,2932906,1101676,193995,351647,146019
"all;g4run;libG4tracking;G4AdjointCrossSurfChecker::CrossingOneOfTheRegisteredSurface@plt",4888205,4303837,2898821,27083,2098726,48304
"all;g4run;libG4tracking;0x000000000002f83b",15351467,12276500,8425620,481422,2438795,212293
"all;g4run;libG4tracking;0x0000000000043e4f",2790314,5583179,1799638,79264,690965,25966
"all;g4run;libG4tracking;G4UserLimits::GetUserMaxTrackLength",15346885,17696237,5414491,236669,2106465,102710
"all;g4run;libG4tracking;0x0000000000030175",0,0,0,0,0,4427
"all;g4run;libG4tracking;0x000000000002f83f",34193031,45787846,25273361,746131,8434053,226419
"all;g4run;libG4tracking;std::vector<G4String, std::allocator<G4String> >::_M_realloc_insert<char const*&>",370464862,507993300,199398403,7707153,65866008,5603596
"all;g4run;libG4tracking;0x000000000002f7aa",698264,980936,728410,32240,0,0
"all;g4run;libG4tracking;std::_Rb_tree_insert_and_rebalance@plt",2792493,6204308,348088,27508,128431,33450
"all;g4run;libG4tracking;G4StepPoint::operator=@plt",696760,2980949,1086751,134950,836558,17542
"all;g4run;libG4tracking;0x000000000002f7ac",0,0,343322,0,0,9145
"all;g4run;libG4tracking;G4SteppingVerbose::AlongStepDoItOneByOne",5104407439,7042570766,2781045516,97148220,1200367901,39160572
"all;g4run;libG4tracking;0x000000000002f7ad",49542014,44290083,23797553,711954,7934405,269362
"all;g4run;libG4tracking;G4TrajectoryPoint::G4TrajectoryPoint@plt",34895238,67112486,16138405,735304,6891686,302519
"all;g4run;libG4tracking;0x000000000002ef97",3488430,8037574,2571779,147026,784893,105615
"all;g4run;libG4tracking;G4SteppingVerbose::PostStepDoItOneByOne",5707709951,7989522996,3042426444,109037128,1380730650,39556703
"all;g4run;libG4tracking;G4Region::GetRegionalSteppingAction@plt",6975298,9575613,3973708,178369,2079175,40655
"all;g4run;libG4tracking;G4SteppingManager::GetProcessNumber@plt",14656275,23174042,6575120,109203,4270967,140489
"all;g4run;libG4tracking;G4RichTrajectoryPoint::~G4RichTrajectoryPoint@plt",1396346,9459711,1426549,100516,906840,30595
"all;g4run;libG4tracking;0x000000000002f809",620985533,879339990,316645079,10713756,113523252,4043080
"all;g4run;libG4tracking;0x000000000002f7cd",0,1044699,1089311,0,0,8080
"all;g4run;libG4tracking;0x000000000002f826",16055209,15241087,5103999,141584,2719789,145040
"all;g4run;libG4tracking;std::_Rb_tree<G4String, std::pair<G4String const, G4AttDef>, std::_Select1st<std::pair<G4String const, G4AttDef> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4AttDef> > >::_M_get_insert_unique_pos@plt",698376,2117846,366236,0,114115,4068
"all;g4run;libG4tracking;0x000000000002f9a9",16050196,19430143,8121929,124375,4861841,50785
"all;g4run;libG4tracking;0x000000000002f7ed",2787854,6313369,2113520,82533,857531,16698
"all;g4run;libG4tracking;G4CountedObject<G4VTouchable>::Release@plt",6280552,5133771,1045102,80453,123543,42446
"all;g4run;libG4tracking;G4UserSteppingAction::UserSteppingAction",281993314,450100576,163392382,5254412,57424660,1852709
"all;g4run;libG4tracking;G4PropagatorInField::SetTrajectoryFilter@plt",9069648,14063543,4751554,133404,1871250,130235
