id,cycles,instructions,stalled_cycles_frontend,stalled_cycles_backend
"all",,,,
"all;g4run",,,,
"all;g4run;libc",,,,
"all;g4run;libc;__strcmp_avx2",157658151,199834543,12165286,10142673
"all;g4run;libc;malloc_consolidate",0,1190532,42576,415244
"all;g4run;libc;__libc_alloca_cutoff",0,0,12453,0
"all;g4run;libc;__memset_avx2_unaligned_erms",0,0,13060,208247
"all;g4run;libc;__vfprintf_internal",0,0,35644,0
"all;g4run;libc;__printf_fp",0,0,11805,0
"all;g4run;libc;_int_malloc",15354945,14196502,460505,7308081
"all;g4run;libc;getenv",34193049,41793937,2251908,5639662
"all;g4run;libc;malloc",71871995,83835438,4406102,14116050
"all;g4run;libc;__memmove_avx_unaligned",220481749,355112557,2873522,73848913
"all;g4run;libc;_IO_no_init",0,0,14125,0
"all;g4run;libc;__mpn_divrem",0,0,18540,0
"all;g4run;libc;__GI___pthread_mutex_unlock_usercnt",696718,1034412,23055,0
"all;g4run;libc;__strlen_avx2",6283035,10296369,323806,1394879
"all;g4run;libc;@plt",698434,2232674,0,163161
"all;g4run;libc;pthread_mutex_lock@@GLIBC_2.2.5",4185364,2110254,247442,209260
"all;g4run;libc;__memcmp_avx2_movbe",11166683,11157930,826581,214927
"all;g4run;libc;__GI___printf_fp_l",0,0,45359,0
"all;g4run;libc;_IO_old_init",698380,0,14028,0
"all;g4run;libc;__memmove_avx_unaligned_erms",24416227,47216078,1013316,3534073
"all;g4run;libc;__strncmp_avx2",32094347,23466341,1248088,3122927
"all;g4run;libc;__memset_avx2_unaligned",100491847,113261856,1607468,15348601
"all;g4run;libc;_int_free",23726686,21558630,1695973,4139920
"all;g4run;libc;cfree@GLIBC_2.2.5",36956900,29838204,2063184,3766594
"all;g4run;libc;unlink_chunk.constprop.0",698355,0,0,0
"all;g4run;libG4tracking",,,,
"all;g4run;libG4tracking;0x000000000002f1de",23729023,36029101,661373,3204940
"all;g4run;libG4tracking;0x000000000002f7f7",9769615,14512559,188011,1321600
"all;g4run;libG4tracking;G4AdjointCrossSurfChecker::GoingInOrOutOfaVolumeByExtSurface",22333449,39366682,319440,7597231
"all;g4run;libG4tracking;G4SteppingManager::InvokeAtRestDoItProcs",1584820006,2855190234,23619397,339551611
"all;g4run;libG4tracking;G4UserLimits::SetUserMinEkine",30008853,54329211,357476,6460058
"all;g4run;libG4tracking;0x000000000002f82a",30006459,38012789,380401,6764603
"all;g4run;libG4tracking;G4Step::InitializeStep",413120492,674005352,6249043,114733546
"all;g4run;libG4tracking;G4UserLimits::SetUserMaxTime",0,1192033,11624,175705
"all;g4run;libG4tracking;G4ProcessManager::EndTracking@plt",4188391,1093452,54819,289261
"all;g4run;libG4tracking;G4SteppingManager::SetInitialStep@plt",3491102,8701104,168158,801183
"all;g4run;libG4tracking;0x000000000002f82d",46067017,77352293,630875,12933072
"all;g4run;libG4tracking;0x000000000002f9ae",11151880,27665338,178586,4005291
"all;g4run;libG4tracking;G4SteppingManager::Stepping",2818419534,4293459368,62705701,565496073
"all;g4run;libG4tracking;0x000000000002f9ca",1394466,1094510,0,374320
"all;g4run;libG4tracking;G4SteppingManager::SetInitialStep",5764522825,8600764921,116448738,1416465222
"all;g4run;libG4tracking;0x000000000002fff6",698382,1109555,51960,0
"all;g4run;libG4tracking;G4Allocator<G4TouchableHistory>::~G4Allocator",169661550,221442819,2123805,39044063
"all;g4run;libG4tracking;G4UserLimits::GetUserMinEkine",4180784,4293869,57959,305543
"all;g4run;libG4tracking;0x000000000002f7bd",4189695,1109745,85717,891102
"all;g4run;libG4tracking;G4SteppingVerbose::~G4SteppingVerbose",698454,1071927,39690,0
"all;g4run;libG4tracking;G4SteppingManager::InvokePostStepDoItProcs",8032215732,11432524978,207148570,1524707568
"all;g4run;libG4tracking;G4UserLimits::SetMaxAllowedStep",247741254,390403030,3953902,52743791
"all;g4run;libG4tracking;0x000000000002f7de",0,1071486,13479,0
"all;g4run;libG4tracking;0x000000000002f7a1",1396593,5016077,89605,994424
"all;g4run;libG4tracking;0x000000000002f837",33508476,19597534,133831,5464175
"all;g4run;libG4tracking;G4SteppingManager::ProcessSecondariesFromParticleChange",1067301078,1828812107,16185407,276897478
"all;g4run;libG4tracking;0x000000000002f7a4",2790795,6556533,58609,673351
"all;g4run;libG4tracking;0x000000000002f7fb",256117162,381257064,3881717,54563828
"all;g4run;libG4tracking;G4UserLimits::SetUserMinRange",34198986,38658216,382234,6781958
"all;g4run;libG4tracking;0x000000000002f7a6",4887647,3176861,37204,605472
"all;g4run;libG4tracking;0x000000000002f7a8",6978104,14123780,139687,2542176
"all;g4run;libG4tracking;G4SteppingVerbose::VerboseParticleChange",4188930,3302352,151818,119398
"all;g4run;libG4tracking;0x000000000002f7c7",1396783,1112055,0,149902
"all;g4run;libG4tracking;G4VVisManager::GetConcreteInstance@plt",56536422,80154769,890595,9298549
"all;g4run;libG4tracking;std::_Rb_tree<G4String, std::pair<G4String const, G4AttDef>, std::_Select1st<std::pair<G4String const, G4AttDef> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4AttDef> > >::find@plt",11866180,17561388,178790,1928984
"all;g4run;libG4tracking;G4SteppingManager::GetProcessNumber",103984467,178431883,2223121,26455175
"all;g4run;libG4tracking;G4UserLimits::GetUserMinRange",16052681,17294146,500967,3621745
"all;g4run;libG4tracking;G4UserLimits::SetUserMaxTrackLength",16751318,28472984,324563,5619458
"all;g4run;libG4tracking;G4NoProcess::~G4NoProcess",96321317,140167885,964323,31183530
"all;g4run;libG4tracking;G4Step::UpdateTrack",66294404,109249824,1187737,17699014
"all;g4run;libG4tracking;G4SteppingManager::InvokeAlongStepDoItProcs",7680284,17048401,190683,2224978
"all;g4run;libG4tracking;0x000000000003016f",0,0,14572,0
"all;g4run;libG4tracking;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>",42560467,57390273,495567,10614854
"all;g4run;libG4tracking;G4SteppingManager::InvokePSDIP",353086759,489672549,9900010,72861202
"all;g4run;libG4tracking;0x000000000002fffd",1396326,2177992,42125,175194
"all;g4run;libG4tracking;0x000000000002f81c",556534770,914539239,7455861,126593693
"all;g4run;libG4tracking;0x000000000002f1d6",11865038,9556671,271059,1921913
"all;g4run;libG4tracking;0x000000000002f81f",0,1028773,0,442194
"all;g4run;libG4tracking;G4UserLimits::GetUserMaxTime",30703046,75079115,472531,9858378
"all;g4run;libG4tracking;0x0000000000043e4b",1396834,1094400,11461,276416
"all;g4run;libG4tracking;G4AdjointCrossSurfChecker::CrossingOneOfTheRegisteredSurface@plt",2790086,10685460,67214,1270576
"all;g4run;libG4tracking;0x000000000002f83b",21632999,23804404,109414,5006113
"all;g4run;libG4tracking;0x0000000000043e4f",3488149,5267755,83389,630425
"all;g4run;libG4tracking;G4UserLimits::GetUserMaxTrackLength",13964336,30526075,306633,2817356
"all;g4run;libG4tracking;0x000000000002f83f",30001670,60230601,449247,7775925
"all;g4run;libG4tracking;std::vector<G4String, std::allocator<G4String> >::_M_realloc_insert<char const*&>",315442362,467438198,7002467,72608255
"all;g4run;libG4tracking;0x000000000002f7aa",698365,0,12716,0
"all;g4run;libG4tracking;std::_Rb_tree_insert_and_rebalance@plt",1396837,5438357,10445,0
"all;g4run;libG4tracking;G4StepPoint::operator=@plt",698398,2018814,33761,450383
"all;g4run;libG4tracking;0x000000000002f7ac",698139,0,0,0
"all;g4run;libG4tracking;G4SteppingVerbose::AlongStepDoItOneByOne",4872363702,7059089821,93530976,1286236524
"all;g4run;libG4tracking;0x000000000002f7ad",36994728,67708251,601666,9767787
"all;g4run;libG4tracking;G4TrajectoryPoint::G4TrajectoryPoint@plt",27208479,59583216,833612,8320218
"all;g4run;libG4tracking;0x000000000002ef97",5586444,1072247,37831,779316
"all;g4run;libG4tracking;G4SteppingVerbose::PostStepDoItOneByOne",5326318310,8005050852,98708012,1439021697
"all;g4run;libG4tracking;G4Region::GetRegionalSteppingAction@plt",7675903,10511091,208965,1684896
"all;g4run;libG4tracking;G4SteppingManager::GetProcessNumber@plt",9770691,21570892,108343,3941513
"all;g4run;libG4tracking;G4RichTrajectoryPoint::~G4RichTrajectoryPoint@plt",2793344,3417635,35712,378417
"all;g4run;libG4tracking;0x000000000002f809",658809721,1076540583,8924455,142436923
"all;g4run;libG4tracking;0x000000000002f7cd",1396885,2086782,64030,288463
"all;g4run;libG4tracking;0x000000000002f826",9765717,15669214,238682,3877772
"all;g4run;libG4tracking;std::_Rb_tree<G4String, std::pair<G4String const, G4AttDef>, std::_Select1st<std::pair<G4String const, G4AttDef> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4AttDef> > >::_M_get_insert_unique_pos@plt",1396767,840111,44868,304483
"all;g4run;libG4tracking;0x000000000002f9a9",13264766,23461023,47442,4692375
"all;g4run;libG4tracking;G4CountedObject<G4VTouchable>::Release@plt",2094330,6715832,24603,455970
"all;g4run;libG4tracking;0x000000000002f7ed",4183873,10004303,55088,1276999
"all;g4run;libG4tracking;G4UserSteppingAction::UserSteppingAction",270730499,417265857,4467206,76733607
"all;g4run;libG4tracking;G4PropagatorInField::SetTrajectoryFilter@plt",9770306,18303293,149675,2622732
"all;g4run;libG4tracking;G4AttValue::G4AttValue@plt",16050674,30089594,229414,5193023
"all;g4run;libG4tracking;std::vector<G4Track*, std::allocator<G4Track*> >::_M_realloc_insert<G4Track* const&>",29352377,34428814,1381171,1307814
"all;g4run;libG4tracking;G4Track::~G4Track@plt",2792581,1233384,25927,312693
"all;g4run;libG4physicslists",,,,
"all;g4run;libG4physicslists;G4PrecoProtonBuilder::G4PrecoProtonBuilder",0,1188908,39367,0
"all;g4run;libG4global",,,,
"all;g4run;libG4global;0x0000000000037cdf",0,1181337,0,0
"all;g4run;libG4global;std::vector<double, std::allocator<double> >::_M_fill_assign",1395253,1941062,97495,170024
"all;g4run;libG4global;G4JTPolynomialSolver::QuadraticPolynomialIteration",15350145,7098023,350489,1537157
"all;g4run;libG4global;strlen@plt",0,1086431,0,0
"all;g4run;libG4global;0x00000000000564c8",1396925,7449825,68082,1308120
"all;g4run;libG4global;G4ThreadLocalSingleton<G4GeometryTolerance>::G4ThreadLocalSingleton",55816450,63437003,1109957,8646005
"all;g4run;libG4global;G4SimpleIntegration::G4SimpleIntegration",0,1034073,15157,0
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeScalarFactors",7673405,6493310,209920,864255
"all;g4run;libG4global;0x000000000003906a",0,0,0,164440
"all;g4run;libG4global;G4PhysicsLogVector::G4PhysicsLogVector",6976197,3237212,550267,441665
"all;g4run;libG4global;G4PhysicsVector::Retrieve",471078458,534797538,8571282,60303672
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeFixedShiftPolynomial",6282020,8553652,251317,2358520
"all;g4run;libG4global;G4coutDestination::ReceiveG4cerr_",0,0,59424,0
"all;g4run;libG4global;0x0000000000054995",4885688,3275913,60527,610217
"all;g4run;libG4global;0x0000000000038eda",698208,0,0,0
"all;g4run;libG4global;G4ProfilerConfig<1ul>::GetPersistent<1>",70481382,95555765,3062662,17325429
"all;g4run;libG4global;0x0000000000054997",18840021,12224562,313478,1811759
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeNextPolynomial",1396883,3903392,57950,566035
"all;g4run;libG4global;0x00000000000564cc",0,1066538,20072,0
"all;g4run;libG4global;0x00000000000564ce",698163,2223663,37931,685643
"all;g4run;libG4global;G4SimplexDownhill<G4ConvergenceTester>::initialize@plt",0,0,26312,0
