cycles,ex_ret_brn,ex_ret_brn_misp,ex_ret_brn_tkn,ex_ret_brn_tkn_misp,ex_ret_brn_far,comm,dso,symbol
45731000871,12997140159,148200536,8384641205,93260292,700711,"g4run","libG4geometry.so","G4PolyhedraSide::G4PolyhedraSide"
19358061578,5690456038,67742178,3658989816,42049666,305359,"g4run","libm.so.6","__ieee754_atan2_fma"
16087500342,4050620167,39434778,2517375209,24060150,221875,"g4run","libG4processes.so","G4ChipsProtonInelasticXS::CalculateCrossSection"
15431345732,3951784470,32363006,2430475021,19744712,206738,"g4run","libG4processes.so","G4HadronNucleonXsc::HadronNucleonXscNS"
13053297315,3175929686,45674761,2003107387,25791735,215903,"g4run","libG4geometry.so","G4PolyconeSide::CalculateExtent"
11355810432,2704228189,35051279,1706493442,19443216,181362,"g4run","libG4geometry.so","G4PolyconeSide::G4PolyconeSide"
10767861360,2970414272,36133810,1925479736,22520633,166524,"g4run","libG4geometry.so","G4PolyPhiFace::InCone"
10350022851,2771996424,24758556,1775286415,15745677,148935,"g4run","g4run","CMSMagneticField::GetFieldValue"
7557406739,1799055460,21942387,1144571463,13384232,124201,"g4run","libG4geometry.so","G4Navigator::ComputeStep"
7221577457,1755405354,20257307,1132912647,12704658,115197,"g4run","ld-linux-x86-64.so.2","__tls_get_addr"
7157825625,1971920819,23913840,1261734256,14684758,114206,"g4run","libG4geometry.so","G4TwistedTubs::G4TwistedTubs"
7136201265,1621503539,25377551,1026252311,16251389,119694,"g4run","libG4processes.so","std::vector<G4LossTableManager*, std::allocator<G4LossTableManager*> >::_M_fill_insert"
7118046221,1719007428,22926689,1110451334,13853993,116358,"g4run","libG4tracking.so","G4SteppingManager::InvokePostStepDoItProcs"
7027457142,1615397909,27467513,1022966557,16593756,116029,"g4run","libG4processes.so","G4ITMultiNavigator::GetLocalExitNormal"
6570832673,1669798779,16515290,1063248201,10881319,98504,"g4run","libm.so.6","__sincos"
6540812065,1507662971,11394797,914327291,7399174,84982,"g4run","libG4processes.so","G4HadElementSelector::G4HadElementSelector"
6346412263,1576311406,17248886,1011483313,10419362,102773,"g4run","libG4digits_hits.so","G4VSensitiveDetector::~G4VSensitiveDetector"
6090177834,1517410807,18148573,953715443,11943273,90346,"g4run","libG4processes.so","G4CrossSectionDataStore::DumpPhysicsTable"
5531002171,1563647704,18340903,989802399,11525311,85395,"g4run","libG4geometry.so","G4PolyhedraSide::GetPointOnFace"
5497420393,1292103434,15206926,813185675,9510882,79611,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::iterate"
5165425709,1242014028,14575971,792234050,9035028,87765,"g4run","libG4tracking.so","G4SteppingManager::SetInitialStep"
5080886135,1162558518,13800612,740310330,8456500,78001,"g4run","libG4processes.so","G4ProcessManager::RemoveProcess"
4874026905,1261027762,12155659,816806523,7360726,69689,"g4run","libG4processes.so","G4Pow::powA"
4813412228,1153452592,13931473,723942340,8623936,72856,"g4run","libG4tracking.so","G4SteppingVerbose::PostStepDoItOneByOne"
4640379188,1057398905,13204338,668475934,7968226,70683,"g4run","libG4tracking.so","G4SteppingVerbose::AlongStepDoItOneByOne"
4575319254,1062635002,12980614,678959795,7938597,74289,"g4run","libG4geometry.so","std::vector<G4LogicalVolume*, std::allocator<G4LogicalVolume*> >::_M_realloc_insert<G4LogicalVolume*>"
4447112723,1125733460,10615259,711715783,6385595,63416,"g4run","libG4processes.so","G4ChipsProtonInelasticXS::G4ChipsProtonInelasticXS"
4225583777,1116161649,10577590,704771646,6734952,67019,"g4run","libG4geometry.so","G4PropagatorInField::ComputeStep"
4082963027,964818363,11960040,610646848,7019820,61071,"g4run","libG4geometry.so","operator<<"
4033717365,942006917,10522472,618368121,6351037,58089,"g4run","libG4processes.so","G4OpticalParametersMessenger::SetNewValue"
3992748482,952903673,9857823,607682269,6220947,65104,"g4run","libG4geometry.so","G4Navigator::PrintState"
3916846876,993884662,10006782,660960077,6192036,61745,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::Verbose"
3780340117,1009367226,8862706,653564806,5563267,54398,"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::StepWithError"
