cycles_ukP,comm,dso,symbol
80312463135,"g4run","libG4geometry.so","G4PolyhedraSide::G4PolyhedraSide"
32208800256,"g4run","libm.so.6","__ieee754_atan2_fma"
20707426745,"g4run","libG4processes.so","G4HadronNucleonXsc::HadronNucleonXscNS"
17474781386,"g4run","libG4geometry.so","G4PolyPhiFace::InCone"
15013288656,"g4run","libG4processes.so","G4ChipsProtonInelasticXS::CalculateCrossSection"
9616554241,"g4run","libG4geometry.so","G4TwistedTubs::G4TwistedTubs"
9311242123,"g4run","libG4geometry.so","G4PolyhedraSide::GetPointOnFace"
8870994520,"g4run","libG4processes.so","G4HadElementSelector::G4HadElementSelector"
7269807692,"g4run","ld-linux-x86-64.so.2","__tls_get_addr"
6700283003,"g4run","libG4geometry.so","G4Navigator::ComputeStep"
6532988844,"g4run","libm.so.6","__sincos"
6488049944,"g4run","g4run","CMSMagneticField::GetFieldValue"
5924533377,"g4run","libG4processes.so","G4ITMultiNavigator::GetLocalExitNormal"
5792119657,"g4run","libG4tracking.so","G4SteppingManager::InvokePostStepDoItProcs"
5065705911,"g4run","libG4digits_hits.so","G4VSensitiveDetector::~G4VSensitiveDetector"
4966103863,"g4run","libG4processes.so","G4Pow::powA"
4894816571,"g4run","libG4processes.so","G4IntraNucleiCascader::finishCascade"
4856034279,"g4run","libG4geometry.so","G4PolyconeSide::G4PolyconeSide"
4731746930,"g4run","libG4geometry.so","G4PolyconeSide::CalculateExtent"
4640099408,"g4run","libG4processes.so","std::vector<G4LossTableManager*, std::allocator<G4LossTableManager*> >::_M_fill_insert"
4627676672,"g4run","libG4processes.so","G4ChipsProtonInelasticXS::G4ChipsProtonInelasticXS"
4481590783,"g4run","libG4geometry.so","G4SubtractionSolid::DistanceToIn"
4291453223,"g4run","libG4processes.so","G4CrossSectionDataStore::DumpPhysicsTable"
4282038557,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::iterate"
4222606794,"g4run","libG4geometry.so","G4ExtrudedSolid::StreamInfo"
4183439811,"g4run","libG4geometry.so","operator<<"
4057535939,"g4run","libG4tracking.so","G4SteppingManager::SetInitialStep"
3890930778,"g4run","libG4processes.so","G4ProcessManager::RemoveProcess"
3884849111,"g4run","libG4geometry.so","G4Box::SetXHalfLength"
3795854252,"g4run","libm.so.6","__atan2"
