cycles,ex_div_busy,ex_div_count,comm,dso,symbol
36394214919,1228464,161940,"g4run","libG4geometry.so","G4PolyhedraSide::G4PolyhedraSide"
24962236441,860467,103031,"g4run","libG4processes.so","G4HadronNucleonXsc::HadronNucleonXscNS"
21311633726,899683,104754,"g4run","libG4processes.so","G4ChipsProtonInelasticXS::CalculateCrossSection"
17542659346,695534,84186,"g4run","libm.so.6","__ieee754_atan2_fma"
10578568223,366171,44062,"g4run","libG4processes.so","G4HadElementSelector::G4HadElementSelector"
9914170487,612671,86023,"g4run","g4run","CMSMagneticField::GetFieldValue"
8610492555,351399,34316,"g4run","libG4geometry.so","G4PolyPhiFace::InCone"
7837062601,354691,50215,"g4run","libm.so.6","__sincos"
7459326068,308288,26339,"g4run","libG4geometry.so","G4Navigator::ComputeStep"
7252415543,266792,38515,"g4run","ld-linux-x86-64.so.2","__tls_get_addr"
7119242828,288019,32852,"g4run","libG4tracking.so","G4SteppingManager::InvokePostStepDoItProcs"
6521825997,302907,26470,"g4run","libG4processes.so","G4CrossSectionDataStore::DumpPhysicsTable"
6428124818,234731,29780,"g4run","libG4processes.so","G4Pow::powA"
6290413482,213058,23191,"g4run","libG4processes.so","G4ITMultiNavigator::GetLocalExitNormal"
6289766797,248984,25650,"g4run","libG4processes.so","G4ChipsProtonInelasticXS::G4ChipsProtonInelasticXS"
6282338433,254552,27404,"g4run","libG4digits_hits.so","G4VSensitiveDetector::~G4VSensitiveDetector"
6127977470,245624,23999,"g4run","libG4geometry.so","G4PolyconeSide::G4PolyconeSide"
6086163827,238048,27144,"g4run","libG4geometry.so","G4PolyconeSide::CalculateExtent"
6005604205,263751,30207,"g4run","libG4processes.so","std::vector<G4LossTableManager*, std::allocator<G4LossTableManager*> >::_M_fill_insert"
5643323491,239964,29863,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::iterate"
5150012574,223410,25982,"g4run","libG4tracking.so","G4SteppingVerbose::PostStepDoItOneByOne"
5047718141,198103,21005,"g4run","libG4processes.so","G4ProcessManager::RemoveProcess"
5037323516,243518,21060,"g4run","libG4geometry.so","G4TwistedTubs::G4TwistedTubs"
5025204477,172987,20487,"g4run","libG4tracking.so","G4SteppingManager::SetInitialStep"
4830593743,242577,33466,"g4run","libG4processes.so","G4IntraNucleiCascader::finishCascade"
4398331682,160885,19206,"g4run","libG4geometry.so","G4PolyhedraSide::GetPointOnFace"
4365296048,186123,17962,"g4run","libG4tracking.so","G4SteppingVerbose::AlongStepDoItOneByOne"
4265187534,147084,17261,"g4run","libG4geometry.so","std::vector<G4LogicalVolume*, std::allocator<G4LogicalVolume*> >::_M_realloc_insert<G4LogicalVolume*>"
3699612351,170743,18938,"g4run","libG4geometry.so","G4PropagatorInField::ComputeStep"
3599349141,121627,12416,"g4run","libG4geometry.so","operator<<"
3539413700,195991,19466,"g4run","libG4processes.so","G4OpticalParametersMessenger::SetNewValue"
3516622070,143476,14733,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::Verbose"
3444012983,129606,25561,"g4run","libG4geometry.so","G4ParameterisedNavigation::ComputeStep"
3152298323,170676,30496,"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::StepWithError"
3123737648,177617,17061,"g4run","libCLHEP-2.4.5.3.so","CLHEP::HepLorentzVector::boost"
3027097350,151960,19797,"g4run","libG4processes.so","G4InuclCollider::collide"
3024905670,107499,14668,"g4run","libG4geometry.so","G4Navigator::PrintState"
2869592691,82886,11180,"g4run","libG4processes.so","G4F18GEMProbability::G4F18GEMProbability"
2772360899,93640,16288,"g4run","libG4processes.so","std::map<G4String, bool, std::less<G4String>, std::allocator<std::pair<G4String const, bool> > >::operator[]"
2750460097,93706,13280,"g4run","libG4processes.so","G4ThreadLocalSingleton<G4LossTableManager>::G4ThreadLocalSingleton"
2712158116,115618,9529,"g4run","libG4processes.so","G4GoudsmitSaundersonTable::LoadMSCData"
2613282156,116182,14820,"g4run","libG4processes.so","G4ProcessManager::AddProcess"
2602802340,202266,34237,"g4run","libG4particles.so","0x000000000006f80c"
2449848602,85512,10305,"g4run","libG4tracking.so","G4SteppingManager::Stepping"
2282440622,91920,9658,"g4run","libG4processes.so","G4CacheReference<G4NuclearPolarizationStore*>::Destroy"
2210760598,69123,8128,"g4run","libG4geometry.so","G4ExtrudedSolid::StreamInfo"
2202163551,72557,9310,"g4run","libG4geometry.so","G4ReflectedSolid::CreatePolyhedron"
2186326278,73215,9741,"g4run","libG4processes.so","G4LivermoreBremsstrahlungModel::ComputeDXSectionPerAtom"
2152611003,103841,8596,"g4run","libG4geometry.so","G4SubtractionSolid::DistanceToIn"
2125170565,70158,7351,"g4run","libG4geometry.so","G4VoxelSafety::SafetyForVoxelHeader"
2105264111,90393,14858,"g4run","libCLHEP-2.4.5.3.so","CLHEP::(anonymous namespace)::theDefaults"
2101169524,91354,8272,"g4run","libG4processes.so","std::vector<std::function<void ()>, std::allocator<std::function<void ()> > >::_M_realloc_insert<G4ThreadLocalSingleton<G4NuclearPolarizationStore>::G4ThreadLocalSingleton()::{lambda()#1}>"
2088904777,82254,9287,"g4run","libG4processes.so","G4LossTableManager::Register"
2062707316,79063,8662,"g4run","libG4geometry.so","std::_Rb_tree<G4String, std::pair<G4String const, std::vector<G4VSolid*, std::allocator<G4VSolid*> > >, std::_Select1st<std::pair<G4String const, std::vector<G4VSolid*, std::allocator<G4VSolid*> > > >, std::less<G4String>, std::allocator<std::pair<G4String const, std::vector<G4VSolid*, std::allocator<G4VSolid*> > > > >::_M_emplace_unique<std::pair<G4String, std::vector<G4VSolid*, std::allocator<G4VSolid*> > > >"
2018713720,66412,7854,"g4run","libG4processes.so","G4PairProductionRelModel::ComputeRelDXSectionPerAtom"
2009352210,92097,7716,"g4run","libG4geometry.so","G4Box::SetXHalfLength"
2004694109,56027,7670,"g4run","libm.so.6","__atan2"
1958789632,71090,10661,"g4run","libG4particles.so","G4OmegacZero::Definition"
1956444979,62055,8056,"g4run","libG4processes.so","G4LightTargetCollider::collide"
