cycles,instructions,ic_fetch_stall_ic_stall_any,ic_fetch_stall_ic_stall_dq_empty,ic_fetch_stall_ic_stall_back_pressure,ic_cache_fill_sys,comm,dso,symbol
23255039589,37350619404,11720665048,437997240,4617196748,94993877,"g4run","libG4geometry.so","G4PolyhedraSide::G4PolyhedraSide"
12893289753,18300608235,7029890647,285046423,2729236691,83164748,"g4run","libG4processes.so","G4ChipsProtonInelasticXS::CalculateCrossSection"
10177066196,16645012078,5052921841,188593152,2039358157,35576995,"g4run","libm.so.6","__ieee754_atan2_fma"
9977227992,14065085480,5214759088,244735557,1615621847,61538026,"g4run","libG4processes.so","std::vector<G4LossTableManager*, std::allocator<G4LossTableManager*> >::_M_fill_insert"
9153359805,13616852224,4989613214,227066119,2377821236,47488867,"g4run","libG4processes.so","G4HadronNucleonXsc::HadronNucleonXscNS"
8732774265,13460170707,4564414270,271291043,1766904362,41473908,"g4run","libm.so.6","__sincos"
8434379992,12663660532,4466480180,180266119,2078814545,54061436,"g4run","libG4geometry.so","G4Navigator::ComputeStep"
8271624398,12367090052,4280510605,200127806,1680689878,59125268,"g4run","ld-linux-x86-64.so.2","__tls_get_addr"
8271519745,11651069767,4265108175,192982459,1442612230,53498360,"g4run","libG4tracking.so","G4SteppingManager::InvokePostStepDoItProcs"
7724704344,11885007324,3997795537,183981161,2127310053,25994337,"g4run","libG4processes.so","G4ITMultiNavigator::GetLocalExitNormal"
7670759071,11535098859,3944647112,126596882,1386181936,28694289,"g4run","g4run","CMSMagneticField::GetFieldValue"
7385648791,10413845897,3857177619,175754987,1520463671,41103958,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::iterate"
7172195910,10657697195,3854946598,146366951,1622186967,53735640,"g4run","libG4digits_hits.so","G4VSensitiveDetector::~G4VSensitiveDetector"
7098716413,12619576648,4023082919,60044752,3485755057,1056590,"g4run","libG4processes.so","G4F18GEMProbability::G4F18GEMProbability"
7054942813,11444735726,3748732803,136463818,2003030139,27452330,"g4run","libG4geometry.so","G4Box::SetXHalfLength"
6734118567,9296979552,3547947748,160382737,1366931208,54925234,"g4run","libG4processes.so","G4CrossSectionDataStore::DumpPhysicsTable"
6416413710,9508851251,3243371351,252602488,571702999,35991251,"g4run","libG4processes.so","G4IntraNucleiCascader::finishCascade"
6286184799,9186959362,3295094640,127311023,1416391406,53597498,"g4run","libG4tracking.so","G4SteppingManager::SetInitialStep"
