id,cycles,ex_ret_brn,ex_ret_brn_misp,ex_ret_brn_tkn,ex_ret_brn_tkn_misp,ex_ret_brn_far
"all",,,,,,
"all;g4run",,,,,,
"all;g4run;libc",,,,,,
"all;g4run;libc;alloc_perturb",0,0,0,105785,0,0
"all;g4run;libc;__strcmp_avx2",420126641,89761317,1511711,67099125,947875,7237
"all;g4run;libc;malloc_consolidate",0,0,3991,0,0,0
"all;g4run;libc;__memset_avx2_unaligned_erms",0,0,0,0,2496,0
"all;g4run;libc;__vfprintf_internal",0,0,0,105670,0,20
"all;g4run;libc;_int_malloc",38339204,4935673,198277,1569358,139377,504
"all;g4run;libc;getenv",117215950,21747625,547922,12273252,339993,2019
"all;g4run;libc;malloc",132555288,21171555,682851,13350621,564128,2357
"all;g4run;libc;__memmove_avx_unaligned",200242395,39377579,476378,29588297,334469,2484
"all;g4run;libc;__GI___pthread_mutex_unlock_usercnt",2089488,0,0,91991,8222,38
"all;g4run;libc;__strlen_avx2",18845236,4747590,98042,2084324,67973,369
"all;g4run;libc;pthread_mutex_lock@@GLIBC_2.2.5",2088754,0,16042,243311,7305,78
"all;g4run;libc;@plt",0,182530,6491,129905,12067,58
"all;g4run;libc;__memcmp_avx2_movbe",23026817,1342685,86015,1056628,72462,364
"all;g4run;libc;__GI___printf_fp_l",0,0,0,0,1381,0
"all;g4run;libc;__memmove_avx_unaligned_erms",57219812,17599644,190881,11859177,142789,1151
"all;g4run;libc;__strncmp_avx2",66268732,15206720,308295,10164181,206301,1177
"all;g4run;libc;pthread_mutex_unlock@@GLIBC_2.2.5",0,0,3822,0,0,0
"all;g4run;libc;__memset_avx2_unaligned",80228753,12480615,319372,9247711,185799,1110
"all;g4run;libc;__strchrnul_avx2",0,0,0,0,1165,0
"all;g4run;libc;_int_free",53697851,8400048,329636,6535597,259268,1117
"all;g4run;libc;cfree@GLIBC_2.2.5",86516232,10193297,432492,8674071,340594,1387
"all;g4run;libc;unlink_chunk.constprop.0",0,190044,4030,84801,4737,0
"all;g4run;libG4tracking",,,,,,
"all;g4run;libG4tracking;0x000000000002f1de",23023458,3067632,49503,3067082,26273,296
"all;g4run;libG4tracking;0x000000000002f7f7",5578580,2580543,21981,1088368,11586,176
"all;g4run;libG4tracking;0x000000000003017f",698405,0,1913,0,0,0
"all;g4run;libG4tracking;G4AdjointCrossSurfChecker::GoingInOrOutOfaVolumeByExtSurface",32779932,5676038,49919,3629718,26383,254
"all;g4run;libG4tracking;G4SteppingManager::InvokeAtRestDoItProcs",1343630244,308627173,3091119,208434722,1982738,19872
"all;g4run;libG4tracking;G4UserLimits::SetUserMinEkine",27910610,5429560,48827,2508177,36765,397
"all;g4run;libG4tracking;0x000000000002f82a",21623803,5883419,74135,2966362,33324,492
"all;g4run;libG4tracking;G4Step::InitializeStep",387214911,95078298,1062937,55477877,602417,5952
"all;g4run;libG4tracking;G4UserLimits::SetUserMaxTime",1396718,0,0,0,0,21
"all;g4run;libG4tracking;G4ProcessManager::EndTracking@plt",2792914,629534,5488,103069,1031,58
"all;g4run;libG4tracking;G4SteppingManager::SetInitialStep@plt",2094765,327560,6326,321751,2837,19
"all;g4run;libG4tracking;0x000000000002f82d",46269592,13844545,125537,7462533,70332,547
"all;g4run;libG4tracking;0x000000000002f9ae",14647541,3372376,48657,1533223,24641,212
"all;g4run;libG4tracking;G4SteppingManager::Stepping",2585559263,636204258,7520743,419328072,4594552,45242
"all;g4run;libG4tracking;0x000000000002f9ca",698375,410822,2289,0,3633,19
"all;g4run;libG4tracking;G4SteppingManager::SetInitialStep",5165425709,1242014028,14575971,792234050,9035028,87765
"all;g4run;libG4tracking;0x000000000002fff6",0,0,1807,204189,4462,20
"all;g4run;libG4tracking;G4Allocator<G4TouchableHistory>::~G4Allocator",136746575,36642520,347147,20152510,226097,3239
"all;g4run;libG4tracking;0x000000000002f7bd",3488330,812450,5836,210561,2838,95
"all;g4run;libG4tracking;G4UserLimits::GetUserMinEkine",9075401,822785,14851,1257420,9505,60
"all;g4run;libG4tracking;G4SteppingVerbose::~G4SteppingVerbose",698411,195268,0,0,3253,0
"all;g4run;libG4tracking;G4SteppingManager::InvokePostStepDoItProcs",7118046221,1719007428,22926689,1110451334,13853993,116358
"all;g4run;libG4tracking;G4UserLimits::SetMaxAllowedStep",255365462,53570078,540247,34855411,369471,3680
"all;g4run;libG4tracking;0x000000000002f7de",2793353,154074,9288,112539,3087,20
"all;g4run;libG4tracking;0x000000000002f7a1",3480621,541267,12658,566776,11647,196
"all;g4run;libG4tracking;0x000000000002f837",25110943,4291943,12108,2725662,15088,120
"all;g4run;libG4tracking;G4SteppingManager::ProcessSecondariesFromParticleChange",909839444,200156559,1640530,124672576,1149912,13213
"all;g4run;libG4tracking;0x000000000002f7a4",2093888,721636,11651,531784,10321,76
"all;g4run;libG4tracking;0x000000000002f7fb",253934189,56185248,701077,37672272,408359,4192
"all;g4run;libG4tracking;G4UserLimits::SetUserMinRange",30694161,4960808,36373,1848894,26004,275
"all;g4run;libG4tracking;0x000000000002f7a6",2091192,817112,8772,642024,3197,79
"all;g4run;libG4tracking;0x000000000002f7a8",7668773,1859886,16040,431130,24383,80
"all;g4run;libG4tracking;G4SteppingVerbose::VerboseParticleChange",4183388,718538,15084,196903,14132,79
"all;g4run;libG4tracking;0x000000000002f7c7",698419,319477,1969,116318,6712,0
"all;g4run;libG4tracking;G4VVisManager::GetConcreteInstance@plt",39754950,9345979,133940,7683842,79157,489
"all;g4run;libG4tracking;std::_Rb_tree<G4String, std::pair<G4String const, G4AttDef>, std::_Select1st<std::pair<G4String const, G4AttDef> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4AttDef> > >::find@plt",9070072,2054157,20593,1526595,18423,161
"all;g4run;libG4tracking;G4UserLimits::GetUserMinRange",10460996,4118401,32806,2934781,18606,337
"all;g4run;libG4tracking;G4SteppingManager::GetProcessNumber",113019819,22505273,300158,16618475,192958,1708
"all;g4run;libG4tracking;G4UserLimits::SetUserMaxTrackLength",13258022,4135412,30724,3035980,22013,274
"all;g4run;libG4tracking;G4NoProcess::~G4NoProcess",66270163,19549353,219818,10673888,145933,1560
"all;g4run;libG4tracking;G4Step::UpdateTrack",57895582,12482088,114294,6488777,79101,726
"all;g4run;libG4tracking;G4SteppingManager::InvokeAlongStepDoItProcs",8371707,1418437,7103,793376,7906,175
"all;g4run;libG4tracking;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>",41156234,5620673,74836,4451855,33759,569
"all;g4run;libG4tracking;G4SteppingManager::InvokePSDIP",390031149,86332174,1223055,60200765,698740,5338
"all;g4run;libG4tracking;0x000000000002fffd",1396708,160067,5569,103319,6084,0
"all;g4run;libG4tracking;0x000000000002f81c",484845096,124398648,1232074,84422377,744697,8291
"all;g4run;libG4tracking;0x000000000002f1d6",17445278,3062549,34420,1256181,24934,154
"all;g4run;libG4tracking;0x000000000002f81f",698469,0,0,0,0,0
"all;g4run;libG4tracking;G4UserLimits::GetUserMaxTime",33472957,8856174,102485,5999860,58170,464
"all;g4run;libG4tracking;G4AdjointCrossSurfChecker::CrossingOneOfTheRegisteredSurface@plt",2090587,792247,16146,451061,7450,0
"all;g4run;libG4tracking;0x0000000000043e4b",4180565,361971,12769,111926,3819,0
"all;g4run;libG4tracking;0x000000000002f83b",14644430,1593891,41841,2530915,22027,313
"all;g4run;libG4tracking;0x0000000000043e4f",3490537,833556,7334,305093,7991,44
"all;g4run;libG4tracking;G4UserLimits::GetUserMaxTrackLength",13246239,4265814,34591,2049710,37210,357
"all;g4run;libG4tracking;0x000000000002f83f",44660489,6391181,83921,7311700,58377,516
"all;g4run;libG4tracking;std::vector<G4String, std::allocator<G4String> >::_M_realloc_insert<char const*&>",271388555,56287198,811885,39760116,544153,4891
"all;g4run;libG4tracking;0x000000000002f7aa",698477,0,3467,0,0,0
"all;g4run;libG4tracking;std::_Rb_tree_insert_and_rebalance@plt",2782655,387534,5665,203582,3298,20
"all;g4run;libG4tracking;G4StepPoint::operator=@plt",1396059,553848,7649,96313,6888,40
"all;g4run;libG4tracking;0x000000000002f7ac",0,0,0,0,1353,0
"all;g4run;libG4tracking;G4SteppingVerbose::AlongStepDoItOneByOne",4640379188,1057398905,13204338,668475934,7968226,70683
"all;g4run;libG4tracking;0x000000000002f7ad",36973640,10891577,94702,5165098,51277,592
"all;g4run;libG4tracking;G4TrajectoryPoint::G4TrajectoryPoint@plt",29305857,7977694,89685,4595966,64318,445
"all;g4run;libG4tracking;0x000000000002ef97",4176888,631250,5415,608228,7137,40
"all;g4run;libG4tracking;G4SteppingVerbose::PostStepDoItOneByOne",4813412228,1153452592,13931473,723942340,8623936,72856
"all;g4run;libG4tracking;G4Region::GetRegionalSteppingAction@plt",2793470,1220933,28926,1196026,7221,120
"all;g4run;libG4tracking;G4SteppingManager::GetProcessNumber@plt",13245914,1659178,35342,1931024,7013,118
"all;g4run;libG4tracking;G4RichTrajectoryPoint::~G4RichTrajectoryPoint@plt",698311,142524,4499,0,0,19
"all;g4run;libG4tracking;0x000000000002f809",643917447,163812778,1673037,95179619,980840,12101
"all;g4run;libG4tracking;G4UserLimits::GetMaxAllowedStep",0,0,0,0,945,0
"all;g4run;libG4tracking;0x000000000002f7cd",2793517,366889,4128,190549,7528,39
"all;g4run;libG4tracking;0x000000000002f826",16046046,3411072,35543,904986,22324,175
"all;g4run;libG4tracking;std::_Rb_tree<G4String, std::pair<G4String const, G4AttDef>, std::_Select1st<std::pair<G4String const, G4AttDef> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4AttDef> > >::_M_get_insert_unique_pos@plt",698396,577785,9036,122426,2123,99
"all;g4run;libG4tracking;0x000000000002f9a9",15351872,2522551,23507,1459403,22627,138
"all;g4run;libG4tracking;G4CountedObject<G4VTouchable>::Release@plt",2092546,831162,4559,413566,3138,20
"all;g4run;libG4tracking;0x000000000002f7ed",2094995,305540,16390,133836,2906,38
"all;g4run;libG4tracking;G4UserSteppingAction::UserSteppingAction",273521330,53870070,649281,36587658,467824,3936
"all;g4run;libG4tracking;G4AttValue::G4AttValue@plt",9072874,3204111,15168,2271180,10989,117
"all;g4run;libG4tracking;G4PropagatorInField::SetTrajectoryFilter@plt",10469313,1777596,14650,1423118,7524,216
"all;g4run;libG4tracking;std::vector<G4Track*, std::allocator<G4Track*> >::_M_realloc_insert<G4Track* const&>",22313582,5582248,147547,2417073,121022,198
"all;g4run;libG4tracking;G4Track::~G4Track@plt",1395078,0,5465,544750,6946,19
"all;g4run;libG4physicslists",,,,,,
"all;g4run;libG4physicslists;G4PrecoProtonBuilder::G4PrecoProtonBuilder",0,214505,0,0,1202,20
"all;g4run;libG4global",,,,,,
"all;g4run;libG4global;0x0000000000037cdf",0,0,0,0,1900,0
"all;g4run;libG4global;std::vector<double, std::allocator<double> >::_M_fill_assign",698220,0,0,0,4754,0
"all;g4run;libG4global;G4JTPolynomialSolver::QuadraticPolynomialIteration",3491297,543983,13814,414171,23985,195
"all;g4run;libG4global;strlen@plt",698121,175637,5165,0,4288,19
"all;g4run;libG4global;0x00000000000564c8",3485260,719613,20918,646673,10032,19
"all;g4run;libG4global;G4ThreadLocalSingleton<G4GeometryTolerance>::G4ThreadLocalSingleton",32091870,5328608,103397,4955796,87672,556
"all;g4run;libG4global;G4SimpleIntegration::G4SimpleIntegration",0,0,2541,0,1507,0
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeScalarFactors",4187479,461504,12148,96780,14260,39
