id,cycles,ex_div_busy,ex_div_count
"all",,,
"all;g4run",,,
"all;g4run;libc",,,
"all;g4run;libc;__strcmp_avx2",621932085,20704,1764
"all;g4run;libc;malloc_consolidate",2792098,0,0
"all;g4run;libc;_IO_default_xsputn",0,0,69
"all;g4run;libc;__vfprintf_internal",698511,572,2292
"all;g4run;libc;__memset_avx2_unaligned_erms",1393791,238,0
"all;g4run;libc;_int_malloc",62123125,1082,50
"all;g4run;libc;getenv",181490252,14443,2726
"all;g4run;libc;malloc",203114520,8069,1002
"all;g4run;libc;__memmove_avx_unaligned",179386585,4402,1292
"all;g4run;libc;__GI___pthread_mutex_unlock_usercnt",2094822,0,0
"all;g4run;libc;__strlen_avx2",32799669,5226,737
"all;g4run;libc;__uselocale",0,273,200
"all;g4run;libc;pthread_mutex_lock@@GLIBC_2.2.5",2094037,0,23
"all;g4run;libc;@plt",0,0,43
"all;g4run;libc;__memcmp_avx2_movbe",34205738,1915,302
"all;g4run;libc;__GI___printf_fp_l",2093831,1011,293
"all;g4run;libc;__memmove_avx_unaligned_erms",110264788,1879,279
"all;g4run;libc;__strncmp_avx2",117238869,5221,878
"all;g4run;libc;__vsnprintf_internal",0,0,151
"all;g4run;libc;__memset_avx2_unaligned",75386645,1428,293
"all;g4run;libc;__strchrnul_avx2",0,0,44
"all;g4run;libc;_int_free",93686740,4237,152
"all;g4run;libc;cfree@GLIBC_2.2.5",115859330,2966,543
"all;g4run;libG4tracking",,,
"all;g4run;libG4tracking;0x000000000002f1de",14660769,579,17
"all;g4run;libG4tracking;0x000000000002f7f7",2790955,2360,0
"all;g4run;libG4tracking;G4AdjointCrossSurfChecker::GoingInOrOutOfaVolumeByExtSurface",22341352,134,26
"all;g4run;libG4tracking;G4SteppingManager::InvokeAtRestDoItProcs",1392577346,55290,4970
"all;g4run;libG4tracking;G4UserLimits::SetUserMinEkine",20242833,1558,571
"all;g4run;libG4tracking;0x000000000002f82a",16055108,1561,0
"all;g4run;libG4tracking;G4Step::InitializeStep",387360138,13807,954
"all;g4run;libG4tracking;G4UserLimits::SetUserMaxTime",698285,0,0
"all;g4run;libG4tracking;G4ProcessManager::EndTracking@plt",2793595,58,0
"all;g4run;libG4tracking;G4SteppingManager::SetInitialStep@plt",4187127,215,0
"all;g4run;libG4tracking;0x000000000002f82d",45374731,935,185
"all;g4run;libG4tracking;0x000000000002f9ae",7677318,242,0
"all;g4run;libG4tracking;G4SteppingManager::Stepping",2449848602,85512,10305
"all;g4run;libG4tracking;0x000000000002f9ca",1396841,0,40
"all;g4run;libG4tracking;G4SteppingManager::SetInitialStep",5025204477,172987,20487
"all;g4run;libG4tracking;G4Allocator<G4TouchableHistory>::~G4Allocator",138903846,3186,630
"all;g4run;libG4tracking;0x000000000002f7bd",698402,0,0
"all;g4run;libG4tracking;G4UserLimits::GetUserMinEkine",4187951,383,0
"all;g4run;libG4tracking;G4SteppingManager::InvokePostStepDoItProcs",7119242828,288019,32852
"all;g4run;libG4tracking;G4UserLimits::SetMaxAllowedStep",210775251,6852,519
"all;g4run;libG4tracking;0x000000000002f7de",2790343,0,0
"all;g4run;libG4tracking;0x000000000002f7a1",1396274,0,0
"all;g4run;libG4tracking;0x000000000002f837",22338132,1697,16
"all;g4run;libG4tracking;G4SteppingManager::ProcessSecondariesFromParticleChange",822950236,45572,2160
"all;g4run;libG4tracking;0x000000000002f7a4",6281166,0,0
"all;g4run;libG4tracking;0x000000000002f7fb",191255771,3428,807
"all;g4run;libG4tracking;G4UserLimits::SetUserMinRange",11865049,0,27
"all;g4run;libG4tracking;0x000000000002f7a6",4187253,0,0
"all;g4run;libG4tracking;0x000000000002f7a8",4886093,367,0
"all;g4run;libG4tracking;G4SteppingVerbose::VerboseParticleChange",4887457,123,0
"all;g4run;libG4tracking;G4VVisManager::GetConcreteInstance@plt",52341924,818,0
"all;g4run;libG4tracking;std::_Rb_tree<G4String, std::pair<G4String const, G4AttDef>, std::_Select1st<std::pair<G4String const, G4AttDef> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4AttDef> > >::find@plt",6974306,236,40
"all;g4run;libG4tracking;G4SteppingManager::GetProcessNumber",97030045,2365,486
"all;g4run;libG4tracking;G4UserLimits::GetUserMinRange",14648192,1080,58
"all;g4run;libG4tracking;G4UserLimits::SetUserMaxTrackLength",20945439,367,422
"all;g4run;libG4tracking;G4NoProcess::~G4NoProcess",78874913,3011,375
"all;g4run;libG4tracking;G4Step::UpdateTrack",54450673,786,368
"all;g4run;libG4tracking;G4SteppingManager::InvokeAlongStepDoItProcs",10468742,2887,0
"all;g4run;libG4tracking;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>",32804870,375,2578
"all;g4run;libG4tracking;G4SteppingManager::InvokePSDIP",412502602,11942,5306
"all;g4run;libG4tracking;0x000000000002f81c",475404277,22332,1641
"all;g4run;libG4tracking;0x000000000002f1d6",16751057,368,0
"all;g4run;libG4tracking;G4UserLimits::GetUserMaxTime",41890436,9688,22
"all;g4run;libG4tracking;G4AdjointCrossSurfChecker::CrossingOneOfTheRegisteredSurface@plt",2092191,0,0
"all;g4run;libG4tracking;0x0000000000043e4b",2093376,367,0
"all;g4run;libG4tracking;0x000000000002f83b",15354927,556,102
"all;g4run;libG4tracking;0x0000000000043e4f",2093389,0,0
"all;g4run;libG4tracking;G4UserLimits::GetUserMaxTrackLength",12567257,212,0
"all;g4run;libG4tracking;0x000000000002f83f",38395947,485,34
"all;g4run;libG4tracking;std::vector<G4String, std::allocator<G4String> >::_M_realloc_insert<char const*&>",274995082,12522,615
"all;g4run;libG4tracking;std::_Rb_tree_insert_and_rebalance@plt",695373,0,0
"all;g4run;libG4tracking;G4StepPoint::operator=@plt",2094524,0,0
"all;g4run;libG4tracking;G4SteppingVerbose::AlongStepDoItOneByOne",4365296048,186123,17962
"all;g4run;libG4tracking;0x000000000002f7ad",29445381,2753,0
"all;g4run;libG4tracking;G4TrajectoryPoint::G4TrajectoryPoint@plt",28628769,596,156
"all;g4run;libG4tracking;0x000000000002ef97",4186333,50,0
"all;g4run;libG4tracking;G4SteppingVerbose::PostStepDoItOneByOne",5150012574,223410,25982
"all;g4run;libG4tracking;G4Region::GetRegionalSteppingAction@plt",4881481,114,0
"all;g4run;libG4tracking;G4SteppingManager::GetProcessNumber@plt",11860878,652,0
"all;g4run;libG4tracking;G4RichTrajectoryPoint::~G4RichTrajectoryPoint@plt",1396541,0,0
"all;g4run;libG4tracking;0x000000000002f809",520698941,23645,1747
"all;g4run;libG4tracking;0x000000000002f826",8374060,0,0
"all;g4run;libG4tracking;0x000000000002f9a9",7682545,0,155
"all;g4run;libG4tracking;G4CountedObject<G4VTouchable>::Release@plt",698241,52,0
"all;g4run;libG4tracking;0x000000000002f7ed",4888376,0,0
"all;g4run;libG4tracking;G4UserSteppingAction::UserSteppingAction",265940949,6733,828
"all;g4run;libG4tracking;G4PropagatorInField::SetTrajectoryFilter@plt",5583603,0,0
"all;g4run;libG4tracking;G4AttValue::G4AttValue@plt",11860486,336,0
"all;g4run;libG4tracking;std::vector<G4Track*, std::allocator<G4Track*> >::_M_realloc_insert<G4Track* const&>",16758562,1218,142
"all;g4run;libG4tracking;G4Track::~G4Track@plt",2793471,689,0
"all;g4run;libG4global",,,
"all;g4run;libG4global;G4SimpleIntegration::MidPoint",696256,0,0
"all;g4run;libG4global;G4ProfilerConfig<4ul>::GetPersistentFallback<0>@plt",698418,0,0
"all;g4run;libG4global;G4PhysicsVector::Store@plt",2095402,0,0
"all;g4run;libG4global;0x0000000000054995",2792090,0,0
"all;g4run;libG4global;G4JTPolynomialSolver::Quadratic",8370374,58,97
"all;g4run;libG4global;G4ProfilerConfig<4ul>::GetPersistent<1>@plt",19540580,117,32
"all;g4run;libG4global;G4PhysicsVector::Retrieve",293162044,11399,863
"all;g4run;libG4global;0x00000000000564c8",6278886,0,0
"all;g4run;libG4global;0x0000000000054997",16748679,2581,131
"all;g4run;libG4global;G4Physics2DVector::Retrieve",69097573,1689,254
"all;g4run;libG4global;strlen@plt",698538,43,0
"all;g4run;libG4global;G4coutDestination::ReceiveG4cerr_",2091322,61,17
"all;g4run;libG4global;G4Physics2DVector::CopyData",158434789,5319,504
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeFixedShiftPolynomial",2791052,0,0
"all;g4run;libG4global;0x00000000000564cc",2094210,0,0
"all;g4run;libG4global;G4PhysicsLogVector::G4PhysicsLogVector",26525832,2781,30
"all;g4run;libG4global;G4JTPolynomialSolver::QuadraticPolynomialIteration",8373441,0,0
"all;g4run;libG4global;G4Pow::G4Pow",120056860,52586,4919
"all;g4run;libG4global;0x00000000000564ce",4885238,1056,264
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeScalarFactors",5579194,0,0
"all;g4run;libG4global;G4Physics2DVector::PutVectors",113770979,8965,2968
"all;g4run;libG4global;G4SimpleIntegration::G4SimpleIntegration",698396,0,0
"all;g4run;libG4global;0x000000000005499e",12563724,1424,0
"all;g4run;libG4global;G4PhysicsModelCatalog::Initialize",51510742,1282,935
"all;g4run;libG4global;std::vector<double, std::allocator<double> >::_M_fill_assign",696928,0,0
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeNextPolynomial",1396783,0,0
"all;g4run;libG4global;G4JTPolynomialSolver::FindRoots",17440013,774,704
"all;g4run;libG4global;G4ThreadLocalSingleton<G4GeometryTolerance>::G4ThreadLocalSingleton",23027975,681,289
"all;g4run;libG4global;G4JTPolynomialSolver::RealPolynomialIteration",3488979,0,0
"all;g4run;libG4global;G4ProfilerConfig<1ul>::GetPersistent<1>",55840631,1960,100
"all;g4run;libG4global;G4Physics2DVector::BicubicInterpolation",381664289,10104,1655
"all;g4run;g4run",,,
"all;g4run;g4run;CMSMagneticField::GetFieldValue",9914170487,612671,86023
"all;g4run;g4run;ffunkti",703475589,38523,6354
"all;g4run;g4run;CLHEP::MixMaxRng::flat",1396605,0,0
"all;g4run;libG4event",,,
"all;g4run;libG4event;0x0000000000068db1",3490786,338,0
"all;g4run;libG4event;0x0000000000068e48",2094872,0,0
"all;g4run;libG4event;0x0000000000069d4d",698004,0,0
"all;g4run;libG4event;0x0000000000068db6",13961806,540,16
"all;g4run;libG4event;0x0000000000068db8",11860176,61,44
"all;g4run;libG4event;0x0000000000068d2b",698130,0,0
"all;g4run;libG4event;0x0000000000069d6b",1396745,261,0
"all;g4run;libG4event;0x0000000000068eab",4186422,78,0
"all;g4run;libG4event;0x0000000000068d2f",1396304,0,0
"all;g4run;libG4event;0x0000000000069d6f",11865124,66,552
"all;g4run;libG4event;0x0000000000069d53",2793145,84,0
"all;g4run;libG4event;0x000000000006a4b0",77477456,5510,119
"all;g4run;libG4event;0x0000000000069d73",73989957,4475,36
"all;g4run;libG4event;std::vector<G4SingleParticleSource::part_prop_t*, std::allocator<G4SingleParticleSource::part_prop_t*> >::_M_fill_insert",122832258,4565,615
"all;g4run;libG4event;0x0000000000068e2c",225454933,7326,882
"all;g4run;libG4event;0x0000000000068d70",62812283,604,467
"all;g4run;libG4event;0x0000000000068d71",16054173,2495,0
"all;g4run;libG4event;0x0000000000068d76",698404,0,0
"all;g4run;libG4event;0x0000000000068d78",12564396,678,23
"all;g4run;libG4event;0x000000000006a413",695925,0,0
"all;g4run;libG4event;G4GeneralParticleSource::ListSource",612162258,23632,2368
"all;g4run;libG4event;G4GeneralParticleSourceMessenger::GetInstance",2095290,0,16
