id,cycles,instructions,l2_itlb_misses,l2_dtlb_misses
"all",,,,
"all;g4run",,,,
"all;g4run;libG4run",,,,
"all;g4run;libG4run;G4RunManager::rndmSaveThisRun",0,0,92,0
"all;g4run;libG4persistency",,,,
"all;g4run;libG4persistency;operator new@plt",0,1380686,0,0
"all;g4run;libG4persistency;G4STRead::PhysvolRead",1396868,2689581,0,477
"all;g4run;libc",,,,
"all;g4run;libc;__strcmp_avx2",423593361,578600338,24446,80624
"all;g4run;libc;malloc_consolidate",698414,3512826,43,2477
"all;g4run;libc;_IO_str_init_static_internal",0,0,31,0
"all;g4run;libc;__libc_alloca_cutoff",0,0,81,0
"all;g4run;libc;__vfprintf_internal",0,0,139,0
"all;g4run;libc;__memset_avx2_unaligned_erms",0,0,208,322
"all;g4run;libc;__mpn_mul_1",0,0,48,0
"all;g4run;libc;__printf_fp",0,0,59,0
"all;g4run;libc;_int_malloc",50221812,67137493,3409,23576
"all;g4run;libc;getenv",113739631,112661111,32564,73075
"all;g4run;libc;malloc",168860290,153805424,77443,86503
"all;g4run;libc;__memmove_avx_unaligned",254025374,386111098,9782,37131
"all;g4run;libc;__GI___pthread_mutex_unlock_usercnt",697501,5587024,1046,1294
"all;g4run;libc;__mpn_extract_double",698439,0,0,0
"all;g4run;libc;__strlen_avx2",28617913,22258629,4323,9550
"all;g4run;libc;__uselocale",0,0,48,0
"all;g4run;libc;sysmalloc",0,964940,0,82
"all;g4run;libc;@plt",0,0,57,282
"all;g4run;libc;pthread_mutex_lock@@GLIBC_2.2.5",6288437,7284940,2774,4860
"all;g4run;libc;__memcmp_avx2_movbe",23733457,12812783,17202,17815
"all;g4run;libc;_IO_old_init",0,0,44,0
"all;g4run;libc;__GI___printf_fp_l",0,0,329,109
"all;g4run;libc;__strncmp_avx2",74690820,75409776,23465,44345
"all;g4run;libc;__memmove_avx_unaligned_erms",82358772,112661172,7311,11381
"all;g4run;libc;pthread_mutex_unlock@@GLIBC_2.2.5",0,0,401,589
"all;g4run;libc;___vsnprintf",0,0,47,0
"all;g4run;libc;__vsnprintf_internal",0,0,81,0
"all;g4run;libc;__memset_avx2_unaligned",94909604,109155803,4386,22347
"all;g4run;libc;__strchrnul_avx2",0,0,26,0
"all;g4run;libc;_int_free",67684049,64389363,18883,31848
"all;g4run;libc;cfree@GLIBC_2.2.5",94912528,101638620,29268,44450
"all;g4run;libc;unlink_chunk.constprop.0",698471,1015438,0,1156
"all;g4run;libG4tracking",,,,
"all;g4run;libG4tracking;0x000000000002f1de",30703930,54223988,618,3634
"all;g4run;libG4tracking;0x000000000002f7f7",9072007,8571288,26,497
"all;g4run;libG4tracking;G4AdjointCrossSurfChecker::GoingInOrOutOfaVolumeByExtSurface",29309307,60134621,309,4297
"all;g4run;libG4tracking;G4SteppingManager::InvokeAtRestDoItProcs",1799283305,3253987623,57928,213246
"all;g4run;libG4tracking;G4UserLimits::SetUserMinEkine",23086199,45342485,428,1993
"all;g4run;libG4tracking;0x000000000002f82a",25820949,29818667,916,1650
"all;g4run;libG4tracking;G4Step::InitializeStep",497707601,745789229,7305,68888
"all;g4run;libG4tracking;G4UserLimits::SetUserMaxTime",0,1143082,0,0
"all;g4run;libG4tracking;G4ProcessManager::EndTracking@plt",1396894,2162764,130,104
"all;g4run;libG4tracking;G4SteppingManager::SetInitialStep@plt",5582037,5330891,46,82
"all;g4run;libG4tracking;0x000000000002f82d",55839351,108648327,515,11706
"all;g4run;libG4tracking;0x000000000002f9ae",20234398,25014354,119,1881
"all;g4run;libG4tracking;G4SteppingManager::Stepping",2899182944,4415126991,79089,436968
"all;g4run;libG4tracking;0x000000000002f9ca",1396771,0,73,73
"all;g4run;libG4tracking;G4SteppingManager::SetInitialStep",6614300885,9798840530,168261,1116539
"all;g4run;libG4tracking;0x000000000002fff6",0,978777,122,346
"all;g4run;libG4tracking;G4Allocator<G4TouchableHistory>::~G4Allocator",173765688,275497688,3010,21239
"all;g4run;libG4tracking;0x000000000002f7bd",2791530,6262784,40,0
"all;g4run;libG4tracking;G4UserLimits::GetUserMinEkine",5583673,11261141,86,761
"all;g4run;libG4tracking;G4SteppingVerbose::~G4SteppingVerbose",1396056,0,0,363
"all;g4run;libG4tracking;G4SteppingManager::InvokePostStepDoItProcs",8853397726,13134836837,193077,1774093
"all;g4run;libG4tracking;G4UserLimits::SetMaxAllowedStep",296595364,407365265,3547,35727
"all;g4run;libG4tracking;0x000000000002f7de",698435,5359846,0,471
"all;g4run;libG4tracking;0x000000000002f7a1",2093110,2060404,94,909
"all;g4run;libG4tracking;0x000000000002f837",33495170,42347230,643,2455
"all;g4run;libG4tracking;G4SteppingManager::ProcessSecondariesFromParticleChange",1175224564,2023672232,33327,145890
"all;g4run;libG4tracking;0x000000000002f7a4",2091805,6444010,83,114
"all;g4run;libG4tracking;0x000000000002f7fb",217158227,321997841,2477,28708
"all;g4run;libG4tracking;G4UserLimits::SetUserMinRange",38379969,29970721,491,2107
"all;g4run;libG4tracking;0x000000000002f7a6",4881511,3215056,79,89
"all;g4run;libG4tracking;0x000000000002f7a8",4888676,9658617,46,999
"all;g4run;libG4tracking;G4SteppingVerbose::VerboseParticleChange",3488973,4463931,162,4649
"all;g4run;libG4tracking;0x000000000002f7c7",1391674,2080075,0,0
"all;g4run;libG4tracking;G4VVisManager::GetConcreteInstance@plt",80322422,95107929,986,8564
"all;g4run;libG4tracking;std::_Rb_tree<G4String, std::pair<G4String const, G4AttDef>, std::_Select1st<std::pair<G4String const, G4AttDef> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4AttDef> > >::find@plt",7677415,14907234,154,2988
"all;g4run;libG4tracking;G4SteppingManager::GetProcessNumber",103991091,165888086,6899,27662
"all;g4run;libG4tracking;G4UserLimits::GetUserMinRange",20216569,20225899,97,1818
"all;g4run;libG4tracking;G4UserLimits::SetUserMaxTrackLength",30008277,34085990,253,2728
"all;g4run;libG4tracking;G4NoProcess::~G4NoProcess",107473478,136291941,1818,8664
"all;g4run;libG4tracking;G4Step::UpdateTrack",76768594,71500637,1336,14415
"all;g4run;libG4tracking;G4SteppingManager::InvokeAlongStepDoItProcs",11162611,22652903,583,863
"all;g4run;libG4tracking;0x000000000003016f",0,1019459,0,0
"all;g4run;libG4tracking;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>",40479773,68411541,1171,5840
"all;g4run;libG4tracking;G4SteppingManager::InvokePSDIP",445922462,717095178,6677,79266
"all;g4run;libG4tracking;G4TouchableHistory::G4TouchableHistory@plt",0,0,0,197
"all;g4run;libG4tracking;0x000000000002fffd",2092152,0,0,591
"all;g4run;libG4tracking;0x000000000002f81c",575435973,788975710,5370,63915
"all;g4run;libG4tracking;0x000000000002fe44",698433,0,0,0
"all;g4run;libG4tracking;0x000000000002f1d6",11162452,18249396,579,1935
"all;g4run;libG4tracking;0x000000000002f81f",0,0,0,364
"all;g4run;libG4tracking;G4UserLimits::GetUserMaxTime",42581710,92338784,403,7167
"all;g4run;libG4tracking;0x0000000000043e4b",698036,3482782,316,875
"all;g4run;libG4tracking;G4AdjointCrossSurfChecker::CrossingOneOfTheRegisteredSurface@plt",4186565,6560459,0,205
"all;g4run;libG4tracking;0x000000000002f83b",12555290,16626061,374,311
"all;g4run;libG4tracking;0x0000000000043e4f",4189639,3100955,285,705
"all;g4run;libG4tracking;G4UserLimits::GetUserMaxTrackLength",16749942,19866818,197,3446
"all;g4run;libG4tracking;0x0000000000030175",0,0,0,130
"all;g4run;libG4tracking;0x000000000002f83f",40450710,58355749,389,6031
"all;g4run;libG4tracking;std::vector<G4String, std::allocator<G4String> >::_M_realloc_insert<char const*&>",353133430,592445203,23642,70926
"all;g4run;libG4tracking;std::_Rb_tree_insert_and_rebalance@plt",697917,3189149,83,403
"all;g4run;libG4tracking;0x000000000002f7aa",698377,1204503,63,159
"all;g4run;libG4tracking;G4StepPoint::operator=@plt",2094006,0,91,345
"all;g4run;libG4tracking;G4SteppingVerbose::AlongStepDoItOneByOne",5447767071,7906847895,122016,796926
"all;g4run;libG4tracking;0x000000000002f7ad",51639009,69486876,675,6783
"all;g4run;libG4tracking;G4TrajectoryPoint::G4TrajectoryPoint@plt",36981418,63147924,1037,7885
"all;g4run;libG4tracking;0x000000000002ef97",6971802,15813332,348,1173
"all;g4run;libG4tracking;G4SteppingVerbose::PostStepDoItOneByOne",6393537437,9639485713,129929,947347
"all;g4run;libG4tracking;G4Region::GetRegionalSteppingAction@plt",8370162,14147307,156,1874
"all;g4run;libG4tracking;G4SteppingManager::GetProcessNumber@plt",17451392,30412608,514,2277
"all;g4run;libG4tracking;G4RichTrajectoryPoint::~G4RichTrajectoryPoint@plt",1396999,3105278,68,842
"all;g4run;libG4tracking;0x000000000002f809",638510529,973675092,8752,81038
"all;g4run;libG4tracking;0x000000000002f7cd",698357,2231335,0,96
"all;g4run;libG4tracking;0x000000000002f826",11859279,21513595,334,1134
"all;g4run;libG4tracking;std::_Rb_tree<G4String, std::pair<G4String const, G4AttDef>, std::_Select1st<std::pair<G4String const, G4AttDef> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4AttDef> > >::_M_get_insert_unique_pos@plt",698373,4213288,54,0
"all;g4run;libG4tracking;0x000000000002f9a9",9775110,26721533,136,1540
"all;g4run;libG4tracking;0x000000000002f7ed",4182779,10327578,56,1178
"all;g4run;libG4tracking;G4CountedObject<G4VTouchable>::Release@plt",4187233,4426129,0,1260
"all;g4run;libG4tracking;G4UserSteppingAction::UserSteppingAction",317513010,485463831,4715,46536
"all;g4run;libG4tracking;G4PropagatorInField::SetTrajectoryFilter@plt",10472182,15994199,186,1243
"all;g4run;libG4tracking;G4AttValue::G4AttValue@plt",18145556,35675382,283,1119
"all;g4run;libG4tracking;std::vector<G4Track*, std::allocator<G4Track*> >::_M_realloc_insert<G4Track* const&>",27905765,37399741,858,24162
"all;g4run;libG4tracking;G4Track::~G4Track@plt",3489779,3297258,0,225
"all;g4run;libG4tracking;G4SteppingManager::Stepping@plt",0,1152032,0,0
"all;g4run;libG4physicslists",,,,
"all;g4run;libG4physicslists;G4PrecoProtonBuilder::G4PrecoProtonBuilder",698400,0,94,669
"all;g4run;libG4physicslists;G4PrecoProtonBuilder::SetMinEnergy",0,0,0,69
"all;g4run;libG4global",,,,
"all;g4run;libG4global;0x0000000000037cdf",0,0,60,0
"all;g4run;libG4global;std::vector<double, std::allocator<double> >::_M_fill_assign",696557,3304259,647,738
"all;g4run;libG4global;G4JTPolynomialSolver::QuadraticPolynomialIteration",9068198,13458302,3372,6661
"all;g4run;libG4global;strlen@plt",697981,0,325,236
"all;g4run;libG4global;0x00000000000564c8",6273266,16929805,553,957
"all;g4run;libG4global;0x0000000000036aae",0,0,63,0
"all;g4run;libG4global;G4ThreadLocalSingleton<G4GeometryTolerance>::G4ThreadLocalSingleton",46764303,60193375,4628,9913
"all;g4run;libG4global;G4SimpleIntegration::G4SimpleIntegration",0,0,307,477
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeScalarFactors",8368459,6326472,1565,1942
"all;g4run;libG4global;G4coutDestination::ReceiveG4cerr@plt",0,0,57,0
"all;g4run;libG4global;std::__basic_file<char>::~__basic_file@plt",0,0,56,0
"all;g4run;libG4global;G4PhysicsLogVector::G4PhysicsLogVector",20241338,9429798,10740,14018
"all;g4run;libG4global;G4PhysicsVector::Retrieve",485075017,613161862,4497,73147
"all;g4run;libG4global;G4PhysicsVector::Store@plt",2094070,5437756,0,0
