id,instructions,L1_dcache_loads,L1_dcache_load_misses,L1_icache_load_misses
"all",,,,
"all;g4run",,,,
"all;g4run;libG4run",,,,
"all;g4run;libG4run;G4RunManagerKernel::PropagateGenericIonID",0,0,0,1282
"all;g4run;libG4run;G4RunManagerKernel::CheckRegularGeometry",2739106,0,9295,0
"all;g4run;libG4run;G4PhysicsListHelper::AddTransportation",0,0,23971,0
"all;g4run;libG4run;G4PhysicsListHelper::GetPhysicsListHelper",0,223001,0,0
"all;g4run;libG4run;G4WorkerRunManagerKernel::SetupShadowProcess",2929893,525175,195737,182
"all;g4run;libG4run;0x000000000002f884",0,157670,0,0
"all;g4run;libG4run;G4RunManagerKernel::CheckRegions",0,0,0,125
"all;g4run;libG4run;G4RunManagerKernel::SetupShadowProcess",0,0,119050,639
"all;g4run;libG4run;G4VUserPhysicsList::DumpCutValuesTableIfRequested",0,0,0,943
"all;g4run;libG4run;std::_Rb_tree<G4String, std::pair<G4String const, std::vector<G4LogicalVolume*, std::allocator<G4LogicalVolume*> > >, std::_Select1st<std::pair<G4String const, std::vector<G4LogicalVolume*, std::allocator<G4LogicalVolume*> > > >, std::less<G4String>, std::allocator<std::pair<G4String const, std::vector<G4LogicalVolume*, std::allocator<G4LogicalVolume*> > > > >::find",3230991,3022528,83469,22922
"all;g4run;libG4run;G4WorkerThread::GetThreadId",0,0,0,111
"all;g4run;libG4run;G4WorkerRunManager::DoWork",0,0,0,11
"all;g4run;libG4run;std::vector<G4UItokenNum::yystype, std::allocator<G4UItokenNum::yystype> >::_M_default_append",0,0,1692,0
"all;g4run;libG4run;G4RunMessenger::G4RunMessenger",1368247,0,13346,0
"all;g4run;libG4run;0x000000000002fe54",0,0,0,1175
"all;g4run;libG4run;G4RunManagerKernel::BuildPhysicsTables",0,0,12619,0
"all;g4run;libG4run;G4WorkerThread::UpdateGeometryAndPhysicsVectorFromMaster",0,0,127935,0
"all;g4run;libG4run;G4VUserPhysicsList::PreparePhysicsTable",330212,248059,0,3508
"all;g4run;libG4run;G4PhysicsListHelper::RegisterProcess",2453672,1835935,42302,11124
"all;g4run;libG4run;G4VUserPhysicsList::BuildPhysicsTable",0,0,186384,0
"all;g4run;libG4run;G4VUserPhysicsList::InitializeProcessManager",2842893,0,26586,0
"all;g4run;libG4run;0x0000000000030990",20066,0,346,0
"all;g4run;libG4run;0x000000000002fa34",0,0,0,4849
"all;g4run;libG4run;G4UserPhysicsListMessenger::G4UserPhysicsListMessenger",656169,0,0,0
"all;g4run;libG4persistency",,,,
"all;g4run;libG4persistency;G4GDMLReadStructure::PhysvolRead",5714996,8233009,146686,49074
"all;g4run;libG4persistency;G4GDMLRead::AuxiliaryRead",1913732,1655999,16340,0
"all;g4run;libG4persistency;G4GDMLReadMaterials::GetMaterial",1934445,0,16876,0
"all;g4run;libG4persistency;G4GDMLReadStructure::VolumeRead",19152541,8203381,114115,14471
"all;g4run;libG4persistency;G4GDMLReadDefine::VectorRead@plt",1935000,837773,0,0
"all;g4run;libG4persistency;G4GDMLReadSolids::CutTubeRead",1923750,808058,0,0
"all;g4run;libG4persistency;G4GDMLReadDefine::VectorRead",11395654,4950540,137315,32615
"all;g4run;libG4persistency;G4GDMLReadSolids::BooleanRead",0,0,0,9328
"all;g4run;libG4persistency;0x000000000003ccf0",1922984,829584,0,0
"all;g4run;libG4persistency;0x000000000003f3f4",0,0,0,766
"all;g4run;libG4persistency;std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_get_insert_hint_unique_pos",0,553480,0,0
"all;g4run;libG4persistency;0x000000000003ccf4",0,0,0,7405
"all;g4run;libG4persistency;G4GDMLRead::StripNames",0,798009,18135,0
"all;g4run;libG4persistency;G4GDMLReadMaterials::FractionRead",0,859332,0,0
"all;g4run;libG4persistency;std::vector<CLHEP::Hep3Vector, std::allocator<CLHEP::Hep3Vector> >::_M_realloc_insert<CLHEP::Hep3Vector>",0,0,0,3675
"all;g4run;libG4persistency;std::vector<int, std::allocator<int> >::_M_realloc_insert<int>",0,0,0,574
"all;g4run;libG4persistency;G4GDMLReadDefine::RefRead",3830252,0,39601,41485
"all;g4run;libG4persistency;G4GDMLReadSolids::TubeRead",1960435,0,11700,8792
"all;g4run;libG4persistency;G4GDMLReadSolids::BoxRead",0,0,9526,0
"all;g4run;libG4persistency;0x000000000003df24",3931262,0,0,7897
"all;g4run;libG4persistency;std::_Rb_tree<G4LogicalVolume*, std::pair<G4LogicalVolume* const, std::vector<G4GDMLAuxStructType, std::allocator<G4GDMLAuxStructType> > >, std::_Select1st<std::pair<G4LogicalVolume* const, std::vector<G4GDMLAuxStructType, std::allocator<G4GDMLAuxStructType> > > >, std::less<G4LogicalVolume*>, std::allocator<std::pair<G4LogicalVolume* const, std::vector<G4GDMLAuxStructType, std::allocator<G4GDMLAuxStructType> > > > >::_M_erase",2429081,1137983,57124,0
"all;g4run;libG4persistency;0x000000000003d020",2976886,0,0,994
"all;g4run;libG4persistency;0x000000000003d024",0,2523411,41275,37361
"all;g4run;libG4persistency;G4GDMLEvaluator::Evaluate",5851971,826991,0,16320
"all;g4run;libG4persistency;std::vector<double, std::allocator<double> >::_M_realloc_insert<double const&>",18804937,5786748,283577,88104
"all;g4run;libG4persistency;0x000000000003d040",0,0,0,1656
"all;g4run;libG4persistency;G4GDMLReadMaterials::MaterialRead",5920848,851645,0,5018
"all;g4run;libG4persistency;0x000000000003f0d4",0,0,19995,0
"all;g4run;libG4persistency;G4GDMLRead::GenerateName",1837245,2630226,0,4457
"all;g4run;libG4persistency;G4GDMLEvaluator::SolveBrackets",3822144,1639088,26572,24585
"all;g4run;libG4persistency;std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_realloc_insert<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >",0,0,0,2099
"all;g4run;libG4persistency;G4GDMLReadSolids::TrapRead",1932848,0,0,0
"all;g4run;libG4persistency;0x000000000003ced0",0,0,29045,3324
"all;g4run;libG4persistency;G4GDMLRead::GeneratePhysvolName",0,3265181,78695,24086
"all;g4run;libG4persistency;0x000000000003ced4",1925635,1957659,42801,31325
"all;g4run;libG4persistency;G4GDMLRead::StripName",1939553,0,0,0
"all;g4run;libG4persistency;G4GDMLParser::ImportRegions",2121923,0,0,2878
"all;g4run;libG4persistency;0x000000000003ff70",1936230,2460622,30764,18313
"all;g4run;libG4persistency;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>",0,0,28988,33914
"all;g4run;libG4persistency;G4GDMLRead::Transcode",36575349,23742483,206948,227880
"all;g4run;libG4persistency;std::operator+<char, std::char_traits<char>, std::allocator<char> >",0,0,0,741
"all;g4run;libG4persistency;G4GDMLReadStructure::StructureRead",0,1650508,0,0
"all;g4run;libG4persistency;std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>",87478102,31747245,533364,67391
"all;g4run;libG4persistency;0x000000000003dc40",0,0,13541,0
"all;g4run;libG4persistency;std::vector<G4GDMLAuxStructType, std::allocator<G4GDMLAuxStructType> >::emplace_back<G4GDMLAuxStructType>",1940172,0,0,0
"all;g4run;libG4persistency;0x00000000000410a4",1932300,0,0,7753
"all;g4run;libG4persistency;0x000000000003ddc4",2015236,0,0,0
"all;g4run;libG4persistency;G4GDMLReadStructure::GetVolume",1935574,0,0,8618
"all;g4run;libG4persistency;std::vector<G4GDMLAuxStructType, std::allocator<G4GDMLAuxStructType> >::_M_realloc_insert<G4GDMLAuxStructType>",3800525,827771,0,0
"all;g4run;libG4persistency;G4GDMLReadSolids::GetSolid",1914079,0,0,0
"all;g4run;libG4persistency;G4GDMLReadSolids::SolidsRead",1964021,859932,14689,8826
"all;g4run;libG4persistency;G4GDMLReadSolids::TorusRead",0,0,14463,0
"all;g4run;libG4persistency;G4GDMLReadMaterials::MixtureRead",0,0,20232,0
"all;g4run;libG4persistency;G4GDMLReadStructure::Volume_contentRead",7447613,4892280,76479,32827
"all;g4run;libG4persistency;std::vector<G4VPhysicalVolume*, std::allocator<G4VPhysicalVolume*> >::_M_realloc_insert<G4VPhysicalVolume* const&>",0,0,46881,8739
"all;g4run;libG4persistency;std::vector<G4GDMLAuxStructType, std::allocator<G4GDMLAuxStructType> >::operator=",0,0,62272,0
"all;g4run;libG4persistency;std::vector<double, std::allocator<double> >::_M_realloc_insert<double>",0,879457,0,54
"all;g4run;libG4persistency;G4GDMLEvaluator::EvaluateInteger",3862165,0,12497,16576
"all;g4run;libG4persistency;std::vector<CLHEP::Hep2Vector, std::allocator<CLHEP::Hep2Vector> >::_M_realloc_insert<CLHEP::Hep2Vector>",6894192,0,72861,4879
"all;g4run;libc",,,,
"all;g4run;libc;__mpn_extract_double",0,0,0,2251
"all;g4run;libc;cfree@GLIBC_2.2.5",1529512230,830770060,41449441,8847299
"all;g4run;libc;isalnum",3838566,3301016,52795,21490
"all;g4run;libc;pthread_mutex_unlock@@GLIBC_2.2.5",56869337,23541491,1010781,202553
"all;g4run;libc;__GI_____strtoll_l_internal",77720133,34282900,25666,36578
"all;g4run;libc;0x0000000000028620",8392275,3425358,0,1604
"all;g4run;libc;read",2417933,1901161,60710,5841
"all;g4run;libc;sysmalloc",15730841,3409121,458853,37619
"all;g4run;libc;0x0000000000028624",0,899582,0,1970
"all;g4run;libc;_IO_old_init",0,836111,0,0
"all;g4run;libc;__printf_fp",936345,0,0,5172
"all;g4run;libc;_int_free",2068919169,988209080,27315543,5869793
"all;g4run;libc;str_to_mpn.constprop.0",420367883,158475175,258804,203577
"all;g4run;libc;__mpn_cmp",0,833434,0,0
"all;g4run;libc;pthread_mutex_lock@@GLIBC_2.2.5",90659062,45475871,1265663,334084
"all;g4run;libc;getenv",987009333,809511961,62164961,13715482
"all;g4run;libc;malloc",2706672860,1374413606,49319937,15706568
"all;g4run;libc;malloc_consolidate",283768627,140789151,3877665,114165
"all;g4run;libc;_IO_link_in",0,1893847,0,5798
"all;g4run;libc;__strcpy_avx2",7851565,2497914,0,8310
"all;g4run;libc;_IO_fflush",0,0,0,80
"all;g4run;libc;round_and_return",243761235,96580140,342157,195028
"all;g4run;libc;__close_nocancel",0,0,6935,2534
"all;g4run;libc;__strncmp_avx2",517749067,335903258,23299703,5170663
"all;g4run;libc;__getauxval",0,0,0,823
"all;g4run;libc;__GI_strtoll",0,2728077,2793,5369
"all;g4run;libc;0x0000000000028490",10797458,5530338,231989,33539
"all;g4run;libc;__GI_____strtod_l_internal",2426516787,943455417,1590558,1082722
"all;g4run;libc;_IO_default_xsputn",0,0,0,4252
"all;g4run;libc;strtod",6355576,6814226,14281,33084
"all;g4run;libc;0x0000000000028494",99214542,84980659,5713823,912153
"all;g4run;libc;__strtod_l",2681230,1746909,0,0
"all;g4run;libc;__vsnprintf_internal",0,0,0,6455
"all;g4run;libc;_IO_str_init_static_internal",0,940946,0,4247
"all;g4run;libc;fclose@@GLIBC_2.2.5",2214200,0,13628,8495
"all;g4run;libc;_IO_file_fopen@@GLIBC_2.2.5",0,0,10961,0
"all;g4run;libc;_int_malloc",1568424187,729401044,17437011,1894249
"all;g4run;libc;isspace",15535593,4814294,37803,73795
"all;g4run;libc;__memmove_avx_unaligned",2997274038,2227618647,147056591,8931418
"all;g4run;libc;__mpn_lshift",188100701,67698440,78280,102732
