id,instructions,uops_dispatched,uops_retired,de_dis_uop_queue_empty_di0,de_dis_uops_from_decoder_decoder_dispatched,de_dis_uops_from_decoder_opcache_dispatched
"all",,,,,,
"all;g4run",,,,,,
"all;g4run;libG4persistency",,,,,,
"all;g4run;libG4persistency;G4STRead::PhysvolRead",2472201,0,1202330,0,0,1084021
"all;g4run;libc",,,,,,
"all;g4run;libc;__strcmp_avx2",246352535,278173193,262209012,70253036,247173895,21376842
"all;g4run;libc;__memchr_avx2",0,0,0,130804,0,0
"all;g4run;libc;malloc_consolidate",0,2354128,0,167753,769037,0
"all;g4run;libc;_IO_str_init_static_internal",0,0,0,119119,0,0
"all;g4run;libc;__memset_avx2_unaligned_erms",0,0,1122902,154705,0,0
"all;g4run;libc;__mpn_mul_1",0,0,0,122168,0,0
"all;g4run;libc;_int_malloc",19073082,26185234,15085886,5154750,10976005,13504289
"all;g4run;libc;getenv",54911709,67973780,51791485,23680658,69195509,8985053
"all;g4run;libc;malloc",80930728,128325477,91928708,33192571,80598568,37921898
"all;g4run;libc;__memmove_avx_unaligned",408742041,378032669,431886996,32874954,196121660,201502086
"all;g4run;libc;__mpn_extract_double",0,0,0,244186,0,0
"all;g4run;libc;__GI___pthread_mutex_unlock_usercnt",2150744,1190484,0,747541,675012,0
"all;g4run;libc;__strlen_avx2",4384086,8286656,12022842,2511714,11718915,1222043
"all;g4run;libc;__uselocale",0,0,0,259840,0,0
"all;g4run;libc;@plt",0,1212355,0,0,0,0
"all;g4run;libc;pthread_mutex_lock@@GLIBC_2.2.5",1198265,1263389,0,289313,838331,577733
"all;g4run;libc;__memcmp_avx2_movbe",5277358,4936767,6208531,7419038,8669203,482295
"all;g4run;libc;__GI___printf_fp_l",0,0,0,360540,0,0
"all;g4run;libc;__strncmp_avx2",22048731,27020853,30143384,11832103,48146491,5623549
"all;g4run;libc;__memmove_avx_unaligned_erms",50567384,51920803,60461982,10584139,56588388,6135275
"all;g4run;libc;pthread_mutex_unlock@@GLIBC_2.2.5",0,0,0,162712,0,0
"all;g4run;libc;__vsnprintf_internal",0,0,0,151171,0,0
"all;g4run;libc;__memset_avx2_unaligned",109027206,144105383,126963010,20473560,79504242,34595630
"all;g4run;libc;__strchrnul_avx2",0,0,0,121534,722153,0
"all;g4run;libc;_int_free",32018395,41366818,45414489,14278398,27310772,8761885
"all;g4run;libc;cfree@GLIBC_2.2.5",39765352,59576783,33850248,17909584,31750181,15927513
"all;g4run;libc;unlink_chunk.constprop.0",0,1320094,0,0,0,453866
"all;g4run;libG4tracking",,,,,,
"all;g4run;libG4tracking;0x000000000002f1de",36444731,39653051,33804691,3606041,29936683,10509637
"all;g4run;libG4tracking;0x000000000002f7f7",18932479,11372092,23332382,2082060,11136978,4138371
"all;g4run;libG4tracking;G4AdjointCrossSurfChecker::GoingInOrOutOfaVolumeByExtSurface",26506915,25750123,40751618,2863339,24759999,24230352
"all;g4run;libG4tracking;G4SteppingManager::InvokeAtRestDoItProcs",2350063052,2354114935,2560789367,297371561,1976552864,499125032
"all;g4run;libG4tracking;G4UserLimits::SetUserMinEkine",36911890,36513399,37246417,4289360,32601745,12184250
"all;g4run;libG4tracking;0x000000000002f82a",28024922,40199786,32862900,4831154,27568477,16037431
"all;g4run;libG4tracking;G4Step::InitializeStep",605714268,686159614,676773815,66942515,462173847,243217891
"all;g4run;libG4tracking;G4UserLimits::SetUserMaxTime",0,0,0,0,2587705,382371
"all;g4run;libG4tracking;G4ProcessManager::EndTracking@plt",1165014,4996904,3463557,507185,2860320,0
"all;g4run;libG4tracking;G4SteppingManager::SetInitialStep@plt",5457928,1188281,3696973,422808,7006895,3777470
"all;g4run;libG4tracking;0x000000000002f82d",67732255,70288723,57955991,7261027,54023256,32812341
"all;g4run;libG4tracking;0x000000000002f9ae",21044146,22760736,23564270,1831839,25177088,8723026
"all;g4run;libG4tracking;G4SteppingManager::Stepping",4118550903,4648675683,4500868789,545918597,3020863653,1611122054
"all;g4run;libG4tracking;0x000000000002f9ca",1201158,0,0,118452,1829143,0
"all;g4run;libG4tracking;G4SteppingManager::SetInitialStep",7971878996,9158906656,8757901893,945582139,6589645517,2638533012
"all;g4run;libG4tracking;0x000000000002fff6",1107428,0,1119287,120943,0,0
"all;g4run;libG4tracking;G4Allocator<G4TouchableHistory>::~G4Allocator",220121236,252467251,229725161,27415208,169549286,71452249
"all;g4run;libG4tracking;G4UserLimits::GetUserMinEkine",5550700,7479515,5940642,125414,6281833,1716796
"all;g4run;libG4tracking;0x000000000002f7bd",7918022,2489760,5038719,709734,6789974,1169527
"all;g4run;libG4tracking;G4SteppingVerbose::~G4SteppingVerbose",1148714,1275245,0,240747,706854,0
"all;g4run;libG4tracking;G4SteppingManager::InvokePostStepDoItProcs",10621197264,12737886878,11330372343,1529334059,9357845354,3338230228
"all;g4run;libG4tracking;G4UserLimits::SetMaxAllowedStep",346352986,428540447,437772191,41791698,269155214,136419380
"all;g4run;libG4tracking;0x000000000002f7de",0,1292672,4861302,289226,1515140,796300
"all;g4run;libG4tracking;0x000000000002f7a1",4395645,5025984,5004713,484905,5344990,2169035
"all;g4run;libG4tracking;0x000000000002f837",16383653,23247788,27760309,3662891,24324578,602280
"all;g4run;libG4tracking;G4SteppingManager::ProcessSecondariesFromParticleChange",1436996210,1563177728,1662257730,155363642,1244196324,374881679
"all;g4run;libG4tracking;0x000000000002f7a4",6578240,4885661,7396527,419783,3181261,856938
"all;g4run;libG4tracking;0x000000000002f7fb",482555779,488507856,464302349,38853987,271148577,180725058
"all;g4run;libG4tracking;G4UserLimits::SetUserMinRange",26275942,30824576,28223198,4288103,26887416,5377139
"all;g4run;libG4tracking;0x000000000002f7a6",2967399,6295034,2357230,281926,6075112,2316193
"all;g4run;libG4tracking;0x000000000002f7a8",18053372,16347298,9947142,2194157,17366416,7568858
"all;g4run;libG4tracking;G4SteppingVerbose::VerboseParticleChange",1042822,7517770,5913035,1317019,2480251,0
"all;g4run;libG4tracking;0x000000000002f7c7",2262476,0,2412043,719322,0,262334
"all;g4run;libG4tracking;G4VVisManager::GetConcreteInstance@plt",75592246,68835998,65958731,8448680,60722549,16532801
"all;g4run;libG4tracking;std::_Rb_tree<G4String, std::pair<G4String const, G4AttDef>, std::_Select1st<std::pair<G4String const, G4AttDef> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4AttDef> > >::find@plt",15993194,6226314,11494948,1797439,9203188,4762455
"all;g4run;libG4tracking;G4SteppingManager::GetProcessNumber",153245307,200764218,171814854,24000704,122485875,52826212
"all;g4run;libG4tracking;G4UserLimits::GetUserMinRange",23921222,33878840,27359164,2383760,21998511,6511187
"all;g4run;libG4tracking;G4UserLimits::SetUserMaxTrackLength",24881854,24624035,22259487,4278680,19614378,4923979
"all;g4run;libG4tracking;G4NoProcess::~G4NoProcess",111880861,169575356,140478198,16533136,99251178,42218210
"all;g4run;libG4tracking;G4Step::UpdateTrack",101610148,105639053,114545159,14719365,72778462,22664008
"all;g4run;libG4tracking;G4SteppingManager::InvokeAlongStepDoItProcs",12819282,17318279,18206018,2403994,6684990,1175559
"all;g4run;libG4tracking;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>",59670287,47836699,71615463,6535809,49748337,10104596
"all;g4run;libG4tracking;G4SteppingManager::InvokePSDIP",483886005,601142910,493992437,67105183,464575606,131190164
"all;g4run;libG4tracking;G4TouchableHistory::G4TouchableHistory@plt",0,1167870,0,0,0,0
"all;g4run;libG4tracking;0x000000000002fffd",3397529,1171738,0,348845,3338076,0
"all;g4run;libG4tracking;0x000000000002f81c",798637135,841946651,902783479,91950418,585513772,323571440
"all;g4run;libG4tracking;0x000000000002f1d6",11994921,15382761,12904924,1779443,12032670,2942811
"all;g4run;libG4tracking;0x000000000002f81f",1043018,1157817,0,0,860030,0
"all;g4run;libG4tracking;G4UserLimits::GetUserMaxTime",60331387,100610055,63080602,6106468,42179098,22911340
"all;g4run;libG4tracking;G4AdjointCrossSurfChecker::CrossingOneOfTheRegisteredSurface@plt",0,7351405,6939298,793991,1754034,2118293
"all;g4run;libG4tracking;0x0000000000043e4b",1064023,3301571,1099315,128462,0,0
"all;g4run;libG4tracking;0x000000000002f83b",24169957,20188696,17091101,3935940,24760348,11967977
"all;g4run;libG4tracking;0x0000000000043e4f",2295597,5761961,0,464199,3219281,0
"all;g4run;libG4tracking;G4UserLimits::GetUserMaxTrackLength",28599172,19237854,22448093,2419640,15729483,11725717
"all;g4run;libG4tracking;0x000000000002f83f",39929289,63301367,52075842,4248621,36441405,17172941
"all;g4run;libG4tracking;std::vector<G4String, std::allocator<G4String> >::_M_realloc_insert<char const*&>",462833127,522735933,442289186,72641435,401009835,101546010
"all;g4run;libG4tracking;0x000000000002f7aa",0,1156001,1178139,0,0,845427
"all;g4run;libG4tracking;std::_Rb_tree_insert_and_rebalance@plt",5194607,2424130,0,262527,2473983,676100
"all;g4run;libG4tracking;G4StepPoint::operator=@plt",2051685,2486261,3749483,531632,3207920,0
"all;g4run;libG4tracking;0x000000000002f7ac",0,0,1302884,0,0,432353
"all;g4run;libG4tracking;G4SteppingVerbose::AlongStepDoItOneByOne",6892760220,8036876968,7641237252,799434164,5303880854,2644333710
"all;g4run;libG4tracking;0x000000000002f7ad",65705999,59597532,66759021,7458898,53135734,20226552
"all;g4run;libG4tracking;G4TrajectoryPoint::G4TrajectoryPoint@plt",45658753,32692800,56778923,5040341,40242885,9337981
"all;g4run;libG4tracking;0x000000000002ef97",8603177,7606968,11212818,410163,5928581,2681748
"all;g4run;libG4tracking;G4SteppingVerbose::PostStepDoItOneByOne",7130550504,7971663685,7704651546,781009200,5498747983,2696020562
"all;g4run;libG4tracking;G4Region::GetRegionalSteppingAction@plt",12100200,19569962,3582288,1592675,14044641,3596798
"all;g4run;libG4tracking;G4SteppingManager::GetProcessNumber@plt",12776590,11997054,24025266,1172424,13944948,2637027
"all;g4run;libG4tracking;G4RichTrajectoryPoint::~G4RichTrajectoryPoint@plt",5668625,1319401,2611288,273378,0,913256
"all;g4run;libG4tracking;0x000000000002f809",1092178695,1257509774,1171694116,118447583,789389204,453312993
"all;g4run;libG4tracking;0x000000000002f7cd",1062290,2550625,2252876,446065,743590,1551593
"all;g4run;libG4tracking;0x000000000002f826",16548222,24936822,14261410,2151467,10820422,5617903
"all;g4run;libG4tracking;std::_Rb_tree<G4String, std::pair<G4String const, G4AttDef>, std::_Select1st<std::pair<G4String const, G4AttDef> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4AttDef> > >::_M_get_insert_unique_pos@plt",1176843,3892668,0,369910,942523,1106537
"all;g4run;libG4tracking;0x000000000002f9a9",16094995,16275833,17837003,2276046,15271662,1149849
"all;g4run;libG4tracking;G4CountedObject<G4VTouchable>::Release@plt",1219203,1127673,3459668,267058,3601530,861011
"all;g4run;libG4tracking;0x000000000002f7ed",3039462,4962392,3906108,666216,4388657,901554
"all;g4run;libG4tracking;G4UserSteppingAction::UserSteppingAction",426691410,423839186,393656488,37521909,270356992,152289542
"all;g4run;libG4tracking;G4PropagatorInField::SetTrajectoryFilter@plt",17648465,13983362,16734036,936905,14781332,1790252
"all;g4run;libG4tracking;G4AttValue::G4AttValue@plt",22725432,23117486,23186487,2041694,13994634,5925907
"all;g4run;libG4tracking;std::vector<G4Track*, std::allocator<G4Track*> >::_M_realloc_insert<G4Track* const&>",27941173,41175572,26967485,10327391,39662854,555592
