cycles_old,cycles_new,instructions_old,instructions_new,cache_references_old,cache_references_new,cache_misses_old,cache_misses_new,L1_dcache_loads_old,L1_dcache_loads_new,L1_dcache_load_misses_old,L1_dcache_load_misses_new,comm,dso,symbol
3491546,0,0,0,330137,0,0,0,0,0,0,0,"g4run","libicuuc.so.71.1","0x00000000000d7456"
6982683,0,0,0,328561,0,9905,0,5978761,0,0,0,"g4run","libicuuc.so.71.1","0x00000000000d68e5"
0,3490198,0,0,0,0,0,0,0,0,0,65198,"g4run","libicuuc.so.71.1","0x00000000000d7466"
0,3491357,0,0,0,0,0,0,0,0,0,0,"g4run","libicuuc.so.71.1","0x00000000000d733e"
0,3492184,0,0,0,0,0,0,0,0,0,0,"g4run","libicuuc.so.71.1","0x00000000000d6996"
6983444,0,0,0,644562,0,0,0,3032797,0,61384,0,"g4run","libicuuc.so.71.1","u_terminateChars"
0,8153770,0,0,0,0,0,0,0,0,0,0,"g4run","libicuuc.so.71.1","u_charType"
3490864,0,0,0,0,0,0,0,0,0,0,0,"g4run","libicuuc.so.71.1","ucnv_toUnicode"
0,3490287,0,0,0,0,0,0,0,0,0,0,"g4run","libicuuc.so.71.1","0x00000000000d746a"
0,3491017,0,0,0,0,0,0,0,6132018,0,51739,"g4run","libicuuc.so.71.1","0x00000000000d745c"
3492130,0,0,0,0,0,0,0,0,0,0,0,"g4run","libicuuc.so.71.1","0x00000000000d6a4b"
0,3490255,0,0,0,0,0,0,0,0,0,0,"g4run","libicuuc.so.71.1","0x00000000000d697e"
6980358,0,0,0,0,0,0,0,5993796,0,0,0,"g4run","libicuuc.so.71.1","0x00000000000d68d0"
27929784,45388322,98992319,53832600,3854206,3775400,53668,94874,48271095,24473747,693308,551055,"g4run","libicuuc.so.71.1","ucnv_fromUnicode_UTF8"
0,6981546,0,26702413,0,0,0,9413,0,0,0,119626,"g4run","libicuuc.so.71.1","0x00000000000d68e0"
3491318,0,0,0,0,0,0,0,0,0,0,0,"g4run","libicuuc.so.71.1","0x00000000000d699d"
0,3491578,0,0,0,0,0,0,0,3068931,0,0,"g4run","libicuuc.so.71.1","0x00000000000d7461"
6983737,3492216,6629693,13440699,647957,0,15233,0,3029146,0,0,67894,"g4run","libicuuc.so.71.1","0x00000000000d7578"
10470844,13963864,39659211,6697245,2541902,2252143,82476,28523,11971467,18267616,317276,159955,"g4run","libicuuc.so.71.1","ucnv_fromUnicode"
17458038,24438696,13151640,26720207,2294130,951256,10622,9396,12040256,3088989,307330,250158,"g4run","libicuuc.so.71.1","u_strlen"
34903852,13963182,46571123,47903888,2520446,1921110,72470,119547,27029746,21318239,430498,241131,"g4run","libicuuc.so.71.1","ucnv_fromUChars"
0,3489775,0,0,0,305793,0,0,0,0,0,0,"g4run","libicuuc.so.71.1","0x00000000000d75a6"
0,6980522,0,0,0,300938,0,0,0,0,0,64524,"g4run","libicuuc.so.71.1","0x00000000000d75c4"
3491843,6983318,6579274,6714496,639788,312607,9533,11164,3007105,6134568,0,108054,"g4run","libicuuc.so.71.1","0x00000000000d69a1"
0,3491614,0,0,0,0,0,0,0,0,0,0,"g4run","libicuuc.so.71.1","0x00000000000d7215"
0,3492140,0,0,0,0,0,0,0,3057143,0,0,"g4run","libicuuc.so.71.1","0x00000000000d7224"
3492015,0,0,0,0,0,0,0,0,0,0,0,"g4run","libicuuc.so.71.1","0x00000000000d76cd"
10473524,0,33524021,0,0,0,0,0,3048131,0,206945,0,"g4run","libicuuc.so.71.1","0x00000000000d69af"
0,3492041,0,0,0,0,0,0,0,0,0,0,"g4run","libicuuc.so.71.1","0x00000000000d7464"
3516073,0,0,0,0,0,4898,0,0,0,0,0,"g4run","libc.so.6","__mpn_extract_double"
8925548854,8573737655,6852482023,6315324189,1149724497,1003126803,443676186,399750007,3882523210,3672933638,318679781,281205773,"g4run","libc.so.6","cfree@GLIBC_2.2.5"
45206821,24429412,3027303,23698066,7223592,6548013,1545425,2151685,4197532,12205625,1846895,1318444,"g4run","libc.so.6","pthread_mutex_unlock@@GLIBC_2.2.5"
31851639,41850556,69290419,61515488,966108,508170,46102,0,33557325,29128185,117854,77906,"g4run","libc.so.6","__GI_____strtoll_l_internal"
0,3323442,0,0,0,117056,0,0,0,0,0,21400,"g4run","libc.so.6","read"
59187386,27030373,32493067,20404831,9407302,6759244,1383801,801847,17617314,8255896,3405683,3380265,"g4run","libc.so.6","sysmalloc"
0,3096607,0,0,0,0,0,30532,0,0,0,64564,"g4run","libc.so.6","_IO_old_init"
0,6569405,0,0,0,234895,0,30170,0,0,0,84,"g4run","libc.so.6","__GI___pthread_disable_asynccancel"
3316718,0,0,0,105933,0,24825,0,0,0,0,0,"g4run","libc.so.6","__fopen_internal"
6977368,3481559,0,0,0,282828,7200,0,0,0,0,0,"g4run","libc.so.6","__printf_fp"
245375789,219665576,118086082,74366809,14056827,22486034,6349842,5720996,75514400,65788235,6849666,6091093,"g4run","libc.so.6","__GI___pthread_mutex_unlock_usercnt"
5599006121,5299164383,4381910036,4658267727,586529425,564137282,246368879,232890733,2491628497,2417157576,171590469,149996380,"g4run","libc.so.6","_int_free"
3355988,3488872,0,0,0,0,75775,60259,0,0,0,0,"g4run","libc.so.6","__mpn_cmp"
1571742581,1609878279,603560039,572550288,60776467,55581448,20835906,15751447,328094012,354252449,21900166,22865989,"g4run","libc.so.6","pthread_mutex_lock@@GLIBC_2.2.5"
14259314846,13763301735,7191674438,6720629744,2296779091,2228402525,806221629,770578718,5409507414,5119299418,719212715,632912318,"g4run","libc.so.6","getenv"
13327308370,13214098261,9070631614,9431599110,1291326269,1346040431,536413961,587843677,4816612733,4806267335,280939594,332330078,"g4run","libc.so.6","malloc"
250118290,235224055,356119997,213700552,15386611,12070998,5005913,4536276,147048604,138489825,6498611,6809189,"g4run","libc.so.6","malloc_consolidate"
3490918,0,6524494,0,206449,0,0,0,0,0,0,0,"g4run","libc.so.6","__mpn_rshift"
202025026,244764339,463304734,457221865,2559306,4054134,259025,132344,218830633,226261610,626633,1359915,"g4run","libc.so.6","round_and_return"
50902,26042,0,0,0,965,111,0,0,0,46,0,"g4run","libc.so.6","__condvar_dec_grefs"
6315950767,6207489580,3382884153,3386323433,1035601195,1039587745,336377500,320158166,2701477724,2442121242,310295258,284588965,"g4run","libc.so.6","__strncmp_avx2"
32857395,0,0,0,0,0,0,0,0,0,782996,0,"g4run","libc.so.6","__internal_atexit"
3084692,3379328,7203886,0,90604,276682,0,0,0,0,22466,0,"g4run","libc.so.6","__GI_strtoll"
2373926475,2299916298,4481402849,4709921626,25558982,19685007,1268263,1218987,1833748018,1984324460,3596894,2741530,"g4run","libc.so.6","__GI_____strtod_l_internal"
6970936,3486237,0,0,137697,0,11744,0,2301148,0,0,0,"g4run","libc.so.6","_IO_default_xsputn"
9954924,0,13183153,0,111235,0,0,0,8608871,0,90506,0,"g4run","libc.so.6","strtod"
0,3207890,0,0,0,115890,0,33615,0,1561186,0,6393,"g4run","libc.so.6","__malloc_arena_thread_freeres"
0,3332570,0,18021057,0,0,0,7546,0,3146242,0,0,"g4run","libc.so.6","__strtod_l"
0,3488669,0,0,0,242058,0,0,0,0,0,0,"g4run","libc.so.6","__vsnprintf_internal"
