cycles,instructions,cache_references,cache_misses,L1_dcache_loads,L1_dcache_load_misses,comm,dso,symbol
1071181008010,1181869600947,147243460984,14621169214,689390418930,70083140510,"g4run","libm.so.6","__ieee754_atan2_fma"
1051480262801,977568761274,194357455786,21730280872,611717009515,88366256303,"g4run","libG4tracking.so","G4SteppingManager::DefinePhysicalStepLength"
951985015146,872939664686,172864707198,19568790629,528313619164,80101516676,"g4run","libG4processes.so","G4CrossSectionDataStore::GetCrossSection"
756991013581,626070117319,158388142739,17619068455,373776995875,75212320734,"g4run","libG4processes.so","G4NeutronCaptureXS::IsoCrossSection"
656411323034,715927325278,93813275285,9762413712,415562584391,45578523529,"g4run","libG4geometry.so","G4PolyhedraSide::DistanceAway"
644725749448,602502660420,120608195181,13586740560,381191613039,51447971846,"g4run","libG4digits_hits.so","G4TouchableHistory::GetVolume"
578321940667,535590578171,113455571697,10676597621,334769209772,40000806011,"g4run","libm.so.6","__sincos"
564851988681,521549500406,110290230872,9542014246,314079628996,52928368157,"g4run","g4run","CMSMagneticField::GetFieldValue"
545150479826,537106208187,102303070352,9923616747,335403503779,48794857034,"g4run","libG4processes.so","G4Transportation::AlongStepGetPhysicalInteractionLength"
532816417811,494806962750,96209615196,10226253986,313709361476,43837793288,"g4run","libG4geometry.so","G4Navigator::ComputeStep"
531905577887,508363009264,96426064769,10062981490,308827819792,47030874956,"g4run","libG4processes.so","G4CrossSectionDataStore::GetIsoCrossSection"
523047225215,570296744877,74550184878,7037358854,323113984375,37828527487,"g4run","libG4geometry.so","G4PolyPhiFace::InsideEdges"
516263204084,508952135077,82826424772,11179701347,296595755001,52778299834,"g4run","libG4processes.so","G4NeutronInelasticXS::IsoCrossSection"
466754935240,478147628040,84915402110,7252899956,312589018502,35220294986,"g4run","libG4tracking.so","G4SteppingManager::InvokeAlongStepDoItProcs"
461757893269,400131933286,98690867198,8014863903,244362000269,47655441361,"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::StepWithError"
453756981804,421073752195,82319263543,9662159185,261007976419,33453111971,"g4run","libG4tracking.so","G4SteppingManager::Stepping"
445645422186,471317037316,77647263865,7597490455,295540562440,35857914384,"g4run","libG4geometry.so","G4Navigator::LocateGlobalPointWithinVolume"
442295460128,379893079625,73981548918,8898969336,249881691461,31878005174,"g4run","libG4processes.so","G4VoxelNavigation::LevelLocate"
429077521350,373037917589,92643083233,7336579099,240521295497,42398678772,"g4run","libG4geometry.so","G4PropagatorInField::ComputeStep"
424598766337,464786900629,61750336935,6817397543,271655176572,29049279772,"g4run","libG4geometry.so","G4PolyhedraSide::DistanceToOneSide"
419165128716,400398085154,73371417030,8547806939,250980066186,29650866704,"g4run","libG4tracking.so","G4SteppingManager::InvokePSDIP"
417281686447,493186588925,63803744073,7053519266,290703880654,43841022950,"g4run","libG4processes.so","G4NeutronElasticXS::ElementCrossSection"
