cycles,instructions,cache_references,cache_misses,L1_dcache_loads,L1_dcache_load_misses,comm,dso,symbol
1171676009511,1290605921378,159806703705,15674900084,755203482169,76319487265,"g4run","libm.so.6","__ieee754_atan2_fma"
1124870606303,1047187832420,206946805187,23647380365,651326777381,94840729363,"g4run","libG4tracking.so","G4SteppingManager::DefinePhysicalStepLength"
949139727230,869329498975,174476497903,19584115244,527692603813,80029555438,"g4run","libG4processes.so","G4CrossSectionDataStore::GetCrossSection"
802578461327,666080547564,171115102172,18430986431,397700942736,80406269754,"g4run","libG4processes.so","G4NeutronCaptureXS::IsoCrossSection"
668331042166,727237130155,95621603210,9400061873,419402140369,46306338550,"g4run","libG4geometry.so","G4PolyhedraSide::DistanceAway"
644586522782,595486130936,121291053131,13962829105,379138945244,51667270982,"g4run","libG4digits_hits.so","G4TouchableHistory::GetVolume"
578970721678,523744300332,115354746254,11069437022,318513764378,56035100025,"g4run","g4run","CMSMagneticField::GetFieldValue"
557856037406,546189166324,106290142471,10422672810,341967929757,50617645817,"g4run","libG4processes.so","G4Transportation::AlongStepGetPhysicalInteractionLength"
555516623166,541088448384,88488647140,11708301040,316681348703,56203137569,"g4run","libG4processes.so","G4NeutronInelasticXS::IsoCrossSection"
553181489823,511480165818,98248327591,10575481411,325783293401,45227216324,"g4run","libG4geometry.so","G4Navigator::ComputeStep"
548336787667,517680643373,108549862294,10380562338,321449439801,38291271971,"g4run","libm.so.6","__sincos"
539200183381,582070765920,77395711797,7007516659,332072756373,39380688461,"g4run","libG4geometry.so","G4PolyPhiFace::InsideEdges"
525069350034,500882565594,95998869941,10142625425,301233703324,45965124248,"g4run","libG4processes.so","G4CrossSectionDataStore::GetIsoCrossSection"
497828667334,498450503002,90854213546,7381540562,326285493814,37740143277,"g4run","libG4tracking.so","G4SteppingManager::InvokeAlongStepDoItProcs"
467458877591,403399739812,79562754599,9392344594,265205779082,34756234245,"g4run","libG4processes.so","G4VoxelNavigation::LevelLocate"
