cycles_old,cycles_new,instructions_old,instructions_new,branches_old,branches_new,branch_misses_old,branch_misses_new,comm,dso,symbol
3491593,0,0,0,1484731,0,8425,0,"g4run","libicuuc.so.71.1","0x00000000000d68e5"
0,3490633,0,0,0,0,0,0,"g4run","libicuuc.so.71.1","0x00000000000d6996"
0,3491052,0,0,0,0,0,0,"g4run","libicuuc.so.71.1","0x00000000000d733e"
0,6982974,0,20192320,0,0,0,4949,"g4run","libicuuc.so.71.1","0x00000000000d7466"
0,3488528,0,0,0,0,0,4683,"g4run","libicuuc.so.71.1","0x00000000000d73c6"
3492265,3492398,0,0,0,4518549,5333,0,"g4run","libicuuc.so.71.1","u_terminateChars"
3492017,0,0,0,1479430,0,0,0,"g4run","libicuuc.so.71.1","0x00000000000d7256"
3492262,0,6751665,0,1489450,0,0,0,"g4run","libicuuc.so.71.1","0x00000000000d766b"
6983312,0,6825037,0,1451687,0,0,0,"g4run","libicuuc.so.71.1","0x00000000000d7274"
0,3491027,0,0,0,0,0,0,"g4run","libicuuc.so.71.1","0x00000000000d746a"
3492529,0,0,0,0,0,0,0,"g4run","libicuuc.so.71.1","0x00000000000d744d"
0,3491945,0,0,0,0,0,0,"g4run","libicuuc.so.71.1","0x00000000000d697e"
0,3492006,0,0,0,0,0,0,"g4run","libicuuc.so.71.1","0x00000000000d722d"
0,6984717,0,0,0,1478021,0,0,"g4run","libicuuc.so.71.1","0x00000000000d68d0"
38411915,31424532,60608868,87545242,15000753,16327745,67349,43628,"g4run","libicuuc.so.71.1","ucnv_fromUnicode_UTF8"
3492472,3492032,0,6709645,1472650,0,4894,0,"g4run","libicuuc.so.71.1","0x00000000000d68e0"
0,3491796,0,0,0,0,0,0,"g4run","libicuuc.so.71.1","0x00000000000d7231"
3492517,0,0,0,0,0,3769,0,"g4run","libicuuc.so.71.1","0x00000000000d7461"
6984966,0,0,0,2964909,0,0,0,"g4run","libicuuc.so.71.1","0x00000000000d68d2"
13967343,10474076,53931028,20134750,2955272,7379864,23545,24896,"g4run","libicuuc.so.71.1","u_strlen"
17461166,0,13450850,0,0,0,0,0,"g4run","libicuuc.so.71.1","0x00000000000d7578"
20949599,45390774,48490371,46880041,11839859,4410270,41487,52083,"g4run","libicuuc.so.71.1","ucnv_fromUChars"
24442501,24434930,40225361,62094168,4415793,11792300,33576,13704,"g4run","libicuuc.so.71.1","ucnv_fromUnicode"
0,10474772,0,13351211,0,1479164,0,19335,"g4run","libicuuc.so.71.1","0x00000000000d75c4"
3491085,0,13512385,0,2964362,0,4960,0,"g4run","libicuuc.so.71.1","0x00000000000d69a1"
3492394,6981206,0,0,1617954,0,0,0,"g4run","libicuuc.so.71.1","0x00000000000d7462"
3492540,0,0,0,0,0,0,0,"g4run","libicuuc.so.71.1","0x00000000000d73bf"
3491629,0,0,0,0,0,0,0,"g4run","libicuuc.so.71.1","0x00000000000d7215"
3492068,0,13585867,0,0,0,0,0,"g4run","libicuuc.so.71.1","0x00000000000d76be"
13966080,6982983,20302572,13517705,4435607,2969916,8982,15549,"g4run","libicuuc.so.71.1","0x00000000000d69af"
0,2905542,0,0,0,0,0,0,"g4run","libc.so.6","__mpn_extract_double"
9314166733,8434202012,6363734453,6210576432,1098990164,1091202928,35949584,28563075,"g4run","libc.so.6","cfree@GLIBC_2.2.5"
3492552,0,0,0,0,0,0,0,"g4run","libc.so.6","isalnum"
52319932,45290827,16632749,18669317,3250922,5629555,279243,240715,"g4run","libc.so.6","pthread_mutex_unlock@@GLIBC_2.2.5"
19106141,41136741,68691281,78079330,11780980,17369773,61681,24826,"g4run","libc.so.6","__GI_____strtoll_l_internal"
7733891,0,0,0,0,0,0,0,"g4run","libc.so.6","read"
73121444,33859727,47500533,13049668,7226477,3007849,59274,67154,"g4run","libc.so.6","sysmalloc"
264807212,203822410,139101949,145044884,24110559,24519277,529326,499605,"g4run","libc.so.6","__GI___pthread_mutex_unlock_usercnt"
21044912,0,0,0,0,0,0,0,"g4run","libc.so.6","__GI___pthread_disable_asynccancel"
5481112552,5649409902,4552072117,4491824000,820268095,777416022,19215435,17533060,"g4run","libc.so.6","_int_free"
1563483714,1729468973,505780239,472985341,140001780,96005007,1771904,1724205,"g4run","libc.so.6","pthread_mutex_lock@@GLIBC_2.2.5"
14382204565,14058233546,7623257666,6442725610,1216825974,1071154321,62845233,76737257,"g4run","libc.so.6","getenv"
11178976102,12636426956,8210291498,8689266604,1269500427,1375769578,45830836,51071338,"g4run","libc.so.6","malloc"
251429781,284918959,246222697,267053468,55099361,39723708,947603,1025587,"g4run","libc.so.6","malloc_consolidate"
3492059,3490377,6674258,0,2952052,0,0,0,"g4run","libc.so.6","__strcpy_avx2"
3490401,0,5947954,0,0,0,0,0,"g4run","libc.so.6","__mpn_rshift"
201289024,276039066,380342686,510308785,96787925,98534684,414794,201244,"g4run","libc.so.6","round_and_return"
0,3490,0,3661,0,2386,0,60,"g4run","libc.so.6","__condvar_dec_grefs"
5231237047,5504717209,3022102482,2646765433,443987833,387637443,22484923,26374105,"g4run","libc.so.6","__strncmp_avx2"
3322496,0,0,0,0,0,0,0,"g4run","libc.so.6","__GI_strtoll"
2329812633,2471766301,4749825049,4560148774,1017822401,976379559,4898137,4620822,"g4run","libc.so.6","__GI_____strtod_l_internal"
3475442,0,0,0,0,0,30681,0,"g4run","libc.so.6","_IO_default_xsputn"
6294884,6603995,7252922,27714978,0,10181658,26339,14160,"g4run","libc.so.6","strtod"
3493521,2980337,102207,0,735112,0,0,0,"g4run","libc.so.6","__malloc_arena_thread_freeres"
3338209,3418381,6020350,22581516,0,7165069,30636,5014,"g4run","libc.so.6","__strtod_l"
0,3489293,0,0,0,0,0,0,"g4run","libc.so.6","__vsnprintf_internal"
20947579,6863699,6683649,15907648,2028341,1772979,32617,64363,"g4run","libc.so.6","alloc_perturb"
6573128,0,0,0,1474921,0,0,0,"g4run","libc.so.6","fclose@@GLIBC_2.2.5"
0,3236700,0,0,0,0,0,0,"g4run","libc.so.6","_IO_file_fopen@@GLIBC_2.2.5"
3432558461,3489106058,2913581460,2926117721,455190654,481721537,13947285,15432915,"g4run","libc.so.6","_int_malloc"
0,10473313,0,6718311,0,2948971,0,4519,"g4run","libc.so.6","isspace"
27063701627,17955464542,20931248690,13895625306,3114109635,2018467618,67265388,46516137,"g4run","libc.so.6","__memmove_avx_unaligned"
205046869,204704081,375683764,360266958,90542829,89625291,323504,271663,"g4run","libc.so.6","__mpn_lshift"
3346721,219287,4098,0,6199,0,58,0,"g4run","libc.so.6","pthread_cond_wait@@GLIBC_2.3.2"
0,3368304,0,5016413,0,0,0,0,"g4run","libc.so.6","__GI___fileno"
12325,0,13748,0,2384,0,131,0,"g4run","libc.so.6","start_thread"
9165588,21853179,0,0,0,0,0,0,"g4run","libc.so.6","__GI___lll_lock_wake"
173051798,192856292,400791263,354554263,70056861,72274622,159121,281917,"g4run","libc.so.6","__mpn_mul"
16110186,6474217,14492937,66800157,4460338,3366156,0,26216,"g4run","libc.so.6","__correctly_grouped_prefixmb"
3491191,0,0,0,0,0,0,0,"g4run","libc.so.6","_IO_no_init"
1529881887,1739728287,1184512972,1494643453,228710236,256515006,4675615,6640920,"g4run","libc.so.6","__strlen_avx2"
185113026,147298589,15035244,0,6054,1739882,51695,52797,"g4run","libc.so.6","__GI___lll_lock_wait"
6979645,0,0,0,0,0,7609,0,"g4run","libc.so.6","__mpn_divrem"
47481762,37089118,96440791,88652770,19957106,17074599,28418,91187,"g4run","libc.so.6","__mpn_construct_double"
178968801,143971730,237622783,253725970,55280717,57947069,459581,452297,"g4run","libc.so.6","tolower"
78167569,20287234,114672046,108988248,26591859,25928463,47673,74909,"g4run","libc.so.6","__mpn_mul_1"
0,3459582,0,0,0,2240061,0,9847,"g4run","libc.so.6","__GI__IO_un_link.part.0"
3491613,0,0,0,1274140,0,17565,0,"g4run","libc.so.6","__mprotect"
6980994,23751987,3160140,35972165,524545,7049262,66415,17030,"g4run","libc.so.6","@plt"
3276147,0,0,0,0,0,7475,0,"g4run","libc.so.6","__mpn_submul_1"
0,7291617,0,6214822,0,0,0,0,"g4run","libc.so.6","__GI___libc_cleanup_push_defer"
0,3078450,0,0,0,0,0,0,"g4run","libc.so.6","_IO_setb"
35853742940,30360534247,33191364444,28008516640,5536804933,4746510160,101871535,80947049,"g4run","libc.so.6","__strcmp_avx2"
6677182,0,6017010,0,0,0,0,0,"g4run","libc.so.6","hack_digit"
171258300,182893714,251348539,191735478,52337722,43741297,809268,509842,"g4run","libc.so.6","unlink_chunk.constprop.0"
3190812,0,0,0,0,0,0,0,"g4run","libc.so.6","_IO_new_file_init_internal"
7853401423,5580012344,7058059399,5108205459,1288711559,888130430,11965639,8229270,"g4run","libc.so.6","__memmove_avx_unaligned_erms"
2406726865,2865836648,1821226542,2215921997,404390516,440309379,9682095,10517914,"g4run","libc.so.6","__memcmp_avx2_movbe"
3015305,0,0,0,0,0,0,0,"g4run","libc.so.6","_IO_file_close"
3491287,10471298,5942945,0,0,0,0,15181,"g4run","libc.so.6","__uselocale"
52218618,69756877,24512648,12190895,6308122,7156096,141759,100530,"g4run","libc.so.6","__memset_avx2_unaligned_erms"
3181206,0,0,0,0,0,8702,0,"g4run","libc.so.6","_IO_file_finish@@GLIBC_2.2.5"
3491482,8930302,0,0,1150793,0,0,0,"g4run","libc.so.6","__GI___pthread_enable_asynccancel"
