cycles,instructions,branches,branch_misses,comm,dso,symbol
1077837345777,1193944380906,205621216432,3074145236,"g4run","libm.so.6","__ieee754_atan2_fma"
1045017798599,977633435650,152678516199,2191052678,"g4run","libG4tracking.so","G4SteppingManager::DefinePhysicalStepLength"
977655237554,899091150302,139237747212,1768591017,"g4run","libG4processes.so","G4CrossSectionDataStore::GetCrossSection"
762751184740,625043029233,96659187746,1070881579,"g4run","libG4processes.so","G4NeutronCaptureXS::IsoCrossSection"
663827977083,625616718792,95518281612,1426087445,"g4run","libG4digits_hits.so","G4TouchableHistory::GetVolume"
656692214722,716432757517,123176571123,1738118657,"g4run","libG4geometry.so","G4PolyhedraSide::DistanceAway"
565572700105,519336682974,82932710262,1165985048,"g4run","g4run","CMSMagneticField::GetFieldValue"
545590145221,537171078963,83977134793,1196241877,"g4run","libG4processes.so","G4Transportation::AlongStepGetPhysicalInteractionLength"
543181010180,517668126096,79430267704,1235622017,"g4run","libm.so.6","__sincos"
525754099886,520309188408,73614717105,600549126,"g4run","libG4processes.so","G4NeutronInelasticXS::IsoCrossSection"
524968230565,501697591455,76538141897,855422260,"g4run","libG4processes.so","G4CrossSectionDataStore::GetIsoCrossSection"
524807115892,571529991574,99769890825,1301841358,"g4run","libG4geometry.so","G4PolyPhiFace::InsideEdges"
510916020944,473909958983,71658451889,1093678980,"g4run","libG4geometry.so","G4Navigator::ComputeStep"
481907639080,493122015358,64643883418,871414665,"g4run","libG4tracking.so","G4SteppingManager::InvokeAlongStepDoItProcs"
460780637006,402432054344,64471943611,926588423,"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::StepWithError"
456912992053,421092844415,64847318486,991246459,"g4run","libG4tracking.so","G4SteppingManager::Stepping"
447579893861,387902232804,61102205898,1293174459,"g4run","libG4processes.so","G4VoxelNavigation::LevelLocate"
440261714977,467010126447,63575321038,834210572,"g4run","libG4geometry.so","G4Navigator::LocateGlobalPointWithinVolume"
430463053995,371241975133,57411259278,889460803,"g4run","libG4geometry.so","G4PropagatorInField::ComputeStep"
427667662354,463976643780,77532596862,1066149943,"g4run","libG4geometry.so","G4PolyhedraSide::DistanceToOneSide"
424411179499,410677791556,58116372452,987271444,"g4run","libG4tracking.so","G4SteppingManager::InvokePSDIP"
412586996027,483951396641,66968558219,485438057,"g4run","libG4processes.so","G4NeutronElasticXS::ElementCrossSection"
412153465306,446679095267,76074896312,1062001839,"g4run","libG4geometry.so","G4PolyhedraSide::GetPhi"
408437998548,430245999551,62241681191,1008838921,"g4run","libG4geometry.so","G4PolyconeSide::DistanceAway"
392794071393,358650554018,53351834842,1082724701,"g4run","libG4clhep.so","CLHEP::MixMaxRng::iterate"
374802786332,323686794029,50723846183,676215023,"g4run","libG4processes.so","G4VEnergyLossProcess::PostStepGetPhysicalInteractionLength"
351702274199,393436936310,68079624454,834452865,"g4run","libG4geometry.so","G4PolyhedraSide::PhiSegment"
347205115955,370010947513,54713600229,594831872,"g4run","libG4processes.so","G4UrbanMscModel::ComputeTruePathLengthLimit"
339766344553,338934644376,47579315157,796487196,"g4run","libG4tracking.so","G4Step::UpdateTrack"
339458789115,300487928376,48637974938,655874716,"g4run","libG4geometry.so","G4Mag_UsualEqRhs::EvaluateRhsGivenB"
319939428921,288820696636,44122732460,775519628,"g4run","libG4geometry.so","G4NavigationLevel::operator="
318791415696,299473903522,47106873926,802556972,"g4run","libG4geometry.so","G4Navigator::LocateGlobalPointAndSetup"
309568187957,360719195355,67044870941,694053571,"g4run","libG4geometry.so","G4PolyhedraSide::Distance"
300162222915,369114648335,41952056830,451601945,"g4run","libG4processes.so","G4UrbanMscModel::SampleCosineTheta"
294826945795,257359356079,40188896615,530726330,"g4run","libG4processes.so","G4VEnergyLossProcess::ComputeLambdaForScaledEnergy"
292997174928,299376146509,48678884671,731825237,"g4run","libG4geometry.so","G4VCSGfaceted::Inside"
291277902751,263831340893,41309535360,539152036,"g4run","libG4processes.so","G4CrossSectionDataStore::ComputeCrossSection"
279767666939,272351071065,42251100222,591899673,"g4run","libG4geometry.so","G4NormalNavigation::ComputeStep"
279222594272,299182068774,49846018585,719351662,"g4run","libG4geometry.so","G4PolyhedraSide::Inside"
263184517666,324919837879,56956586405,926019563,"g4run","libG4geometry.so","G4PolyhedraSide::Intersect"
246963573319,236538214807,33548353145,656877761,"g4run","libG4geometry.so","G4VoxelNavigation::ComputeStep"
246784416489,239935156007,36496604534,361701704,"g4run","libG4processes.so","G4ProcessManager::GetAttribute"
239657623341,251998556334,36281646520,549684361,"g4run","libG4geometry.so","G4PolyconeSide::Distance"
233258696554,222418416924,33316669122,431853151,"g4run","libG4processes.so","G4VEnergyLossProcess::AlongStepGetPhysicalInteractionLength"
231638035790,195122590816,31643654630,505548339,"g4run","libG4physicslists.so","G4GammaGeneralProcess::TotalCrossSectionPerVolume"
214995231201,199239394140,30188392792,481906389,"g4run","libG4geometry.so","G4LogicalVolume::GetSolid"
208473496592,181405733288,25160376644,709975729,"g4run","libG4processes.so","G4UrbanFluctuation::SampleGlandz"
207070266405,185169111258,29344410528,583600879,"g4run","libG4geometry.so","G4NavigationLevel::G4NavigationLevel"
204406194432,172677086330,25823546091,482830774,"g4run","libG4physicslists.so","G4GammaGeneralProcess::PostStepDoIt"
203750563548,192564442610,29458201057,529530493,"g4run","libG4processes.so","G4Transportation::PostStepDoIt"
198627215676,194688122313,28009132005,384098054,"g4run","libG4processes.so","G4Transportation::AlongStepDoIt"
195432162243,184297501345,28005290836,430809700,"g4run","libG4geometry.so","G4LogicalVolume::GetSolid"
194380069493,180322158713,28763103180,429517898,"g4run","libG4clhep.so","CLHEP::(anonymous namespace)::theDefaults"
193177769567,157215751365,24928721302,546520603,"g4run","libG4processes.so","G4ElectroNuclearCrossSection::GetElementCrossSection"
188448644803,173806828324,22050351203,458057123,"g4run","libG4processes.so","G4VEnergyLossProcess::AlongStepDoIt"
185806212963,165173314018,25459994183,426119131,"g4run","libG4processes.so","G4KleinNishinaCompton::SampleSecondaries"
183566154543,151309284409,25765935657,425011635,"g4run","libG4geometry.so","G4ChordFinderDelegate<G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> > >::FindNextChord"
182395638445,168625449994,25255476669,505094404,"g4run","libG4clhep.so","CLHEP::MixMaxRng::generate"
177668913669,162443610576,24522685111,449637217,"g4run","libG4geometry.so","G4PolyconeSide::Inside"
176355033806,202667066086,27174058670,72703073,"g4run","libG4processes.so","G4GEMProbability::CalcProbability"
166169153428,150150817567,20848585525,569337262,"g4run","libG4processes.so","G4Poisson"
165595171574,145981517238,27250657232,348522550,"g4run","libG4clhep.so","CLHEP::HepLorentzVector::boost"
163809642482,162354211042,22419019461,363958514,"g4run","libG4geometry.so","G4Region::GetRegionalSteppingAction"
159305921849,158734056971,22144727573,378671234,"g4run","libG4tracking.so","G4SteppingManager::InvokePostStepDoItProcs"
157556061071,134145562186,21721414538,305419389,"g4run","libG4processes.so","G4HadronicProcess::UpdateCrossSectionAndMFP"
156875758376,164586591208,28674992558,362343966,"g4run","libG4geometry.so","G4PolyPhiFace::Inside"
153044121263,167844362592,26468839974,396069197,"g4run","libG4geometry.so","G4DisplacedSolid::Inside"
151540094544,129162014000,20232867660,380283672,"g4run","libG4processes.so","G4LivermorePhotoElectricModel::ComputeCrossSectionPerAtom"
150675177223,121505361610,20285264526,340668056,"g4run","libG4physicslists.so","G4GammaGeneralProcess::PostStepGetPhysicalInteractionLength"
150292517827,167091246739,25338812060,558975050,"g4run","libG4geometry.so","G4IntersectingCone::LineHitsCone1"
146062241082,148796552931,22616368552,386470429,"g4run","libG4geometry.so","G4VPhysicalVolume::GetTranslation"
146035228873,126367708437,21100266586,290180171,"g4run","libG4track.so","G4StepPoint::operator="
145759618687,173344954748,21547320970,222160666,"g4run","libG4processes.so","G4VMscModel::GetTransportMeanFreePath"
145316610207,123529833124,18733871220,349677126,"g4run","libG4processes.so","G4VEmProcess::PostStepDoIt"
142520974463,151050247730,24753983259,317384767,"g4run","libG4processes.so","G4UrbanMscModel::ComputeGeomPathLength"
141183296944,127537908354,18370456752,222670968,"g4run","libG4tracking.so","G4SteppingManager::SetInitialStep"
138558194874,136190231050,22309209633,304208422,"g4run","libG4particles.so","G4Proton::Definition"
138024555958,115817005606,18843149738,285968267,"g4run","libG4processes.so","G4VEmProcess::PostStepGetPhysicalInteractionLength"
137828115360,140424180444,19524679006,305391582,"g4run","libG4processes.so","G4Transportation::SetTouchableInformation"
135030056375,142147478477,21721761943,358795883,"g4run","libG4geometry.so","G4Box::Inside"
134066619591,123317283067,19619551641,290378514,"g4run","libG4clhep.so","CLHEP::HepRandom::getTheEngine"
132552830406,143946768317,24221011814,376568457,"g4run","libG4geometry.so","G4EnclosingCylinder::MustBeOutside"
131348490267,105920953581,17387925170,281896615,"g4run","libG4particles.so","G4IonTable::FindIon"
128639932779,114067581429,17560961229,358570324,"g4run","libG4geometry.so","G4PolyconeSide::DistanceAway"
126342154585,118488447505,20316709376,283759374,"g4run","libG4particles.so","G4Neutron::Definition"
124383470562,126988205059,18630973767,215241676,"g4run","libG4processes.so","G4VMultipleScattering::AlongStepGetPhysicalInteractionLength"
122970961475,118868766550,16191475414,262088703,"g4run","libG4tracking.so","G4SteppingManager::ProcessSecondariesFromParticleChange"
121299410636,114525413399,18279216522,281456568,"g4run","libG4particles.so","G4NucleiPropertiesTableAME12::GetIndex"
119938420465,133838258168,20161782952,469237006,"g4run","libG4geometry.so","G4PolyconeSide::PointOnCone"
117240469829,120084688260,16638395982,216455278,"g4run","libG4track.so","G4ParticleChangeForTransport::UpdateStepForAlongStep"
117185066808,114083315674,15297991589,223284807,"g4run","libG4event.so","G4EventManager::DoProcessing"
114769968187,109785201064,15452376865,354583036,"g4run","libG4geometry.so","G4VoxelNavigation::LocateNextVoxel"
112981509222,118748210895,19618710381,298164013,"g4run","libG4geometry.so","G4SubtractionSolid::Inside"
111377453206,107933916633,16332035459,192167497,"g4run","libG4processes.so","G4HadronicProcess::PostStepGetPhysicalInteractionLength"
110494200663,124174698463,16170557644,177622058,"g4run","libG4processes.so","G4VMscModel::GetEnergy"
110492352677,114930759815,16556108517,229171203,"g4run","libG4geometry.so","G4LogicalVolume::GetMaterial"
109720801442,118615015275,17827954941,430023553,"g4run","libG4geometry.so","G4PolyconeSide::Intersect"
109482395992,100236366047,15602236521,145472909,"g4run","libG4tracking.so","G4Step::InitializeStep"
107535215104,88620924392,14592494176,254478472,"g4run","libG4geometry.so","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::AdvanceChordLimited"
107242327791,83155321565,12462599503,412608509,"g4run","libG4processes.so","G4VEnergyLossProcess::PostStepDoIt"
105690954280,94476103877,13834058600,344889604,"g4run","libG4clhep.so","CLHEP::RandGaussQ::transformQuick"
104436719407,96348159221,14825576989,215330341,"g4run","libG4processes.so","G4InuclSpecialFunctions::G4cbrt"
103205910822,116390862759,14213802477,165728898,"g4run","libG4processes.so","G4VProcess::EndTracking"
101776181814,111179849662,19195749138,299523885,"g4run","libm.so.6","__atan2"
100657613625,92372030521,16476328005,205182624,"g4run","libG4processes.so","G4CascadeChannelTables::FindTable"
98398823309,85177166614,15541271065,134168620,"g4run","libG4processes.so","G4ProcessManager::StartTracking"
97818102863,71620910139,11132307408,257868975,"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::DistChord"
96037622064,76192590469,10551638076,224492199,"g4run","libG4geometry.so","G4FieldTrack::LoadFromArray"
95357456551,104709948813,13574459143,117619949,"g4run","libG4particles.so","G4ParticleDefinition::GetProcessManager"
93148038220,100788212900,16026311734,233490029,"g4run","libG4geometry.so","G4VCSGfaceted::DistanceTo"
93112335860,78274628361,11275572096,230571293,"g4run","libG4clhep.so","CLHEP::Hep3Vector::rotateUz"
93068147630,81510294986,14874454931,131707867,"g4run","libG4geometry.so","G4FieldManagerStore::ClearAllChordFindersState"
91141117359,79433542267,12481614986,242413193,"g4run","libG4geometry.so","G4NavigationHistory::G4NavigationHistory"
90226185139,76510785205,11703643998,221512135,"g4run","libG4processes.so","G4LivermorePhotoElectricModel::SampleSecondaries"
88514476966,75261794374,11612068222,179062688,"g4run","libG4processes.so","G4HadronElastic::ApplyYourself"
88158455289,75996590206,12488087129,190611998,"g4run","libG4processes.so","G4VCrossSectionDataSet::IsIsoApplicable"
87412613236,106305149006,19908253275,234966787,"g4run","libG4geometry.so","G4PolyPhiFace::Distance"
86834261394,77823828683,12378132862,252697783,"g4run","libG4processes.so","G4NavigationHistory::NewLevel"
85480316460,96065492381,11430904640,143433547,"g4run","libG4processes.so","G4ProcessManager::EndTracking"
84289784225,83654190086,11465084539,160413510,"g4run","libG4track.so","G4Track::~G4Track"
82124293452,73068743839,11478204888,197532400,"g4run","libG4geometry.so","G4NormalNavigation::LevelLocate"
82027733179,62683164182,9328183161,207625362,"g4run","libG4geometry.so","G4LineSection::Dist"
81875228299,73456172955,10972047559,223526001,"g4run","libG4clhep.so","CLHEP::MixMaxRng::MULWU"
80748818836,79935048510,13647059421,174711373,"g4run","libG4processes.so","G4InuclParticle::setMomentum"
78954661834,79319536274,11460641813,179752926,"g4run","libG4track.so","G4ParticleChangeForTransport::UpdateStepForPostStep"
78439172518,66399007410,11715757950,204230124,"g4run","libG4processes.so","G4NucleiModel::generateInteractionLength"
76865733600,81786073646,11640389446,141607715,"g4run","libG4geometry.so","G4Navigator::ComputeSafety"
75466066435,68015415390,11308723607,97540088,"g4run","libG4tracking.so","G4SteppingManager::GetProcessNumber"
