cycles,instructions,branches,branch_misses,comm,dso,symbol
1173729374929,1298046470881,224266416688,3288570464,"g4run","libm.so.6","__ieee754_atan2_fma"
1115140044743,1051397714063,164050438356,2309579304,"g4run","libG4tracking.so","G4SteppingManager::DefinePhysicalStepLength"
875842151679,811945342974,125166184376,1606427653,"g4run","libG4processes.so","G4CrossSectionDataStore::GetCrossSection"
777586266373,655310112641,101508463823,1154050095,"g4run","libG4processes.so","G4NeutronCaptureXS::IsoCrossSection"
663951609327,729932904020,124408782142,1732573457,"g4run","libG4geometry.so","G4PolyhedraSide::DistanceAway"
647773862839,608202607565,92301535457,1369599194,"g4run","libG4digits_hits.so","G4TouchableHistory::GetVolume"
566921406458,561930936205,87896158822,1176953581,"g4run","libG4processes.so","G4Transportation::AlongStepGetPhysicalInteractionLength"
557741537528,549030356702,77923547220,655237655,"g4run","libG4processes.so","G4NeutronInelasticXS::IsoCrossSection"
554479444964,509024008478,81831497076,1072158390,"g4run","g4run","CMSMagneticField::GetFieldValue"
550386081874,520623307391,79112189267,1227833346,"g4run","libm.so.6","__sincos"
546045222943,524622576212,79793132394,914278198,"g4run","libG4processes.so","G4CrossSectionDataStore::GetIsoCrossSection"
535330183052,504828872498,75490926058,1124816108,"g4run","libG4geometry.so","G4Navigator::ComputeStep"
534338585627,584379894682,101579965862,1323321397,"g4run","libG4geometry.so","G4PolyPhiFace::InsideEdges"
500763579690,506062834708,67112630754,839086233,"g4run","libG4tracking.so","G4SteppingManager::InvokeAlongStepDoItProcs"
462478182836,404247797725,64586845328,871253543,"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::StepWithError"
450514569968,417308159130,64736097796,973710030,"g4run","libG4tracking.so","G4SteppingManager::Stepping"
450038755183,438641962048,60712360145,1010191830,"g4run","libG4tracking.so","G4SteppingManager::InvokePSDIP"
444906089323,389550831969,61304391980,1324260030,"g4run","libG4processes.so","G4VoxelNavigation::LevelLocate"
444102320972,382235855188,59656786377,837529192,"g4run","libG4geometry.so","G4PropagatorInField::ComputeStep"
437383853296,511373671020,69961267356,570963219,"g4run","libG4processes.so","G4NeutronElasticXS::GetElementCrossSection"
432788309309,474453101006,78792725878,1077356205,"g4run","libG4geometry.so","G4PolyhedraSide::DistanceToOneSide"
418494895430,446293214687,60615031940,777927875,"g4run","libG4geometry.so","G4Navigator::LocateGlobalPointWithinVolume"
413850742076,451290385073,76390910848,1065154548,"g4run","libG4geometry.so","G4PolyhedraSide::GetPhi"
407073697294,376787421693,55671369103,1113506056,"g4run","libG4clhep.so","CLHEP::MixMaxRng::iterate"
402797634759,427157735710,61655589850,994967484,"g4run","libG4geometry.so","G4PolyconeSide::DistanceAway"
371451698442,323348515084,51341837993,655930978,"g4run","libG4processes.so","G4VEnergyLossProcess::PostStepGetPhysicalInteractionLength"
358739785669,395630706726,69087020612,843180396,"g4run","libG4geometry.so","G4PolyhedraSide::PhiSegment"
