cycles_old,cycles_new,comm,dso,symbol
0,6393267,"ksoftirqd/26","[kernel.vmlinux]","trace_hardirqs_off"
0,6531316,"rm","[kernel.vmlinux]","do_user_addr_fault"
0,6970308,"kworker/u64:8","[kernel.vmlinux]","add_delayed_ref_head"
0,6448529,"kworker/u64:8","[kernel.vmlinux]","tracer_hardirqs_on"
0,6686956,"kworker/u64:8","[kernel.vmlinux]","sg_next"
0,18395268,"kworker/u64:8","[kernel.vmlinux]","mem_cgroup_css_rstat_flush"
0,139408696,"kworker/u64:8","[kernel.vmlinux]","crc32_body"
0,4939855,"kworker/u64:8","[kernel.vmlinux]","osq_lock"
563053,236757,"khungtaskd","[kernel.vmlinux]","watchdog"
6968893,0,"ksoftirqd/27","[kernel.vmlinux]","delayed_put_task_struct"
6768875,0,"awk","libc.so.6","_nl_intern_locale_data"
6962442,0,"awk","libc.so.6","round_and_return"
0,12818347,"awk","libc.so.6","__gconv_transform_utf8_internal"
5433991,0,"awk","libc.so.6","malloc"
33854610,8386372,"awk","libc.so.6","_int_malloc"
0,5710039,"awk","libc.so.6","__vsprintf_internal"
0,6935266,"awk","libc.so.6","__mpn_construct_double"
6533404,0,"awk","libc.so.6","strpbrk"
6405816,0,"awk","libc.so.6","@plt"
6898369,0,"awk","libc.so.6","__mbrtowc"
0,381018,"awk","libc.so.6","__libc_early_init"
6660967,0,"awk","libc.so.6","__gconv_read_conf"
6434740,6459641,"awk","libc.so.6","__sysconf"
6484477,0,"awk","libc.so.6","__memset_avx2_unaligned"
9131808,0,"awk","libc.so.6","__btowc"
0,6592974,"awk","gawk","0x000000000004f630"
5971346,0,"awk","gawk","malloc@plt"
0,6308233,"awk","gawk","0x00000000000655b0"
0,6509396,"awk","gawk","0x000000000005eb12"
0,6653230,"awk","gawk","0x000000000006550f"
6487314,0,"awk","gawk","0x00000000000663cb"
0,2015401,"awk","gawk","0x00000000000522ba"
4603825,0,"awk","gawk","memset@plt"
4943745,0,"awk","gawk","0x000000000001d0ed"
0,567507,"awk","gawk","0x0000000000066ded"
0,682276,"awk","gawk","0x000000000006549d"
6773828,0,"awk","gawk","0x000000000005708a"
6827533,0,"awk","gawk","0x0000000000069035"
6938148,0,"awk","gawk","0x000000000007d2a8"
0,5988846,"awk","gawk","0x000000000006bdd0"
0,6781663,"awk","gawk","0x000000000000c224"
0,6945718,"awk","gawk","0x0000000000041a45"
