cycles,comm,dso,symbol
1472355200606,"g4run","libG4processes.so","G4CrossSectionDataStore::GetIsoCrossSection"
956280030241,"g4run","libG4processes.so","G4CrossSectionDataStore::GetCrossSection"
731182553360,"g4run","libG4tracking.so","G4SteppingManager::DefinePhysicalStepLength"
676430498932,"g4run","libG4processes.so","G4Transportation::AlongStepGetPhysicalInteractionLength"
672029938720,"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::StepWithError"
618736242476,"g4run","libG4geometry.so","G4PolyhedraSide::Inside"
585780550813,"g4run","libm.so.6","__ieee754_atan2_fma"
514510634451,"g4run","libG4geometry.so","G4PolyhedraSide::DistanceAway"
463806970278,"g4run","libG4geometry.so","G4Navigator::ComputeStep"
444793292594,"g4run","libG4geometry.so","G4PolyPhiFace::InsideEdges"
432949408027,"g4run","libm.so.6","__sincos"
432516338149,"g4run","libG4tracking.so","G4Step::UpdateTrack"
425126137286,"g4run","libG4geometry.so","G4VCSGfaceted::Inside"
423008684559,"g4run","libG4geometry.so","G4PropagatorInField::ComputeStep"
417679500466,"g4run","libG4geometry.so","G4PolyhedraSide::GetPhi"
368433117433,"g4run","libG4tracking.so","G4SteppingManager::Stepping"
366051302730,"g4run","libG4processes.so","G4Transportation::AlongStepDoIt"
362027364868,"g4run","libG4track.so","G4StepPoint::operator="
349558390513,"g4run","g4run","CMSMagneticField::GetFieldValue"
347576241352,"g4run","libG4processes.so","G4NeutronCaptureXS::IsoCrossSection"
342071875192,"g4run","libG4processes.so","G4VEnergyLossProcess::PostStepGetPhysicalInteractionLength"
339661918899,"g4run","libG4geometry.so","G4NormalNavigation::ComputeStep"
322132538723,"g4run","libG4geometry.so","G4Navigator::LocateGlobalPointAndSetup"
315957738926,"g4run","libG4geometry.so","G4Navigator::LocateGlobalPointWithinVolume"
299753384165,"g4run","libG4processes.so","G4CrossSectionDataStore::ComputeCrossSection"
295910819510,"g4run","libG4geometry.so","G4PolyconeSide::DistanceAway"
283193547951,"g4run","libG4processes.so","G4VoxelNavigation::LevelLocate"
269084702829,"g4run","libG4geometry.so","G4ChordFinderDelegate<G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> > >::FindNextChord"
269062734924,"g4run","libG4processes.so","G4UrbanMscModel::SampleCosineTheta"
261641397021,"g4run","libG4clhep.so","CLHEP::(anonymous namespace)::theDefaults"
258209675498,"g4run","libG4geometry.so","G4VCSGfaceted::DistanceTo"
252236389071,"g4run","libG4geometry.so","G4PolyconeSide::Distance"
