cycles,comm,dso,symbol
1445911030677,"g4run","libG4processes.so","G4CrossSectionDataStore::GetIsoCrossSection"
974487532448,"g4run","libG4processes.so","G4CrossSectionDataStore::GetCrossSection"
739457760481,"g4run","libG4tracking.so","G4SteppingManager::DefinePhysicalStepLength"
721315338252,"g4run","libG4processes.so","G4Transportation::AlongStepGetPhysicalInteractionLength"
683747358072,"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::StepWithError"
680326734731,"g4run","libm.so.6","__ieee754_atan2_fma"
608608916228,"g4run","libG4geometry.so","G4PolyhedraSide::Inside"
529859052901,"g4run","libG4geometry.so","G4PolyhedraSide::DistanceAway"
490433860390,"g4run","libG4geometry.so","G4Navigator::ComputeStep"
452952010745,"g4run","libG4geometry.so","G4PolyPhiFace::InsideEdges"
445222176049,"g4run","libG4tracking.so","G4Step::UpdateTrack"
431197223572,"g4run","libG4geometry.so","G4PropagatorInField::ComputeStep"
415504445825,"g4run","libG4geometry.so","G4PolyhedraSide::GetPhi"
414170409299,"g4run","libm.so.6","__sincos"
412748567589,"g4run","libG4processes.so","G4Transportation::AlongStepDoIt"
405440465633,"g4run","libG4geometry.so","G4VCSGfaceted::Inside"
389477258554,"g4run","g4run","CMSMagneticField::GetFieldValue"
366291607771,"g4run","libG4tracking.so","G4SteppingManager::Stepping"
355862002745,"g4run","libG4track.so","G4StepPoint::operator="
355562879040,"g4run","libG4geometry.so","G4NormalNavigation::ComputeStep"
347462993370,"g4run","libG4processes.so","G4NeutronCaptureXS::IsoCrossSection"
334660915216,"g4run","libG4geometry.so","G4Navigator::LocateGlobalPointWithinVolume"
313598089069,"g4run","libG4processes.so","G4VEnergyLossProcess::PostStepGetPhysicalInteractionLength"
312078371095,"g4run","libG4processes.so","G4CrossSectionDataStore::ComputeCrossSection"
303241847705,"g4run","libG4geometry.so","G4Navigator::LocateGlobalPointAndSetup"
294569753689,"g4run","libG4processes.so","G4VoxelNavigation::LevelLocate"
290350272111,"g4run","libG4geometry.so","G4PolyconeSide::DistanceAway"
275300738985,"g4run","libG4clhep.so","CLHEP::MixMaxRng::iterate"
272590574837,"g4run","libG4processes.so","G4UrbanMscModel::SampleCosineTheta"
260670321576,"g4run","libG4geometry.so","G4ChordFinderDelegate<G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> > >::FindNextChord"
255251388012,"g4run","libG4geometry.so","G4VCSGfaceted::DistanceTo"
250810644919,"g4run","libG4processes.so","G4NeutronInelasticXS::IsoCrossSection"
247422274755,"g4run","libG4geometry.so","G4VoxelNavigation::ComputeStep"
242301588445,"g4run","libG4geometry.so","G4PolyconeSide::Distance"
240300186722,"g4run","libG4clhep.so","CLHEP::(anonymous namespace)::theDefaults"
236824760155,"g4run","libG4tracking.so","G4TrackingManager::ProcessOneTrack"
234528146458,"g4run","libG4geometry.so","G4NavigationLevel::G4NavigationLevel"
232001267253,"g4run","libG4processes.so","G4Transportation::PostStepDoIt"
231791368764,"g4run","libG4processes.so","G4ProcessManager::GetAttribute"
221233491463,"g4run","libG4geometry.so","G4NavigationLevel::operator="
220005768652,"g4run","libG4geometry.so","G4Navigator::ComputeSafety"
218295098091,"g4run","libG4processes.so","G4NavigationHistory::NewLevel"
217283229885,"g4run","libG4geometry.so","G4PolyhedraSide::Distance"
214204791392,"g4run","libG4geometry.so","G4Mag_UsualEqRhs::EvaluateRhsGivenB"
204169656753,"g4run","libG4processes.so","G4VEnergyLossProcess::AlongStepDoIt"
199180690761,"g4run","libG4processes.so","G4UrbanMscModel::ComputeTruePathLengthLimit"
198943966302,"g4run","libG4tracking.so","G4SteppingManager::InvokeAlongStepDoItProcs"
197918027470,"g4run","libG4physicslists.so","G4GammaGeneralProcess::PostStepGetPhysicalInteractionLength"
195168176975,"g4run","libG4clhep.so","CLHEP::MixMaxRng::generate"
192923686778,"g4run","libG4geometry.so","G4PolyhedraSide::ClosestPhiSegment"
190999375146,"g4run","libG4geometry.so","G4PolyhedraSide::PhiSegment"
177358976351,"g4run","libG4tracking.so","G4SteppingManager::InvokePSDIP"
175989936407,"g4run","libG4tracking.so","G4SteppingManager::ProcessSecondariesFromParticleChange"
175315849569,"g4run","libG4geometry.so","G4PolyhedraSide::Intersect"
174458689720,"g4run","libG4processes.so","G4UrbanFluctuation::SampleGlandz"
174330297137,"g4run","libm.so.6","__atan2"
173319654818,"g4run","libG4processes.so","G4NeutronElasticXS::GetElementCrossSection"
172646119145,"g4run","libG4tracking.so","G4SteppingManager::InvokePostStepDoItProcs"
153247208621,"g4run","libG4processes.so","G4HadronicProcess::PostStepGetPhysicalInteractionLength"
152138791120,"g4run","libG4geometry.so","G4PolyPhiFace::Inside"
151845462702,"g4run","libG4processes.so","G4ProcessManager::StartTracking"
149601271934,"g4run","libG4particles.so","G4Proton::Definition"
147064386615,"g4run","libG4processes.so","G4VEnergyLossProcess::ComputeLambdaForScaledEnergy"
144244734101,"g4run","libG4processes.so","G4ElectroNuclearCrossSection::GetElementCrossSection"
143432219473,"g4run","libG4processes.so","G4Poisson"
142725976279,"g4run","libG4processes.so","G4VMultipleScattering::AlongStepGetPhysicalInteractionLength"
140806106799,"g4run","libG4geometry.so","G4Navigator::ResetHierarchyAndLocate"
140115928104,"g4run","libG4processes.so","G4VEmProcess::PostStepGetPhysicalInteractionLength"
137921168095,"g4run","libG4processes.so","G4GEMProbability::CalcProbability"
137275153554,"g4run","libG4geometry.so","G4FieldTrack::G4FieldTrack"
135373096522,"g4run","libG4physicslists.so","G4GammaGeneralProcess::PostStepDoIt"
134439956717,"g4run","libG4processes.so","G4Transportation::SetTouchableInformation"
131336557067,"g4run","libG4processes.so","G4ProcessManager::EndTracking"
129672743882,"g4run","libG4particles.so","G4Neutron::Definition"
129631768359,"g4run","libG4processes.so","G4HadronicProcess::UpdateCrossSectionAndMFP"
