id,cycles_old,cycles_new,overhead_old,overhead_new,ratio
"all",,,,,
"all;ksoftirqd/26",,,,,
"all;ksoftirqd/26;[kernel.vmlinux]",,,,,
"all;ksoftirqd/26;[kernel.vmlinux];trace_hardirqs_off",0,6393267,0.0000,0.0000,0.000
"all;rm",,,,,
"all;rm;[kernel.vmlinux]",,,,,
"all;rm;[kernel.vmlinux];do_user_addr_fault",0,6531316,0.0000,0.0000,0.000
"all;kworker/u64:8",,,,,
"all;kworker/u64:8;[kernel.vmlinux]",,,,,
"all;kworker/u64:8;[kernel.vmlinux];add_delayed_ref_head",0,6970308,0.0000,0.0000,0.000
"all;kworker/u64:8;[kernel.vmlinux];tracer_hardirqs_on",0,6448529,0.0000,0.0000,0.000
"all;kworker/u64:8;[kernel.vmlinux];sg_next",0,6686956,0.0000,0.0000,0.000
"all;kworker/u64:8;[kernel.vmlinux];mem_cgroup_css_rstat_flush",0,18395268,0.0000,0.0000,0.000
"all;kworker/u64:8;[kernel.vmlinux];crc32_body",0,139408696,0.0000,0.0000,0.000
"all;kworker/u64:8;[kernel.vmlinux];osq_lock",0,4939855,0.0000,0.0000,0.000
"all;khungtaskd",,,,,
"all;khungtaskd;[kernel.vmlinux]",,,,,
"all;khungtaskd;[kernel.vmlinux];watchdog",563053,236757,0.0000,0.0000,0.420
"all;ksoftirqd/27",,,,,
"all;ksoftirqd/27;[kernel.vmlinux]",,,,,
"all;ksoftirqd/27;[kernel.vmlinux];delayed_put_task_struct",6968893,0,0.0000,0.0000,0.000
"all;awk",,,,,
"all;awk;libc.so.6",,,,,
"all;awk;libc.so.6;_nl_intern_locale_data",6768875,0,0.0000,0.0000,0.000
"all;awk;libc.so.6;round_and_return",6962442,0,0.0000,0.0000,0.000
"all;awk;libc.so.6;__gconv_transform_utf8_internal",0,12818347,0.0000,0.0000,0.000
"all;awk;libc.so.6;malloc",5433991,0,0.0000,0.0000,0.000
"all;awk;libc.so.6;_int_malloc",33854610,8386372,0.0000,0.0000,0.248
"all;awk;libc.so.6;__vsprintf_internal",0,5710039,0.0000,0.0000,0.000
"all;awk;libc.so.6;__mpn_construct_double",0,6935266,0.0000,0.0000,0.000
"all;awk;libc.so.6;strpbrk",6533404,0,0.0000,0.0000,0.000
"all;awk;libc.so.6;@plt",6405816,0,0.0000,0.0000,0.000
"all;awk;libc.so.6;__mbrtowc",6898369,0,0.0000,0.0000,0.000
"all;awk;libc.so.6;__libc_early_init",0,381018,0.0000,0.0000,0.000
"all;awk;libc.so.6;__gconv_read_conf",6660967,0,0.0000,0.0000,0.000
"all;awk;libc.so.6;__sysconf",6434740,6459641,0.0000,0.0000,1.004
"all;awk;libc.so.6;__memset_avx2_unaligned",6484477,0,0.0000,0.0000,0.000
"all;awk;libc.so.6;__btowc",9131808,0,0.0000,0.0000,0.000
"all;awk;gawk",,,,,
"all;awk;gawk;0x000000000004f630",0,6592974,0.0000,0.0000,0.000
"all;awk;gawk;malloc@plt",5971346,0,0.0000,0.0000,0.000
"all;awk;gawk;0x00000000000655b0",0,6308233,0.0000,0.0000,0.000
"all;awk;gawk;0x000000000005eb12",0,6509396,0.0000,0.0000,0.000
"all;awk;gawk;0x000000000006550f",0,6653230,0.0000,0.0000,0.000
"all;awk;gawk;0x00000000000663cb",6487314,0,0.0000,0.0000,0.000
"all;awk;gawk;0x00000000000522ba",0,2015401,0.0000,0.0000,0.000
"all;awk;gawk;memset@plt",4603825,0,0.0000,0.0000,0.000
"all;awk;gawk;0x000000000001d0ed",4943745,0,0.0000,0.0000,0.000
"all;awk;gawk;0x0000000000066ded",0,567507,0.0000,0.0000,0.000
"all;awk;gawk;0x000000000006549d",0,682276,0.0000,0.0000,0.000
"all;awk;gawk;0x000000000005708a",6773828,0,0.0000,0.0000,0.000
"all;awk;gawk;0x0000000000069035",6827533,0,0.0000,0.0000,0.000
"all;awk;gawk;0x000000000007d2a8",6938148,0,0.0000,0.0000,0.000
"all;awk;gawk;0x000000000006bdd0",0,5988846,0.0000,0.0000,0.000
"all;awk;gawk;0x000000000000c224",0,6781663,0.0000,0.0000,0.000
"all;awk;gawk;0x0000000000041a45",0,6945718,0.0000,0.0000,0.000
"all;awk;gawk;0x000000000006cc2e",0,6963737,0.0000,0.0000,0.000
"all;awk;gawk;0x000000000000b87a",1237407,0,0.0000,0.0000,0.000
"all;awk;gawk;0x000000000005c207",6678157,0,0.0000,0.0000,0.000
"all;awk;gawk;0x000000000000c30e",6910687,0,0.0000,0.0000,0.000
"all;awk;gawk;0x0000000000042145",6954940,0,0.0000,0.0000,0.000
"all;awk;gawk;0x0000000000064960",0,6945051,0.0000,0.0000,0.000
"all;awk;gawk;0x0000000000054a80",6887381,0,0.0000,0.0000,0.000
"all;awk;gawk;0x0000000000066df3",12485218,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux]",,,,,
"all;awk;[kernel.vmlinux];find_vma",13403213,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];may_open",0,6600521,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];vma_interval_tree_insert",3352156,12582816,0.0000,0.0000,3.754
"all;awk;[kernel.vmlinux];tracer_hardirqs_off",0,1139117,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];check_preempt_wakeup",5556640,6527836,0.0000,0.0000,1.175
"all;awk;[kernel.vmlinux];trace_hardirqs_on_prepare",6597844,6529513,0.0000,0.0000,0.990
"all;awk;[kernel.vmlinux];__rb_erase_color",0,6825488,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];prepend_path",3028625,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];copy_page_from_iter",6736855,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];__rb_insert_augmented",6878579,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];__mod_node_page_state",9948061,2638078,0.0000,0.0000,0.265
"all;awk;[kernel.vmlinux];folio_memcg_lock.part.0",0,19831254,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];__memset",0,6655339,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];PageHuge",6404575,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];propagate_protected_usage",6543816,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];anon_vma_interval_tree_insert",0,6864332,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];_raw_spin_unlock",6783327,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];__rcu_read_lock",6635595,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];btrfs_permission",6072295,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];local_clock",0,6968425,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];change_protection",6969519,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];unmap_page_range",27929742,6824430,0.0000,0.0000,0.244
"all;awk;[kernel.vmlinux];__mod_lruvec_state",0,1140863,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];___slab_alloc",0,6674579,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];__irqentry_text_end",3476159,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];clear_inode",4951810,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];__smp_call_single_queue",6621536,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];kmem_cache_free",0,6640603,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];page_counter_uncharge",6881887,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];do_set_pte",47377373,26978785,0.0000,0.0000,0.569
"all;awk;[kernel.vmlinux];__mod_lruvec_page_state",0,6213027,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];vma_interval_tree_augment_rotate",6625312,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];entry_SYSCALL_64",2966135,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];strlen",5909948,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];__x86_indirect_thunk_array",0,6966578,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];trace_hardirqs_on",6874777,2934411,0.0000,0.0000,0.427
"all;awk;[kernel.vmlinux];restore_fpregs_from_fpstate",0,985242,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];finish_fault",0,6817391,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];try_module_get",6757216,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];mem_cgroup_charge_statistics",1997521,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];vfs_getattr_nosec",6754028,6802658,0.0000,0.0000,1.007
"all;awk;[kernel.vmlinux];charge_memcg",19512516,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];free_pipe_info",0,6798977,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];vfs_statx",6634646,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];mod_objcg_state",13543440,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];exc_page_fault",0,13374389,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];move_page_tables.part.0",6906762,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];next_uptodate_page",13355167,6955081,0.0000,0.0000,0.521
"all;awk;[kernel.vmlinux];__do_munmap",0,6486547,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];down_read_trylock",0,6517206,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];add_mm_counter_fast",0,6902605,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];do_close_on_exec",0,649954,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];vfs_fstatat",6522364,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];cap_mmap_addr",0,6947202,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];copy_page_to_iter",0,1269232,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];mntput_no_expire",0,6524620,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];btrfs_release_file",6961452,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];do_mmap",6942790,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];unlink_file_vma",5986870,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];alloc_pages_vma",6485772,6776332,0.0000,0.0000,1.045
"all;awk;[kernel.vmlinux];page_add_file_rmap",3839332,14548932,0.0000,0.0000,3.789
"all;awk;[kernel.vmlinux];cgroup_rstat_updated",0,6693475,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];__handle_mm_fault",20093853,7339669,0.0000,0.0000,0.365
"all;awk;[kernel.vmlinux];__rcu_read_unlock",0,13842824,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];__alloc_pages",0,13301630,0.0000,0.0000,0.000
