id,cycles,instructions,cache_references,cache_misses,L1_dcache_loads,L1_dcache_load_misses
"all",,,,,,
"all;g4run",,,,,,
"all;g4run;libicuuc.so.71.1",,,,,,
"all;g4run;libicuuc.so.71.1;ucnv_toUChars",0,0,0,0,3067568,0
"all;g4run;libicuuc.so.71.1;0x00000000000d7231",0,0,305016,0,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d75c4",6980522,0,300938,0,0,64524
"all;g4run;libicuuc.so.71.1;u_charType",8153770,0,0,0,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d7461",3491578,0,0,0,3068931,0
"all;g4run;libicuuc.so.71.1;0x00000000000d7462",0,6617418,0,0,6151473,0
"all;g4run;libicuuc.so.71.1;0x00000000000d7464",3492041,0,0,0,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d7466",3490198,0,0,0,0,65198
"all;g4run;libicuuc.so.71.1;0x00000000000d6901",0,0,312867,14223,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d7468",0,0,0,0,3032379,0
"all;g4run;libicuuc.so.71.1;0x00000000000d76be",0,6699574,318676,0,3087870,0
"all;g4run;libicuuc.so.71.1;0x00000000000d7256",0,0,0,0,3044139,0
"all;g4run;libicuuc.so.71.1;0x00000000000d7274",0,0,0,0,0,43404
"all;g4run;libicuuc.so.71.1;0x00000000000d697e",3490255,0,0,0,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d757d",0,0,638729,0,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d7312",0,13291962,0,10661,0,107910
"all;g4run;libicuuc.so.71.1;0x00000000000d76c0",0,0,0,12636,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d68d0",0,0,322944,0,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d68d2",0,0,327427,0,6247226,0
"all;g4run;libicuuc.so.71.1;0x00000000000d68d3",0,0,353198,0,0,87614
"all;g4run;libicuuc.so.71.1;0x00000000000d6982",0,6715813,315326,0,0,47115
"all;g4run;libicuuc.so.71.1;0x00000000000d7581",0,0,315685,0,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d69af",0,13473399,317715,0,12269214,75683
"all;g4run;libicuuc.so.71.1;0x00000000000d75af",0,0,0,0,3041408,0
"all;g4run;libicuuc.so.71.1;0x00000000000d744d",0,0,0,0,3022059,0
"all;g4run;libicuuc.so.71.1;0x00000000000d746a",3490287,0,0,0,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d6a12",0,0,0,0,3082460,0
"all;g4run;libicuuc.so.71.1;0x00000000000d73bf",0,0,0,0,3045012,0
"all;g4run;libicuuc.so.71.1;0x00000000000d690b",0,6689158,0,0,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d7209",0,0,0,0,6125430,0
"all;g4run;libicuuc.so.71.1;0x00000000000d7224",3492140,0,0,0,3057143,0
"all;g4run;libicuuc.so.71.1;0x00000000000d7229",0,0,303858,8585,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d6912",0,13573254,0,0,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d733e",3491357,0,0,0,0,0
"all;g4run;libicuuc.so.71.1;ucnv_fromUnicode_UTF8",45388322,53832600,3775400,94874,24473747,551055
"all;g4run;libicuuc.so.71.1;u_terminateChars",0,6720760,0,0,6030064,0
"all;g4run;libicuuc.so.71.1;ucnv_toUnicode",0,0,0,9040,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d71f4",0,0,301597,0,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d7343",0,6668231,0,0,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d68e0",6981546,26702413,0,9413,0,119626
"all;g4run;libicuuc.so.71.1;u_strlen",24438696,26720207,951256,9396,3088989,250158
"all;g4run;libicuuc.so.71.1;0x00000000000d7578",3492216,13440699,0,0,0,67894
"all;g4run;libicuuc.so.71.1;0x00000000000d68e5",0,6632985,0,0,3027420,123494
"all;g4run;libicuuc.so.71.1;0x00000000000d6a3b",0,0,294155,0,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d766b",0,6638804,0,0,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d6996",3492184,0,0,0,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d70a5",0,0,0,0,3104288,0
"all;g4run;libicuuc.so.71.1;ucnv_fromUChars",13963182,47903888,1921110,119547,21318239,241131
"all;g4run;libicuuc.so.71.1;0x00000000000d722d",0,6725495,0,0,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d745c",3491017,0,0,0,6132018,51739
"all;g4run;libicuuc.so.71.1;0x00000000000d69a1",6983318,6714496,312607,11164,6134568,108054
"all;g4run;libicuuc.so.71.1;0x00000000000d73ca",0,0,0,0,0,53880
"all;g4run;libicuuc.so.71.1;ucnv_fromUnicode",13963864,6697245,2252143,28523,18267616,159955
"all;g4run;libicuuc.so.71.1;0x00000000000d75a6",3489775,0,305793,0,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d7215",3491614,0,0,0,0,0
"all;g4run;libc.so.6",,,,,,
"all;g4run;libc.so.6;cfree@GLIBC_2.2.5",8573737655,6315324189,1003126803,399750007,3672933638,281205773
"all;g4run;libc.so.6;fopen@@GLIBC_2.2.5",0,0,0,23502,0,20188
"all;g4run;libc.so.6;isalnum",0,0,313260,0,0,57028
"all;g4run;libc.so.6;pthread_mutex_unlock@@GLIBC_2.2.5",24429412,23698066,6548013,2151685,12205625,1318444
"all;g4run;libc.so.6;__GI_____strtoll_l_internal",41850556,61515488,508170,0,29128185,77906
"all;g4run;libc.so.6;read",3323442,0,117056,0,0,21400
"all;g4run;libc.so.6;sysmalloc",27030373,20404831,6759244,801847,8255896,3380265
"all;g4run;libc.so.6;__fopen_internal",0,0,0,78278,3622632,26262
"all;g4run;libc.so.6;_IO_old_init",3096607,0,0,30532,0,64564
"all;g4run;libc.so.6;__printf_fp",3481559,0,282828,0,0,0
"all;g4run;libc.so.6;__GI___pthread_disable_asynccancel",6569405,0,234895,30170,0,84
"all;g4run;libc.so.6;__GI___pthread_mutex_unlock_usercnt",219665576,74366809,22486034,5720996,65788235,6091093
"all;g4run;libc.so.6;_int_free",5299164383,4658267727,564137282,232890733,2417157576,149996380
"all;g4run;libc.so.6;_IO_un_link",0,0,0,11227,0,0
"all;g4run;libc.so.6;__mpn_cmp",3488872,0,0,60259,0,0
"all;g4run;libc.so.6;pthread_mutex_lock@@GLIBC_2.2.5",1609878279,572550288,55581448,15751447,354252449,22865989
"all;g4run;libc.so.6;getenv",13763301735,6720629744,2228402525,770578718,5119299418,632912318
"all;g4run;libc.so.6;malloc",13214098261,9431599110,1346040431,587843677,4806267335,332330078
"all;g4run;libc.so.6;clone3",0,0,1850,90,2678,95
"all;g4run;libc.so.6;malloc_consolidate",235224055,213700552,12070998,4536276,138489825,6809189
"all;g4run;libc.so.6;_IO_link_in",0,0,431545,16857,0,0
"all;g4run;libc.so.6;__strcpy_avx2",0,13396888,961128,0,3058378,0
"all;g4run;libc.so.6;round_and_return",244764339,457221865,4054134,132344,226261610,1359915
"all;g4run;libc.so.6;__close_nocancel",0,0,253773,0,2794485,0
"all;g4run;libc.so.6;__condvar_dec_grefs",26042,0,965,0,0,0
"all;g4run;libc.so.6;__strncmp_avx2",6207489580,3386323433,1039587745,320158166,2442121242,284588965
"all;g4run;libc.so.6;__GI_strtoll",3379328,0,276682,0,0,0
"all;g4run;libc.so.6;__GI_____strtod_l_internal",2299916298,4709921626,19685007,1218987,1984324460,2741530
"all;g4run;libc.so.6;_IO_default_xsputn",3486237,0,0,0,0,0
"all;g4run;libc.so.6;strtod",0,0,1076514,0,8756350,62468
"all;g4run;libc.so.6;__malloc_arena_thread_freeres",3207890,0,115890,33615,1561186,6393
"all;g4run;libc.so.6;__strtod_l",3332570,18021057,0,7546,3146242,0
"all;g4run;libc.so.6;__vsnprintf_internal",3488669,0,242058,0,0,0
"all;g4run;libc.so.6;alloc_perturb",33360784,3286242,370370,280381,5161604,93489
"all;g4run;libc.so.6;_IO_str_init_static_internal",0,0,0,0,0,192412
"all;g4run;libc.so.6;fclose@@GLIBC_2.2.5",0,0,408123,0,3404204,24689
"all;g4run;libc.so.6;_IO_file_fopen@@GLIBC_2.2.5",0,0,320075,41444,0,0
"all;g4run;libc.so.6;_int_malloc",3674588377,2889607735,302609822,102609423,1583781742,83703739
"all;g4run;libc.so.6;isspace",6981409,6712344,627957,40633,6120636,141710
"all;g4run;libc.so.6;_IO_file_xsgetn",0,0,0,5890,0,0
"all;g4run;libc.so.6;__memmove_avx_unaligned",22562644523,17493781836,4262052755,539706963,11569198312,1688216686
"all;g4run;libc.so.6;__mpn_lshift",272337371,454074329,1829642,207328,149649168,308771
"all;g4run;libc.so.6;pthread_cond_wait@@GLIBC_2.3.2",58008,0,0,1741,0,0
"all;g4run;libc.so.6;__GI___fileno",3449712,4363125,105624,0,0,28868
"all;g4run;libc.so.6;start_thread",0,0,0,145,5100,149
"all;g4run;libc.so.6;__cxa_finalize",3493325,0,469382,0,0,298810
"all;g4run;libc.so.6;__GI___lll_lock_wake",24063625,0,0,0,0,0
"all;g4run;libc.so.6;sysmalloc_mmap.constprop.0",0,0,0,0,0,246659
"all;g4run;libc.so.6;__mpn_mul",134858535,388530821,757232,54733,183714936,60002
"all;g4run;libc.so.6;__correctly_grouped_prefixmb",10888989,37271264,114722,0,2733400,22044
"all;g4run;libc.so.6;__default_morecore@GLIBC_2.2.5",0,0,0,1959,0,0
"all;g4run;libc.so.6;__sbrk",0,0,8820,1875,0,37300
"all;g4run;libc.so.6;_IO_no_init",3484045,0,0,0,0,0
"all;g4run;libc.so.6;__brk",0,0,9520,0,0,0
"all;g4run;libc.so.6;__strlen_avx2",1969723393,1472614467,194609243,76351789,732283974,66117008
"all;g4run;libc.so.6;__GI___lll_lock_wait",138390345,26176221,2397737,368140,1230059,201263
"all;g4run;libc.so.6;__mpn_divrem",3488964,0,263810,0,4409053,0
"all;g4run;libc.so.6;__mpn_construct_double",43958944,71750265,105521,0,32632019,12643
"all;g4run;libc.so.6;tolower",145794165,248012728,4317899,482448,126525538,580603
"all;g4run;libc.so.6;munmap_chunk",0,0,0,0,3050372,0
"all;g4run;libc.so.6;__mpn_mul_1",38444234,91789601,113956,101467,49010360,9340
"all;g4run;libc.so.6;__GI__IO_un_link.part.0",2839474,6793443,1006658,237615,0,104072
"all;g4run;libc.so.6;new_heap",47780,0,0,0,0,0
"all;g4run;libc.so.6;__mprotect",6980859,0,814545,500048,0,490830
"all;g4run;libc.so.6;pthread_create@GLIBC_2.2.5",0,0,0,35378,0,0
"all;g4run;libc.so.6;@plt",13482421,44288662,0,0,10721051,0
"all;g4run;libc.so.6;__ctype_init",0,0,3226,0,0,0
"all;g4run;libc.so.6;_IO_file_write@@GLIBC_2.2.5",0,0,105737,0,0,0
"all;g4run;libc.so.6;__GI___libc_open",0,64466,123130,0,2087146,0
"all;g4run;libc.so.6;__mpn_submul_1",3204474,0,0,0,0,0
"all;g4run;libc.so.6;_IO_setb",0,0,280491,0,0,0
"all;g4run;libc.so.6;__strcmp_avx2",33361593047,30483666107,4366253760,680219453,17291813024,1003389864
"all;g4run;libc.so.6;hack_digit",6521276,0,503009,70431,6601793,0
"all;g4run;libc.so.6;unlink_chunk.constprop.0",180832269,184317460,12837027,3086451,139530114,4973545
"all;g4run;libc.so.6;_IO_file_close_it@@GLIBC_2.2.5",0,0,0,0,0,16849
