id,cycles,instructions,branches,branch_misses
"all",,,,
"all;g4run",,,,
"all;g4run;libicuuc.so.71.1",,,,
"all;g4run;libicuuc.so.71.1;0x00000000000d6901",0,0,0,4024
"all;g4run;libicuuc.so.71.1;0x00000000000d7456",0,6767287,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d7209",0,6586146,1482244,0
"all;g4run;libicuuc.so.71.1;0x00000000000d757d",0,13500253,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d6996",3490633,0,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d733e",3491052,0,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d7466",6982974,20192320,0,4949
"all;g4run;libicuuc.so.71.1;0x00000000000d6912",0,0,1476603,0
"all;g4run;libicuuc.so.71.1;0x00000000000d73c6",3488528,0,0,4683
"all;g4run;libicuuc.so.71.1;u_terminateChars",3492398,0,4518549,0
"all;g4run;libicuuc.so.71.1;0x00000000000d766b",0,0,0,5226
"all;g4run;libicuuc.so.71.1;0x00000000000d7229",0,0,0,9351
"all;g4run;libicuuc.so.71.1;0x00000000000d7581",0,0,1442400,0
"all;g4run;libicuuc.so.71.1;u_charType",0,8321795,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d7343",0,0,1464230,0
"all;g4run;libicuuc.so.71.1;0x00000000000d746a",3491027,0,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d745c",0,0,1464584,0
"all;g4run;libicuuc.so.71.1;0x00000000000d7318",0,0,1487753,0
"all;g4run;libicuuc.so.71.1;0x00000000000d697e",3491945,0,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d722d",3492006,0,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d68d0",6984717,0,1478021,0
"all;g4run;libicuuc.so.71.1;ucnv_fromUnicode_UTF8",31424532,87545242,16327745,43628
"all;g4run;libicuuc.so.71.1;0x00000000000d68e0",3492032,6709645,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d6982",0,0,0,5102
"all;g4run;libicuuc.so.71.1;0x00000000000d68d2",0,0,1481989,9741
"all;g4run;libicuuc.so.71.1;0x00000000000d7461",0,6761565,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d7578",0,33405200,1462237,3761
"all;g4run;libicuuc.so.71.1;0x00000000000d7231",3491796,0,0,0
"all;g4run;libicuuc.so.71.1;u_strlen",10474076,20134750,7379864,24896
"all;g4run;libicuuc.so.71.1;ucnv_fromUnicode",24434930,62094168,11792300,13704
"all;g4run;libicuuc.so.71.1;ucnv_fromUChars",45390774,46880041,4410270,52083
"all;g4run;libicuuc.so.71.1;0x00000000000d69a1",0,13450142,2956489,8982
"all;g4run;libicuuc.so.71.1;0x00000000000d7462",6981206,0,0,0
"all;g4run;libicuuc.so.71.1;0x00000000000d75c4",10474772,13351211,1479164,19335
"all;g4run;libicuuc.so.71.1;0x00000000000d7224",0,0,1437375,10372
"all;g4run;libicuuc.so.71.1;0x00000000000d76c0",0,0,1471899,0
"all;g4run;libicuuc.so.71.1;0x00000000000d69af",6982983,13517705,2969916,15549
"all;g4run;libicuuc.so.71.1;0x00000000000d71fa",0,6711154,0,0
"all;g4run;libc.so.6",,,,
"all;g4run;libc.so.6;__mpn_extract_double",2905542,0,0,0
"all;g4run;libc.so.6;cfree@GLIBC_2.2.5",8434202012,6210576432,1091202928,28563075
"all;g4run;libc.so.6;isalnum",0,0,0,8139
"all;g4run;libc.so.6;pthread_mutex_unlock@@GLIBC_2.2.5",45290827,18669317,5629555,240715
"all;g4run;libc.so.6;__GI_____strtoll_l_internal",41136741,78079330,17369773,24826
"all;g4run;libc.so.6;read",0,5132322,0,0
"all;g4run;libc.so.6;sysmalloc",33859727,13049668,3007849,67154
"all;g4run;libc.so.6;_IO_old_init",0,0,0,11642
"all;g4run;libc.so.6;__GI___pthread_disable_asynccancel",0,0,2455,0
"all;g4run;libc.so.6;__GI___pthread_mutex_unlock_usercnt",203822410,145044884,24519277,499605
"all;g4run;libc.so.6;_int_free",5649409902,4491824000,777416022,17533060
"all;g4run;libc.so.6;_IO_un_link",0,6551132,0,0
"all;g4run;libc.so.6;__mpn_cmp",0,8717775,0,0
"all;g4run;libc.so.6;pthread_mutex_lock@@GLIBC_2.2.5",1729468973,472985341,96005007,1724205
"all;g4run;libc.so.6;getenv",14058233546,6442725610,1071154321,76737257
"all;g4run;libc.so.6;malloc",12636426956,8689266604,1375769578,51071338
"all;g4run;libc.so.6;malloc_consolidate",284918959,267053468,39723708,1025587
"all;g4run;libc.so.6;_IO_link_in",0,0,0,3997
"all;g4run;libc.so.6;__strcpy_avx2",3490377,0,0,0
"all;g4run;libc.so.6;round_and_return",276039066,510308785,98534684,201244
"all;g4run;libc.so.6;__condvar_dec_grefs",3490,3661,2386,60
"all;g4run;libc.so.6;__strncmp_avx2",5504717209,2646765433,387637443,26374105
"all;g4run;libc.so.6;__GI_____strtod_l_internal",2471766301,4560148774,976379559,4620822
"all;g4run;libc.so.6;strtod",6603995,27714978,10181658,14160
"all;g4run;libc.so.6;__malloc_arena_thread_freeres",2980337,0,0,0
"all;g4run;libc.so.6;__strtod_l",3418381,22581516,7165069,5014
"all;g4run;libc.so.6;__vsnprintf_internal",3489293,0,0,0
"all;g4run;libc.so.6;alloc_perturb",6863699,15907648,1772979,64363
"all;g4run;libc.so.6;fclose@@GLIBC_2.2.5",0,0,0,49653
"all;g4run;libc.so.6;_IO_file_fopen@@GLIBC_2.2.5",3236700,0,0,0
"all;g4run;libc.so.6;_int_malloc",3489106058,2926117721,481721537,15432915
"all;g4run;libc.so.6;isspace",10473313,6718311,2948971,4519
"all;g4run;libc.so.6;__memmove_avx_unaligned",17955464542,13895625306,2018467618,46516137
"all;g4run;libc.so.6;__mpn_lshift",204704081,360266958,89625291,271663
"all;g4run;libc.so.6;pthread_cond_wait@@GLIBC_2.3.2",219287,0,0,0
"all;g4run;libc.so.6;__GI___fileno",3368304,5016413,0,0
"all;g4run;libc.so.6;__cxa_finalize",0,4713593,2236032,0
"all;g4run;libc.so.6;__GI___lll_lock_wake",21853179,0,0,0
"all;g4run;libc.so.6;__correctly_grouped_prefixmb",6474217,66800157,3366156,26216
"all;g4run;libc.so.6;__mpn_mul",192856292,354554263,72274622,281917
"all;g4run;libc.so.6;__strlen_avx2",1739728287,1494643453,256515006,6640920
"all;g4run;libc.so.6;__GI___lll_lock_wait",147298589,0,1739882,52797
"all;g4run;libc.so.6;__mpn_construct_double",37089118,88652770,17074599,91187
"all;g4run;libc.so.6;tolower",143971730,253725970,57947069,452297
"all;g4run;libc.so.6;__mpn_mul_1",20287234,108988248,25928463,74909
"all;g4run;libc.so.6;__GI__IO_un_link.part.0",3459582,0,2240061,9847
"all;g4run;libc.so.6;__mprotect",0,0,1659721,67059
"all;g4run;libc.so.6;@plt",23751987,35972165,7049262,17030
"all;g4run;libc.so.6;__GI___libc_cleanup_push_defer",7291617,6214822,0,0
"all;g4run;libc.so.6;_IO_setb",3078450,0,0,0
"all;g4run;libc.so.6;__strcmp_avx2",30360534247,28008516640,4746510160,80947049
"all;g4run;libc.so.6;hack_digit",0,6027049,0,0
"all;g4run;libc.so.6;unlink_chunk.constprop.0",182893714,191735478,43741297,509842
"all;g4run;libc.so.6;__libc_alloca_cutoff",0,0,0,8201
"all;g4run;libc.so.6;_IO_file_close_it@@GLIBC_2.2.5",0,7576801,0,3308
"all;g4run;libc.so.6;__memmove_avx_unaligned_erms",5580012344,5108205459,888130430,8229270
"all;g4run;libc.so.6;__memcmp_avx2_movbe",2865836648,2215921997,440309379,10517914
"all;g4run;libc.so.6;__uselocale",10471298,0,0,15181
"all;g4run;libc.so.6;__memset_avx2_unaligned_erms",69756877,12190895,7156096,100530
"all;g4run;libc.so.6;__GI___pthread_enable_asynccancel",8930302,0,0,0
"all;g4run;libc.so.6;str_to_mpn.part.0.constprop.0",428136671,827611345,196884218,559609
"all;g4run;libc.so.6;__vfprintf_internal",20366383,8991000,1543127,0
"all;g4run;libc.so.6;__strchrnul_avx2",0,0,0,5676
"all;g4run;libc.so.6;_IO_unsave_markers",0,6939493,0,0
"all;g4run;libc.so.6;__memchr_avx2",214942895,499480133,130481207,929093
"all;g4run;libc.so.6;_setjmp",0,0,3004,0
"all;g4run;libc.so.6;pthread_once@GLIBC_2.2.5",40976807,85418907,31498270,70921
"all;g4run;libc.so.6;round_away",34052424,38985209,7677605,4085
"all;g4run;libc.so.6;__memset_avx2_unaligned",26033670496,18553922991,2469296469,71603575
"all;g4run;libc.so.6;__GI___printf_fp_l",34844410,31611841,1301037,36708
"all;g4run;libc.so.6;__strchr_avx2",0,0,0,9393
"all;g4run;libc.so.6;__errno_location",0,6695486,0,0
"all;g4run;libG4run.so",,,,
"all;g4run;libG4run.so;G4RunManagerKernel::PropagateGenericIonID",0,0,0,1223
"all;g4run;libG4run.so;G4WorkerRunManager::GenerateEvent",0,0,0,2940
"all;g4run;libG4run.so;G4RunManagerKernel::CheckRegularGeometry",0,0,0,25256
"all;g4run;libG4run.so;G4RunManager::BeamOn",3491334,0,0,0
"all;g4run;libG4run.so;G4PhysicsListHelper::AddTransportation",0,10674963,1282270,9281
"all;g4run;libG4run.so;G4WorkerRunManagerKernel::SetupShadowProcess",20666843,0,1915854,18533
"all;g4run;libG4run.so;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>",0,4532230,0,0
"all;g4run;libG4run.so;G4RunManagerKernel::SetupShadowProcess",0,0,0,2370
"all;g4run;libG4run.so;G4RunManagerKernel::CheckRegions",0,0,0,4199
"all;g4run;libG4run.so;G4MTRunManager::GetCommandStack",0,0,2546,0
"all;g4run;libG4run.so;std::vector<G4String, std::allocator<G4String> >::emplace_back<char const*&>",0,8373572,0,0
"all;g4run;libG4run.so;G4PhysicsListHelper::CheckParticleList",3486940,6100451,1415514,42710
"all;g4run;libG4run.so;std::_Rb_tree<G4String, std::pair<G4String const, std::vector<G4LogicalVolume*, std::allocator<G4LogicalVolume*> > >, std::_Select1st<std::pair<G4String const, std::vector<G4LogicalVolume*, std::allocator<G4LogicalVolume*> > > >, std::less<G4String>, std::allocator<std::pair<G4String const, std::vector<G4LogicalVolume*, std::allocator<G4LogicalVolume*> > > > >::find",6984922,5845101,1479409,0
"all;g4run;libG4run.so;G4MTRunManagerKernel::SetUpDecayChannels",3491130,0,0,7794
"all;g4run;libG4run.so;G4VUserPhysicsList::PreparePhysicsTable",3492042,16896574,0,0
"all;g4run;libG4run.so;G4PhysicsListHelper::RegisterProcess",6983109,8314463,5926278,20766
"all;g4run;libG4run.so;G4WorkerThread::UpdateGeometryAndPhysicsVectorFromMaster",8939392,0,1486985,0
"all;g4run;libG4run.so;G4VUserPhysicsList::InitializeProcessManager",0,4987055,1183257,9251
"all;g4run;libG4run.so;G4VUserPhysicsList::BuildPhysicsTable",0,0,0,5572
"all;g4run;libG4run.so;G4WorkerRunManager::ProcessOneEvent",0,0,0,9972
"all;g4run;libG4particles.so",,,,
"all;g4run;libG4particles.so;G4Neutron::Definition",126342154585,118488447505,20316709376,283759374
"all;g4run;libG4particles.so;G4Ions::G4Ions",0,0,0,8884
"all;g4run;libG4particles.so;G4NucleiPropertiesTheoreticalTable::IsInTable@plt",3489226,3507367,0,0
"all;g4run;libG4particles.so;pDynamicParticleAllocator",43003503613,39758403092,5649796309,107471124
"all;g4run;libG4particles.so;G4VDecayChannel::FillParent",6980571,0,0,48773
